ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,5458.50,5490.00,5458.50,5478.50,0
2026-06-25T09:16:00+05:30,5476.50,5476.50,5470.00,5470.00,501
2026-06-25T09:17:00+05:30,5466.00,5466.00,5461.00,5461.00,68
2026-06-25T09:18:00+05:30,5460.00,5465.50,5458.50,5462.50,346
2026-06-25T09:19:00+05:30,5464.00,5466.00,5464.00,5466.00,115
2026-06-25T09:20:00+05:30,5465.00,5465.00,5456.50,5456.50,179
2026-06-25T09:21:00+05:30,5456.00,5460.00,5456.00,5459.00,164
2026-06-25T09:22:00+05:30,5457.50,5457.50,5457.00,5457.00,128
2026-06-25T09:23:00+05:30,5457.00,5462.50,5457.00,5462.50,19
2026-06-25T09:24:00+05:30,5462.50,5462.50,5461.50,5461.50,277
2026-06-25T09:25:00+05:30,5461.00,5464.00,5460.50,5460.50,111
2026-06-25T09:26:00+05:30,5459.50,5463.50,5459.50,5463.50,161
2026-06-25T09:27:00+05:30,5464.50,5464.50,5461.50,5461.50,104
2026-06-25T09:28:00+05:30,5460.00,5465.00,5458.00,5465.00,175
2026-06-25T09:29:00+05:30,5463.50,5465.50,5463.50,5464.00,34
2026-06-25T09:30:00+05:30,5463.00,5463.00,5463.00,5463.00,5
2026-06-25T09:31:00+05:30,5470.50,5475.50,5470.50,5475.50,103
2026-06-25T09:32:00+05:30,5467.50,5469.00,5467.50,5469.00,244
2026-06-25T09:33:00+05:30,5475.00,5475.00,5473.50,5474.00,52
2026-06-25T09:34:00+05:30,5474.50,5474.50,5473.50,5473.50,107
2026-06-25T09:35:00+05:30,5473.50,5473.50,5470.50,5470.50,92
2026-06-25T09:36:00+05:30,5465.50,5470.00,5464.50,5470.00,79
2026-06-25T09:37:00+05:30,5468.00,5471.50,5468.00,5471.50,104
2026-06-25T09:38:00+05:30,5472.50,5474.00,5468.00,5468.00,268
2026-06-25T09:39:00+05:30,5465.00,5470.00,5465.00,5470.00,127
2026-06-25T09:40:00+05:30,5470.50,5470.50,5469.50,5469.50,252
2026-06-25T09:41:00+05:30,5471.00,5471.00,5464.50,5464.50,119
2026-06-25T09:42:00+05:30,5458.00,5460.50,5458.00,5460.00,531
2026-06-25T09:43:00+05:30,5459.00,5460.00,5458.50,5458.50,92
2026-06-25T09:44:00+05:30,5458.50,5463.50,5458.50,5463.50,107
2026-06-25T09:45:00+05:30,5459.00,5462.00,5459.00,5462.00,201
2026-06-25T09:46:00+05:30,5460.00,5464.50,5460.00,5464.50,184
2026-06-25T09:47:00+05:30,5459.50,5462.50,5459.50,5459.50,622
2026-06-25T09:48:00+05:30,5459.50,5460.00,5459.50,5460.00,124
2026-06-25T09:49:00+05:30,5459.00,5461.50,5459.00,5461.50,47
2026-06-25T09:50:00+05:30,5459.50,5462.50,5459.50,5462.50,5
2026-06-25T09:51:00+05:30,5460.00,5462.50,5460.00,5460.00,524
2026-06-25T09:52:00+05:30,5463.00,5469.50,5460.00,5469.50,3308
2026-06-25T09:53:00+05:30,5463.00,5466.00,5463.00,5464.50,3407
2026-06-25T09:54:00+05:30,5464.00,5468.00,5460.00,5466.50,1780
2026-06-25T09:55:00+05:30,5469.50,5469.50,5460.00,5462.50,2990
2026-06-25T09:56:00+05:30,5460.00,5467.50,5460.00,5464.50,3883
2026-06-25T09:57:00+05:30,5464.50,5464.50,5460.00,5460.00,1115
2026-06-25T09:58:00+05:30,5459.50,5465.00,5459.50,5460.00,389
2026-06-25T09:59:00+05:30,5459.50,5464.50,5459.50,5462.00,1396
2026-06-25T10:00:00+05:30,5462.00,5462.00,5459.50,5460.00,221
2026-06-25T10:01:00+05:30,5459.50,5463.00,5459.50,5460.00,730
2026-06-25T10:02:00+05:30,5462.50,5468.50,5460.00,5463.00,1776
2026-06-25T10:03:00+05:30,5460.00,5472.00,5460.00,5465.00,399
2026-06-25T10:04:00+05:30,5465.50,5468.00,5465.00,5468.00,369
2026-06-25T10:05:00+05:30,5464.00,5468.50,5464.00,5464.50,501
2026-06-25T10:06:00+05:30,5465.00,5468.00,5464.50,5464.50,227
2026-06-25T10:07:00+05:30,5464.50,5467.50,5464.50,5467.00,186
2026-06-25T10:08:00+05:30,5465.00,5465.00,5464.50,5465.00,233
2026-06-25T10:09:00+05:30,5464.00,5464.00,5463.00,5464.00,41
2026-06-25T10:10:00+05:30,5462.00,5462.00,5459.00,5459.00,187
2026-06-25T10:11:00+05:30,5455.50,5455.50,5450.00,5451.00,430
2026-06-25T10:12:00+05:30,5451.00,5453.00,5449.00,5453.00,200
2026-06-25T10:13:00+05:30,5451.00,5454.00,5451.00,5454.00,33
2026-06-25T10:14:00+05:30,5451.00,5455.50,5451.00,5451.50,215
2026-06-25T10:15:00+05:30,5447.00,5454.50,5447.00,5452.00,309
2026-06-25T10:16:00+05:30,5452.00,5459.00,5452.00,5458.00,71
2026-06-25T10:17:00+05:30,5458.00,5462.00,5457.00,5457.00,145
2026-06-25T10:18:00+05:30,5459.00,5459.50,5455.00,5459.50,19
2026-06-25T10:19:00+05:30,5458.50,5459.00,5458.50,5459.00,2
2026-06-25T10:20:00+05:30,5458.00,5461.50,5458.00,5458.50,74
2026-06-25T10:21:00+05:30,5457.50,5457.50,5457.50,5457.50,6
2026-06-25T10:22:00+05:30,5458.00,5463.50,5458.00,5462.00,392
2026-06-25T10:23:00+05:30,5459.50,5459.50,5459.50,5459.50,3
2026-06-25T10:24:00+05:30,5459.50,5462.00,5459.00,5461.50,265
2026-06-25T10:25:00+05:30,5461.00,5461.00,5460.00,5460.00,81
2026-06-25T10:26:00+05:30,5458.50,5458.50,5458.50,5458.50,0
2026-06-25T10:27:00+05:30,5459.00,5459.00,5459.00,5459.00,26
2026-06-25T10:28:00+05:30,5459.50,5459.50,5459.50,5459.50,1
2026-06-25T10:29:00+05:30,5459.50,5462.00,5459.50,5460.00,244
2026-06-25T10:30:00+05:30,5459.50,5469.50,5459.50,5462.50,2197
2026-06-25T10:31:00+05:30,5460.00,5463.50,5459.00,5460.00,2038
2026-06-25T10:32:00+05:30,5458.00,5462.00,5458.00,5460.00,251
2026-06-25T10:33:00+05:30,5459.50,5460.00,5459.50,5460.00,304
2026-06-25T10:34:00+05:30,5459.50,5462.50,5459.50,5462.50,933
2026-06-25T10:35:00+05:30,5459.50,5463.00,5459.50,5460.00,167
