ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,8498.00,8534.50,8490.50,8534.00,0
2026-06-24T09:16:00+05:30,8536.50,8536.50,8501.50,8504.50,9628
2026-06-24T09:17:00+05:30,8504.50,8504.50,8451.50,8493.00,8346
2026-06-24T09:18:00+05:30,8494.00,8509.00,8494.00,8507.50,1948
2026-06-24T09:19:00+05:30,8507.50,8520.00,8504.00,8515.00,2819
2026-06-24T09:20:00+05:30,8516.00,8527.50,8516.00,8520.50,1655
2026-06-24T09:21:00+05:30,8523.00,8529.50,8521.00,8529.50,1719
2026-06-24T09:22:00+05:30,8530.00,8551.00,8530.00,8545.00,3689
2026-06-24T09:23:00+05:30,8546.00,8551.00,8536.00,8536.50,2192
2026-06-24T09:24:00+05:30,8538.50,8545.50,8537.50,8541.50,813
2026-06-24T09:25:00+05:30,8545.00,8553.00,8544.00,8552.50,3656
2026-06-24T09:26:00+05:30,8554.00,8568.50,8554.00,8568.50,3078
2026-06-24T09:27:00+05:30,8568.50,8568.50,8563.50,8566.00,1832
2026-06-24T09:28:00+05:30,8564.50,8569.00,8564.50,8567.00,1284
2026-06-24T09:29:00+05:30,8567.50,8569.00,8560.00,8562.50,1827
2026-06-24T09:30:00+05:30,8567.00,8576.00,8566.00,8574.50,3298
2026-06-24T09:31:00+05:30,8573.50,8577.50,8569.50,8569.50,2017
2026-06-24T09:32:00+05:30,8574.50,8581.50,8574.00,8581.50,5512
2026-06-24T09:33:00+05:30,8579.00,8581.50,8578.50,8580.00,2594
2026-06-24T09:34:00+05:30,8579.50,8583.50,8570.50,8572.50,4069
2026-06-24T09:35:00+05:30,8576.50,8577.50,8571.00,8571.00,1396
2026-06-24T09:36:00+05:30,8568.50,8576.00,8568.50,8571.50,1830
2026-06-24T09:37:00+05:30,8572.00,8574.00,8571.50,8572.50,1029
2026-06-24T09:38:00+05:30,8577.00,8577.00,8573.00,8573.00,1263
2026-06-24T09:39:00+05:30,8577.00,8577.00,8574.00,8574.00,1660
2026-06-24T09:40:00+05:30,8572.00,8575.00,8572.00,8574.50,1119
2026-06-24T09:41:00+05:30,8574.00,8575.50,8574.00,8575.50,766
2026-06-24T09:42:00+05:30,8575.00,8576.00,8575.00,8576.00,269
2026-06-24T09:43:00+05:30,8576.00,8576.00,8563.00,8563.50,2438
2026-06-24T09:44:00+05:30,8562.00,8562.00,8556.00,8556.00,1316
2026-06-24T09:45:00+05:30,8554.00,8558.00,8554.00,8556.00,885
2026-06-24T09:46:00+05:30,8556.00,8561.50,8555.50,8560.00,1151
2026-06-24T09:47:00+05:30,8558.50,8559.00,8554.50,8554.50,684
2026-06-24T09:48:00+05:30,8553.00,8556.00,8551.50,8554.50,926
2026-06-24T09:49:00+05:30,8554.00,8554.00,8547.00,8547.00,882
2026-06-24T09:50:00+05:30,8546.00,8550.00,8545.50,8546.50,981
2026-06-24T09:51:00+05:30,8547.00,8550.00,8547.00,8548.50,1378
2026-06-24T09:52:00+05:30,8548.00,8552.00,8545.00,8551.00,1108
2026-06-24T09:53:00+05:30,8552.00,8555.00,8548.00,8548.00,649
2026-06-24T09:54:00+05:30,8550.00,8555.50,8549.00,8554.50,829
2026-06-24T09:55:00+05:30,8559.50,8563.50,8559.50,8563.00,1253
2026-06-24T09:56:00+05:30,8564.00,8570.00,8563.00,8567.50,1023
2026-06-24T09:57:00+05:30,8569.00,8569.50,8563.00,8563.00,1945
2026-06-24T09:58:00+05:30,8563.00,8564.50,8558.50,8561.00,504
2026-06-24T09:59:00+05:30,8563.00,8563.00,8558.50,8558.50,718
2026-06-24T10:00:00+05:30,8558.50,8564.00,8558.50,8564.00,737
2026-06-24T10:01:00+05:30,8564.00,8568.00,8564.00,8568.00,1641
2026-06-24T10:02:00+05:30,8568.50,8568.50,8566.00,8567.50,2108
2026-06-24T10:03:00+05:30,8567.50,8575.00,8567.50,8568.50,1842
2026-06-24T10:04:00+05:30,8568.50,8568.50,8562.50,8562.50,939
2026-06-24T10:05:00+05:30,8564.00,8568.00,8554.50,8554.50,2373
2026-06-24T10:06:00+05:30,8555.00,8557.50,8546.50,8546.50,1570
2026-06-24T10:07:00+05:30,8548.50,8558.00,8547.50,8558.00,654
2026-06-24T10:08:00+05:30,8559.50,8559.50,8553.50,8556.00,940
2026-06-24T10:09:00+05:30,8556.00,8556.00,8548.50,8548.50,976
2026-06-24T10:10:00+05:30,8549.00,8554.50,8548.50,8548.50,928
2026-06-24T10:11:00+05:30,8548.00,8551.00,8547.00,8548.50,866
2026-06-24T10:12:00+05:30,8550.00,8550.00,8541.00,8546.00,1636
2026-06-24T10:13:00+05:30,8543.00,8550.00,8543.00,8550.00,650
2026-06-24T10:14:00+05:30,8549.00,8551.50,8543.50,8551.50,1827
2026-06-24T10:15:00+05:30,8548.00,8548.50,8543.00,8546.50,462
2026-06-24T10:16:00+05:30,8545.00,8546.50,8540.00,8543.00,1582
2026-06-24T10:17:00+05:30,8542.50,8548.00,8542.00,8542.00,530
2026-06-24T10:18:00+05:30,8542.50,8550.00,8542.50,8546.00,892
