ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,426.40,426.40,425.10,425.10,0
2026-06-25T09:16:00+05:30,425.00,425.00,424.40,424.90,4845
2026-06-25T09:17:00+05:30,424.60,427.35,424.25,427.35,12705
2026-06-25T09:18:00+05:30,427.40,428.50,427.40,428.50,10111
2026-06-25T09:19:00+05:30,428.50,430.60,428.50,430.50,28239
2026-06-25T09:20:00+05:30,431.05,431.65,431.05,431.60,11479
2026-06-25T09:21:00+05:30,431.35,433.20,431.35,433.15,18459
2026-06-25T09:22:00+05:30,432.05,432.05,430.50,430.50,5503
2026-06-25T09:23:00+05:30,430.85,431.40,430.75,430.75,4611
2026-06-25T09:24:00+05:30,430.65,432.00,430.60,431.55,5974
2026-06-25T09:25:00+05:30,431.30,431.40,431.00,431.40,4557
2026-06-25T09:26:00+05:30,430.80,431.05,430.40,430.40,6373
2026-06-25T09:27:00+05:30,430.65,430.90,430.40,430.45,4420
2026-06-25T09:28:00+05:30,430.50,430.80,430.40,430.40,2384
2026-06-25T09:29:00+05:30,430.40,430.60,430.15,430.60,1763
2026-06-25T09:30:00+05:30,430.40,430.80,430.40,430.75,15860
2026-06-25T09:31:00+05:30,430.95,431.40,430.90,431.25,2396
2026-06-25T09:32:00+05:30,430.80,431.40,430.70,431.00,3848
2026-06-25T09:33:00+05:30,431.05,431.40,431.00,431.00,4250
2026-06-25T09:34:00+05:30,431.00,434.20,431.00,434.20,44894
2026-06-25T09:35:00+05:30,434.35,434.50,433.10,433.25,40365
2026-06-25T09:36:00+05:30,433.45,433.80,432.95,433.35,5379
2026-06-25T09:37:00+05:30,433.35,433.45,433.10,433.45,7511
2026-06-25T09:38:00+05:30,434.00,434.35,433.50,434.35,10069
2026-06-25T09:39:00+05:30,434.15,438.05,434.15,435.80,154852
2026-06-25T09:40:00+05:30,435.80,435.80,434.05,434.50,35544
2026-06-25T09:41:00+05:30,434.60,434.85,434.00,434.35,15658
2026-06-25T09:42:00+05:30,434.35,434.35,433.05,433.30,17198
2026-06-25T09:43:00+05:30,433.40,433.40,432.10,432.80,37429
2026-06-25T09:44:00+05:30,432.95,433.60,432.45,433.35,8965
2026-06-25T09:45:00+05:30,433.75,435.85,433.40,435.30,22322
2026-06-25T09:46:00+05:30,435.30,435.85,435.10,435.30,11777
2026-06-25T09:47:00+05:30,435.40,435.45,434.65,434.75,4064
2026-06-25T09:48:00+05:30,434.85,434.85,433.50,433.55,8481
2026-06-25T09:49:00+05:30,433.55,433.85,433.40,433.70,9025
2026-06-25T09:50:00+05:30,433.70,433.85,433.20,433.45,5324
