ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,157.10,158.15,157.10,158.00,0
2026-06-25T09:16:00+05:30,157.80,158.00,157.05,157.25,366264
2026-06-25T09:17:00+05:30,157.35,158.00,157.20,157.95,189567
2026-06-25T09:18:00+05:30,157.95,157.95,157.75,157.75,165266
2026-06-25T09:19:00+05:30,157.75,158.15,157.75,158.05,296065
2026-06-25T09:20:00+05:30,158.00,158.40,157.90,157.90,444493
2026-06-25T09:21:00+05:30,158.00,158.20,157.90,158.20,139879
2026-06-25T09:22:00+05:30,158.20,158.60,158.15,158.50,481570
2026-06-25T09:23:00+05:30,158.55,158.65,158.45,158.65,556826
2026-06-25T09:24:00+05:30,158.65,158.75,158.60,158.75,428055
2026-06-25T09:25:00+05:30,158.70,158.85,158.65,158.80,294406
2026-06-25T09:26:00+05:30,158.75,159.10,158.65,159.05,487303
2026-06-25T09:27:00+05:30,159.05,159.25,159.00,159.15,376468
2026-06-25T09:28:00+05:30,159.20,159.40,159.20,159.25,267296
2026-06-25T09:29:00+05:30,159.25,159.60,159.25,159.40,501237
2026-06-25T09:30:00+05:30,159.40,159.50,159.20,159.30,396699
2026-06-25T09:31:00+05:30,159.25,159.40,159.15,159.30,195881
2026-06-25T09:32:00+05:30,159.30,159.65,159.25,159.60,497192
2026-06-25T09:33:00+05:30,159.60,159.60,159.30,159.35,222307
2026-06-25T09:34:00+05:30,159.40,159.60,159.35,159.45,201444
2026-06-25T09:35:00+05:30,159.45,159.60,159.40,159.55,241245
2026-06-25T09:36:00+05:30,159.55,159.90,159.55,159.80,673746
2026-06-25T09:37:00+05:30,159.80,160.00,159.75,159.90,682054
2026-06-25T09:38:00+05:30,160.00,160.00,159.70,159.70,316026
2026-06-25T09:39:00+05:30,159.75,159.75,159.55,159.65,238100
2026-06-25T09:40:00+05:30,159.60,159.65,159.40,159.40,253889
2026-06-25T09:41:00+05:30,159.40,159.45,159.15,159.25,240164
2026-06-25T09:42:00+05:30,159.25,159.40,159.20,159.40,217767
2026-06-25T09:43:00+05:30,159.40,159.45,159.30,159.35,82252
2026-06-25T09:44:00+05:30,159.40,159.40,158.95,158.95,253467
2026-06-25T09:45:00+05:30,158.95,159.30,158.80,159.20,187671
2026-06-25T09:46:00+05:30,159.30,159.30,159.20,159.20,63481
2026-06-25T09:47:00+05:30,159.25,159.40,159.05,159.05,97179
2026-06-25T09:48:00+05:30,159.10,159.10,158.80,158.80,144680
2026-06-25T09:49:00+05:30,158.80,159.00,158.75,159.00,216139
2026-06-25T09:50:00+05:30,159.05,159.05,158.90,158.90,58428
2026-06-25T09:51:00+05:30,158.95,159.30,158.85,159.30,119871
2026-06-25T09:52:00+05:30,159.30,159.60,159.30,159.45,258434
2026-06-25T09:53:00+05:30,159.45,159.45,159.20,159.25,92334
2026-06-25T09:54:00+05:30,159.25,159.30,159.10,159.20,108513
2026-06-25T09:55:00+05:30,159.25,159.60,159.25,159.60,221603
2026-06-25T09:56:00+05:30,159.60,159.65,159.50,159.60,217304
2026-06-25T09:57:00+05:30,159.60,159.75,159.50,159.75,195062
2026-06-25T09:58:00+05:30,159.70,159.80,159.65,159.80,243922
2026-06-25T09:59:00+05:30,159.75,159.80,159.55,159.55,94426
2026-06-25T10:00:00+05:30,159.55,159.60,159.35,159.35,98815
2026-06-25T10:01:00+05:30,159.40,159.45,159.25,159.25,134258
2026-06-25T10:02:00+05:30,159.30,159.30,159.10,159.15,107898
2026-06-25T10:03:00+05:30,159.20,159.25,158.90,159.00,196463
2026-06-25T10:04:00+05:30,158.95,159.00,158.80,158.85,143067
2026-06-25T10:05:00+05:30,158.85,159.00,158.80,158.85,124754
2026-06-25T10:06:00+05:30,158.85,158.85,158.55,158.60,232292
2026-06-25T10:07:00+05:30,158.65,158.75,158.55,158.70,205143
2026-06-25T10:08:00+05:30,158.70,158.80,158.65,158.70,54756
2026-06-25T10:09:00+05:30,158.70,158.95,158.70,158.90,90799
2026-06-25T10:10:00+05:30,158.85,158.90,158.75,158.85,44223
2026-06-25T10:11:00+05:30,158.80,158.85,158.80,158.85,235269
2026-06-25T10:12:00+05:30,158.80,158.90,158.80,158.85,196135
2026-06-25T10:13:00+05:30,158.80,158.85,158.80,158.85,22781
2026-06-25T10:14:00+05:30,158.80,158.90,158.80,158.90,66356
2026-06-25T10:15:00+05:30,158.85,159.00,158.85,159.00,84405
2026-06-25T10:16:00+05:30,158.95,159.00,158.95,159.00,53657
2026-06-25T10:17:00+05:30,158.95,159.10,158.95,158.95,99866
2026-06-25T10:18:00+05:30,158.95,159.00,158.90,159.00,123881
2026-06-25T10:19:00+05:30,159.05,159.20,159.00,159.00,2784102
2026-06-25T10:20:00+05:30,159.00,159.10,158.95,159.05,543936
2026-06-25T10:21:00+05:30,159.05,159.15,158.95,159.05,303280
2026-06-25T10:22:00+05:30,159.10,159.25,159.00,159.05,102198
2026-06-25T10:23:00+05:30,159.05,159.10,158.90,158.90,290365
2026-06-25T10:24:00+05:30,158.90,159.00,158.80,158.80,87476
2026-06-25T10:25:00+05:30,158.85,158.90,158.70,158.70,50725
2026-06-25T10:26:00+05:30,158.65,158.70,158.60,158.65,53856
2026-06-25T10:27:00+05:30,158.60,158.65,158.55,158.55,69845
2026-06-25T10:28:00+05:30,158.50,158.60,158.50,158.60,89830
2026-06-25T10:29:00+05:30,158.60,158.65,158.60,158.65,21908
2026-06-25T10:30:00+05:30,158.65,158.85,158.65,158.80,54584
2026-06-25T10:31:00+05:30,158.85,158.85,158.75,158.80,37255
2026-06-25T10:32:00+05:30,158.80,158.85,158.40,158.70,234976
2026-06-25T10:33:00+05:30,158.75,158.85,158.50,158.50,243294
2026-06-25T10:34:00+05:30,158.50,158.55,158.45,158.45,55170
2026-06-25T10:35:00+05:30,158.45,158.60,158.40,158.55,63467
2026-06-25T10:36:00+05:30,158.60,158.65,158.60,158.65,30358
2026-06-25T10:37:00+05:30,158.60,158.65,158.45,158.45,64641
2026-06-25T10:38:00+05:30,158.45,158.55,158.45,158.55,47808
2026-06-25T10:39:00+05:30,158.90,158.90,158.80,158.90,140023
2026-06-25T10:40:00+05:30,158.80,158.90,158.70,158.80,29079
2026-06-25T10:41:00+05:30,158.75,158.75,158.70,158.70,11829
2026-06-25T10:42:00+05:30,158.75,158.85,158.75,158.75,26359
2026-06-25T10:43:00+05:30,158.90,159.25,158.85,159.20,368713
2026-06-25T10:44:00+05:30,159.20,159.30,159.20,159.30,65875
2026-06-25T10:45:00+05:30,159.30,159.50,159.05,159.05,178785
2026-06-25T10:46:00+05:30,159.00,159.00,158.90,158.95,38489
2026-06-25T10:47:00+05:30,158.95,159.35,158.90,159.35,126686
2026-06-25T10:48:00+05:30,159.35,159.65,159.30,159.35,332978
2026-06-25T10:49:00+05:30,159.35,159.60,159.35,159.55,72920
2026-06-25T10:50:00+05:30,159.50,159.55,159.45,159.55,87634
2026-06-25T10:51:00+05:30,159.55,159.55,159.25,159.35,98865
2026-06-25T10:52:00+05:30,159.25,159.30,159.20,159.25,90504
2026-06-25T10:53:00+05:30,159.20,159.20,159.10,159.15,60773
2026-06-25T10:54:00+05:30,159.10,159.15,159.10,159.15,40423
2026-06-25T10:55:00+05:30,159.10,159.15,159.00,159.15,66127
2026-06-25T10:56:00+05:30,159.15,159.25,159.15,159.25,61228
2026-06-25T10:57:00+05:30,159.25,159.25,159.15,159.20,75349
2026-06-25T10:58:00+05:30,159.15,159.25,159.10,159.20,48599
2026-06-25T10:59:00+05:30,159.25,159.30,159.20,159.30,37395
2026-06-25T11:00:00+05:30,159.30,159.30,159.15,159.15,46494
2026-06-25T11:01:00+05:30,159.20,159.20,159.05,159.05,30932
2026-06-25T11:02:00+05:30,159.05,159.10,159.00,159.10,40316
2026-06-25T11:03:00+05:30,159.05,159.10,158.95,158.95,61534
2026-06-25T11:04:00+05:30,158.95,159.00,158.90,158.95,76299
2026-06-25T11:05:00+05:30,158.90,158.95,158.85,158.90,31740
2026-06-25T11:06:00+05:30,158.95,159.15,158.85,159.15,76115
2026-06-25T11:07:00+05:30,159.15,159.15,159.00,159.05,72205
2026-06-25T11:08:00+05:30,159.05,159.05,159.00,159.00,61493
2026-06-25T11:09:00+05:30,159.00,159.15,159.00,159.05,55000
2026-06-25T11:10:00+05:30,159.15,159.20,159.05,159.20,46841
2026-06-25T11:11:00+05:30,159.20,159.25,159.10,159.25,60767
2026-06-25T11:12:00+05:30,159.25,159.30,159.20,159.30,147615
2026-06-25T11:13:00+05:30,159.25,159.50,159.25,159.45,94501
2026-06-25T11:14:00+05:30,159.50,159.50,159.40,159.50,130317
2026-06-25T11:15:00+05:30,159.50,159.55,159.45,159.55,122433
2026-06-25T11:16:00+05:30,159.50,159.55,159.35,159.40,255090
2026-06-25T11:17:00+05:30,159.35,159.50,159.35,159.35,46869
2026-06-25T11:18:00+05:30,159.55,159.55,159.35,159.35,108764
2026-06-25T11:19:00+05:30,159.60,159.65,159.45,159.55,912959
