ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1538.10,1546.80,1538.10,1546.80,0
2026-06-25T09:16:00+05:30,1546.10,1546.10,1543.40,1544.50,9920
2026-06-25T09:17:00+05:30,1544.70,1548.40,1544.40,1548.10,12836
2026-06-25T09:18:00+05:30,1547.40,1547.40,1544.40,1547.00,11642
2026-06-25T09:19:00+05:30,1548.00,1548.00,1547.00,1547.80,9397
2026-06-25T09:20:00+05:30,1547.20,1547.70,1545.60,1545.60,4763
2026-06-25T09:21:00+05:30,1545.50,1545.50,1544.20,1545.20,3253
2026-06-25T09:22:00+05:30,1544.70,1545.60,1544.60,1545.60,4696
2026-06-25T09:23:00+05:30,1546.80,1549.60,1546.10,1546.10,17431
2026-06-25T09:24:00+05:30,1545.60,1548.80,1545.60,1548.80,5072
2026-06-25T09:25:00+05:30,1548.20,1548.40,1547.70,1547.70,3311
2026-06-25T09:26:00+05:30,1546.60,1546.90,1545.30,1545.60,1921
2026-06-25T09:27:00+05:30,1545.60,1545.60,1544.90,1545.00,6626
2026-06-25T09:28:00+05:30,1544.20,1545.80,1543.40,1545.80,13159
2026-06-25T09:29:00+05:30,1546.10,1547.00,1545.40,1547.00,4270
2026-06-25T09:30:00+05:30,1546.70,1547.70,1546.70,1547.70,4084
2026-06-25T09:31:00+05:30,1548.00,1548.80,1548.00,1548.70,4454
2026-06-25T09:32:00+05:30,1549.10,1549.50,1548.80,1548.90,7919
2026-06-25T09:33:00+05:30,1549.10,1549.60,1548.30,1549.60,5200
2026-06-25T09:34:00+05:30,1550.00,1550.00,1545.60,1545.60,6516
2026-06-25T09:35:00+05:30,1547.60,1548.30,1547.50,1547.70,3580
2026-06-25T09:36:00+05:30,1548.00,1548.30,1546.50,1546.60,3093
2026-06-25T09:37:00+05:30,1547.10,1547.70,1546.80,1547.40,2750
2026-06-25T09:38:00+05:30,1547.20,1548.10,1547.20,1548.10,4738
2026-06-25T09:39:00+05:30,1547.50,1547.60,1546.20,1546.90,3854
2026-06-25T09:40:00+05:30,1546.80,1547.70,1546.70,1547.70,2158
2026-06-25T09:41:00+05:30,1547.50,1548.60,1547.40,1548.60,4365
2026-06-25T09:42:00+05:30,1548.60,1549.60,1548.40,1549.10,3547
2026-06-25T09:43:00+05:30,1549.20,1549.70,1548.70,1549.00,5339
2026-06-25T09:44:00+05:30,1548.90,1549.60,1548.90,1548.90,6095
2026-06-25T09:45:00+05:30,1548.90,1550.30,1548.90,1550.30,3432
2026-06-25T09:46:00+05:30,1552.30,1552.90,1552.30,1552.90,16525
2026-06-25T09:47:00+05:30,1552.90,1553.90,1552.30,1553.00,15957
2026-06-25T09:48:00+05:30,1552.80,1554.20,1551.80,1552.10,10562
2026-06-25T09:49:00+05:30,1552.90,1553.50,1552.60,1553.50,5193
2026-06-25T09:50:00+05:30,1554.70,1555.00,1553.80,1553.80,13298
2026-06-25T09:51:00+05:30,1553.20,1553.40,1553.10,1553.20,11782
2026-06-25T09:52:00+05:30,1553.90,1554.00,1553.60,1553.70,16985
2026-06-25T09:53:00+05:30,1553.80,1556.00,1553.80,1555.90,19813
2026-06-25T09:54:00+05:30,1556.00,1556.20,1555.60,1556.00,7906
2026-06-25T09:55:00+05:30,1556.00,1556.30,1554.80,1555.20,10603
2026-06-25T09:56:00+05:30,1555.60,1556.20,1554.80,1554.90,5082
2026-06-25T09:57:00+05:30,1555.00,1555.90,1554.70,1555.90,3139
2026-06-25T09:58:00+05:30,1555.90,1555.90,1553.50,1553.70,6519
2026-06-25T09:59:00+05:30,1553.90,1554.00,1553.90,1554.00,2545
2026-06-25T10:00:00+05:30,1554.00,1554.00,1552.90,1553.20,2768
2026-06-25T10:01:00+05:30,1552.90,1554.00,1551.70,1553.30,17155
2026-06-25T10:02:00+05:30,1553.30,1554.00,1552.40,1552.90,3428
2026-06-25T10:03:00+05:30,1552.80,1553.10,1551.90,1552.80,5652
2026-06-25T10:04:00+05:30,1552.30,1552.70,1548.80,1548.80,9968
2026-06-25T10:05:00+05:30,1549.10,1549.60,1548.50,1549.50,5532
2026-06-25T10:06:00+05:30,1549.50,1549.50,1548.00,1548.40,9075
2026-06-25T10:07:00+05:30,1548.40,1549.30,1548.40,1549.30,865
2026-06-25T10:08:00+05:30,1549.10,1550.00,1548.90,1549.90,3568
2026-06-25T10:09:00+05:30,1549.70,1549.70,1548.40,1549.10,5091
2026-06-25T10:10:00+05:30,1548.70,1548.90,1547.50,1547.50,7498
2026-06-25T10:11:00+05:30,1548.10,1548.10,1545.30,1546.10,20619
2026-06-25T10:12:00+05:30,1546.80,1546.80,1545.30,1546.40,6138
2026-06-25T10:13:00+05:30,1545.80,1546.90,1545.70,1546.90,3033
2026-06-25T10:14:00+05:30,1546.90,1546.90,1541.00,1541.90,18599
2026-06-25T10:15:00+05:30,1541.10,1544.00,1541.10,1544.00,3710
2026-06-25T10:16:00+05:30,1543.20,1543.50,1542.60,1543.40,2848
2026-06-25T10:17:00+05:30,1543.40,1544.00,1543.00,1543.00,2595
2026-06-25T10:18:00+05:30,1542.80,1543.60,1542.50,1543.40,2649
2026-06-25T10:19:00+05:30,1543.30,1543.30,1541.60,1542.70,2847
2026-06-25T10:20:00+05:30,1541.60,1543.00,1541.00,1542.30,5150
2026-06-25T10:21:00+05:30,1542.80,1543.60,1542.50,1543.60,1236
2026-06-25T10:22:00+05:30,1543.60,1544.90,1543.40,1543.60,5093
