ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,9848.00,9890.00,9848.00,9867.00,0
2026-06-24T09:16:00+05:30,9862.00,9906.00,9856.00,9893.00,5471
2026-06-24T09:17:00+05:30,9892.00,9893.00,9871.00,9883.00,3297
2026-06-24T09:18:00+05:30,9878.00,9883.00,9867.00,9867.00,1214
2026-06-24T09:19:00+05:30,9866.00,9878.00,9852.00,9852.00,3148
2026-06-24T09:20:00+05:30,9853.00,9859.00,9850.00,9850.00,3422
2026-06-24T09:21:00+05:30,9853.00,9857.00,9850.00,9856.00,1436
2026-06-24T09:22:00+05:30,9866.00,9867.00,9850.00,9852.00,2560
2026-06-24T09:23:00+05:30,9867.00,9870.00,9850.00,9853.00,2901
2026-06-24T09:24:00+05:30,9853.00,9867.00,9850.00,9862.00,3033
2026-06-24T09:25:00+05:30,9856.00,9861.00,9848.00,9848.00,1515
2026-06-24T09:26:00+05:30,9850.00,9858.00,9846.00,9853.00,1493
2026-06-24T09:27:00+05:30,9856.00,9862.00,9855.00,9859.00,826
2026-06-24T09:28:00+05:30,9859.00,9861.00,9855.00,9857.00,824
2026-06-24T09:29:00+05:30,9855.00,9856.00,9843.00,9851.00,1192
2026-06-24T09:30:00+05:30,9850.00,9857.00,9850.00,9857.00,1343
2026-06-24T09:31:00+05:30,9856.00,9856.00,9848.00,9853.00,1178
2026-06-24T09:32:00+05:30,9850.00,9853.00,9848.00,9850.00,1009
2026-06-24T09:33:00+05:30,9849.00,9853.00,9849.00,9849.00,973
2026-06-24T09:34:00+05:30,9845.00,9848.00,9844.00,9846.00,1219
2026-06-24T09:35:00+05:30,9848.00,9850.00,9848.00,9850.00,1770
2026-06-24T09:36:00+05:30,9852.00,9856.00,9843.00,9843.00,2333
2026-06-24T09:37:00+05:30,9844.00,9844.00,9835.00,9835.00,3236
2026-06-24T09:38:00+05:30,9841.00,9841.00,9829.00,9836.00,2781
2026-06-24T09:39:00+05:30,9834.00,9849.00,9834.00,9839.00,1838
2026-06-24T09:40:00+05:30,9839.00,9840.00,9830.00,9840.00,1237
2026-06-24T09:41:00+05:30,9833.00,9833.00,9824.00,9824.00,3306
2026-06-24T09:42:00+05:30,9818.00,9818.00,9811.00,9814.00,2002
2026-06-24T09:43:00+05:30,9814.00,9814.00,9800.00,9804.00,3095
2026-06-24T09:44:00+05:30,9806.00,9806.00,9785.00,9788.00,3212
2026-06-24T09:45:00+05:30,9790.00,9790.00,9770.00,9772.00,4046
2026-06-24T09:46:00+05:30,9775.00,9804.00,9775.00,9792.00,2485
2026-06-24T09:47:00+05:30,9796.00,9797.00,9790.00,9795.00,1204
2026-06-24T09:48:00+05:30,9793.00,9799.00,9771.00,9771.00,1616
2026-06-24T09:49:00+05:30,9771.00,9771.00,9760.00,9762.00,2372
2026-06-24T09:50:00+05:30,9762.00,9774.00,9762.00,9768.00,1707
2026-06-24T09:51:00+05:30,9771.00,9771.00,9765.00,9765.00,808
2026-06-24T09:52:00+05:30,9765.00,9774.00,9762.00,9774.00,1292
2026-06-24T09:53:00+05:30,9772.00,9772.00,9765.00,9765.00,1024
2026-06-24T09:54:00+05:30,9766.00,9770.00,9763.00,9770.00,623
2026-06-24T09:55:00+05:30,9767.00,9780.00,9767.00,9778.00,1098
2026-06-24T09:56:00+05:30,9776.00,9780.00,9771.00,9780.00,421
2026-06-24T09:57:00+05:30,9780.00,9790.00,9776.00,9782.00,1060
2026-06-24T09:58:00+05:30,9782.00,9782.00,9777.00,9781.00,939
2026-06-24T09:59:00+05:30,9781.00,9781.00,9776.00,9777.00,1778
2026-06-24T10:00:00+05:30,9776.00,9780.00,9776.00,9777.00,372
2026-06-24T10:01:00+05:30,9776.00,9784.00,9773.00,9784.00,1310
2026-06-24T10:02:00+05:30,9779.00,9794.00,9779.00,9794.00,948
2026-06-24T10:03:00+05:30,9790.00,9800.00,9790.00,9799.00,1560
2026-06-24T10:04:00+05:30,9797.00,9809.00,9793.00,9809.00,1111
2026-06-24T10:05:00+05:30,9809.00,9815.00,9803.00,9813.00,1678
2026-06-24T10:06:00+05:30,9814.00,9816.00,9812.00,9816.00,1752
2026-06-24T10:07:00+05:30,9822.00,9822.00,9811.00,9814.00,788
2026-06-24T10:08:00+05:30,9814.00,9824.00,9814.00,9824.00,742
2026-06-24T10:09:00+05:30,9824.00,9824.00,9813.00,9813.00,1109
2026-06-24T10:10:00+05:30,9812.00,9812.00,9805.00,9806.00,1181
2026-06-24T10:11:00+05:30,9805.00,9808.00,9802.00,9807.00,424
2026-06-24T10:12:00+05:30,9805.00,9810.00,9803.00,9808.00,721
2026-06-24T10:13:00+05:30,9806.00,9809.00,9804.00,9804.00,349
2026-06-24T10:14:00+05:30,9803.00,9814.00,9803.00,9810.00,1413
