ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,282.20,282.20,281.25,281.30,0
2026-06-25T09:16:00+05:30,281.20,281.20,280.50,280.50,192435
2026-06-25T09:17:00+05:30,280.30,280.40,279.95,280.40,88473
2026-06-25T09:18:00+05:30,280.35,280.45,280.25,280.25,29655
2026-06-25T09:19:00+05:30,280.40,280.40,280.00,280.00,38188
2026-06-25T09:20:00+05:30,280.10,280.15,280.00,280.00,13370
2026-06-25T09:21:00+05:30,280.00,280.20,280.00,280.05,24389
2026-06-25T09:22:00+05:30,280.15,280.50,280.05,280.45,22249
2026-06-25T09:23:00+05:30,280.45,280.45,280.40,280.40,35887
2026-06-25T09:24:00+05:30,280.20,280.20,280.10,280.10,17975
2026-06-25T09:25:00+05:30,280.05,280.05,279.75,279.80,54354
2026-06-25T09:26:00+05:30,279.75,279.85,279.55,279.85,43091
2026-06-25T09:27:00+05:30,279.95,280.25,279.90,280.25,64102
2026-06-25T09:28:00+05:30,280.20,280.30,280.00,280.00,44450
2026-06-25T09:29:00+05:30,280.00,280.20,280.00,280.20,35295
2026-06-25T09:30:00+05:30,280.15,280.50,280.15,280.35,35612
2026-06-25T09:31:00+05:30,280.30,280.30,279.95,280.05,43096
2026-06-25T09:32:00+05:30,280.15,280.50,280.10,280.50,66658
2026-06-25T09:33:00+05:30,280.55,280.60,280.10,280.10,62254
2026-06-25T09:34:00+05:30,280.20,280.20,279.75,279.75,50941
2026-06-25T09:35:00+05:30,279.75,279.85,279.75,279.75,9216
2026-06-25T09:36:00+05:30,279.95,279.95,279.80,279.90,22219
2026-06-25T09:37:00+05:30,279.90,279.90,279.85,279.85,17062
2026-06-25T09:38:00+05:30,279.80,279.80,279.70,279.80,10308
2026-06-25T09:39:00+05:30,279.70,279.85,279.65,279.70,20063
2026-06-25T09:40:00+05:30,279.70,279.75,279.70,279.75,14072
2026-06-25T09:41:00+05:30,279.70,279.95,279.70,279.90,14691
2026-06-25T09:42:00+05:30,279.85,279.85,279.70,279.80,10893
2026-06-25T09:43:00+05:30,279.75,279.85,279.60,279.75,16367
2026-06-25T09:44:00+05:30,279.75,279.85,279.70,279.75,13032
2026-06-25T09:45:00+05:30,279.75,280.15,279.75,279.95,41462
2026-06-25T09:46:00+05:30,280.10,280.15,280.05,280.10,15807
2026-06-25T09:47:00+05:30,280.10,280.20,279.90,279.95,28548
2026-06-25T09:48:00+05:30,280.10,280.15,279.60,279.80,34148
2026-06-25T09:49:00+05:30,279.75,279.75,279.50,279.75,38625
2026-06-25T09:50:00+05:30,279.65,279.70,279.55,279.55,18276
2026-06-25T09:51:00+05:30,279.70,279.75,279.65,279.65,9564
2026-06-25T09:52:00+05:30,279.75,279.80,279.65,279.65,15907
2026-06-25T09:53:00+05:30,279.55,279.55,279.30,279.45,62342
2026-06-25T09:54:00+05:30,279.35,279.35,279.25,279.25,22489
2026-06-25T09:55:00+05:30,279.20,279.20,279.05,279.15,17154
2026-06-25T09:56:00+05:30,279.15,279.25,279.00,279.00,35862
2026-06-25T09:57:00+05:30,279.00,279.30,279.00,279.25,14057
2026-06-25T09:58:00+05:30,279.25,279.25,279.10,279.10,17488
2026-06-25T09:59:00+05:30,279.20,279.40,279.15,279.20,14211
2026-06-25T10:00:00+05:30,279.20,279.30,279.05,279.15,6511
2026-06-25T10:01:00+05:30,279.20,279.20,279.10,279.20,2300
2026-06-25T10:02:00+05:30,279.15,279.20,279.00,279.10,4383
2026-06-25T10:03:00+05:30,279.10,279.30,279.05,279.05,16614
2026-06-25T10:04:00+05:30,279.10,279.20,279.05,279.05,7922
2026-06-25T10:05:00+05:30,279.00,279.10,278.70,278.70,49397
2026-06-25T10:06:00+05:30,278.80,278.85,278.55,278.85,21949
2026-06-25T10:07:00+05:30,278.80,278.90,278.60,278.75,23439
2026-06-25T10:08:00+05:30,278.60,278.95,278.60,278.95,4045
2026-06-25T10:09:00+05:30,278.95,279.10,278.95,279.00,11359
2026-06-25T10:10:00+05:30,279.00,279.00,278.30,278.50,52064
2026-06-25T10:11:00+05:30,278.40,278.40,278.20,278.20,25589
2026-06-25T10:12:00+05:30,278.20,278.30,278.20,278.20,4010
2026-06-25T10:13:00+05:30,278.20,278.40,278.10,278.40,34517
2026-06-25T10:14:00+05:30,278.30,278.65,278.30,278.55,16920
2026-06-25T10:15:00+05:30,278.40,278.45,278.25,278.25,41300
2026-06-25T10:16:00+05:30,278.25,278.55,278.25,278.45,11337
2026-06-25T10:17:00+05:30,278.45,278.55,278.30,278.35,11920
2026-06-25T10:18:00+05:30,278.20,278.25,278.10,278.10,51231
2026-06-25T10:19:00+05:30,278.10,278.55,278.00,278.40,31377
2026-06-25T10:20:00+05:30,278.40,278.90,278.40,278.80,9704
2026-06-25T10:21:00+05:30,278.80,278.80,278.65,278.80,15048
2026-06-25T10:22:00+05:30,278.80,278.80,278.70,278.75,15659
2026-06-25T10:23:00+05:30,278.80,278.85,278.65,278.85,11383
2026-06-25T10:24:00+05:30,278.80,278.85,278.70,278.80,8171
2026-06-25T10:25:00+05:30,278.90,278.90,278.75,278.85,5440
2026-06-25T10:26:00+05:30,278.75,278.90,278.75,278.75,3482
2026-06-25T10:27:00+05:30,278.90,278.90,278.75,278.75,6592
2026-06-25T10:28:00+05:30,278.75,278.75,278.75,278.75,3554
2026-06-25T10:29:00+05:30,278.85,278.90,278.75,278.85,1609
2026-06-25T10:30:00+05:30,278.90,278.90,278.80,278.85,5958
2026-06-25T10:31:00+05:30,278.85,278.90,278.85,278.90,11765
2026-06-25T10:32:00+05:30,278.90,279.00,278.85,279.00,46893
2026-06-25T10:33:00+05:30,278.75,278.75,278.25,278.25,34313
2026-06-25T10:34:00+05:30,278.30,278.60,278.25,278.45,21347
2026-06-25T10:35:00+05:30,278.45,278.65,278.45,278.50,33209
2026-06-25T10:36:00+05:30,278.50,278.65,278.50,278.60,2758
2026-06-25T10:37:00+05:30,278.55,278.75,278.55,278.60,10814
2026-06-25T10:38:00+05:30,278.60,278.60,278.50,278.50,1089
2026-06-25T10:39:00+05:30,278.60,278.60,278.60,278.60,7426
2026-06-25T10:40:00+05:30,278.65,278.65,278.60,278.60,2025
2026-06-25T10:41:00+05:30,278.65,278.75,278.60,278.75,12768
2026-06-25T10:42:00+05:30,278.95,279.00,278.85,279.00,11436
2026-06-25T10:43:00+05:30,278.85,278.95,278.80,278.80,2297
2026-06-25T10:44:00+05:30,278.80,279.00,278.80,278.90,10271
2026-06-25T10:45:00+05:30,278.90,278.95,278.90,278.95,7741
2026-06-25T10:46:00+05:30,279.05,279.15,278.95,279.15,22278
2026-06-25T10:47:00+05:30,279.00,279.30,278.95,279.30,51784
2026-06-25T10:48:00+05:30,279.45,279.55,279.45,279.55,22053
2026-06-25T10:49:00+05:30,279.45,279.60,279.45,279.45,14294
2026-06-25T10:50:00+05:30,279.45,279.55,279.30,279.40,7550
2026-06-25T10:51:00+05:30,279.40,279.50,279.35,279.35,7296
2026-06-25T10:52:00+05:30,279.45,279.45,279.20,279.25,28591
2026-06-25T10:53:00+05:30,279.15,279.40,279.15,279.25,49666
2026-06-25T10:54:00+05:30,279.10,279.25,278.70,279.15,22461
2026-06-25T10:55:00+05:30,279.15,279.40,279.15,279.20,17446
2026-06-25T10:56:00+05:30,279.20,279.30,279.20,279.25,3351
2026-06-25T10:57:00+05:30,279.35,279.45,279.30,279.35,8945
2026-06-25T10:58:00+05:30,279.45,279.45,279.30,279.30,4231
2026-06-25T10:59:00+05:30,279.30,279.50,279.30,279.45,47253
2026-06-25T11:00:00+05:30,279.65,279.65,279.20,279.40,21757
2026-06-25T11:01:00+05:30,279.35,279.35,279.35,279.35,6769
