ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,413.60,415.00,413.15,413.60,0
2026-06-25T09:16:00+05:30,414.00,414.00,411.15,411.25,478244
2026-06-25T09:17:00+05:30,411.40,411.75,411.00,411.40,404397
2026-06-25T09:18:00+05:30,411.15,411.15,410.50,410.90,255080
2026-06-25T09:19:00+05:30,410.90,412.75,410.90,412.40,77895
2026-06-25T09:20:00+05:30,412.35,412.70,412.20,412.35,66627
2026-06-25T09:21:00+05:30,412.35,412.60,412.35,412.50,41814
2026-06-25T09:22:00+05:30,412.45,412.60,411.15,411.20,778282
2026-06-25T09:23:00+05:30,411.75,411.75,411.20,411.45,99402
2026-06-25T09:24:00+05:30,411.05,411.65,411.00,411.55,117198
2026-06-25T09:25:00+05:30,411.50,411.65,411.30,411.60,25100
2026-06-25T09:26:00+05:30,411.60,412.10,411.50,411.50,63482
2026-06-25T09:27:00+05:30,411.60,411.90,411.40,411.90,41225
2026-06-25T09:28:00+05:30,411.90,412.30,411.90,412.00,48368
2026-06-25T09:29:00+05:30,411.95,412.30,411.95,412.10,18110
2026-06-25T09:30:00+05:30,412.15,412.25,411.75,411.90,42669
2026-06-25T09:31:00+05:30,412.00,412.00,411.55,411.55,21691
2026-06-25T09:32:00+05:30,411.60,411.60,411.35,411.55,31437
2026-06-25T09:33:00+05:30,411.55,411.55,411.15,411.15,66425
2026-06-25T09:34:00+05:30,411.10,411.80,411.10,411.25,28909
2026-06-25T09:35:00+05:30,411.25,411.75,411.25,411.50,18644
2026-06-25T09:36:00+05:30,411.45,411.70,411.40,411.70,25176
2026-06-25T09:37:00+05:30,411.70,411.75,411.50,411.65,25910
2026-06-25T09:38:00+05:30,411.65,411.80,410.50,410.50,207976
2026-06-25T09:39:00+05:30,410.60,411.50,410.50,411.50,97322
2026-06-25T09:40:00+05:30,411.50,411.60,411.30,411.60,28260
2026-06-25T09:41:00+05:30,411.55,411.65,411.35,411.50,94525
2026-06-25T09:42:00+05:30,411.50,411.90,411.45,411.60,150384
2026-06-25T09:43:00+05:30,411.70,411.95,411.60,411.90,64685
2026-06-25T09:44:00+05:30,411.90,412.10,411.85,411.90,56279
2026-06-25T09:45:00+05:30,411.90,411.95,411.60,411.80,37978
2026-06-25T09:46:00+05:30,411.75,411.90,411.70,411.90,9298
2026-06-25T09:47:00+05:30,411.90,411.90,411.65,411.65,28152
2026-06-25T09:48:00+05:30,411.50,411.80,411.15,411.35,36198
