ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,536.30,538.55,536.30,538.20,0
2026-06-25T09:16:00+05:30,538.90,539.60,538.05,539.00,1758
2026-06-25T09:17:00+05:30,539.00,539.15,538.25,538.25,1210
2026-06-25T09:18:00+05:30,537.50,538.30,537.05,537.70,4170
2026-06-25T09:19:00+05:30,537.95,537.95,537.25,537.35,1742
2026-06-25T09:20:00+05:30,537.90,538.10,537.60,538.10,1508
2026-06-25T09:21:00+05:30,537.85,538.20,537.85,538.20,1374
2026-06-25T09:22:00+05:30,538.20,543.40,538.20,542.65,12007
2026-06-25T09:23:00+05:30,542.65,543.00,542.35,542.35,1777
2026-06-25T09:24:00+05:30,543.90,544.35,543.65,543.65,6862
2026-06-25T09:25:00+05:30,543.65,544.20,542.90,542.90,3118
2026-06-25T09:26:00+05:30,542.90,542.90,542.00,542.60,1452
2026-06-25T09:27:00+05:30,542.50,542.50,541.25,541.60,4228
2026-06-25T09:28:00+05:30,541.25,541.25,540.55,540.55,554
2026-06-25T09:29:00+05:30,540.80,542.25,540.50,542.15,6684
2026-06-25T09:30:00+05:30,541.40,541.85,541.30,541.50,983
2026-06-25T09:31:00+05:30,542.00,542.00,541.50,541.50,514
2026-06-25T09:32:00+05:30,541.80,541.80,540.70,541.10,985
2026-06-25T09:33:00+05:30,540.85,541.30,540.60,541.05,132
2026-06-25T09:34:00+05:30,541.05,541.45,540.60,541.00,1007
2026-06-25T09:35:00+05:30,540.85,541.00,540.40,540.40,492
2026-06-25T09:36:00+05:30,540.40,540.80,540.40,540.80,1061
2026-06-25T09:37:00+05:30,540.90,540.95,540.45,540.85,115
2026-06-25T09:38:00+05:30,540.95,540.95,540.45,540.90,310
2026-06-25T09:39:00+05:30,540.90,540.95,540.60,540.65,179
2026-06-25T09:40:00+05:30,540.95,541.00,540.70,541.00,6918
2026-06-25T09:41:00+05:30,541.35,541.50,541.10,541.50,306
2026-06-25T09:42:00+05:30,541.35,541.65,541.15,541.55,861
2026-06-25T09:43:00+05:30,541.50,542.00,541.50,541.75,666
2026-06-25T09:44:00+05:30,542.00,542.00,541.20,541.75,1032
2026-06-25T09:45:00+05:30,541.80,542.00,541.60,542.00,234
2026-06-25T09:46:00+05:30,542.20,542.50,542.00,542.30,693
2026-06-25T09:47:00+05:30,542.05,542.45,541.65,541.65,1917
2026-06-25T09:48:00+05:30,540.95,543.85,540.95,543.85,9090
2026-06-25T09:49:00+05:30,543.15,544.40,543.00,544.40,1224
2026-06-25T09:50:00+05:30,544.50,544.70,544.45,544.60,615
2026-06-25T09:51:00+05:30,544.30,544.65,544.30,544.60,1207
2026-06-25T09:52:00+05:30,544.60,544.85,544.40,544.85,1670
2026-06-25T09:53:00+05:30,544.95,546.30,544.95,546.10,5584
2026-06-25T09:54:00+05:30,546.30,547.40,546.20,547.40,3877
2026-06-25T09:55:00+05:30,546.35,546.85,545.70,545.85,6290
2026-06-25T09:56:00+05:30,545.90,546.35,545.85,546.25,1767
2026-06-25T09:57:00+05:30,546.25,546.25,545.90,545.90,870
2026-06-25T09:58:00+05:30,545.90,545.90,544.75,545.00,2633
2026-06-25T09:59:00+05:30,545.00,546.00,545.00,546.00,1600
2026-06-25T10:00:00+05:30,546.00,546.70,546.00,546.70,2851
2026-06-25T10:01:00+05:30,546.65,546.65,546.10,546.10,4155
2026-06-25T10:02:00+05:30,545.95,546.55,545.80,546.45,2159
2026-06-25T10:03:00+05:30,546.40,546.50,546.00,546.20,214
2026-06-25T10:04:00+05:30,546.10,546.50,546.00,546.50,2089
2026-06-25T10:05:00+05:30,546.50,547.40,546.50,546.90,4176
2026-06-25T10:06:00+05:30,547.45,548.00,547.05,547.85,3849
2026-06-25T10:07:00+05:30,548.30,551.15,548.30,549.90,20543
2026-06-25T10:08:00+05:30,549.85,551.65,549.70,549.95,12416
2026-06-25T10:09:00+05:30,549.90,551.40,549.30,550.20,21260
2026-06-25T10:10:00+05:30,550.40,550.85,549.50,549.70,10185
2026-06-25T10:11:00+05:30,549.75,550.20,548.25,550.20,13928
2026-06-25T10:12:00+05:30,549.65,549.65,546.30,546.65,11139
2026-06-25T10:13:00+05:30,547.20,547.30,544.25,545.15,17399
2026-06-25T10:14:00+05:30,543.70,544.95,543.50,544.45,15080
2026-06-25T10:15:00+05:30,544.80,548.95,544.40,548.20,11196
2026-06-25T10:16:00+05:30,548.20,548.35,546.40,546.70,2349
2026-06-25T10:17:00+05:30,546.35,546.50,546.15,546.40,1075
2026-06-25T10:18:00+05:30,546.25,546.80,546.00,546.70,2131
2026-06-25T10:19:00+05:30,546.70,546.80,546.45,546.50,2004
2026-06-25T10:20:00+05:30,546.75,547.55,546.55,547.05,2767
2026-06-25T10:21:00+05:30,547.15,547.30,546.80,547.05,1232
2026-06-25T10:22:00+05:30,546.55,547.00,546.30,546.30,1048
2026-06-25T10:23:00+05:30,546.30,546.50,546.30,546.35,414
2026-06-25T10:24:00+05:30,546.40,546.40,545.60,545.60,1919
2026-06-25T10:25:00+05:30,545.45,546.00,545.40,546.00,858
2026-06-25T10:26:00+05:30,546.00,546.75,545.95,546.75,628
2026-06-25T10:27:00+05:30,546.45,546.75,546.45,546.70,529
2026-06-25T10:28:00+05:30,546.80,547.05,546.60,546.65,411
2026-06-25T10:29:00+05:30,546.85,547.50,546.85,547.15,1364
2026-06-25T10:30:00+05:30,546.95,547.25,546.75,547.25,1427
2026-06-25T10:31:00+05:30,546.80,547.20,546.65,546.90,493
2026-06-25T10:32:00+05:30,546.75,547.20,546.75,547.20,382
2026-06-25T10:33:00+05:30,546.95,547.15,546.70,546.70,214
2026-06-25T10:34:00+05:30,546.70,547.10,546.70,547.10,301
2026-06-25T10:35:00+05:30,546.70,547.15,546.55,546.55,754
2026-06-25T10:36:00+05:30,546.60,546.90,546.55,546.60,443
2026-06-25T10:37:00+05:30,546.75,547.00,546.60,546.85,351
2026-06-25T10:38:00+05:30,546.60,546.60,546.00,546.00,3117
2026-06-25T10:39:00+05:30,545.90,546.25,545.75,545.85,672
2026-06-25T10:40:00+05:30,545.85,547.05,545.85,546.85,1722
2026-06-25T10:41:00+05:30,546.90,547.15,546.35,547.15,352
2026-06-25T10:42:00+05:30,547.20,547.20,546.85,546.85,751
2026-06-25T10:43:00+05:30,546.75,546.90,546.45,546.90,625
2026-06-25T10:44:00+05:30,546.45,547.00,546.45,546.95,82
2026-06-25T10:45:00+05:30,547.00,547.00,546.55,546.95,324
2026-06-25T10:46:00+05:30,546.75,547.00,546.70,547.00,104
2026-06-25T10:47:00+05:30,546.90,547.00,546.50,547.00,219
2026-06-25T10:48:00+05:30,546.60,547.05,546.60,547.00,387
2026-06-25T10:49:00+05:30,546.85,546.85,546.20,546.50,1839
2026-06-25T10:50:00+05:30,546.35,546.35,546.00,546.10,457
2026-06-25T10:51:00+05:30,546.05,546.05,545.50,545.65,435
2026-06-25T10:52:00+05:30,545.60,546.00,545.40,546.00,2608
2026-06-25T10:53:00+05:30,545.80,546.00,545.70,545.85,119
2026-06-25T10:54:00+05:30,545.40,548.30,545.40,548.30,4831
2026-06-25T10:55:00+05:30,550.15,550.15,548.15,548.50,5555
2026-06-25T10:56:00+05:30,548.20,548.35,547.40,547.40,936
2026-06-25T10:57:00+05:30,547.60,547.70,547.10,547.35,2652
2026-06-25T10:58:00+05:30,547.00,547.35,547.00,547.20,1375
2026-06-25T10:59:00+05:30,547.00,547.35,547.00,547.35,223
2026-06-25T11:00:00+05:30,547.15,547.30,545.40,545.40,1823
2026-06-25T11:01:00+05:30,545.50,546.10,544.95,546.10,3009
2026-06-25T11:02:00+05:30,546.10,546.15,545.85,546.10,1508
2026-06-25T11:03:00+05:30,546.00,546.20,545.90,546.15,162
2026-06-25T11:04:00+05:30,545.80,546.35,545.80,546.25,484
