ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2139.70,2142.00,2124.60,2128.60,0
2026-06-25T09:16:00+05:30,2126.20,2130.00,2124.80,2130.00,5180
2026-06-25T09:17:00+05:30,2131.00,2131.00,2130.00,2130.00,1522
2026-06-25T09:18:00+05:30,2125.20,2129.90,2125.20,2127.20,9933
2026-06-25T09:19:00+05:30,2127.30,2132.00,2125.90,2132.00,5728
2026-06-25T09:20:00+05:30,2131.80,2137.90,2131.80,2136.50,4533
2026-06-25T09:21:00+05:30,2135.50,2138.90,2134.70,2138.00,3631
2026-06-25T09:22:00+05:30,2137.60,2144.00,2137.60,2141.30,7488
2026-06-25T09:23:00+05:30,2141.80,2142.50,2138.60,2138.80,8589
2026-06-25T09:24:00+05:30,2138.80,2139.40,2137.70,2138.00,2214
2026-06-25T09:25:00+05:30,2138.00,2139.00,2137.00,2138.80,1919
2026-06-25T09:26:00+05:30,2138.50,2138.50,2137.50,2138.50,1413
2026-06-25T09:27:00+05:30,2139.00,2139.50,2138.60,2139.00,3760
2026-06-25T09:28:00+05:30,2139.10,2140.40,2139.10,2140.40,7367
2026-06-25T09:29:00+05:30,2140.60,2142.50,2138.80,2139.20,3082
2026-06-25T09:30:00+05:30,2139.50,2139.90,2134.60,2135.20,3987
2026-06-25T09:31:00+05:30,2136.00,2139.20,2135.20,2136.10,2354
2026-06-25T09:32:00+05:30,2136.20,2137.50,2135.40,2136.50,938
2026-06-25T09:33:00+05:30,2136.60,2137.50,2136.50,2136.80,894
2026-06-25T09:34:00+05:30,2139.30,2140.40,2139.00,2139.00,2038
2026-06-25T09:35:00+05:30,2139.00,2139.70,2138.90,2138.90,1205
2026-06-25T09:36:00+05:30,2139.30,2139.30,2137.30,2137.70,1669
2026-06-25T09:37:00+05:30,2138.30,2139.20,2135.60,2139.20,3326
2026-06-25T09:38:00+05:30,2139.00,2139.90,2138.50,2138.70,1938
2026-06-25T09:39:00+05:30,2138.80,2140.20,2138.50,2140.10,1799
2026-06-25T09:40:00+05:30,2138.60,2139.80,2138.10,2138.30,855
2026-06-25T09:41:00+05:30,2138.80,2139.40,2135.70,2136.10,1753
2026-06-25T09:42:00+05:30,2136.10,2138.30,2135.80,2138.30,2493
2026-06-25T09:43:00+05:30,2137.40,2138.50,2136.70,2137.40,1533
2026-06-25T09:44:00+05:30,2137.50,2139.40,2137.50,2138.70,1060
2026-06-25T09:45:00+05:30,2139.00,2144.00,2139.00,2143.40,7344
2026-06-25T09:46:00+05:30,2144.70,2145.40,2143.20,2144.30,6101
2026-06-25T09:47:00+05:30,2144.30,2144.30,2140.40,2140.70,2764
2026-06-25T09:48:00+05:30,2141.00,2141.30,2138.40,2138.40,2694
2026-06-25T09:49:00+05:30,2137.30,2140.60,2137.30,2140.00,1841
2026-06-25T09:50:00+05:30,2140.60,2140.60,2140.00,2140.60,1607
2026-06-25T09:51:00+05:30,2141.10,2142.50,2140.70,2142.50,1092
2026-06-25T09:52:00+05:30,2142.60,2143.80,2141.10,2141.60,1686
2026-06-25T09:53:00+05:30,2140.00,2140.40,2138.60,2138.60,1785
2026-06-25T09:54:00+05:30,2138.60,2140.10,2138.60,2139.10,345
2026-06-25T09:55:00+05:30,2139.80,2140.60,2139.00,2140.00,1411
2026-06-25T09:56:00+05:30,2140.20,2141.80,2140.20,2140.40,1732
2026-06-25T09:57:00+05:30,2140.30,2143.00,2140.30,2142.90,1545
2026-06-25T09:58:00+05:30,2141.90,2142.90,2140.90,2141.30,1845
2026-06-25T09:59:00+05:30,2141.90,2141.90,2140.70,2141.50,1508
2026-06-25T10:00:00+05:30,2141.00,2141.90,2141.00,2141.20,1143
2026-06-25T10:01:00+05:30,2141.20,2141.20,2138.60,2139.00,1151
2026-06-25T10:02:00+05:30,2138.50,2139.50,2138.00,2138.00,1641
2026-06-25T10:03:00+05:30,2138.40,2138.70,2138.00,2138.00,758
2026-06-25T10:04:00+05:30,2138.00,2138.80,2138.00,2138.00,864
2026-06-25T10:05:00+05:30,2138.50,2139.00,2137.40,2137.40,1573
2026-06-25T10:06:00+05:30,2137.70,2137.80,2135.10,2135.90,3742
2026-06-25T10:07:00+05:30,2134.60,2138.40,2133.20,2137.90,3483
2026-06-25T10:08:00+05:30,2137.20,2139.40,2137.10,2138.10,877
2026-06-25T10:09:00+05:30,2138.40,2141.10,2138.30,2140.70,3413
2026-06-25T10:10:00+05:30,2140.70,2142.50,2140.70,2142.20,4067
2026-06-25T10:11:00+05:30,2142.40,2146.00,2142.20,2145.70,7027
2026-06-25T10:12:00+05:30,2145.80,2147.30,2145.20,2145.70,3064
2026-06-25T10:13:00+05:30,2145.90,2147.00,2145.90,2147.00,1524
2026-06-25T10:14:00+05:30,2147.00,2147.30,2147.00,2147.10,710
2026-06-25T10:15:00+05:30,2147.10,2149.40,2147.10,2149.40,2880
2026-06-25T10:16:00+05:30,2149.60,2149.60,2147.20,2147.20,4350
2026-06-25T10:17:00+05:30,2147.30,2148.50,2147.20,2147.20,1100
2026-06-25T10:18:00+05:30,2148.00,2148.30,2147.10,2147.10,1975
2026-06-25T10:19:00+05:30,2148.00,2150.90,2148.00,2150.20,10660
2026-06-25T10:20:00+05:30,2151.00,2154.20,2151.00,2152.50,5983
2026-06-25T10:21:00+05:30,2152.70,2152.70,2151.40,2151.40,891
2026-06-25T10:22:00+05:30,2151.40,2151.40,2149.40,2150.00,2027
2026-06-25T10:23:00+05:30,2150.00,2150.00,2148.40,2148.70,1192
2026-06-25T10:24:00+05:30,2149.00,2150.30,2149.00,2150.30,1821
2026-06-25T10:25:00+05:30,2150.50,2152.60,2150.50,2151.70,1858
2026-06-25T10:26:00+05:30,2151.50,2152.10,2150.90,2152.00,1181
2026-06-25T10:27:00+05:30,2152.40,2152.40,2150.80,2152.00,3382
2026-06-25T10:28:00+05:30,2152.30,2152.50,2152.00,2152.50,2172
2026-06-25T10:29:00+05:30,2153.20,2153.20,2152.50,2152.60,781
2026-06-25T10:30:00+05:30,2153.40,2153.60,2152.40,2152.50,726
2026-06-25T10:31:00+05:30,2152.50,2157.90,2152.50,2157.90,6586
2026-06-25T10:32:00+05:30,2157.30,2159.90,2157.30,2158.60,5363
2026-06-25T10:33:00+05:30,2159.50,2160.00,2158.50,2158.80,3960
2026-06-25T10:34:00+05:30,2158.80,2158.80,2157.30,2158.10,2444
2026-06-25T10:35:00+05:30,2158.10,2158.40,2156.50,2157.10,1993
2026-06-25T10:36:00+05:30,2157.10,2158.00,2156.70,2157.50,2989
2026-06-25T10:37:00+05:30,2157.50,2158.10,2157.00,2157.30,703
2026-06-25T10:38:00+05:30,2157.30,2158.40,2157.30,2158.40,770
2026-06-25T10:39:00+05:30,2157.80,2158.10,2156.00,2156.30,3398
2026-06-25T10:40:00+05:30,2156.00,2157.20,2156.00,2156.60,1544
2026-06-25T10:41:00+05:30,2157.00,2157.60,2156.80,2156.80,1220
2026-06-25T10:42:00+05:30,2156.90,2157.20,2155.60,2155.70,2810
2026-06-25T10:43:00+05:30,2156.00,2156.00,2152.10,2152.10,5134
2026-06-25T10:44:00+05:30,2152.10,2153.30,2151.40,2152.90,4911
2026-06-25T10:45:00+05:30,2152.90,2157.70,2151.80,2156.50,7202
2026-06-25T10:46:00+05:30,2156.10,2157.10,2153.50,2153.70,1555
2026-06-25T10:47:00+05:30,2153.70,2156.70,2153.60,2156.00,2038
2026-06-25T10:48:00+05:30,2156.70,2156.70,2156.00,2156.20,851
2026-06-25T10:49:00+05:30,2156.20,2157.30,2156.20,2157.00,1390
2026-06-25T10:50:00+05:30,2156.70,2157.20,2156.50,2156.60,922
2026-06-25T10:51:00+05:30,2156.60,2157.00,2155.90,2155.90,2959
2026-06-25T10:52:00+05:30,2156.00,2156.00,2154.20,2154.20,894
2026-06-25T10:53:00+05:30,2154.30,2154.50,2153.30,2153.70,680
2026-06-25T10:54:00+05:30,2153.30,2153.50,2153.30,2153.50,1379
