ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,423.00,424.85,422.35,424.35,0
2026-06-25T09:16:00+05:30,424.00,424.40,423.75,423.80,11160
2026-06-25T09:17:00+05:30,424.00,424.35,423.75,423.90,9298
2026-06-25T09:18:00+05:30,424.10,424.15,423.75,424.00,5165
2026-06-25T09:19:00+05:30,424.10,424.30,424.10,424.25,7713
2026-06-25T09:20:00+05:30,424.15,424.15,423.70,423.70,17782
2026-06-25T09:21:00+05:30,423.80,423.85,423.70,423.70,3153
2026-06-25T09:22:00+05:30,423.40,425.35,423.40,425.10,24069
2026-06-25T09:23:00+05:30,425.45,425.60,425.05,425.50,10383
2026-06-25T09:24:00+05:30,425.60,425.60,424.75,424.75,5896
2026-06-25T09:25:00+05:30,424.70,424.70,424.30,424.30,16530
2026-06-25T09:26:00+05:30,424.20,424.20,424.00,424.00,3439
2026-06-25T09:27:00+05:30,423.95,423.95,422.70,422.70,5971
2026-06-25T09:28:00+05:30,422.60,423.05,422.50,423.05,11784
2026-06-25T09:29:00+05:30,422.90,423.00,422.55,422.95,1580
2026-06-25T09:30:00+05:30,422.95,422.95,422.65,422.70,1679
2026-06-25T09:31:00+05:30,422.70,422.70,422.45,422.60,1697
2026-06-25T09:32:00+05:30,422.65,422.75,422.60,422.60,6716
2026-06-25T09:33:00+05:30,422.50,422.80,422.50,422.75,2390
2026-06-25T09:34:00+05:30,422.75,422.95,422.60,422.60,1924
2026-06-25T09:35:00+05:30,422.60,422.80,422.55,422.55,1740
2026-06-25T09:36:00+05:30,422.50,422.55,421.90,421.90,8079
2026-06-25T09:37:00+05:30,422.00,422.10,421.70,422.05,7087
2026-06-25T09:38:00+05:30,421.85,422.05,421.85,422.00,279
2026-06-25T09:39:00+05:30,421.85,422.00,421.80,421.90,3568
2026-06-25T09:40:00+05:30,421.85,421.90,421.85,421.85,2128
2026-06-25T09:41:00+05:30,421.80,421.80,421.40,421.40,1849
2026-06-25T09:42:00+05:30,421.20,421.40,421.20,421.35,1514
2026-06-25T09:43:00+05:30,421.20,421.70,421.20,421.45,2981
2026-06-25T09:44:00+05:30,421.80,421.85,421.60,421.65,4204
2026-06-25T09:45:00+05:30,421.80,421.85,421.55,421.85,3374
2026-06-25T09:46:00+05:30,421.90,422.20,421.90,422.20,3599
2026-06-25T09:47:00+05:30,422.20,422.60,422.15,422.30,3347
2026-06-25T09:48:00+05:30,422.20,422.40,422.15,422.15,543
2026-06-25T09:49:00+05:30,422.00,422.05,421.65,422.05,4859
2026-06-25T09:50:00+05:30,422.35,422.55,422.20,422.25,4813
2026-06-25T09:51:00+05:30,422.05,422.25,422.00,422.20,2011
2026-06-25T09:52:00+05:30,422.20,422.35,422.05,422.20,1449
2026-06-25T09:53:00+05:30,422.05,422.25,422.05,422.25,1634
2026-06-25T09:54:00+05:30,422.05,422.20,422.05,422.05,510
2026-06-25T09:55:00+05:30,421.70,422.05,421.70,421.75,2436
2026-06-25T09:56:00+05:30,421.85,422.00,421.70,421.70,1799
2026-06-25T09:57:00+05:30,421.75,421.95,421.75,421.80,936
2026-06-25T09:58:00+05:30,421.70,421.80,421.60,421.65,3400
2026-06-25T09:59:00+05:30,421.60,421.65,421.50,421.50,2512
2026-06-25T10:00:00+05:30,421.50,421.50,420.70,421.10,10545
2026-06-25T10:01:00+05:30,421.35,421.35,421.05,421.05,1084
2026-06-25T10:02:00+05:30,421.10,421.40,420.60,420.70,30573
2026-06-25T10:03:00+05:30,420.40,420.70,420.25,420.30,4235
2026-06-25T10:04:00+05:30,420.50,420.70,420.30,420.60,4045
2026-06-25T10:05:00+05:30,420.45,420.60,420.45,420.55,2956
2026-06-25T10:06:00+05:30,420.45,420.55,420.10,420.30,6184
2026-06-25T10:07:00+05:30,420.10,420.10,419.75,419.80,11224
2026-06-25T10:08:00+05:30,419.75,419.80,419.50,419.55,4850
2026-06-25T10:09:00+05:30,419.55,419.65,419.30,419.40,2696
2026-06-25T10:10:00+05:30,419.15,419.35,419.10,419.35,1693
2026-06-25T10:11:00+05:30,419.15,419.35,419.15,419.30,486
2026-06-25T10:12:00+05:30,419.15,419.25,418.75,419.25,4371
2026-06-25T10:13:00+05:30,419.00,419.40,419.00,419.05,5902
2026-06-25T10:14:00+05:30,419.05,419.05,418.25,418.25,15136
2026-06-25T10:15:00+05:30,418.50,418.50,417.90,418.00,21053
2026-06-25T10:16:00+05:30,418.20,418.50,418.00,418.50,4391
2026-06-25T10:17:00+05:30,418.50,418.60,418.40,418.45,11058
2026-06-25T10:18:00+05:30,418.60,418.60,418.25,418.55,5165
2026-06-25T10:19:00+05:30,418.40,418.70,418.40,418.60,3464
2026-06-25T10:20:00+05:30,418.55,418.60,417.45,417.45,39761
2026-06-25T10:21:00+05:30,417.30,417.55,417.30,417.35,3344
2026-06-25T10:22:00+05:30,417.30,417.45,417.00,417.00,20069
2026-06-25T10:23:00+05:30,417.20,417.50,417.05,417.45,9783
2026-06-25T10:24:00+05:30,417.50,417.80,417.50,417.60,3664
2026-06-25T10:25:00+05:30,417.60,417.60,417.50,417.50,1448
2026-06-25T10:26:00+05:30,417.50,418.15,417.40,418.15,9205
2026-06-25T10:27:00+05:30,417.95,418.75,417.95,418.30,4046
2026-06-25T10:28:00+05:30,418.30,418.45,418.30,418.45,1036
2026-06-25T10:29:00+05:30,418.30,418.65,418.30,418.40,3273
2026-06-25T10:30:00+05:30,418.40,418.80,418.40,418.65,4342
2026-06-25T10:31:00+05:30,418.90,419.40,418.80,419.40,7778
2026-06-25T10:32:00+05:30,419.55,420.70,419.55,420.70,10782
2026-06-25T10:33:00+05:30,420.65,420.65,419.85,420.15,10311
2026-06-25T10:34:00+05:30,420.10,420.40,419.65,419.80,5951
2026-06-25T10:35:00+05:30,419.95,420.00,419.90,419.90,1453
2026-06-25T10:36:00+05:30,419.80,419.95,419.80,419.90,2494
2026-06-25T10:37:00+05:30,419.90,420.05,419.90,419.95,1593
2026-06-25T10:38:00+05:30,420.00,420.25,419.95,419.95,3440
2026-06-25T10:39:00+05:30,420.10,420.10,419.95,420.10,2390
2026-06-25T10:40:00+05:30,419.95,420.00,419.65,419.65,2599
2026-06-25T10:41:00+05:30,419.65,419.80,419.35,419.35,1729
2026-06-25T10:42:00+05:30,419.35,419.60,419.35,419.55,1811
2026-06-25T10:43:00+05:30,419.35,419.55,419.35,419.35,1036
2026-06-25T10:44:00+05:30,419.35,419.50,419.25,419.25,2538
2026-06-25T10:45:00+05:30,419.50,419.80,419.50,419.80,1405
2026-06-25T10:46:00+05:30,419.80,419.80,419.65,419.70,3687
2026-06-25T10:47:00+05:30,419.50,419.70,419.50,419.70,497
2026-06-25T10:48:00+05:30,419.50,419.70,419.50,419.50,293
2026-06-25T10:49:00+05:30,419.50,419.75,419.50,419.75,889
2026-06-25T10:50:00+05:30,419.70,419.95,419.55,419.95,1364
2026-06-25T10:51:00+05:30,420.00,420.00,419.70,419.90,1025
2026-06-25T10:52:00+05:30,419.65,419.85,419.50,419.50,2499
2026-06-25T10:53:00+05:30,419.55,419.80,419.55,419.80,342
2026-06-25T10:54:00+05:30,419.80,419.80,419.50,419.60,320
2026-06-25T10:55:00+05:30,419.50,419.65,419.50,419.50,1184
2026-06-25T10:56:00+05:30,419.50,420.60,419.50,420.60,17328
2026-06-25T10:57:00+05:30,420.45,420.45,420.20,420.35,1463
2026-06-25T10:58:00+05:30,420.20,420.35,420.20,420.35,236
2026-06-25T10:59:00+05:30,420.20,420.60,420.20,420.45,1671
2026-06-25T11:00:00+05:30,420.40,420.45,420.15,420.15,5299
2026-06-25T11:01:00+05:30,420.00,420.20,420.00,420.20,451
2026-06-25T11:02:00+05:30,420.05,420.20,420.00,420.00,1636
2026-06-25T11:03:00+05:30,420.20,420.20,420.00,420.20,0
2026-06-25T11:04:00+05:30,420.05,420.25,420.05,420.25,2284
2026-06-25T11:05:00+05:30,420.25,420.45,420.20,420.40,1161
2026-06-25T11:06:00+05:30,420.20,420.40,420.10,420.35,1000
2026-06-25T11:07:00+05:30,420.10,420.25,420.00,420.00,8160
2026-06-25T11:08:00+05:30,420.25,420.25,420.00,420.10,272
2026-06-25T11:09:00+05:30,420.10,420.25,420.00,420.20,133
2026-06-25T11:10:00+05:30,420.20,420.20,420.00,420.00,1330
2026-06-25T11:11:00+05:30,420.00,420.15,420.00,420.00,568
2026-06-25T11:12:00+05:30,420.00,420.15,420.00,420.00,63
2026-06-25T11:13:00+05:30,420.00,420.15,420.00,420.05,1145
2026-06-25T11:14:00+05:30,420.05,420.65,420.00,420.60,6882
2026-06-25T11:15:00+05:30,420.45,420.55,420.40,420.55,177
2026-06-25T11:16:00+05:30,420.40,420.65,420.40,420.55,2719
2026-06-25T11:17:00+05:30,420.55,420.65,420.55,420.60,2741
2026-06-25T11:18:00+05:30,420.40,420.65,420.40,420.40,4977
2026-06-25T11:19:00+05:30,420.40,420.40,419.75,419.75,7666
2026-06-25T11:20:00+05:30,420.00,420.00,419.75,419.80,1925
2026-06-25T11:21:00+05:30,419.90,419.90,419.50,419.60,700
2026-06-25T11:22:00+05:30,419.50,419.60,419.50,419.50,1684
2026-06-25T11:23:00+05:30,419.35,419.50,419.20,419.30,622
2026-06-25T11:24:00+05:30,419.30,419.50,419.25,419.50,274
2026-06-25T11:25:00+05:30,419.40,419.80,419.40,419.70,3900
2026-06-25T11:26:00+05:30,419.70,419.80,419.60,419.60,462
2026-06-25T11:27:00+05:30,419.60,419.80,419.60,419.60,565
2026-06-25T11:28:00+05:30,419.60,419.65,419.40,419.60,1398
2026-06-25T11:29:00+05:30,419.35,419.40,419.35,419.40,0
2026-06-25T11:30:00+05:30,419.50,419.75,419.35,419.60,5120
2026-06-25T11:31:00+05:30,419.65,419.65,419.45,419.45,768
2026-06-25T11:32:00+05:30,419.65,419.65,419.40,419.45,215
2026-06-25T11:33:00+05:30,419.45,419.45,419.45,419.45,444
2026-06-25T11:34:00+05:30,419.45,419.60,419.45,419.45,106
2026-06-25T11:35:00+05:30,419.60,419.60,419.35,419.40,12924
2026-06-25T11:36:00+05:30,419.35,419.40,419.25,419.40,256
2026-06-25T11:37:00+05:30,419.25,419.40,419.25,419.40,1826
2026-06-25T11:38:00+05:30,419.45,420.00,419.45,420.00,2391
2026-06-25T11:39:00+05:30,419.80,420.00,419.80,419.95,1401
2026-06-25T11:40:00+05:30,419.95,419.95,419.75,419.90,0
2026-06-25T11:41:00+05:30,419.65,419.65,418.30,418.55,101697
2026-06-25T11:42:00+05:30,418.45,419.00,418.40,418.75,16484
2026-06-25T11:43:00+05:30,418.80,418.80,418.50,418.55,1769
2026-06-25T11:44:00+05:30,418.55,418.60,418.50,418.50,2966
2026-06-25T11:45:00+05:30,418.50,418.50,418.00,418.40,14106
2026-06-25T11:46:00+05:30,418.25,418.35,418.20,418.20,469
2026-06-25T11:47:00+05:30,418.10,418.40,418.10,418.40,961
2026-06-25T11:48:00+05:30,418.40,418.50,418.40,418.40,136
2026-06-25T11:49:00+05:30,418.40,418.60,418.40,418.45,1906
2026-06-25T11:50:00+05:30,418.40,418.55,418.25,418.25,1721
2026-06-25T11:51:00+05:30,418.25,418.35,418.25,418.35,1366
