ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,40650.00,40730.00,40650.00,40655.00,0
2026-06-25T09:16:00+05:30,40670.00,40700.00,40630.00,40635.00,279
2026-06-25T09:17:00+05:30,40605.00,40790.00,40605.00,40770.00,287
2026-06-25T09:18:00+05:30,40805.00,40900.00,40795.00,40795.00,470
2026-06-25T09:19:00+05:30,40795.00,40905.00,40795.00,40905.00,331
2026-06-25T09:20:00+05:30,40920.00,41000.00,40875.00,41000.00,872
2026-06-25T09:21:00+05:30,41000.00,41000.00,40945.00,40965.00,563
2026-06-25T09:22:00+05:30,40965.00,41010.00,40955.00,40955.00,356
2026-06-25T09:23:00+05:30,40940.00,40980.00,40920.00,40955.00,301
2026-06-25T09:24:00+05:30,40940.00,40955.00,40935.00,40935.00,183
2026-06-25T09:25:00+05:30,40860.00,40885.00,40860.00,40860.00,204
2026-06-25T09:26:00+05:30,40850.00,40895.00,40845.00,40860.00,146
2026-06-25T09:27:00+05:30,40890.00,40890.00,40835.00,40840.00,133
2026-06-25T09:28:00+05:30,40860.00,40870.00,40830.00,40870.00,170
2026-06-25T09:29:00+05:30,40870.00,40940.00,40870.00,40940.00,147
2026-06-25T09:30:00+05:30,40950.00,41105.00,40950.00,41095.00,602
2026-06-25T09:31:00+05:30,41085.00,41090.00,41025.00,41055.00,272
2026-06-25T09:32:00+05:30,41035.00,41035.00,41015.00,41020.00,113
2026-06-25T09:33:00+05:30,41025.00,41045.00,41020.00,41025.00,113
2026-06-25T09:34:00+05:30,41025.00,41050.00,41020.00,41020.00,71
2026-06-25T09:35:00+05:30,41020.00,41035.00,41020.00,41020.00,36
2026-06-25T09:36:00+05:30,41010.00,41010.00,40950.00,40955.00,394
2026-06-25T09:37:00+05:30,40950.00,41025.00,40950.00,41000.00,257
2026-06-25T09:38:00+05:30,41000.00,41015.00,40985.00,41000.00,77
2026-06-25T09:39:00+05:30,40975.00,40975.00,40960.00,40960.00,7
2026-06-25T09:40:00+05:30,40975.00,41020.00,40975.00,41000.00,150
2026-06-25T09:41:00+05:30,40985.00,41000.00,40970.00,41000.00,135
2026-06-25T09:42:00+05:30,41030.00,41040.00,40995.00,41025.00,74
2026-06-25T09:43:00+05:30,41050.00,41050.00,41015.00,41015.00,90
2026-06-25T09:44:00+05:30,41020.00,41040.00,41005.00,41035.00,51
2026-06-25T09:45:00+05:30,41005.00,41020.00,41005.00,41020.00,25
2026-06-25T09:46:00+05:30,41020.00,41025.00,41020.00,41025.00,39
2026-06-25T09:47:00+05:30,41010.00,41010.00,41010.00,41010.00,10
2026-06-25T09:48:00+05:30,41005.00,41005.00,41000.00,41000.00,0
2026-06-25T09:49:00+05:30,41000.00,41035.00,40990.00,41035.00,99
2026-06-25T09:50:00+05:30,41030.00,41040.00,41010.00,41015.00,67
2026-06-25T09:51:00+05:30,41010.00,41040.00,41000.00,41000.00,61
2026-06-25T09:52:00+05:30,41025.00,41025.00,41000.00,41015.00,16
2026-06-25T09:53:00+05:30,41000.00,41000.00,40945.00,40945.00,118
2026-06-25T09:54:00+05:30,40945.00,40965.00,40940.00,40965.00,91
2026-06-25T09:55:00+05:30,40985.00,41000.00,40985.00,40990.00,43
2026-06-25T09:56:00+05:30,40965.00,40985.00,40965.00,40965.00,14
2026-06-25T09:57:00+05:30,40965.00,40985.00,40965.00,40965.00,12
2026-06-25T09:58:00+05:30,40965.00,40985.00,40960.00,40960.00,51
2026-06-25T09:59:00+05:30,40960.00,40970.00,40945.00,40945.00,66
2026-06-25T10:00:00+05:30,40970.00,40990.00,40965.00,40965.00,72
2026-06-25T10:01:00+05:30,40960.00,40985.00,40960.00,40970.00,57
2026-06-25T10:02:00+05:30,40950.00,40970.00,40950.00,40950.00,12
2026-06-25T10:03:00+05:30,40950.00,40955.00,40900.00,40900.00,90
2026-06-25T10:04:00+05:30,40880.00,40940.00,40880.00,40935.00,162
2026-06-25T10:05:00+05:30,40935.00,40945.00,40930.00,40935.00,81
2026-06-25T10:06:00+05:30,40910.00,40920.00,40895.00,40920.00,18
2026-06-25T10:07:00+05:30,40895.00,40915.00,40895.00,40915.00,43
2026-06-25T10:08:00+05:30,40950.00,41000.00,40950.00,40970.00,396
2026-06-25T10:09:00+05:30,40980.00,41105.00,40980.00,41105.00,400
2026-06-25T10:10:00+05:30,41120.00,41120.00,41070.00,41110.00,471
2026-06-25T10:11:00+05:30,41130.00,41130.00,41065.00,41065.00,402
2026-06-25T10:12:00+05:30,41065.00,41115.00,41065.00,41065.00,110
2026-06-25T10:13:00+05:30,41065.00,41075.00,41055.00,41055.00,39
2026-06-25T10:14:00+05:30,41070.00,41080.00,41065.00,41065.00,8
2026-06-25T10:15:00+05:30,41065.00,41095.00,41060.00,41095.00,57
2026-06-25T10:16:00+05:30,41080.00,41100.00,41080.00,41090.00,64
2026-06-25T10:17:00+05:30,41090.00,41095.00,41080.00,41080.00,87
2026-06-25T10:18:00+05:30,41050.00,41075.00,41050.00,41055.00,128
2026-06-25T10:19:00+05:30,41060.00,41085.00,41060.00,41080.00,64
2026-06-25T10:20:00+05:30,41080.00,41080.00,41080.00,41080.00,7
2026-06-25T10:21:00+05:30,41065.00,41080.00,41065.00,41080.00,43
2026-06-25T10:22:00+05:30,41070.00,41115.00,41070.00,41100.00,288
2026-06-25T10:23:00+05:30,41100.00,41225.00,41090.00,41190.00,914
2026-06-25T10:24:00+05:30,41180.00,41180.00,41150.00,41175.00,55
2026-06-25T10:25:00+05:30,41155.00,41175.00,41155.00,41160.00,42
2026-06-25T10:26:00+05:30,41160.00,41190.00,41160.00,41175.00,57
2026-06-25T10:27:00+05:30,41175.00,41190.00,41175.00,41190.00,86
2026-06-25T10:28:00+05:30,41200.00,41225.00,41190.00,41210.00,224
2026-06-25T10:29:00+05:30,41225.00,41370.00,41225.00,41340.00,1116
2026-06-25T10:30:00+05:30,41355.00,41375.00,41320.00,41365.00,181
2026-06-25T10:31:00+05:30,41360.00,41360.00,41300.00,41305.00,111
2026-06-25T10:32:00+05:30,41320.00,41320.00,41295.00,41305.00,51
2026-06-25T10:33:00+05:30,41290.00,41300.00,41265.00,41265.00,70
2026-06-25T10:34:00+05:30,41280.00,41280.00,41265.00,41265.00,125
2026-06-25T10:35:00+05:30,41270.00,41305.00,41270.00,41280.00,118
2026-06-25T10:36:00+05:30,41265.00,41300.00,41265.00,41265.00,222
2026-06-25T10:37:00+05:30,41280.00,41295.00,41260.00,41275.00,98
2026-06-25T10:38:00+05:30,41235.00,41240.00,41190.00,41195.00,206
2026-06-25T10:39:00+05:30,41200.00,41240.00,41200.00,41235.00,73
2026-06-25T10:40:00+05:30,41220.00,41235.00,41200.00,41215.00,60
2026-06-25T10:41:00+05:30,41220.00,41245.00,41220.00,41245.00,42
2026-06-25T10:42:00+05:30,41245.00,41245.00,41205.00,41205.00,21
2026-06-25T10:43:00+05:30,41205.00,41215.00,41205.00,41215.00,44
2026-06-25T10:44:00+05:30,41200.00,41215.00,41190.00,41215.00,78
2026-06-25T10:45:00+05:30,41200.00,41200.00,41200.00,41200.00,1
2026-06-25T10:46:00+05:30,41220.00,41220.00,41200.00,41200.00,48
2026-06-25T10:47:00+05:30,41200.00,41220.00,41200.00,41200.00,37
2026-06-25T10:48:00+05:30,41200.00,41210.00,41200.00,41210.00,31
2026-06-25T10:49:00+05:30,41210.00,41210.00,41190.00,41210.00,22
2026-06-25T10:50:00+05:30,41215.00,41215.00,41200.00,41215.00,82
2026-06-25T10:51:00+05:30,41200.00,41240.00,41200.00,41225.00,95
2026-06-25T10:52:00+05:30,41225.00,41230.00,41210.00,41220.00,26
2026-06-25T10:53:00+05:30,41200.00,41220.00,41200.00,41205.00,25
2026-06-25T10:54:00+05:30,41205.00,41205.00,41205.00,41205.00,3
2026-06-25T10:55:00+05:30,41200.00,41220.00,41200.00,41200.00,14
2026-06-25T10:56:00+05:30,41200.00,41200.00,41185.00,41185.00,38
2026-06-25T10:57:00+05:30,41190.00,41190.00,41180.00,41185.00,37
2026-06-25T10:58:00+05:30,41170.00,41170.00,41160.00,41170.00,43
2026-06-25T10:59:00+05:30,41170.00,41175.00,41170.00,41170.00,16
2026-06-25T11:00:00+05:30,41170.00,41175.00,41170.00,41170.00,5
2026-06-25T11:01:00+05:30,41175.00,41175.00,41175.00,41175.00,20
2026-06-25T11:02:00+05:30,41170.00,41180.00,41170.00,41170.00,38
2026-06-25T11:03:00+05:30,41170.00,41170.00,41085.00,41110.00,218
2026-06-25T11:04:00+05:30,41085.00,41120.00,41070.00,41120.00,128
2026-06-25T11:05:00+05:30,41120.00,41160.00,41120.00,41160.00,10
2026-06-25T11:06:00+05:30,41155.00,41155.00,41140.00,41155.00,12
2026-06-25T11:07:00+05:30,41150.00,41150.00,41120.00,41120.00,9
2026-06-25T11:08:00+05:30,41120.00,41125.00,41100.00,41120.00,29
2026-06-25T11:09:00+05:30,41100.00,41110.00,41085.00,41095.00,28
2026-06-25T11:10:00+05:30,41100.00,41100.00,41090.00,41090.00,24
2026-06-25T11:11:00+05:30,41090.00,41105.00,41075.00,41085.00,65
2026-06-25T11:12:00+05:30,41095.00,41100.00,41095.00,41095.00,12
2026-06-25T11:13:00+05:30,41090.00,41095.00,41085.00,41085.00,27
2026-06-25T11:14:00+05:30,41075.00,41085.00,41075.00,41085.00,21
2026-06-25T11:15:00+05:30,41075.00,41085.00,41025.00,41040.00,221
2026-06-25T11:16:00+05:30,41040.00,41060.00,41040.00,41040.00,33
2026-06-25T11:17:00+05:30,41025.00,41040.00,41000.00,41020.00,153
2026-06-25T11:18:00+05:30,41015.00,41115.00,40995.00,41115.00,298
2026-06-25T11:19:00+05:30,41105.00,41150.00,41100.00,41100.00,146
2026-06-25T11:20:00+05:30,41120.00,41145.00,41100.00,41130.00,305
2026-06-25T11:21:00+05:30,41130.00,41155.00,41130.00,41155.00,51
2026-06-25T11:22:00+05:30,41155.00,41175.00,41150.00,41160.00,59
2026-06-25T11:23:00+05:30,41160.00,41175.00,41150.00,41150.00,18
2026-06-25T11:24:00+05:30,41165.00,41170.00,41150.00,41150.00,37
2026-06-25T11:25:00+05:30,41155.00,41170.00,41150.00,41160.00,149
2026-06-25T11:26:00+05:30,41160.00,41195.00,41160.00,41195.00,114
2026-06-25T11:27:00+05:30,41180.00,41215.00,41180.00,41210.00,67
2026-06-25T11:28:00+05:30,41210.00,41210.00,41155.00,41175.00,43
2026-06-25T11:29:00+05:30,41155.00,41175.00,41150.00,41170.00,50
2026-06-25T11:30:00+05:30,41155.00,41170.00,41150.00,41150.00,26
2026-06-25T11:31:00+05:30,41150.00,41170.00,41150.00,41150.00,34
2026-06-25T11:32:00+05:30,41150.00,41155.00,41115.00,41140.00,72
2026-06-25T11:33:00+05:30,41135.00,41135.00,41085.00,41085.00,40
2026-06-25T11:34:00+05:30,41100.00,41105.00,41085.00,41105.00,18
2026-06-25T11:35:00+05:30,41090.00,41090.00,41080.00,41080.00,21
2026-06-25T11:36:00+05:30,41080.00,41090.00,41080.00,41080.00,8
2026-06-25T11:37:00+05:30,41070.00,41080.00,41065.00,41065.00,28
2026-06-25T11:38:00+05:30,41075.00,41115.00,41065.00,41115.00,74
2026-06-25T11:39:00+05:30,41110.00,41115.00,41085.00,41115.00,31
2026-06-25T11:40:00+05:30,41095.00,41115.00,41085.00,41100.00,16
2026-06-25T11:41:00+05:30,41090.00,41090.00,41090.00,41090.00,4
2026-06-25T11:42:00+05:30,41090.00,41100.00,41090.00,41100.00,16
2026-06-25T11:43:00+05:30,41090.00,41100.00,41090.00,41090.00,24
2026-06-25T11:44:00+05:30,41080.00,41090.00,41080.00,41080.00,28
2026-06-25T11:45:00+05:30,41085.00,41085.00,41010.00,41045.00,117
2026-06-25T11:46:00+05:30,41060.00,41080.00,41060.00,41060.00,39
2026-06-25T11:47:00+05:30,41085.00,41085.00,41065.00,41080.00,5
2026-06-25T11:48:00+05:30,41065.00,41070.00,41065.00,41065.00,37
2026-06-25T11:49:00+05:30,41075.00,41075.00,41065.00,41065.00,7
2026-06-25T11:50:00+05:30,41065.00,41075.00,41065.00,41075.00,51
2026-06-25T11:51:00+05:30,41065.00,41065.00,41065.00,41065.00,11
2026-06-25T11:52:00+05:30,41065.00,41100.00,41065.00,41100.00,95
2026-06-25T11:53:00+05:30,41085.00,41085.00,41065.00,41065.00,11
2026-06-25T11:54:00+05:30,41065.00,41065.00,41015.00,41015.00,63
2026-06-25T11:55:00+05:30,41020.00,41020.00,41020.00,41020.00,5
2026-06-25T11:56:00+05:30,41020.00,41020.00,41020.00,41020.00,15
2026-06-25T11:57:00+05:30,41020.00,41030.00,41020.00,41030.00,28
2026-06-25T11:58:00+05:30,41035.00,41050.00,41035.00,41050.00,15
2026-06-25T11:59:00+05:30,41015.00,41015.00,40980.00,40985.00,227
2026-06-25T12:00:00+05:30,41005.00,41005.00,40990.00,40995.00,8
2026-06-25T12:01:00+05:30,41000.00,41000.00,40975.00,40985.00,18
2026-06-25T12:02:00+05:30,40965.00,40985.00,40965.00,40965.00,153
2026-06-25T12:03:00+05:30,40965.00,40965.00,40965.00,40965.00,0
2026-06-25T12:04:00+05:30,40965.00,40980.00,40965.00,40965.00,8
2026-06-25T12:05:00+05:30,40970.00,40975.00,40965.00,40975.00,45
2026-06-25T12:06:00+05:30,40975.00,40975.00,40925.00,40925.00,141
2026-06-25T12:07:00+05:30,40935.00,40970.00,40935.00,40950.00,104
2026-06-25T12:08:00+05:30,40950.00,40965.00,40940.00,40950.00,15
2026-06-25T12:09:00+05:30,40950.00,40965.00,40940.00,40965.00,62
2026-06-25T12:10:00+05:30,40965.00,40965.00,40915.00,40940.00,389
2026-06-25T12:11:00+05:30,40950.00,40950.00,40915.00,40930.00,766
2026-06-25T12:12:00+05:30,40930.00,40950.00,40905.00,40910.00,477
2026-06-25T12:13:00+05:30,40910.00,40920.00,40885.00,40890.00,530
2026-06-25T12:14:00+05:30,40885.00,40900.00,40880.00,40900.00,63
2026-06-25T12:15:00+05:30,40880.00,40900.00,40880.00,40885.00,77
2026-06-25T12:16:00+05:30,40900.00,40900.00,40885.00,40885.00,53
2026-06-25T12:17:00+05:30,40900.00,40900.00,40885.00,40890.00,26
2026-06-25T12:18:00+05:30,40890.00,40905.00,40890.00,40900.00,77
2026-06-25T12:19:00+05:30,40885.00,40900.00,40880.00,40880.00,38
2026-06-25T12:20:00+05:30,40870.00,40870.00,40865.00,40865.00,68
2026-06-25T12:21:00+05:30,40865.00,40875.00,40865.00,40875.00,41
2026-06-25T12:22:00+05:30,40870.00,40895.00,40870.00,40890.00,27
2026-06-25T12:23:00+05:30,40870.00,40900.00,40870.00,40875.00,58
2026-06-25T12:24:00+05:30,40875.00,40910.00,40875.00,40905.00,73
2026-06-25T12:25:00+05:30,40885.00,40900.00,40880.00,40900.00,21
2026-06-25T12:26:00+05:30,40875.00,40885.00,40860.00,40875.00,209
2026-06-25T12:27:00+05:30,40880.00,40880.00,40860.00,40860.00,24
2026-06-25T12:28:00+05:30,40855.00,40865.00,40830.00,40830.00,203
2026-06-25T12:29:00+05:30,40835.00,40840.00,40835.00,40840.00,26
2026-06-25T12:30:00+05:30,40840.00,40840.00,40840.00,40840.00,10
2026-06-25T12:31:00+05:30,40825.00,40825.00,40815.00,40815.00,18
2026-06-25T12:32:00+05:30,40815.00,40830.00,40815.00,40825.00,30
2026-06-25T12:33:00+05:30,40825.00,40825.00,40810.00,40810.00,25
2026-06-25T12:34:00+05:30,40825.00,40825.00,40770.00,40780.00,189
2026-06-25T12:35:00+05:30,40785.00,40785.00,40770.00,40770.00,3
2026-06-25T12:36:00+05:30,40770.00,40785.00,40770.00,40785.00,8
2026-06-25T12:37:00+05:30,40785.00,40785.00,40770.00,40780.00,27
2026-06-25T12:38:00+05:30,40780.00,40780.00,40770.00,40780.00,12
2026-06-25T12:39:00+05:30,40790.00,40795.00,40720.00,40720.00,401
2026-06-25T12:40:00+05:30,40740.00,40740.00,40705.00,40720.00,77
2026-06-25T12:41:00+05:30,40725.00,40725.00,40705.00,40705.00,16
2026-06-25T12:42:00+05:30,40700.00,40760.00,40700.00,40725.00,179
2026-06-25T12:43:00+05:30,40755.00,40755.00,40740.00,40740.00,73
2026-06-25T12:44:00+05:30,40730.00,40735.00,40725.00,40725.00,26
2026-06-25T12:45:00+05:30,40725.00,40725.00,40710.00,40710.00,26
2026-06-25T12:46:00+05:30,40715.00,40735.00,40700.00,40735.00,64
2026-06-25T12:47:00+05:30,40700.00,40700.00,40640.00,40640.00,100
2026-06-25T12:48:00+05:30,40665.00,40665.00,40640.00,40655.00,12
2026-06-25T12:49:00+05:30,40640.00,40745.00,40640.00,40745.00,235
2026-06-25T12:50:00+05:30,40730.00,40735.00,40720.00,40735.00,19
2026-06-25T12:51:00+05:30,40720.00,40745.00,40720.00,40745.00,89
2026-06-25T12:52:00+05:30,40750.00,40755.00,40735.00,40735.00,26
2026-06-25T12:53:00+05:30,40735.00,40750.00,40735.00,40745.00,16
2026-06-25T12:54:00+05:30,40735.00,40750.00,40735.00,40750.00,66
2026-06-25T12:55:00+05:30,40735.00,40750.00,40730.00,40730.00,46
2026-06-25T12:56:00+05:30,40730.00,40730.00,40730.00,40730.00,1
2026-06-25T12:57:00+05:30,40750.00,40750.00,40730.00,40730.00,23
2026-06-25T12:58:00+05:30,40730.00,40750.00,40730.00,40735.00,18
2026-06-25T12:59:00+05:30,40730.00,40740.00,40720.00,40740.00,48
2026-06-25T13:00:00+05:30,40740.00,40740.00,40715.00,40725.00,52
2026-06-25T13:01:00+05:30,40725.00,40730.00,40705.00,40730.00,100
2026-06-25T13:02:00+05:30,40725.00,40725.00,40700.00,40720.00,236
2026-06-25T13:03:00+05:30,40725.00,40730.00,40705.00,40730.00,38
2026-06-25T13:04:00+05:30,40710.00,40730.00,40710.00,40730.00,2
2026-06-25T13:05:00+05:30,40725.00,40725.00,40710.00,40710.00,32
2026-06-25T13:06:00+05:30,40710.00,40710.00,40700.00,40700.00,20
2026-06-25T13:07:00+05:30,40705.00,40725.00,40700.00,40705.00,55
2026-06-25T13:08:00+05:30,40720.00,40720.00,40720.00,40720.00,3
2026-06-25T13:09:00+05:30,40710.00,40725.00,40710.00,40725.00,32
2026-06-25T13:10:00+05:30,40725.00,40725.00,40710.00,40710.00,7
2026-06-25T13:11:00+05:30,40725.00,40730.00,40705.00,40705.00,40
2026-06-25T13:12:00+05:30,40705.00,40705.00,40705.00,40705.00,2
2026-06-25T13:13:00+05:30,40720.00,40720.00,40700.00,40700.00,40
2026-06-25T13:14:00+05:30,40705.00,40715.00,40700.00,40700.00,62
2026-06-25T13:15:00+05:30,40705.00,40705.00,40705.00,40705.00,1
2026-06-25T13:16:00+05:30,40715.00,40715.00,40715.00,40715.00,3
2026-06-25T13:17:00+05:30,40715.00,40725.00,40715.00,40720.00,60
2026-06-25T13:18:00+05:30,40720.00,40735.00,40720.00,40735.00,179
2026-06-25T13:19:00+05:30,40720.00,40735.00,40720.00,40735.00,72
2026-06-25T13:20:00+05:30,40720.00,40740.00,40720.00,40740.00,73
2026-06-25T13:21:00+05:30,40740.00,40740.00,40720.00,40720.00,45
2026-06-25T13:22:00+05:30,40715.00,40715.00,40705.00,40705.00,25
2026-06-25T13:23:00+05:30,40705.00,40715.00,40705.00,40715.00,31
2026-06-25T13:24:00+05:30,40710.00,40715.00,40710.00,40715.00,3
2026-06-25T13:25:00+05:30,40705.00,40715.00,40705.00,40715.00,3
2026-06-25T13:26:00+05:30,40705.00,40705.00,40705.00,40705.00,15
2026-06-25T13:27:00+05:30,40705.00,40705.00,40700.00,40700.00,40
2026-06-25T13:28:00+05:30,40705.00,40725.00,40705.00,40720.00,69
2026-06-25T13:29:00+05:30,40710.00,40725.00,40705.00,40725.00,97
2026-06-25T13:30:00+05:30,40725.00,40725.00,40725.00,40725.00,19
2026-06-25T13:31:00+05:30,40720.00,40730.00,40705.00,40730.00,56
2026-06-25T13:32:00+05:30,40720.00,40720.00,40705.00,40705.00,18
2026-06-25T13:33:00+05:30,40705.00,40710.00,40705.00,40710.00,8
2026-06-25T13:34:00+05:30,40720.00,40720.00,40710.00,40710.00,23
2026-06-25T13:35:00+05:30,40710.00,40730.00,40705.00,40730.00,171
2026-06-25T13:36:00+05:30,40730.00,40735.00,40715.00,40735.00,38
2026-06-25T13:37:00+05:30,40735.00,40735.00,40720.00,40720.00,4
