ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,131.05,131.05,130.55,131.00,0
2026-06-25T09:16:00+05:30,130.85,130.85,130.50,130.55,140686
2026-06-25T09:17:00+05:30,130.25,130.25,130.00,130.05,288490
2026-06-25T09:18:00+05:30,130.00,130.35,130.00,130.35,170642
2026-06-25T09:19:00+05:30,130.30,130.30,130.20,130.20,104015
2026-06-25T09:20:00+05:30,130.20,130.20,130.10,130.10,83843
2026-06-25T09:21:00+05:30,130.10,130.15,130.10,130.10,89087
2026-06-25T09:22:00+05:30,130.15,130.15,130.10,130.10,45808
2026-06-25T09:23:00+05:30,130.10,130.15,129.80,129.80,156223
2026-06-25T09:24:00+05:30,129.70,129.70,129.55,129.60,198327
2026-06-25T09:25:00+05:30,129.60,129.60,129.40,129.40,255326
2026-06-25T09:26:00+05:30,129.30,129.35,129.15,129.30,202831
2026-06-25T09:27:00+05:30,129.30,129.45,129.30,129.40,51595
2026-06-25T09:28:00+05:30,129.50,129.50,129.35,129.40,190055
2026-06-25T09:29:00+05:30,129.35,129.45,129.30,129.35,122723
2026-06-25T09:30:00+05:30,129.30,129.45,129.30,129.40,79679
2026-06-25T09:31:00+05:30,129.40,129.50,129.40,129.40,81163
2026-06-25T09:32:00+05:30,129.40,129.70,129.40,129.70,65735
2026-06-25T09:33:00+05:30,129.75,129.75,129.35,129.35,236929
2026-06-25T09:34:00+05:30,129.40,129.45,129.40,129.45,61182
2026-06-25T09:35:00+05:30,129.45,129.45,129.40,129.45,47777
2026-06-25T09:36:00+05:30,129.75,129.95,129.75,129.90,925000
2026-06-25T09:37:00+05:30,130.00,130.15,130.00,130.00,739520
2026-06-25T09:38:00+05:30,130.00,130.10,129.85,130.05,74780
2026-06-25T09:39:00+05:30,130.05,130.05,130.00,130.00,31298
2026-06-25T09:40:00+05:30,130.00,130.05,129.85,130.05,147866
2026-06-25T09:41:00+05:30,130.10,130.20,130.05,130.10,70265
2026-06-25T09:42:00+05:30,130.05,130.10,130.05,130.10,41263
2026-06-25T09:43:00+05:30,130.10,130.20,130.05,130.20,86275
2026-06-25T09:44:00+05:30,130.25,130.25,130.10,130.20,69074
2026-06-25T09:45:00+05:30,130.25,130.25,130.15,130.25,52476
2026-06-25T09:46:00+05:30,130.20,130.35,130.20,130.35,32301
2026-06-25T09:47:00+05:30,130.30,130.40,130.30,130.30,45716
2026-06-25T09:48:00+05:30,130.30,130.35,130.10,130.10,114564
2026-06-25T09:49:00+05:30,130.10,130.25,130.10,130.25,41723
2026-06-25T09:50:00+05:30,130.25,130.25,130.25,130.25,68487
2026-06-25T09:51:00+05:30,130.25,130.25,130.25,130.25,72136
2026-06-25T09:52:00+05:30,130.25,130.45,130.25,130.25,159282
2026-06-25T09:53:00+05:30,130.30,130.30,130.20,130.25,73778
2026-06-25T09:54:00+05:30,130.20,130.25,130.20,130.25,51005
2026-06-25T09:55:00+05:30,130.00,130.05,129.90,130.00,649210
2026-06-25T09:56:00+05:30,129.95,130.00,129.80,130.00,66989
2026-06-25T09:57:00+05:30,130.05,130.10,129.90,129.95,62781
2026-06-25T09:58:00+05:30,129.90,130.00,129.90,129.90,30874
2026-06-25T09:59:00+05:30,129.90,129.90,129.85,129.85,22755
2026-06-25T10:00:00+05:30,129.80,129.80,129.80,129.80,147664
2026-06-25T10:01:00+05:30,129.80,129.85,129.80,129.80,246772
2026-06-25T10:02:00+05:30,129.75,129.75,129.65,129.70,194785
2026-06-25T10:03:00+05:30,129.70,129.70,129.55,129.55,31384
2026-06-25T10:04:00+05:30,129.55,129.60,129.55,129.55,63557
2026-06-25T10:05:00+05:30,129.55,129.60,129.50,129.50,364714
2026-06-25T10:06:00+05:30,129.45,129.50,129.45,129.50,57677
2026-06-25T10:07:00+05:30,129.50,129.50,129.45,129.50,17551
2026-06-25T10:08:00+05:30,129.40,129.50,129.40,129.45,59198
2026-06-25T10:09:00+05:30,129.50,129.65,129.50,129.65,31436
2026-06-25T10:10:00+05:30,129.70,129.70,129.60,129.60,24140
2026-06-25T10:11:00+05:30,129.60,129.60,129.55,129.55,20680
2026-06-25T10:12:00+05:30,129.55,129.60,129.55,129.55,12652
2026-06-25T10:13:00+05:30,129.55,129.65,129.55,129.65,54642
2026-06-25T10:14:00+05:30,129.65,129.75,129.65,129.75,36212
2026-06-25T10:15:00+05:30,129.70,129.75,129.65,129.70,30334
2026-06-25T10:16:00+05:30,129.65,129.75,129.65,129.70,13719
2026-06-25T10:17:00+05:30,129.70,129.75,129.65,129.70,22254
2026-06-25T10:18:00+05:30,129.65,129.70,129.60,129.70,27773
2026-06-25T10:19:00+05:30,129.65,129.80,129.65,129.80,17182
2026-06-25T10:20:00+05:30,129.70,129.75,129.70,129.75,18061
2026-06-25T10:21:00+05:30,129.70,129.80,129.70,129.80,10029
2026-06-25T10:22:00+05:30,129.75,129.75,129.60,129.60,36894
2026-06-25T10:23:00+05:30,129.65,129.65,129.60,129.60,21743
2026-06-25T10:24:00+05:30,129.65,129.65,129.60,129.60,14633
2026-06-25T10:25:00+05:30,129.65,129.65,129.60,129.60,7878
2026-06-25T10:26:00+05:30,129.55,129.60,129.55,129.55,32067
2026-06-25T10:27:00+05:30,129.55,129.60,129.50,129.50,22177
2026-06-25T10:28:00+05:30,129.50,129.55,129.50,129.50,35796
2026-06-25T10:29:00+05:30,129.45,129.50,129.45,129.50,24556
2026-06-25T10:30:00+05:30,129.50,129.55,129.50,129.50,10612
2026-06-25T10:31:00+05:30,129.55,129.60,129.50,129.55,25018
2026-06-25T10:32:00+05:30,129.55,129.60,129.55,129.60,24844
2026-06-25T10:33:00+05:30,129.60,129.60,129.50,129.50,26724
2026-06-25T10:34:00+05:30,129.50,129.65,129.50,129.65,15746
2026-06-25T10:35:00+05:30,129.60,129.65,129.55,129.55,18238
2026-06-25T10:36:00+05:30,129.55,129.60,129.55,129.55,23146
2026-06-25T10:37:00+05:30,129.55,129.60,129.55,129.55,8507
2026-06-25T10:38:00+05:30,129.55,129.55,129.55,129.55,16347
2026-06-25T10:39:00+05:30,129.55,129.60,129.55,129.60,17615
2026-06-25T10:40:00+05:30,129.55,129.60,129.55,129.60,13456
2026-06-25T10:41:00+05:30,129.65,129.70,129.60,129.60,17903
2026-06-25T10:42:00+05:30,129.75,129.75,129.65,129.70,30894
2026-06-25T10:43:00+05:30,129.65,129.65,129.60,129.65,10274
2026-06-25T10:44:00+05:30,129.60,129.70,129.60,129.70,12757
2026-06-25T10:45:00+05:30,129.70,129.70,129.65,129.65,13059
2026-06-25T10:46:00+05:30,129.65,129.70,129.65,129.70,17148
2026-06-25T10:47:00+05:30,129.75,129.80,129.75,129.80,19789
2026-06-25T10:48:00+05:30,129.80,129.85,129.80,129.85,22440
2026-06-25T10:49:00+05:30,129.80,129.85,129.80,129.80,15420
2026-06-25T10:50:00+05:30,129.80,129.80,129.75,129.75,22895
2026-06-25T10:51:00+05:30,129.80,129.80,129.70,129.80,23251
2026-06-25T10:52:00+05:30,129.75,129.75,129.70,129.70,9235
2026-06-25T10:53:00+05:30,129.75,129.75,129.60,129.60,11083
2026-06-25T10:54:00+05:30,129.60,129.60,129.50,129.50,42952
2026-06-25T10:55:00+05:30,129.55,129.65,129.55,129.60,35760
2026-06-25T10:56:00+05:30,129.60,129.60,129.60,129.60,19798
2026-06-25T10:57:00+05:30,129.60,129.65,129.55,129.60,10018
2026-06-25T10:58:00+05:30,129.60,129.70,129.60,129.70,12742
2026-06-25T10:59:00+05:30,129.65,129.70,129.60,129.70,7848
2026-06-25T11:00:00+05:30,129.70,129.70,129.60,129.60,16632
2026-06-25T11:01:00+05:30,129.60,129.60,129.55,129.55,8597
2026-06-25T11:02:00+05:30,129.55,129.75,129.55,129.65,11896
2026-06-25T11:03:00+05:30,129.70,129.75,129.70,129.75,9587
2026-06-25T11:04:00+05:30,129.75,129.80,129.70,129.75,17782
2026-06-25T11:05:00+05:30,129.85,129.85,129.75,129.80,18634
2026-06-25T11:06:00+05:30,129.75,129.75,129.70,129.75,8270
2026-06-25T11:07:00+05:30,129.80,129.85,129.80,129.80,23540
2026-06-25T11:08:00+05:30,129.75,129.80,129.75,129.80,6531
2026-06-25T11:09:00+05:30,129.75,129.75,129.75,129.75,9900
2026-06-25T11:10:00+05:30,129.75,129.75,129.75,129.75,18261
2026-06-25T11:11:00+05:30,129.75,129.75,129.70,129.75,7327
2026-06-25T11:12:00+05:30,129.70,129.75,129.70,129.70,18085
2026-06-25T11:13:00+05:30,129.70,129.85,129.70,129.80,21741
2026-06-25T11:14:00+05:30,129.80,129.85,129.80,129.80,19560
2026-06-25T11:15:00+05:30,129.85,129.85,129.75,129.85,29500
2026-06-25T11:16:00+05:30,129.80,129.85,129.75,129.75,9459
2026-06-25T11:17:00+05:30,129.80,129.80,129.70,129.70,39033
2026-06-25T11:18:00+05:30,129.70,129.75,129.70,129.70,14851
2026-06-25T11:19:00+05:30,129.70,129.75,129.70,129.70,11796
2026-06-25T11:20:00+05:30,129.70,129.70,129.70,129.70,13826
2026-06-25T11:21:00+05:30,129.70,129.75,129.70,129.75,26593
2026-06-25T11:22:00+05:30,129.70,129.75,129.70,129.70,19063
2026-06-25T11:23:00+05:30,129.70,129.70,129.60,129.65,18866
2026-06-25T11:24:00+05:30,129.65,129.70,129.65,129.65,24164
2026-06-25T11:25:00+05:30,129.65,129.70,129.65,129.70,17119
2026-06-25T11:26:00+05:30,129.70,129.75,129.70,129.70,8946
2026-06-25T11:27:00+05:30,129.70,129.75,129.70,129.70,8956
2026-06-25T11:28:00+05:30,129.70,129.70,129.65,129.65,25315
2026-06-25T11:29:00+05:30,129.60,129.65,129.60,129.60,47143
2026-06-25T11:30:00+05:30,129.65,129.65,129.60,129.60,73721
2026-06-25T11:31:00+05:30,129.60,129.70,129.60,129.60,15614
2026-06-25T11:32:00+05:30,129.60,129.60,129.60,129.60,10484
2026-06-25T11:33:00+05:30,129.60,129.60,129.60,129.60,21926
2026-06-25T11:34:00+05:30,129.55,129.80,129.55,129.75,186702
