ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,920.10,927.20,920.10,926.45,0
2026-06-25T09:16:00+05:30,926.45,926.45,924.75,924.75,17844
2026-06-25T09:17:00+05:30,924.75,927.00,924.05,924.50,21910
2026-06-25T09:18:00+05:30,924.70,924.95,923.85,924.95,11669
2026-06-25T09:19:00+05:30,924.60,924.85,923.20,923.90,7455
2026-06-25T09:20:00+05:30,924.50,926.50,924.25,926.50,24257
2026-06-25T09:21:00+05:30,926.50,928.25,926.05,926.55,35583
2026-06-25T09:22:00+05:30,926.00,927.10,925.55,926.80,9321
2026-06-25T09:23:00+05:30,926.75,927.25,926.55,926.95,6945
2026-06-25T09:24:00+05:30,927.05,927.25,926.40,927.05,6592
2026-06-25T09:25:00+05:30,927.15,927.15,926.60,926.70,9133
2026-06-25T09:26:00+05:30,926.40,926.70,925.55,925.55,11364
2026-06-25T09:27:00+05:30,925.30,925.75,925.20,925.20,9238
2026-06-25T09:28:00+05:30,925.10,926.35,925.00,926.10,6340
2026-06-25T09:29:00+05:30,926.10,926.90,926.10,926.90,6282
2026-06-25T09:30:00+05:30,926.85,926.95,926.00,926.25,14419
2026-06-25T09:31:00+05:30,926.00,926.00,924.10,924.10,5896
2026-06-25T09:32:00+05:30,924.10,924.50,923.80,923.80,6356
2026-06-25T09:33:00+05:30,923.80,924.20,923.80,924.20,5392
2026-06-25T09:34:00+05:30,924.80,926.70,924.80,926.45,7098
2026-06-25T09:35:00+05:30,926.10,926.85,926.10,926.85,4873
2026-06-25T09:36:00+05:30,926.55,927.35,926.55,926.80,8356
2026-06-25T09:37:00+05:30,927.20,927.20,926.30,926.30,5664
2026-06-25T09:38:00+05:30,926.00,926.50,926.00,926.45,3603
2026-06-25T09:39:00+05:30,925.65,926.10,925.65,926.00,2849
2026-06-25T09:40:00+05:30,926.00,926.45,925.25,926.45,5083
2026-06-25T09:41:00+05:30,926.45,926.95,926.10,926.10,9870
2026-06-25T09:42:00+05:30,926.35,926.85,926.10,926.85,2974
2026-06-25T09:43:00+05:30,926.85,927.15,926.25,926.25,4920
2026-06-25T09:44:00+05:30,926.10,926.10,925.80,925.80,1794
2026-06-25T09:45:00+05:30,925.55,925.65,925.20,925.20,2872
2026-06-25T09:46:00+05:30,925.45,926.05,925.45,926.05,2521
2026-06-25T09:47:00+05:30,926.05,926.60,926.05,926.40,4691
2026-06-25T09:48:00+05:30,926.25,926.65,925.75,925.75,6106
2026-06-25T09:49:00+05:30,925.45,926.00,925.45,926.00,5254
2026-06-25T09:50:00+05:30,926.30,926.30,925.50,925.55,1815
2026-06-25T09:51:00+05:30,925.90,926.15,925.60,925.95,2869
2026-06-25T09:52:00+05:30,925.90,925.90,925.60,925.80,2261
2026-06-25T09:53:00+05:30,925.60,925.60,924.00,925.00,11415
2026-06-25T09:54:00+05:30,925.60,926.00,925.40,926.00,3869
2026-06-25T09:55:00+05:30,925.80,925.90,925.05,925.15,10279
2026-06-25T09:56:00+05:30,925.15,926.35,925.15,926.10,3819
2026-06-25T09:57:00+05:30,926.00,926.10,925.05,925.05,2629
2026-06-25T09:58:00+05:30,924.20,924.35,924.00,924.25,3499
2026-06-25T09:59:00+05:30,924.20,925.40,924.20,924.75,5496
2026-06-25T10:00:00+05:30,924.85,925.00,924.35,924.75,1875
2026-06-25T10:01:00+05:30,924.50,924.65,924.20,924.55,3407
2026-06-25T10:02:00+05:30,924.55,924.55,924.45,924.45,161
2026-06-25T10:03:00+05:30,924.40,925.05,924.20,924.20,5921
2026-06-25T10:04:00+05:30,924.50,924.50,924.50,924.50,757
2026-06-25T10:05:00+05:30,924.35,924.55,924.00,924.00,5745
2026-06-25T10:06:00+05:30,923.80,924.30,923.80,924.00,4843
2026-06-25T10:07:00+05:30,924.00,924.20,924.00,924.20,1921
2026-06-25T10:08:00+05:30,924.15,924.15,923.95,924.05,2350
2026-06-25T10:09:00+05:30,924.00,924.25,923.65,924.20,2875
2026-06-25T10:10:00+05:30,923.80,924.20,923.65,923.65,6765
2026-06-25T10:11:00+05:30,923.60,923.95,923.50,923.80,3604
2026-06-25T10:12:00+05:30,923.80,923.85,923.50,923.50,1373
2026-06-25T10:13:00+05:30,923.60,923.60,923.30,923.35,3804
2026-06-25T10:14:00+05:30,923.40,923.75,923.40,923.75,1524
2026-06-25T10:15:00+05:30,923.75,924.70,923.45,924.50,4880
2026-06-25T10:16:00+05:30,924.50,924.50,924.10,924.20,1288
2026-06-25T10:17:00+05:30,923.90,924.85,923.50,923.50,7351
2026-06-25T10:18:00+05:30,923.45,924.95,923.30,924.75,9661
2026-06-25T10:19:00+05:30,924.75,926.40,924.75,926.00,7526
2026-06-25T10:20:00+05:30,926.00,926.00,924.60,925.30,9117
2026-06-25T10:21:00+05:30,925.30,926.50,925.30,926.10,5366
2026-06-25T10:22:00+05:30,926.45,927.20,926.00,927.05,6822
2026-06-25T10:23:00+05:30,927.10,928.50,927.05,928.05,14886
2026-06-25T10:24:00+05:30,928.05,928.50,927.50,927.50,10493
2026-06-25T10:25:00+05:30,927.50,927.85,927.50,927.75,1995
2026-06-25T10:26:00+05:30,927.75,927.75,926.25,926.75,14296
2026-06-25T10:27:00+05:30,926.85,927.20,926.70,926.80,3117
2026-06-25T10:28:00+05:30,927.15,927.15,926.60,926.85,3825
2026-06-25T10:29:00+05:30,926.60,926.85,926.30,926.80,5177
2026-06-25T10:30:00+05:30,927.55,927.85,927.55,927.85,9750
2026-06-25T10:31:00+05:30,927.85,927.90,927.65,927.85,4220
2026-06-25T10:32:00+05:30,927.90,928.60,927.75,928.10,12062
2026-06-25T10:33:00+05:30,928.00,928.55,928.00,928.40,3667
2026-06-25T10:34:00+05:30,928.20,928.50,928.20,928.50,1417
2026-06-25T10:35:00+05:30,928.50,930.60,928.50,930.55,27926
2026-06-25T10:36:00+05:30,930.40,931.45,930.40,931.25,19698
2026-06-25T10:37:00+05:30,931.35,931.90,931.00,931.80,16371
2026-06-25T10:38:00+05:30,931.80,931.80,930.65,930.65,10917
2026-06-25T10:39:00+05:30,930.60,930.65,930.15,930.55,2276
2026-06-25T10:40:00+05:30,930.55,930.80,930.35,930.50,7903
2026-06-25T10:41:00+05:30,930.50,931.00,930.50,930.85,3623
2026-06-25T10:42:00+05:30,931.00,931.25,931.00,931.05,4575
2026-06-25T10:43:00+05:30,931.15,931.25,931.00,931.00,3012
2026-06-25T10:44:00+05:30,931.15,931.50,930.85,930.95,4565
2026-06-25T10:45:00+05:30,931.30,932.00,931.30,932.00,9689
2026-06-25T10:46:00+05:30,932.15,933.75,932.15,933.60,16937
2026-06-25T10:47:00+05:30,933.20,933.20,931.55,931.70,21084
2026-06-25T10:48:00+05:30,931.70,932.20,931.40,931.40,6512
2026-06-25T10:49:00+05:30,931.70,932.25,931.15,932.25,14635
2026-06-25T10:50:00+05:30,932.10,932.10,931.45,931.45,1820
2026-06-25T10:51:00+05:30,931.70,931.70,930.70,930.70,18572
2026-06-25T10:52:00+05:30,931.15,931.15,930.50,930.70,8685
2026-06-25T10:53:00+05:30,930.70,930.70,930.05,930.25,3832
2026-06-25T10:54:00+05:30,930.20,930.40,930.00,930.00,2492
2026-06-25T10:55:00+05:30,930.10,930.10,929.55,929.55,6409
2026-06-25T10:56:00+05:30,929.55,929.70,929.20,929.30,6744
2026-06-25T10:57:00+05:30,929.25,930.00,929.10,930.00,4399
2026-06-25T10:58:00+05:30,929.65,931.45,929.65,930.80,4398
2026-06-25T10:59:00+05:30,930.90,930.90,930.60,930.60,3068
2026-06-25T11:00:00+05:30,930.90,931.50,930.55,931.25,4588
2026-06-25T11:01:00+05:30,931.10,931.75,931.00,931.40,4131
2026-06-25T11:02:00+05:30,931.65,931.65,931.20,931.30,2148
2026-06-25T11:03:00+05:30,931.30,931.45,931.10,931.35,11598
2026-06-25T11:04:00+05:30,931.90,932.60,931.90,932.60,9942
2026-06-25T11:05:00+05:30,932.50,932.80,932.20,932.50,3645
2026-06-25T11:06:00+05:30,932.50,932.50,932.05,932.30,4641
2026-06-25T11:07:00+05:30,932.30,932.30,932.00,932.00,3028
2026-06-25T11:08:00+05:30,931.90,932.00,931.50,931.90,3967
2026-06-25T11:09:00+05:30,931.55,931.90,931.50,931.50,1292
2026-06-25T11:10:00+05:30,931.60,931.60,931.25,931.25,6236
2026-06-25T11:11:00+05:30,931.00,931.25,931.00,931.25,2118
2026-06-25T11:12:00+05:30,931.25,932.25,931.25,931.60,3474
2026-06-25T11:13:00+05:30,931.45,931.55,931.35,931.35,1063
2026-06-25T11:14:00+05:30,931.55,931.55,930.75,930.75,22815
2026-06-25T11:15:00+05:30,931.00,931.20,930.55,931.00,3359
2026-06-25T11:16:00+05:30,931.20,932.50,931.20,931.95,8896
2026-06-25T11:17:00+05:30,932.00,932.35,931.85,932.00,4991
2026-06-25T11:18:00+05:30,932.05,932.05,931.25,931.50,5154
2026-06-25T11:19:00+05:30,931.40,932.10,931.30,932.10,2733
2026-06-25T11:20:00+05:30,932.10,932.65,931.95,932.65,1585
2026-06-25T11:21:00+05:30,932.55,933.90,932.55,933.85,9098
2026-06-25T11:22:00+05:30,934.05,934.25,933.10,933.10,5720
2026-06-25T11:23:00+05:30,933.15,933.15,932.50,932.50,2674
2026-06-25T11:24:00+05:30,932.45,932.90,932.05,932.75,2658
2026-06-25T11:25:00+05:30,932.65,933.70,932.30,933.05,8142
2026-06-25T11:26:00+05:30,932.85,933.25,932.55,932.95,4628
2026-06-25T11:27:00+05:30,933.00,933.00,932.70,932.85,1181
2026-06-25T11:28:00+05:30,932.85,933.00,932.70,932.70,3318
2026-06-25T11:29:00+05:30,932.95,932.95,932.40,932.90,4287
2026-06-25T11:30:00+05:30,932.95,932.95,932.20,932.40,6408
2026-06-25T11:31:00+05:30,932.40,932.70,932.20,932.40,3119
