ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1811.00,1811.00,1804.00,1808.60,0
2026-06-25T09:16:00+05:30,1808.10,1814.90,1808.00,1810.20,18379
2026-06-25T09:17:00+05:30,1811.10,1811.10,1808.50,1809.40,9041
2026-06-25T09:18:00+05:30,1809.00,1809.00,1803.10,1803.10,343757
2026-06-25T09:19:00+05:30,1804.60,1807.40,1803.30,1804.50,13317
2026-06-25T09:20:00+05:30,1804.40,1804.60,1801.70,1801.70,11351
2026-06-25T09:21:00+05:30,1799.80,1804.40,1799.80,1804.40,9349
2026-06-25T09:22:00+05:30,1805.30,1806.60,1803.40,1804.70,11385
2026-06-25T09:23:00+05:30,1804.10,1804.10,1801.50,1802.10,5943
2026-06-25T09:24:00+05:30,1804.10,1804.70,1801.20,1801.20,6281
2026-06-25T09:25:00+05:30,1801.80,1803.00,1800.40,1801.10,14142
2026-06-25T09:26:00+05:30,1800.00,1800.70,1797.40,1798.30,8578
2026-06-25T09:27:00+05:30,1797.60,1798.10,1795.80,1796.50,6519
2026-06-25T09:28:00+05:30,1796.00,1797.20,1793.90,1793.90,13781
2026-06-25T09:29:00+05:30,1793.70,1799.40,1793.70,1797.40,8318
2026-06-25T09:30:00+05:30,1796.30,1799.40,1795.20,1798.40,13626
2026-06-25T09:31:00+05:30,1797.30,1798.00,1791.20,1791.20,7209
2026-06-25T09:32:00+05:30,1790.90,1793.10,1787.30,1793.00,18646
2026-06-25T09:33:00+05:30,1793.00,1795.00,1791.70,1794.20,3944
2026-06-25T09:34:00+05:30,1793.70,1797.70,1793.70,1796.10,3279
2026-06-25T09:35:00+05:30,1796.30,1796.40,1795.20,1795.60,16698
2026-06-25T09:36:00+05:30,1795.50,1795.90,1793.50,1793.60,1635
2026-06-25T09:37:00+05:30,1794.70,1796.00,1794.00,1796.00,3613
2026-06-25T09:38:00+05:30,1795.70,1797.50,1795.70,1797.50,7726
2026-06-25T09:39:00+05:30,1796.20,1796.70,1795.70,1796.40,2454
