ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,1445.70,1448.70,1443.00,1444.80,0
2026-06-24T09:16:00+05:30,1445.00,1446.80,1441.50,1442.90,22399
2026-06-24T09:17:00+05:30,1442.20,1444.40,1440.20,1442.90,19590
2026-06-24T09:18:00+05:30,1443.00,1443.00,1438.20,1440.70,13927
2026-06-24T09:19:00+05:30,1440.30,1442.60,1440.00,1440.70,8582
2026-06-24T09:20:00+05:30,1440.10,1440.10,1434.90,1435.00,21768
2026-06-24T09:21:00+05:30,1434.80,1435.60,1433.40,1435.00,9097
2026-06-24T09:22:00+05:30,1435.10,1436.50,1434.20,1436.40,8480
2026-06-24T09:23:00+05:30,1435.90,1437.70,1435.90,1437.20,6432
2026-06-24T09:24:00+05:30,1436.00,1436.90,1434.30,1434.30,9662
2026-06-24T09:25:00+05:30,1435.30,1438.10,1435.30,1438.10,8642
2026-06-24T09:26:00+05:30,1437.10,1438.80,1437.10,1438.20,6205
2026-06-24T09:27:00+05:30,1437.10,1437.90,1436.00,1436.50,6862
2026-06-24T09:28:00+05:30,1436.50,1437.60,1435.10,1436.20,7448
2026-06-24T09:29:00+05:30,1435.40,1435.40,1427.00,1427.00,24900
2026-06-24T09:30:00+05:30,1426.80,1428.70,1426.00,1426.00,17044
2026-06-24T09:31:00+05:30,1426.50,1432.00,1425.80,1431.30,21725
2026-06-24T09:32:00+05:30,1431.90,1433.40,1431.30,1433.10,6020
2026-06-24T09:33:00+05:30,1432.50,1433.10,1430.30,1430.30,4793
2026-06-24T09:34:00+05:30,1430.30,1430.30,1429.00,1429.60,3560
2026-06-24T09:35:00+05:30,1429.80,1430.20,1429.20,1429.20,4476
2026-06-24T09:36:00+05:30,1429.90,1429.90,1427.30,1428.40,5562
2026-06-24T09:37:00+05:30,1428.40,1429.50,1427.60,1428.50,2515
2026-06-24T09:38:00+05:30,1428.70,1439.20,1428.70,1438.30,48789
2026-06-24T09:39:00+05:30,1438.50,1439.40,1437.80,1439.00,15357
2026-06-24T09:40:00+05:30,1438.50,1440.40,1438.50,1439.90,18726
2026-06-24T09:41:00+05:30,1439.90,1440.40,1438.60,1438.60,15349
2026-06-24T09:42:00+05:30,1438.60,1440.10,1438.60,1439.50,9694
2026-06-24T09:43:00+05:30,1438.90,1439.90,1438.70,1439.30,9876
2026-06-24T09:44:00+05:30,1439.30,1439.30,1438.00,1438.10,8419
2026-06-24T09:45:00+05:30,1438.30,1439.30,1437.10,1439.00,10828
2026-06-24T09:46:00+05:30,1439.50,1439.50,1438.10,1438.70,5975
2026-06-24T09:47:00+05:30,1438.70,1439.00,1437.20,1438.00,5428
2026-06-24T09:48:00+05:30,1437.20,1438.60,1437.10,1438.00,7031
2026-06-24T09:49:00+05:30,1438.00,1438.60,1437.60,1437.60,5899
2026-06-24T09:50:00+05:30,1436.70,1436.80,1435.30,1435.50,8846
2026-06-24T09:51:00+05:30,1435.80,1436.40,1435.80,1436.40,6684
2026-06-24T09:52:00+05:30,1436.70,1437.90,1436.40,1436.60,3156
2026-06-24T09:53:00+05:30,1436.60,1437.30,1434.90,1434.90,10242
2026-06-24T09:54:00+05:30,1435.90,1435.90,1434.40,1434.40,3565
2026-06-24T09:55:00+05:30,1434.70,1435.90,1433.40,1435.00,6267
2026-06-24T09:56:00+05:30,1435.00,1436.20,1435.00,1436.20,3878
2026-06-24T09:57:00+05:30,1436.20,1437.90,1436.20,1437.60,2419
2026-06-24T09:58:00+05:30,1437.60,1437.60,1436.30,1437.10,2522
2026-06-24T09:59:00+05:30,1437.10,1437.20,1436.60,1436.60,2724
2026-06-24T10:00:00+05:30,1436.40,1437.80,1436.40,1437.40,3934
2026-06-24T10:01:00+05:30,1437.10,1438.00,1437.00,1437.30,4144
2026-06-24T10:02:00+05:30,1437.30,1437.70,1437.00,1437.70,3204
2026-06-24T10:03:00+05:30,1438.10,1439.70,1438.10,1439.20,9030
2026-06-24T10:04:00+05:30,1438.60,1439.40,1438.60,1439.00,6180
2026-06-24T10:05:00+05:30,1438.90,1439.20,1436.70,1437.00,7129
2026-06-24T10:06:00+05:30,1436.50,1436.80,1435.20,1436.00,7255
2026-06-24T10:07:00+05:30,1436.30,1437.00,1436.00,1436.20,3599
2026-06-24T10:08:00+05:30,1436.30,1437.20,1435.90,1436.70,1439
2026-06-24T10:09:00+05:30,1436.70,1437.20,1436.40,1436.80,2574
2026-06-24T10:10:00+05:30,1436.80,1436.80,1435.90,1435.90,1345
2026-06-24T10:11:00+05:30,1436.20,1436.20,1435.10,1435.90,3513
2026-06-24T10:12:00+05:30,1435.20,1436.10,1435.10,1435.60,2947
2026-06-24T10:13:00+05:30,1435.60,1435.60,1435.10,1435.60,3639
2026-06-24T10:14:00+05:30,1436.00,1436.00,1435.30,1435.30,2832
2026-06-24T10:15:00+05:30,1435.20,1435.20,1433.00,1433.60,5532
2026-06-24T10:16:00+05:30,1433.60,1434.90,1433.60,1434.90,2786
2026-06-24T10:17:00+05:30,1434.90,1435.90,1434.90,1435.30,3358
2026-06-24T10:18:00+05:30,1436.00,1436.70,1435.40,1436.40,1875
2026-06-24T10:19:00+05:30,1436.40,1436.40,1435.70,1435.70,2370
2026-06-24T10:20:00+05:30,1435.70,1437.00,1435.30,1437.00,2230
2026-06-24T10:21:00+05:30,1437.60,1438.30,1437.00,1437.10,3575
2026-06-24T10:22:00+05:30,1437.10,1437.30,1436.50,1437.20,2404
2026-06-24T10:23:00+05:30,1437.20,1437.50,1436.60,1437.50,1757
2026-06-24T10:24:00+05:30,1437.10,1437.40,1437.00,1437.00,2494
2026-06-24T10:25:00+05:30,1437.10,1437.10,1436.10,1437.00,2842
2026-06-24T10:26:00+05:30,1437.00,1437.10,1436.00,1437.10,2529
2026-06-24T10:27:00+05:30,1437.00,1438.70,1437.00,1438.70,4528
2026-06-24T10:28:00+05:30,1438.20,1438.20,1437.20,1437.20,3288
2026-06-24T10:29:00+05:30,1437.20,1437.30,1436.20,1436.20,2261
2026-06-24T10:30:00+05:30,1436.40,1438.00,1436.40,1437.00,2612
2026-06-24T10:31:00+05:30,1437.40,1437.50,1436.20,1436.20,3115
2026-06-24T10:32:00+05:30,1436.40,1436.60,1435.80,1436.20,1722
2026-06-24T10:33:00+05:30,1436.10,1436.90,1436.00,1436.60,1991
2026-06-24T10:34:00+05:30,1436.50,1436.90,1435.70,1436.80,1428
2026-06-24T10:35:00+05:30,1436.10,1436.10,1435.20,1435.90,2338
2026-06-24T10:36:00+05:30,1435.90,1435.90,1435.00,1435.20,1657
2026-06-24T10:37:00+05:30,1435.40,1436.00,1435.20,1436.00,1290
2026-06-24T10:38:00+05:30,1436.30,1436.90,1436.10,1436.50,1478
2026-06-24T10:39:00+05:30,1436.40,1437.40,1435.90,1436.70,1853
2026-06-24T10:40:00+05:30,1436.70,1437.40,1436.40,1436.80,864
2026-06-24T10:41:00+05:30,1436.70,1437.40,1436.70,1437.30,2737
2026-06-24T10:42:00+05:30,1437.10,1437.90,1437.10,1437.80,2403
2026-06-24T10:43:00+05:30,1437.80,1438.90,1437.80,1438.20,4570
2026-06-24T10:44:00+05:30,1438.80,1438.80,1437.40,1437.40,2426
2026-06-24T10:45:00+05:30,1437.30,1438.70,1437.30,1438.70,1516
2026-06-24T10:46:00+05:30,1438.20,1438.40,1438.00,1438.00,1607
2026-06-24T10:47:00+05:30,1437.80,1438.00,1437.40,1437.60,1784
2026-06-24T10:48:00+05:30,1437.60,1437.60,1436.10,1436.90,1529
2026-06-24T10:49:00+05:30,1436.90,1437.10,1436.20,1437.00,1335
2026-06-24T10:50:00+05:30,1437.10,1437.20,1436.50,1437.20,1327
2026-06-24T10:51:00+05:30,1437.60,1437.60,1436.30,1436.30,1559
2026-06-24T10:52:00+05:30,1436.30,1436.30,1436.10,1436.10,2591
2026-06-24T10:53:00+05:30,1436.10,1437.50,1436.10,1437.50,2030
2026-06-24T10:54:00+05:30,1437.00,1437.50,1437.00,1437.40,970
2026-06-24T10:55:00+05:30,1437.40,1438.40,1437.30,1438.40,2155
2026-06-24T10:56:00+05:30,1438.40,1438.40,1437.30,1437.30,1846
2026-06-24T10:57:00+05:30,1437.30,1437.30,1435.60,1435.60,664
2026-06-24T10:58:00+05:30,1436.50,1436.50,1435.20,1435.60,2139
2026-06-24T10:59:00+05:30,1435.60,1436.20,1435.20,1436.10,1634
2026-06-24T11:00:00+05:30,1436.10,1437.00,1435.80,1436.00,1750
2026-06-24T11:01:00+05:30,1435.80,1436.10,1435.20,1436.10,1217
2026-06-24T11:02:00+05:30,1436.10,1436.10,1434.90,1435.60,7543
2026-06-24T11:03:00+05:30,1435.60,1435.70,1432.40,1432.40,5649
2026-06-24T11:04:00+05:30,1432.90,1432.90,1431.10,1431.30,2809
2026-06-24T11:05:00+05:30,1431.30,1432.50,1430.80,1432.30,5117
2026-06-24T11:06:00+05:30,1432.30,1432.30,1431.00,1431.30,2381
2026-06-24T11:07:00+05:30,1431.30,1431.70,1430.90,1431.30,866
2026-06-24T11:08:00+05:30,1431.30,1431.30,1430.50,1430.50,2198
2026-06-24T11:09:00+05:30,1430.80,1431.10,1430.10,1430.90,3579
2026-06-24T11:10:00+05:30,1430.90,1431.00,1428.50,1429.30,3403
2026-06-24T11:11:00+05:30,1429.30,1430.40,1429.00,1429.90,1836
2026-06-24T11:12:00+05:30,1429.90,1429.90,1429.30,1429.60,1253
2026-06-24T11:13:00+05:30,1429.90,1430.70,1429.90,1430.40,2258
2026-06-24T11:14:00+05:30,1429.70,1430.80,1429.60,1430.20,2018
2026-06-24T11:15:00+05:30,1430.00,1432.90,1430.00,1432.40,14275
2026-06-24T11:16:00+05:30,1432.40,1433.90,1432.10,1433.60,3790
2026-06-24T11:17:00+05:30,1433.60,1433.90,1431.10,1431.10,2407
2026-06-24T11:18:00+05:30,1431.80,1431.80,1431.20,1431.80,1628
2026-06-24T11:19:00+05:30,1431.40,1432.00,1431.20,1431.70,2169
2026-06-24T11:20:00+05:30,1431.70,1432.30,1431.00,1432.30,2586
2026-06-24T11:21:00+05:30,1432.30,1432.30,1431.60,1431.90,1150
2026-06-24T11:22:00+05:30,1432.40,1432.60,1431.10,1431.10,18406
2026-06-24T11:23:00+05:30,1431.20,1432.10,1431.10,1432.10,3337
2026-06-24T11:24:00+05:30,1432.10,1433.00,1431.10,1432.60,6586
2026-06-24T11:25:00+05:30,1432.90,1433.10,1432.30,1432.30,1591
2026-06-24T11:26:00+05:30,1432.70,1432.90,1432.10,1432.30,3786
2026-06-24T11:27:00+05:30,1432.30,1433.00,1432.00,1432.80,3609
2026-06-24T11:28:00+05:30,1432.80,1432.80,1432.10,1432.20,853
2026-06-24T11:29:00+05:30,1432.40,1432.70,1432.00,1432.10,1480
2026-06-24T11:30:00+05:30,1432.60,1432.70,1432.10,1432.60,2363
2026-06-24T11:31:00+05:30,1432.60,1432.80,1432.30,1432.40,1354
2026-06-24T11:32:00+05:30,1432.20,1436.50,1432.00,1436.20,42636
2026-06-24T11:33:00+05:30,1436.20,1436.80,1435.20,1435.40,4124
2026-06-24T11:34:00+05:30,1435.60,1436.50,1435.20,1436.20,4052
2026-06-24T11:35:00+05:30,1436.50,1437.40,1435.80,1437.30,3502
2026-06-24T11:36:00+05:30,1437.30,1438.10,1437.00,1438.10,3768
2026-06-24T11:37:00+05:30,1437.90,1437.90,1437.10,1437.70,2466
2026-06-24T11:38:00+05:30,1437.60,1438.00,1437.30,1437.30,2830
2026-06-24T11:39:00+05:30,1437.90,1438.00,1437.20,1437.50,2789
2026-06-24T11:40:00+05:30,1437.40,1437.50,1436.10,1436.80,1161
2026-06-24T11:41:00+05:30,1436.70,1437.00,1436.10,1436.80,5439
2026-06-24T11:42:00+05:30,1436.50,1436.50,1435.70,1435.80,1833
2026-06-24T11:43:00+05:30,1435.50,1436.10,1435.30,1435.50,3429
2026-06-24T11:44:00+05:30,1434.70,1435.40,1434.40,1434.60,5420
2026-06-24T11:45:00+05:30,1435.30,1435.30,1434.40,1434.70,958
2026-06-24T11:46:00+05:30,1435.00,1435.00,1434.00,1434.30,2372
2026-06-24T11:47:00+05:30,1434.00,1435.80,1434.00,1435.20,1781
2026-06-24T11:48:00+05:30,1435.20,1435.90,1435.00,1435.30,3234
2026-06-24T11:49:00+05:30,1435.90,1436.00,1435.00,1435.10,1304
2026-06-24T11:50:00+05:30,1435.10,1436.70,1435.10,1436.70,11554
2026-06-24T11:51:00+05:30,1436.80,1436.90,1436.00,1436.90,4069
2026-06-24T11:52:00+05:30,1436.90,1437.00,1436.10,1436.10,1074
2026-06-24T11:53:00+05:30,1436.50,1436.60,1436.10,1436.20,3657
2026-06-24T11:54:00+05:30,1436.20,1436.60,1436.00,1436.20,3801
2026-06-24T11:55:00+05:30,1436.70,1436.70,1435.10,1436.10,11224
2026-06-24T11:56:00+05:30,1435.70,1435.70,1434.30,1434.60,5789
2026-06-24T11:57:00+05:30,1434.60,1435.70,1434.60,1435.70,1690
2026-06-24T11:58:00+05:30,1435.30,1436.10,1435.20,1435.80,2215
2026-06-24T11:59:00+05:30,1435.90,1436.00,1434.90,1435.20,3100
2026-06-24T12:00:00+05:30,1435.70,1436.50,1435.40,1436.20,3280
2026-06-24T12:01:00+05:30,1436.10,1437.00,1435.60,1436.80,1803
2026-06-24T12:02:00+05:30,1437.00,1437.90,1437.00,1437.00,3491
2026-06-24T12:03:00+05:30,1437.50,1437.50,1436.10,1436.40,2557
2026-06-24T12:04:00+05:30,1436.80,1437.00,1436.40,1436.70,1082
2026-06-24T12:05:00+05:30,1436.70,1436.80,1435.60,1436.80,6847
2026-06-24T12:06:00+05:30,1436.80,1437.00,1436.30,1436.60,2399
2026-06-24T12:07:00+05:30,1437.00,1437.40,1436.40,1437.00,1304
2026-06-24T12:08:00+05:30,1437.10,1437.20,1436.60,1437.20,998
2026-06-24T12:09:00+05:30,1436.80,1437.70,1436.80,1437.60,1756
2026-06-24T12:10:00+05:30,1437.50,1438.00,1437.50,1437.80,1715
2026-06-24T12:11:00+05:30,1437.80,1438.00,1437.30,1437.30,2407
2026-06-24T12:12:00+05:30,1437.30,1437.70,1437.30,1437.70,1124
2026-06-24T12:13:00+05:30,1437.70,1438.00,1437.40,1437.90,1942
2026-06-24T12:14:00+05:30,1438.00,1438.70,1437.60,1437.60,4771
2026-06-24T12:15:00+05:30,1438.10,1438.60,1437.90,1438.60,1051
