ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,444.40,445.20,443.70,445.20,0
2026-06-24T09:16:00+05:30,445.35,445.55,445.10,445.55,20973
2026-06-24T09:17:00+05:30,445.55,446.05,445.50,445.75,20103
2026-06-24T09:18:00+05:30,445.75,446.45,445.10,446.10,137784
2026-06-24T09:19:00+05:30,446.25,447.05,446.00,446.20,87765
2026-06-24T09:20:00+05:30,446.35,446.35,445.85,445.85,31867
2026-06-24T09:21:00+05:30,445.50,445.80,445.35,445.75,34057
2026-06-24T09:22:00+05:30,445.80,445.80,445.25,445.40,15039
2026-06-24T09:23:00+05:30,445.55,445.70,445.40,445.55,13586
2026-06-24T09:24:00+05:30,445.40,445.40,445.05,445.35,8114
2026-06-24T09:25:00+05:30,445.25,445.40,444.75,444.75,37974
2026-06-24T09:26:00+05:30,444.55,445.00,444.55,444.75,18098
2026-06-24T09:27:00+05:30,444.35,444.90,444.15,444.15,15395
2026-06-24T09:28:00+05:30,444.45,444.50,444.10,444.25,13903
2026-06-24T09:29:00+05:30,444.55,444.60,444.30,444.35,10038
2026-06-24T09:30:00+05:30,445.30,445.35,445.00,445.00,156775
2026-06-24T09:31:00+05:30,444.65,444.95,444.65,444.75,69288
2026-06-24T09:32:00+05:30,444.85,445.15,444.70,444.70,19112
2026-06-24T09:33:00+05:30,444.75,445.25,444.75,445.00,16329
2026-06-24T09:34:00+05:30,445.00,445.10,444.75,445.10,12520
2026-06-24T09:35:00+05:30,445.10,445.10,444.95,445.00,9033
2026-06-24T09:36:00+05:30,445.05,445.25,444.95,444.95,13477
2026-06-24T09:37:00+05:30,444.80,445.20,444.75,444.85,9382
2026-06-24T09:38:00+05:30,445.00,445.25,445.00,445.25,8498
2026-06-24T09:39:00+05:30,444.95,445.20,444.85,444.90,5763
2026-06-24T09:40:00+05:30,445.00,445.30,445.00,445.25,4312
2026-06-24T09:41:00+05:30,445.15,445.45,444.70,444.70,16761
2026-06-24T09:42:00+05:30,444.70,445.20,444.70,445.20,18181
2026-06-24T09:43:00+05:30,445.30,445.30,444.90,445.00,5715
2026-06-24T09:44:00+05:30,444.90,444.90,444.50,444.50,18263
2026-06-24T09:45:00+05:30,444.50,444.85,444.50,444.85,5049
2026-06-24T09:46:00+05:30,445.00,445.30,445.00,445.00,14655
2026-06-24T09:47:00+05:30,444.90,445.05,444.65,444.95,11525
2026-06-24T09:48:00+05:30,444.90,445.00,444.90,445.00,10418
2026-06-24T09:49:00+05:30,445.15,445.15,444.85,444.95,2825
2026-06-24T09:50:00+05:30,444.80,445.15,444.60,445.10,11531
2026-06-24T09:51:00+05:30,444.95,445.05,444.70,444.90,6058
2026-06-24T09:52:00+05:30,444.85,444.85,444.45,444.65,8502
2026-06-24T09:53:00+05:30,445.00,445.00,444.80,444.95,2849
2026-06-24T09:54:00+05:30,445.00,445.20,444.70,445.15,11930
2026-06-24T09:55:00+05:30,445.10,445.45,444.80,444.85,16222
2026-06-24T09:56:00+05:30,444.85,445.30,444.85,445.25,5372
2026-06-24T09:57:00+05:30,445.20,445.20,444.85,444.85,11786
2026-06-24T09:58:00+05:30,444.95,445.05,444.70,445.00,7923
2026-06-24T09:59:00+05:30,445.00,445.30,445.00,445.05,7636
2026-06-24T10:00:00+05:30,445.05,445.25,445.05,445.25,7698
2026-06-24T10:01:00+05:30,445.25,445.40,445.00,445.20,4711
2026-06-24T10:02:00+05:30,445.20,445.55,445.20,445.55,10508
2026-06-24T10:03:00+05:30,445.35,445.50,445.35,445.35,11370
2026-06-24T10:04:00+05:30,445.30,445.45,445.25,445.30,7388
2026-06-24T10:05:00+05:30,445.30,445.40,445.00,445.05,7084
2026-06-24T10:06:00+05:30,445.20,445.20,444.90,445.15,4642
2026-06-24T10:07:00+05:30,444.90,444.90,444.55,444.90,10584
2026-06-24T10:08:00+05:30,444.95,445.05,444.80,444.85,7200
2026-06-24T10:09:00+05:30,444.85,445.05,444.85,445.05,4334
2026-06-24T10:10:00+05:30,445.00,445.00,444.65,444.70,9947
2026-06-24T10:11:00+05:30,444.70,444.75,444.65,444.75,2399
2026-06-24T10:12:00+05:30,444.75,445.00,444.75,445.00,4196
2026-06-24T10:13:00+05:30,444.95,445.30,444.95,445.05,4044
2026-06-24T10:14:00+05:30,445.10,445.35,445.00,445.05,9645
2026-06-24T10:15:00+05:30,444.95,445.05,444.90,445.05,3021
2026-06-24T10:16:00+05:30,445.05,445.05,444.70,444.80,4280
2026-06-24T10:17:00+05:30,444.70,444.90,444.70,444.90,3353
2026-06-24T10:18:00+05:30,445.00,445.00,444.70,444.80,9644
2026-06-24T10:19:00+05:30,445.00,445.00,444.70,444.90,3203
2026-06-24T10:20:00+05:30,444.90,445.00,444.80,445.00,3323
2026-06-24T10:21:00+05:30,445.00,445.05,444.80,444.90,6153
2026-06-24T10:22:00+05:30,444.95,444.95,444.50,444.50,10353
2026-06-24T10:23:00+05:30,444.55,444.65,444.50,444.65,3039
2026-06-24T10:24:00+05:30,444.85,444.85,444.65,444.65,8346
2026-06-24T10:25:00+05:30,444.85,445.00,444.70,444.70,4423
2026-06-24T10:26:00+05:30,444.90,444.90,444.80,444.90,928
2026-06-24T10:27:00+05:30,444.90,445.20,444.85,445.00,3868
2026-06-24T10:28:00+05:30,445.05,445.20,445.00,445.00,2174
2026-06-24T10:29:00+05:30,445.10,445.10,444.00,444.00,43182
2026-06-24T10:30:00+05:30,444.20,444.40,444.10,444.20,7616
2026-06-24T10:31:00+05:30,444.30,444.55,444.30,444.35,3660
2026-06-24T10:32:00+05:30,444.45,444.60,444.30,444.60,7725
2026-06-24T10:33:00+05:30,444.75,444.75,444.35,444.45,4503
2026-06-24T10:34:00+05:30,444.40,444.40,444.30,444.40,5493
2026-06-24T10:35:00+05:30,444.30,444.30,444.10,444.25,12840
2026-06-24T10:36:00+05:30,444.25,444.25,444.10,444.10,2285
2026-06-24T10:37:00+05:30,444.20,444.40,444.10,444.40,3130
2026-06-24T10:38:00+05:30,444.35,444.65,444.35,444.65,4130
2026-06-24T10:39:00+05:30,444.60,444.60,444.20,444.40,4851
