ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1513.60,1520.00,1509.90,1514.00,0
2026-06-25T09:16:00+05:30,1514.00,1517.90,1511.60,1514.80,42444
2026-06-25T09:17:00+05:30,1514.80,1515.60,1511.00,1512.80,17544
2026-06-25T09:18:00+05:30,1512.90,1512.90,1505.90,1505.90,45110
2026-06-25T09:19:00+05:30,1505.90,1507.80,1504.10,1507.80,26592
2026-06-25T09:20:00+05:30,1507.80,1508.30,1505.00,1505.00,14967
2026-06-25T09:21:00+05:30,1506.20,1510.00,1504.30,1508.40,19624
2026-06-25T09:22:00+05:30,1509.60,1510.00,1508.00,1509.00,7983
2026-06-25T09:23:00+05:30,1509.00,1510.00,1506.80,1506.80,6923
2026-06-25T09:24:00+05:30,1508.50,1509.60,1508.50,1509.20,11865
2026-06-25T09:25:00+05:30,1509.10,1509.20,1507.10,1508.30,8845
2026-06-25T09:26:00+05:30,1509.10,1509.10,1507.60,1507.70,9366
2026-06-25T09:27:00+05:30,1508.40,1508.70,1506.40,1506.40,10760
2026-06-25T09:28:00+05:30,1507.40,1507.50,1505.50,1505.50,6537
2026-06-25T09:29:00+05:30,1506.00,1508.20,1506.00,1508.20,8356
2026-06-25T09:30:00+05:30,1508.60,1508.60,1505.00,1507.00,9292
2026-06-25T09:31:00+05:30,1506.60,1506.90,1506.00,1506.40,5606
2026-06-25T09:32:00+05:30,1505.80,1506.30,1505.00,1505.00,12988
2026-06-25T09:33:00+05:30,1505.00,1505.60,1505.00,1505.40,21818
2026-06-25T09:34:00+05:30,1506.00,1506.40,1505.60,1505.70,5341
2026-06-25T09:35:00+05:30,1505.50,1507.70,1505.50,1507.00,9272
2026-06-25T09:36:00+05:30,1506.50,1507.00,1506.00,1506.90,12334
2026-06-25T09:37:00+05:30,1507.30,1509.00,1506.90,1508.20,11801
2026-06-25T09:38:00+05:30,1508.20,1509.20,1506.90,1506.90,8706
2026-06-25T09:39:00+05:30,1507.30,1507.30,1506.10,1507.00,2739
2026-06-25T09:40:00+05:30,1506.80,1506.80,1506.00,1506.30,6902
2026-06-25T09:41:00+05:30,1506.30,1507.70,1506.00,1507.60,6407
2026-06-25T09:42:00+05:30,1508.40,1509.90,1507.90,1509.90,15648
2026-06-25T09:43:00+05:30,1510.00,1513.10,1510.00,1512.60,16000
2026-06-25T09:44:00+05:30,1512.60,1513.30,1510.60,1511.60,15918
2026-06-25T09:45:00+05:30,1511.90,1512.30,1511.00,1512.00,10402
2026-06-25T09:46:00+05:30,1512.00,1512.20,1510.50,1512.00,10980
2026-06-25T09:47:00+05:30,1512.00,1514.10,1512.00,1513.70,20082
2026-06-25T09:48:00+05:30,1513.70,1514.50,1513.00,1514.50,9233
2026-06-25T09:49:00+05:30,1515.00,1516.00,1514.40,1515.50,20819
2026-06-25T09:50:00+05:30,1516.00,1516.20,1513.90,1513.90,12306
2026-06-25T09:51:00+05:30,1514.00,1515.80,1513.50,1514.00,8067
2026-06-25T09:52:00+05:30,1514.30,1514.50,1512.40,1513.80,7153
2026-06-25T09:53:00+05:30,1513.80,1514.00,1513.00,1513.40,5579
2026-06-25T09:54:00+05:30,1513.30,1514.80,1511.70,1512.60,7034
2026-06-25T09:55:00+05:30,1512.40,1513.00,1511.60,1511.60,7906
2026-06-25T09:56:00+05:30,1511.80,1513.00,1511.30,1512.70,6468
2026-06-25T09:57:00+05:30,1512.70,1513.80,1512.30,1513.00,7041
2026-06-25T09:58:00+05:30,1513.60,1514.60,1512.30,1512.70,8344
2026-06-25T09:59:00+05:30,1513.20,1514.30,1512.60,1514.20,18856
2026-06-25T10:00:00+05:30,1514.20,1515.00,1513.00,1514.20,18957
2026-06-25T10:01:00+05:30,1515.30,1515.50,1514.50,1515.50,3986
2026-06-25T10:02:00+05:30,1515.70,1518.60,1515.20,1518.60,22493
2026-06-25T10:03:00+05:30,1517.80,1518.70,1517.40,1517.50,11626
2026-06-25T10:04:00+05:30,1518.00,1519.90,1517.60,1519.00,14844
2026-06-25T10:05:00+05:30,1519.20,1520.00,1519.00,1520.00,48089
2026-06-25T10:06:00+05:30,1520.00,1521.50,1518.90,1519.80,24292
2026-06-25T10:07:00+05:30,1520.00,1520.00,1516.90,1518.30,17115
2026-06-25T10:08:00+05:30,1518.20,1518.30,1517.00,1517.50,7080
2026-06-25T10:09:00+05:30,1517.50,1517.80,1516.20,1517.50,9795
2026-06-25T10:10:00+05:30,1517.70,1517.70,1517.10,1517.10,4785
2026-06-25T10:11:00+05:30,1517.50,1517.50,1516.70,1517.00,7755
2026-06-25T10:12:00+05:30,1516.50,1516.70,1515.80,1516.40,8165
2026-06-25T10:13:00+05:30,1516.40,1516.40,1515.40,1515.50,7804
2026-06-25T10:14:00+05:30,1514.70,1515.10,1514.50,1515.00,8291
2026-06-25T10:15:00+05:30,1515.10,1515.10,1514.00,1514.60,4949
2026-06-25T10:16:00+05:30,1514.40,1514.70,1514.00,1514.00,6303
2026-06-25T10:17:00+05:30,1514.00,1514.00,1512.80,1512.80,3335
2026-06-25T10:18:00+05:30,1512.90,1513.50,1512.50,1512.50,4249
2026-06-25T10:19:00+05:30,1512.50,1512.80,1511.80,1511.80,4333
2026-06-25T10:20:00+05:30,1511.40,1511.80,1510.50,1510.80,7168
2026-06-25T10:21:00+05:30,1510.80,1510.80,1508.90,1509.00,10199
2026-06-25T10:22:00+05:30,1509.10,1510.10,1508.50,1509.20,4139
2026-06-25T10:23:00+05:30,1509.00,1510.00,1508.70,1509.80,3582
2026-06-25T10:24:00+05:30,1509.80,1510.30,1509.30,1509.30,5460
2026-06-25T10:25:00+05:30,1508.70,1509.50,1508.70,1508.70,6317
2026-06-25T10:26:00+05:30,1508.70,1508.70,1508.00,1508.60,4514
2026-06-25T10:27:00+05:30,1508.80,1508.90,1507.70,1507.90,10425
2026-06-25T10:28:00+05:30,1507.00,1507.50,1506.00,1506.60,13099
2026-06-25T10:29:00+05:30,1507.00,1507.40,1506.10,1506.60,9787
2026-06-25T10:30:00+05:30,1506.90,1507.50,1506.10,1507.40,7271
2026-06-25T10:31:00+05:30,1507.40,1507.70,1506.60,1507.30,11535
2026-06-25T10:32:00+05:30,1506.60,1507.10,1506.20,1506.50,4078
2026-06-25T10:33:00+05:30,1506.50,1508.00,1506.00,1508.00,6977
2026-06-25T10:34:00+05:30,1507.80,1508.20,1507.20,1507.90,8270
2026-06-25T10:35:00+05:30,1507.90,1508.30,1507.30,1507.30,4866
2026-06-25T10:36:00+05:30,1507.10,1507.50,1506.50,1507.10,2400
2026-06-25T10:37:00+05:30,1506.90,1507.40,1505.70,1506.90,12851
2026-06-25T10:38:00+05:30,1506.70,1509.00,1506.10,1509.00,16515
2026-06-25T10:39:00+05:30,1509.00,1509.60,1508.00,1509.00,7610
2026-06-25T10:40:00+05:30,1509.00,1509.00,1507.40,1508.90,3049
2026-06-25T10:41:00+05:30,1508.90,1510.50,1508.40,1510.50,7482
2026-06-25T10:42:00+05:30,1510.50,1511.00,1508.90,1509.50,6488
2026-06-25T10:43:00+05:30,1509.90,1509.90,1508.80,1509.50,4041
2026-06-25T10:44:00+05:30,1509.40,1509.50,1508.70,1509.50,4851
2026-06-25T10:45:00+05:30,1509.20,1509.60,1508.80,1508.80,3731
2026-06-25T10:46:00+05:30,1508.80,1509.00,1507.10,1508.30,9298
2026-06-25T10:47:00+05:30,1508.20,1508.20,1507.10,1507.50,3217
2026-06-25T10:48:00+05:30,1507.60,1507.90,1507.30,1507.80,4802
2026-06-25T10:49:00+05:30,1507.60,1507.60,1506.20,1507.50,5964
2026-06-25T10:50:00+05:30,1507.50,1508.70,1507.20,1507.90,6935
2026-06-25T10:51:00+05:30,1507.80,1507.90,1506.70,1507.60,20798
2026-06-25T10:52:00+05:30,1506.80,1507.70,1506.80,1507.00,2652
2026-06-25T10:53:00+05:30,1507.60,1507.60,1507.00,1507.00,6141
2026-06-25T10:54:00+05:30,1507.00,1507.00,1505.30,1506.10,6621
2026-06-25T10:55:00+05:30,1506.10,1507.70,1505.60,1507.50,5709
2026-06-25T10:56:00+05:30,1507.50,1507.50,1506.60,1507.10,1442
2026-06-25T10:57:00+05:30,1507.10,1507.20,1507.10,1507.20,3240
2026-06-25T10:58:00+05:30,1507.20,1507.60,1507.20,1507.60,1391
2026-06-25T10:59:00+05:30,1507.70,1507.70,1507.50,1507.70,2822
2026-06-25T11:00:00+05:30,1507.70,1507.70,1507.40,1507.60,3276
2026-06-25T11:01:00+05:30,1507.50,1507.50,1506.70,1506.90,2663
2026-06-25T11:02:00+05:30,1507.20,1507.70,1504.80,1504.80,10246
2026-06-25T11:03:00+05:30,1505.00,1505.70,1503.60,1505.20,11079
2026-06-25T11:04:00+05:30,1505.00,1506.00,1501.80,1501.80,11864
2026-06-25T11:05:00+05:30,1502.60,1503.10,1501.30,1502.60,6198
