ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1975.90,1982.70,1975.90,1981.60,0
2026-06-25T09:16:00+05:30,1980.80,1988.10,1980.10,1985.20,3971
2026-06-25T09:17:00+05:30,1986.50,1988.00,1985.20,1985.20,2522
2026-06-25T09:18:00+05:30,1986.50,1987.00,1983.00,1984.90,2655
2026-06-25T09:19:00+05:30,1985.10,1985.10,1982.00,1982.90,655
2026-06-25T09:20:00+05:30,1982.60,1985.00,1981.30,1983.60,488
2026-06-25T09:21:00+05:30,1983.50,1983.70,1981.80,1983.10,208
2026-06-25T09:22:00+05:30,1984.10,1987.00,1984.10,1985.00,1052
2026-06-25T09:23:00+05:30,1983.70,1984.00,1981.70,1982.40,388
2026-06-25T09:24:00+05:30,1983.70,1984.10,1983.00,1983.00,109
2026-06-25T09:25:00+05:30,1984.10,1984.60,1981.90,1982.60,342
2026-06-25T09:26:00+05:30,1983.20,1984.10,1982.70,1983.50,335
2026-06-25T09:27:00+05:30,1983.20,1984.80,1983.20,1984.30,310
2026-06-25T09:28:00+05:30,1983.80,1985.20,1983.70,1984.70,536
2026-06-25T09:29:00+05:30,1984.80,1985.40,1984.00,1985.40,51
2026-06-25T09:30:00+05:30,1985.40,1990.00,1985.40,1990.00,1428
2026-06-25T09:31:00+05:30,1989.00,1994.00,1986.90,1986.90,26128
2026-06-25T09:32:00+05:30,1986.90,1988.20,1986.00,1988.20,238
2026-06-25T09:33:00+05:30,1989.00,1990.20,1988.80,1990.20,325
2026-06-25T09:34:00+05:30,1990.50,1990.80,1987.00,1987.00,968
2026-06-25T09:35:00+05:30,1987.40,1987.40,1985.00,1985.00,1958
2026-06-25T09:36:00+05:30,1985.10,1985.60,1984.00,1985.60,970
2026-06-25T09:37:00+05:30,1985.40,1986.50,1985.40,1986.50,1310
2026-06-25T09:38:00+05:30,1986.10,1988.10,1986.10,1988.10,728
2026-06-25T09:39:00+05:30,1988.00,1988.80,1986.80,1988.80,343
2026-06-25T09:40:00+05:30,1988.50,1989.50,1987.40,1989.50,1012
2026-06-25T09:41:00+05:30,1989.00,1989.70,1987.50,1987.50,1006
2026-06-25T09:42:00+05:30,1988.20,1988.90,1988.20,1988.20,182
2026-06-25T09:43:00+05:30,1987.60,1987.80,1987.00,1987.20,341
2026-06-25T09:44:00+05:30,1987.20,1987.60,1987.00,1987.00,94
2026-06-25T09:45:00+05:30,1986.80,1990.00,1986.80,1990.00,166
2026-06-25T09:46:00+05:30,1990.20,1990.90,1988.30,1988.30,1212
2026-06-25T09:47:00+05:30,1989.10,1991.10,1988.00,1988.00,8728
2026-06-25T09:48:00+05:30,1988.90,1989.30,1987.10,1988.40,1020
2026-06-25T09:49:00+05:30,1989.30,1989.90,1987.90,1989.00,1396
2026-06-25T09:50:00+05:30,1989.80,1992.00,1989.10,1990.00,24265
2026-06-25T09:51:00+05:30,1990.00,1990.00,1989.00,1989.00,5012
2026-06-25T09:52:00+05:30,1989.60,1992.40,1989.20,1992.40,14450
2026-06-25T09:53:00+05:30,1993.00,1993.00,1989.00,1989.00,1651
2026-06-25T09:54:00+05:30,1988.50,1990.40,1988.00,1989.80,1695
2026-06-25T09:55:00+05:30,1990.30,1992.00,1989.60,1990.80,817
2026-06-25T09:56:00+05:30,1990.80,1992.00,1989.60,1992.00,1237
2026-06-25T09:57:00+05:30,1991.10,1996.00,1991.10,1996.00,4031
