ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,277.50,277.85,277.40,277.40,0
2026-06-25T09:16:00+05:30,277.25,277.25,276.65,276.65,27948
2026-06-25T09:17:00+05:30,276.60,276.85,276.50,276.85,15938
2026-06-25T09:18:00+05:30,276.70,277.25,276.60,277.05,26400
2026-06-25T09:19:00+05:30,277.00,277.00,276.65,276.95,17777
2026-06-25T09:20:00+05:30,276.75,277.00,276.75,276.95,14775
2026-06-25T09:21:00+05:30,276.90,277.05,276.90,277.00,16010
2026-06-25T09:22:00+05:30,277.05,277.35,276.90,277.35,9778
2026-06-25T09:23:00+05:30,277.50,277.75,277.30,277.30,12754
2026-06-25T09:24:00+05:30,277.20,277.25,276.70,276.70,11530
2026-06-25T09:25:00+05:30,276.70,276.95,276.70,276.90,6511
2026-06-25T09:26:00+05:30,276.85,276.90,276.35,276.35,8814
2026-06-25T09:27:00+05:30,276.40,276.40,275.65,275.65,21633
2026-06-25T09:28:00+05:30,275.75,276.15,275.75,275.90,11425
2026-06-25T09:29:00+05:30,276.00,276.10,275.90,276.05,20682
2026-06-25T09:30:00+05:30,276.05,276.25,276.05,276.25,14158
2026-06-25T09:31:00+05:30,276.45,276.45,276.00,276.00,12545
2026-06-25T09:32:00+05:30,276.00,276.00,275.85,275.95,43999
2026-06-25T09:33:00+05:30,275.95,276.00,275.85,275.85,7462
2026-06-25T09:34:00+05:30,275.95,276.00,275.85,275.85,11496
2026-06-25T09:35:00+05:30,275.85,275.95,275.60,275.60,4075
2026-06-25T09:36:00+05:30,275.70,275.70,275.50,275.65,6320
2026-06-25T09:37:00+05:30,275.55,275.55,275.35,275.45,11208
2026-06-25T09:38:00+05:30,275.35,275.45,275.35,275.45,5112
2026-06-25T09:39:00+05:30,275.45,275.65,275.45,275.65,7275
2026-06-25T09:40:00+05:30,275.60,275.65,275.55,275.65,8099
2026-06-25T09:41:00+05:30,275.70,275.75,275.70,275.75,4198
2026-06-25T09:42:00+05:30,275.75,275.95,275.75,275.75,9340
2026-06-25T09:43:00+05:30,275.75,275.95,275.75,275.95,3644
2026-06-25T09:44:00+05:30,276.00,276.00,275.70,275.70,3022
2026-06-25T09:45:00+05:30,275.75,275.75,275.65,275.65,5209
2026-06-25T09:46:00+05:30,275.65,275.75,275.65,275.75,1373
2026-06-25T09:47:00+05:30,275.65,276.20,275.65,276.20,6825
2026-06-25T09:48:00+05:30,276.20,276.25,275.75,275.80,14645
2026-06-25T09:49:00+05:30,275.80,276.25,275.80,276.20,7327
2026-06-25T09:50:00+05:30,276.35,276.35,276.00,276.15,8361
2026-06-25T09:51:00+05:30,276.05,276.15,275.95,275.95,2566
2026-06-25T09:52:00+05:30,275.90,276.35,275.90,276.20,12046
2026-06-25T09:53:00+05:30,276.15,276.20,276.15,276.20,1578
2026-06-25T09:54:00+05:30,276.15,276.50,276.10,276.50,4323
2026-06-25T09:55:00+05:30,276.25,276.65,276.25,276.65,23774
2026-06-25T09:56:00+05:30,276.45,276.70,276.45,276.55,3354
2026-06-25T09:57:00+05:30,276.50,276.50,276.10,276.10,5781
2026-06-25T09:58:00+05:30,276.20,276.20,276.05,276.05,16488
2026-06-25T09:59:00+05:30,276.05,276.10,276.05,276.10,14401
2026-06-25T10:00:00+05:30,276.05,276.10,276.05,276.10,6559
2026-06-25T10:01:00+05:30,276.05,276.10,276.05,276.05,21146
2026-06-25T10:02:00+05:30,276.05,276.05,275.80,275.80,4986
2026-06-25T10:03:00+05:30,275.60,275.65,275.55,275.65,3598
2026-06-25T10:04:00+05:30,275.65,275.75,275.65,275.70,5833
2026-06-25T10:05:00+05:30,275.80,276.00,275.65,276.00,3408
2026-06-25T10:06:00+05:30,275.95,275.95,275.55,275.60,6812
2026-06-25T10:07:00+05:30,275.60,275.65,275.50,275.50,621
2026-06-25T10:08:00+05:30,275.50,275.70,275.35,275.35,16686
2026-06-25T10:09:00+05:30,275.40,275.60,275.40,275.45,1691
2026-06-25T10:10:00+05:30,275.45,275.60,275.45,275.50,5296
2026-06-25T10:11:00+05:30,275.50,275.60,275.40,275.50,2523
