ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,5583.50,5591.50,5576.50,5591.50,0
2026-06-25T09:16:00+05:30,5589.00,5589.50,5585.50,5587.50,1458
2026-06-25T09:17:00+05:30,5589.00,5625.00,5583.50,5617.00,4080
2026-06-25T09:18:00+05:30,5622.00,5626.00,5611.50,5615.00,3035
2026-06-25T09:19:00+05:30,5611.00,5617.50,5611.00,5611.00,987
2026-06-25T09:20:00+05:30,5610.50,5637.00,5610.50,5635.00,4402
2026-06-25T09:21:00+05:30,5636.50,5639.00,5635.00,5635.00,1411
2026-06-25T09:22:00+05:30,5638.00,5640.00,5629.00,5629.00,2819
2026-06-25T09:23:00+05:30,5632.00,5632.00,5620.50,5625.00,604
2026-06-25T09:24:00+05:30,5626.50,5626.50,5623.00,5623.00,230
2026-06-25T09:25:00+05:30,5626.00,5627.00,5621.00,5621.00,421
2026-06-25T09:26:00+05:30,5620.50,5624.00,5620.00,5620.00,981
2026-06-25T09:27:00+05:30,5622.50,5630.00,5618.50,5628.50,988
2026-06-25T09:28:00+05:30,5631.50,5634.50,5630.00,5632.50,443
2026-06-25T09:29:00+05:30,5631.50,5632.00,5627.00,5630.00,857
2026-06-25T09:30:00+05:30,5630.00,5632.00,5625.50,5629.00,400
2026-06-25T09:31:00+05:30,5628.50,5629.00,5624.00,5624.00,520
2026-06-25T09:32:00+05:30,5625.00,5628.00,5625.00,5626.00,395
2026-06-25T09:33:00+05:30,5622.50,5625.50,5622.00,5622.00,433
2026-06-25T09:34:00+05:30,5625.00,5628.50,5625.00,5627.00,867
2026-06-25T09:35:00+05:30,5627.50,5634.00,5627.00,5634.00,1129
2026-06-25T09:36:00+05:30,5632.50,5636.00,5632.50,5635.50,1502
2026-06-25T09:37:00+05:30,5635.50,5637.00,5629.00,5630.50,1701
2026-06-25T09:38:00+05:30,5633.50,5637.00,5630.50,5635.50,575
2026-06-25T09:39:00+05:30,5633.00,5638.50,5632.00,5638.50,1475
2026-06-25T09:40:00+05:30,5639.50,5642.00,5636.50,5641.00,1332
2026-06-25T09:41:00+05:30,5639.00,5644.00,5634.50,5644.00,817
2026-06-25T09:42:00+05:30,5640.00,5645.00,5640.00,5642.00,1449
2026-06-25T09:43:00+05:30,5643.50,5644.00,5633.50,5637.50,460
2026-06-25T09:44:00+05:30,5636.50,5640.00,5635.50,5640.00,290
2026-06-25T09:45:00+05:30,5640.00,5641.50,5639.00,5641.00,276
2026-06-25T09:46:00+05:30,5641.00,5642.50,5640.00,5640.00,956
2026-06-25T09:47:00+05:30,5639.00,5641.50,5639.00,5639.50,1155
2026-06-25T09:48:00+05:30,5640.00,5640.00,5636.00,5636.00,358
2026-06-25T09:49:00+05:30,5638.50,5638.50,5634.00,5634.50,311
2026-06-25T09:50:00+05:30,5637.00,5637.00,5630.00,5633.50,1204
2026-06-25T09:51:00+05:30,5632.00,5652.50,5632.00,5650.00,4104
2026-06-25T09:52:00+05:30,5652.50,5656.00,5651.00,5654.50,716
2026-06-25T09:53:00+05:30,5652.50,5653.00,5646.50,5652.50,947
2026-06-25T09:54:00+05:30,5649.50,5654.50,5649.00,5654.50,600
2026-06-25T09:55:00+05:30,5654.50,5662.00,5654.50,5662.00,1055
2026-06-25T09:56:00+05:30,5663.50,5665.00,5662.50,5662.50,1187
2026-06-25T09:57:00+05:30,5656.00,5658.50,5646.50,5655.00,12619
2026-06-25T09:58:00+05:30,5651.00,5655.00,5648.50,5655.00,624
2026-06-25T09:59:00+05:30,5655.00,5657.00,5652.00,5655.00,1239
2026-06-25T10:00:00+05:30,5654.00,5654.00,5648.50,5651.50,1457
2026-06-25T10:01:00+05:30,5653.00,5653.00,5649.00,5649.00,1140
2026-06-25T10:02:00+05:30,5647.00,5649.00,5647.00,5648.00,572
2026-06-25T10:03:00+05:30,5647.50,5649.50,5646.50,5649.50,781
2026-06-25T10:04:00+05:30,5649.00,5650.00,5647.00,5648.50,721
2026-06-25T10:05:00+05:30,5648.50,5654.00,5646.50,5653.00,1045
2026-06-25T10:06:00+05:30,5654.00,5654.00,5650.50,5653.50,884
2026-06-25T10:07:00+05:30,5653.50,5653.50,5647.50,5648.00,992
2026-06-25T10:08:00+05:30,5649.00,5653.50,5649.00,5652.00,620
2026-06-25T10:09:00+05:30,5652.00,5652.00,5648.00,5651.00,604
2026-06-25T10:10:00+05:30,5652.50,5655.00,5652.00,5655.00,775
2026-06-25T10:11:00+05:30,5657.00,5658.00,5654.00,5658.00,274
2026-06-25T10:12:00+05:30,5655.50,5658.50,5655.50,5657.50,463
2026-06-25T10:13:00+05:30,5658.50,5658.50,5657.00,5657.50,147
2026-06-25T10:14:00+05:30,5659.00,5664.50,5658.50,5664.00,1771
2026-06-25T10:15:00+05:30,5663.50,5669.00,5662.00,5666.00,1245
2026-06-25T10:16:00+05:30,5667.00,5669.00,5666.50,5668.50,637
2026-06-25T10:17:00+05:30,5667.00,5668.50,5666.00,5667.00,689
2026-06-25T10:18:00+05:30,5665.00,5668.50,5662.00,5668.50,875
2026-06-25T10:19:00+05:30,5666.00,5670.50,5666.00,5667.50,852
2026-06-25T10:20:00+05:30,5668.00,5668.00,5660.00,5664.00,1392
2026-06-25T10:21:00+05:30,5666.00,5669.00,5664.00,5668.00,564
2026-06-25T10:22:00+05:30,5669.50,5670.00,5666.00,5666.50,488
2026-06-25T10:23:00+05:30,5670.50,5670.50,5666.00,5669.00,291
2026-06-25T10:24:00+05:30,5669.00,5669.00,5665.00,5665.00,335
2026-06-25T10:25:00+05:30,5665.00,5665.00,5664.50,5665.00,90
2026-06-25T10:26:00+05:30,5665.00,5667.50,5663.00,5667.50,1720
2026-06-25T10:27:00+05:30,5665.00,5672.50,5665.00,5672.50,934
2026-06-25T10:28:00+05:30,5673.50,5681.50,5672.50,5672.50,2494
2026-06-25T10:29:00+05:30,5674.50,5676.00,5660.50,5660.50,911
2026-06-25T10:30:00+05:30,5655.00,5659.50,5647.50,5656.00,1688
2026-06-25T10:31:00+05:30,5654.50,5657.00,5653.00,5655.00,336
2026-06-25T10:32:00+05:30,5654.00,5655.50,5652.00,5655.50,451
2026-06-25T10:33:00+05:30,5654.00,5656.50,5652.00,5655.00,467
2026-06-25T10:34:00+05:30,5656.00,5658.00,5654.00,5656.00,386
2026-06-25T10:35:00+05:30,5658.00,5663.50,5657.00,5663.50,575
2026-06-25T10:36:00+05:30,5662.50,5669.50,5662.50,5665.00,963
2026-06-25T10:37:00+05:30,5667.50,5678.00,5666.50,5677.50,647
2026-06-25T10:38:00+05:30,5677.00,5677.00,5669.50,5674.00,1263
2026-06-25T10:39:00+05:30,5674.50,5679.50,5673.00,5677.50,2445
2026-06-25T10:40:00+05:30,5677.50,5679.50,5676.00,5677.50,665
2026-06-25T10:41:00+05:30,5678.00,5685.00,5677.00,5683.50,1251
2026-06-25T10:42:00+05:30,5684.50,5686.00,5681.00,5684.00,762
2026-06-25T10:43:00+05:30,5684.00,5686.00,5682.00,5684.00,1140
2026-06-25T10:44:00+05:30,5685.00,5686.00,5677.50,5677.50,1010
2026-06-25T10:45:00+05:30,5680.00,5680.00,5675.50,5676.50,411
2026-06-25T10:46:00+05:30,5677.50,5681.00,5677.00,5678.00,706
2026-06-25T10:47:00+05:30,5677.50,5680.00,5675.50,5678.50,1497
2026-06-25T10:48:00+05:30,5681.50,5685.00,5680.50,5682.00,716
2026-06-25T10:49:00+05:30,5683.50,5688.50,5682.50,5685.50,1110
2026-06-25T10:50:00+05:30,5686.50,5689.00,5684.50,5689.00,1136
2026-06-25T10:51:00+05:30,5688.00,5691.50,5687.00,5687.00,3231
2026-06-25T10:52:00+05:30,5687.50,5689.00,5680.00,5686.00,1561
2026-06-25T10:53:00+05:30,5686.00,5687.00,5683.00,5683.00,897
