ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,425.05,425.05,424.35,424.85,0
2026-06-25T09:16:00+05:30,424.85,425.45,424.85,425.40,6229
2026-06-25T09:17:00+05:30,425.25,425.45,424.90,425.05,11372
2026-06-25T09:18:00+05:30,424.85,424.85,424.25,424.25,3876
2026-06-25T09:19:00+05:30,424.40,424.40,424.15,424.15,10410
2026-06-25T09:20:00+05:30,424.00,424.25,424.00,424.25,1692
2026-06-25T09:21:00+05:30,423.65,424.80,423.40,424.65,25189
2026-06-25T09:22:00+05:30,424.70,425.65,424.70,425.00,13707
2026-06-25T09:23:00+05:30,425.00,426.65,424.70,426.65,57140
2026-06-25T09:24:00+05:30,426.60,426.60,426.10,426.20,3191
2026-06-25T09:25:00+05:30,425.65,425.95,425.65,425.95,7142
2026-06-25T09:26:00+05:30,425.80,425.90,425.65,425.80,1189
2026-06-25T09:27:00+05:30,426.55,426.55,426.35,426.35,10847
2026-06-25T09:28:00+05:30,426.40,426.55,426.25,426.45,5897
2026-06-25T09:29:00+05:30,426.50,426.75,426.45,426.75,11658
2026-06-25T09:30:00+05:30,426.85,428.30,426.85,428.25,18999
2026-06-25T09:31:00+05:30,428.25,428.25,427.35,427.35,6870
2026-06-25T09:32:00+05:30,427.40,428.20,427.40,427.75,20367
2026-06-25T09:33:00+05:30,427.75,427.75,427.50,427.60,1672
2026-06-25T09:34:00+05:30,427.50,427.50,426.95,427.00,36819
2026-06-25T09:35:00+05:30,427.00,427.30,427.00,427.25,5891
2026-06-25T09:36:00+05:30,427.10,427.30,427.10,427.10,2339
2026-06-25T09:37:00+05:30,426.80,427.15,426.80,427.10,7213
2026-06-25T09:38:00+05:30,426.90,427.35,426.90,427.30,14473
2026-06-25T09:39:00+05:30,427.15,427.20,426.90,426.90,5338
2026-06-25T09:40:00+05:30,427.05,427.05,426.80,427.00,5336
2026-06-25T09:41:00+05:30,427.00,427.00,426.70,426.70,3439
2026-06-25T09:42:00+05:30,426.50,426.85,426.40,426.65,9412
2026-06-25T09:43:00+05:30,426.65,426.85,426.60,426.60,2862
2026-06-25T09:44:00+05:30,426.75,426.75,426.45,426.45,2182
2026-06-25T09:45:00+05:30,426.50,426.50,426.10,426.25,753
2026-06-25T09:46:00+05:30,426.45,426.70,426.30,426.70,8525
2026-06-25T09:47:00+05:30,426.75,427.15,426.75,427.00,5921
2026-06-25T09:48:00+05:30,427.00,427.30,426.75,426.75,5669
2026-06-25T09:49:00+05:30,427.00,427.10,426.90,427.10,385
2026-06-25T09:50:00+05:30,426.95,427.80,426.95,427.80,10915
2026-06-25T09:51:00+05:30,428.00,428.00,427.55,427.65,4078
2026-06-25T09:52:00+05:30,427.80,427.90,427.45,427.80,18228
2026-06-25T09:53:00+05:30,428.00,428.00,427.85,427.95,5870
2026-06-25T09:54:00+05:30,428.00,428.85,427.80,428.50,187075
2026-06-25T09:55:00+05:30,428.50,428.90,428.35,428.75,15078
2026-06-25T09:56:00+05:30,428.65,429.10,428.65,429.10,9133
2026-06-25T09:57:00+05:30,429.05,429.65,429.00,429.65,30397
2026-06-25T09:58:00+05:30,429.70,430.70,429.55,430.45,22749
2026-06-25T09:59:00+05:30,430.75,431.10,430.45,430.90,18932
2026-06-25T10:00:00+05:30,430.90,430.90,430.20,430.30,8406
2026-06-25T10:01:00+05:30,430.05,430.15,429.90,430.15,3712
2026-06-25T10:02:00+05:30,430.05,430.60,429.60,430.60,12449
2026-06-25T10:03:00+05:30,430.50,430.90,430.50,430.90,13468
2026-06-25T10:04:00+05:30,430.65,431.00,430.65,430.75,7966
2026-06-25T10:05:00+05:30,430.90,431.00,430.80,430.80,3725
2026-06-25T10:06:00+05:30,430.80,430.80,430.25,430.25,3493
2026-06-25T10:07:00+05:30,430.30,430.30,429.75,429.75,2512
2026-06-25T10:08:00+05:30,429.70,429.80,429.50,429.50,3887
2026-06-25T10:09:00+05:30,429.35,429.45,429.10,429.15,4044
2026-06-25T10:10:00+05:30,429.30,429.65,429.30,429.65,4123
2026-06-25T10:11:00+05:30,429.45,429.55,429.35,429.50,3024
2026-06-25T10:12:00+05:30,429.35,429.50,429.20,429.20,1566
2026-06-25T10:13:00+05:30,428.75,428.75,428.35,428.60,11051
2026-06-25T10:14:00+05:30,428.60,428.70,428.45,428.65,1555
2026-06-25T10:15:00+05:30,428.70,429.55,428.65,428.80,11895
2026-06-25T10:16:00+05:30,428.65,428.80,428.65,428.80,1836
2026-06-25T10:17:00+05:30,428.65,428.70,428.50,428.50,493
2026-06-25T10:18:00+05:30,428.65,428.65,428.50,428.60,2249
