ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1645.00,1646.60,1641.90,1644.60,0
2026-06-25T09:16:00+05:30,1645.90,1654.80,1645.90,1648.10,610
2026-06-25T09:17:00+05:30,1650.20,1650.20,1644.70,1644.70,2316
2026-06-25T09:18:00+05:30,1647.80,1647.80,1643.20,1644.40,226
2026-06-25T09:19:00+05:30,1647.90,1647.90,1640.50,1640.50,422
2026-06-25T09:20:00+05:30,1641.40,1643.30,1640.60,1643.30,79
2026-06-25T09:21:00+05:30,1644.10,1644.40,1640.20,1640.90,430
2026-06-25T09:22:00+05:30,1643.00,1643.40,1641.40,1641.40,156
2026-06-25T09:23:00+05:30,1640.90,1643.20,1640.00,1640.00,309
2026-06-25T09:24:00+05:30,1641.00,1642.50,1638.60,1638.60,506
2026-06-25T09:25:00+05:30,1638.60,1638.70,1636.40,1636.40,201
2026-06-25T09:26:00+05:30,1635.50,1638.10,1633.70,1635.00,495
2026-06-25T09:27:00+05:30,1635.00,1637.10,1632.00,1633.30,606
2026-06-25T09:28:00+05:30,1634.60,1636.50,1633.60,1636.50,86
2026-06-25T09:29:00+05:30,1636.00,1638.70,1636.00,1637.80,140
2026-06-25T09:30:00+05:30,1637.90,1637.90,1632.70,1632.70,510
2026-06-25T09:31:00+05:30,1634.90,1636.00,1634.90,1635.20,179
2026-06-25T09:32:00+05:30,1635.90,1636.70,1635.10,1635.10,20
2026-06-25T09:33:00+05:30,1635.10,1636.40,1632.40,1632.40,638
2026-06-25T09:34:00+05:30,1635.20,1637.20,1632.90,1637.20,665
2026-06-25T09:35:00+05:30,1636.70,1636.70,1634.20,1634.40,163
2026-06-25T09:36:00+05:30,1635.50,1635.90,1634.00,1635.90,22
2026-06-25T09:37:00+05:30,1634.80,1636.10,1634.20,1636.00,691
2026-06-25T09:38:00+05:30,1638.10,1639.20,1638.10,1639.20,279
2026-06-25T09:39:00+05:30,1638.10,1638.70,1636.70,1637.90,185
2026-06-25T09:40:00+05:30,1638.60,1638.60,1634.70,1634.70,328
2026-06-25T09:41:00+05:30,1634.60,1638.30,1634.60,1637.30,33
2026-06-25T09:42:00+05:30,1638.30,1638.50,1637.30,1637.30,17
2026-06-25T09:43:00+05:30,1638.50,1639.20,1638.10,1639.20,10
2026-06-25T09:44:00+05:30,1638.50,1638.50,1635.80,1637.10,123
2026-06-25T09:45:00+05:30,1636.70,1636.70,1635.50,1635.60,158
2026-06-25T09:46:00+05:30,1635.60,1636.40,1635.50,1635.70,71
2026-06-25T09:48:00+05:30,1637.80,1638.60,1636.10,1636.10,48
2026-06-25T09:49:00+05:30,1635.70,1639.30,1635.70,1636.10,346
2026-06-25T09:50:00+05:30,1636.20,1637.80,1636.20,1636.50,49
2026-06-25T09:51:00+05:30,1636.00,1636.00,1635.70,1635.70,311
2026-06-25T09:52:00+05:30,1635.30,1635.30,1634.70,1635.00,186
2026-06-25T09:53:00+05:30,1635.00,1635.00,1632.40,1632.70,1222
2026-06-25T09:54:00+05:30,1633.70,1633.70,1633.40,1633.40,88
2026-06-25T09:55:00+05:30,1633.40,1635.60,1633.40,1635.60,233
2026-06-25T09:56:00+05:30,1633.60,1634.40,1633.60,1634.00,13
2026-06-25T09:57:00+05:30,1633.90,1634.00,1633.90,1634.00,8
2026-06-25T09:58:00+05:30,1634.00,1635.00,1634.00,1634.00,11
2026-06-25T09:59:00+05:30,1634.00,1634.00,1633.50,1633.50,9
2026-06-25T10:00:00+05:30,1633.50,1633.80,1633.50,1633.50,8
2026-06-25T10:01:00+05:30,1634.80,1635.50,1633.50,1635.50,137
2026-06-25T10:02:00+05:30,1633.90,1635.20,1632.50,1633.20,376
2026-06-25T10:03:00+05:30,1632.40,1632.90,1632.40,1632.40,17
2026-06-25T10:04:00+05:30,1633.00,1633.00,1633.00,1633.00,1
2026-06-25T10:05:00+05:30,1634.30,1634.30,1632.40,1632.40,116
2026-06-25T10:06:00+05:30,1633.90,1633.90,1632.00,1632.00,200
2026-06-25T10:07:00+05:30,1632.80,1633.20,1632.40,1633.20,816
2026-06-25T10:08:00+05:30,1633.90,1634.60,1633.90,1634.30,32
2026-06-25T10:09:00+05:30,1633.90,1635.40,1633.10,1633.40,193
2026-06-25T10:10:00+05:30,1634.70,1634.70,1634.70,1634.70,0
2026-06-25T10:11:00+05:30,1634.40,1634.90,1634.40,1634.90,46
2026-06-25T10:12:00+05:30,1634.90,1634.90,1634.00,1634.80,83
2026-06-25T10:13:00+05:30,1634.00,1634.90,1634.00,1634.60,3
2026-06-25T10:14:00+05:30,1634.00,1634.60,1633.30,1634.00,25
2026-06-25T10:15:00+05:30,1634.00,1634.00,1633.30,1633.30,13
2026-06-25T10:16:00+05:30,1633.20,1633.60,1633.20,1633.60,12
2026-06-25T10:17:00+05:30,1634.00,1634.00,1633.00,1633.00,31
2026-06-25T10:18:00+05:30,1633.50,1633.90,1633.00,1633.10,23
2026-06-25T10:19:00+05:30,1634.00,1634.00,1633.00,1633.00,19
2026-06-25T10:20:00+05:30,1634.00,1634.00,1633.30,1633.30,66
2026-06-25T10:21:00+05:30,1633.30,1633.30,1633.30,1633.30,0
2026-06-25T10:22:00+05:30,1634.00,1635.90,1633.10,1635.90,174
2026-06-25T10:23:00+05:30,1633.60,1633.60,1633.60,1633.60,15
2026-06-25T10:24:00+05:30,1634.00,1634.00,1633.60,1633.60,41
2026-06-25T10:25:00+05:30,1635.60,1635.60,1634.30,1634.30,29
2026-06-25T10:26:00+05:30,1634.10,1637.50,1634.10,1637.00,1258
2026-06-25T10:27:00+05:30,1636.90,1636.90,1635.10,1635.10,180
2026-06-25T10:29:00+05:30,1636.50,1636.50,1635.10,1635.10,3
2026-06-25T10:30:00+05:30,1635.10,1637.20,1635.10,1636.50,43
2026-06-25T10:31:00+05:30,1637.00,1638.20,1637.00,1638.20,32
2026-06-25T10:32:00+05:30,1638.60,1640.00,1638.60,1640.00,79
2026-06-25T10:33:00+05:30,1639.10,1640.20,1639.10,1640.20,13
2026-06-25T10:34:00+05:30,1638.00,1638.00,1636.00,1636.20,325
2026-06-25T10:35:00+05:30,1636.20,1638.10,1636.00,1636.10,16
2026-06-25T10:37:00+05:30,1637.70,1637.70,1637.10,1637.10,23
2026-06-25T10:38:00+05:30,1638.20,1638.50,1637.30,1637.30,28
2026-06-25T10:40:00+05:30,1638.30,1638.30,1637.10,1637.10,48
2026-06-25T10:41:00+05:30,1637.10,1638.00,1637.00,1638.00,228
2026-06-25T10:42:00+05:30,1637.00,1637.00,1637.00,1637.00,1
2026-06-25T10:43:00+05:30,1638.10,1638.40,1637.10,1637.10,42
2026-06-25T10:44:00+05:30,1638.60,1638.60,1637.00,1638.40,24
2026-06-25T10:45:00+05:30,1638.50,1638.50,1636.30,1636.30,74
2026-06-25T10:46:00+05:30,1636.30,1637.60,1636.10,1636.10,25
2026-06-25T10:47:00+05:30,1636.10,1636.10,1636.10,1636.10,6
2026-06-25T10:48:00+05:30,1636.10,1636.30,1636.00,1636.30,12
2026-06-25T10:49:00+05:30,1637.70,1637.70,1635.00,1635.00,54
2026-06-25T10:50:00+05:30,1634.50,1635.20,1633.60,1633.90,1202
2026-06-25T10:51:00+05:30,1630.00,1630.00,1629.00,1629.90,1912
2026-06-25T10:52:00+05:30,1629.50,1629.50,1627.70,1627.70,141
2026-06-25T10:53:00+05:30,1628.00,1628.30,1627.00,1628.30,100
2026-06-25T10:54:00+05:30,1627.80,1628.50,1627.00,1627.00,153
2026-06-25T10:55:00+05:30,1627.60,1628.40,1627.00,1627.00,13
2026-06-25T10:56:00+05:30,1628.50,1628.50,1627.10,1627.10,54
2026-06-25T10:57:00+05:30,1627.10,1627.10,1627.00,1627.00,17
2026-06-25T10:58:00+05:30,1627.10,1627.10,1626.30,1626.30,223
2026-06-25T10:59:00+05:30,1626.00,1627.00,1626.00,1627.00,77
2026-06-25T11:00:00+05:30,1626.10,1627.00,1626.10,1626.50,31
2026-06-25T11:01:00+05:30,1626.50,1626.70,1626.00,1626.70,217
2026-06-25T11:02:00+05:30,1627.00,1627.00,1626.50,1627.00,13
2026-06-25T11:03:00+05:30,1628.20,1628.40,1628.20,1628.40,15
2026-06-25T11:04:00+05:30,1628.20,1628.80,1628.20,1628.20,132
2026-06-25T11:05:00+05:30,1629.30,1629.30,1627.50,1627.60,168
2026-06-25T11:06:00+05:30,1628.00,1629.80,1628.00,1629.80,183
2026-06-25T11:07:00+05:30,1629.80,1629.80,1628.70,1628.70,34
2026-06-25T11:08:00+05:30,1628.70,1629.20,1628.70,1629.20,191
2026-06-25T11:09:00+05:30,1630.70,1630.70,1629.30,1629.30,12
2026-06-25T11:10:00+05:30,1630.70,1631.00,1629.30,1629.30,55
2026-06-25T11:11:00+05:30,1630.10,1630.10,1628.10,1628.10,295
2026-06-25T11:12:00+05:30,1628.10,1628.20,1627.00,1627.50,346
2026-06-25T11:13:00+05:30,1627.00,1628.40,1626.80,1628.40,106
2026-06-25T11:15:00+05:30,1629.00,1629.10,1627.30,1629.10,116
2026-06-25T11:16:00+05:30,1629.30,1629.30,1627.60,1628.90,56
2026-06-25T11:17:00+05:30,1628.30,1629.00,1627.50,1627.50,40
2026-06-25T11:18:00+05:30,1627.50,1627.50,1627.50,1627.50,0
2026-06-25T11:19:00+05:30,1627.90,1627.90,1627.50,1627.50,37
2026-06-25T11:20:00+05:30,1628.40,1628.40,1627.50,1627.50,13
2026-06-25T11:21:00+05:30,1628.70,1628.70,1627.50,1628.10,12
2026-06-25T11:22:00+05:30,1629.00,1629.00,1628.10,1628.50,93
2026-06-25T11:23:00+05:30,1629.20,1629.20,1628.10,1628.10,13
2026-06-25T11:24:00+05:30,1629.00,1629.60,1628.10,1628.10,208
2026-06-25T11:25:00+05:30,1628.50,1628.50,1628.10,1628.10,0
2026-06-25T11:26:00+05:30,1628.10,1628.10,1627.50,1627.50,164
2026-06-25T11:27:00+05:30,1628.10,1628.10,1628.00,1628.00,14
2026-06-25T11:28:00+05:30,1629.40,1629.60,1627.50,1627.50,167
