ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,12132.00,12179.00,12132.00,12179.00,0
2026-06-25T09:16:00+05:30,12167.00,12176.00,12155.00,12155.00,5243
2026-06-25T09:17:00+05:30,12148.00,12180.00,12148.00,12175.00,2993
2026-06-25T09:18:00+05:30,12179.00,12190.00,12174.00,12185.00,2546
2026-06-25T09:19:00+05:30,12185.00,12208.00,12184.00,12208.00,3431
2026-06-25T09:20:00+05:30,12197.00,12201.00,12190.00,12192.00,2663
2026-06-25T09:21:00+05:30,12199.00,12199.00,12187.00,12190.00,1106
2026-06-25T09:22:00+05:30,12189.00,12196.00,12189.00,12196.00,409
2026-06-25T09:23:00+05:30,12193.00,12206.00,12189.00,12189.00,1665
2026-06-25T09:24:00+05:30,12192.00,12192.00,12186.00,12189.00,850
2026-06-25T09:25:00+05:30,12181.00,12199.00,12181.00,12199.00,1259
2026-06-25T09:26:00+05:30,12200.00,12206.00,12195.00,12195.00,1584
2026-06-25T09:27:00+05:30,12197.00,12197.00,12186.00,12188.00,1044
2026-06-25T09:28:00+05:30,12190.00,12190.00,12180.00,12180.00,818
2026-06-25T09:29:00+05:30,12180.00,12182.00,12170.00,12170.00,1683
2026-06-25T09:30:00+05:30,12175.00,12206.00,12160.00,12160.00,10461
2026-06-25T09:31:00+05:30,12167.00,12167.00,12132.00,12135.00,5805
2026-06-25T09:32:00+05:30,12138.00,12139.00,12130.00,12133.00,1593
2026-06-25T09:33:00+05:30,12130.00,12132.00,12121.00,12130.00,1460
2026-06-25T09:34:00+05:30,12135.00,12149.00,12135.00,12142.00,961
2026-06-25T09:35:00+05:30,12140.00,12148.00,12126.00,12126.00,1238
2026-06-25T09:36:00+05:30,12126.00,12130.00,12115.00,12115.00,908
2026-06-25T09:37:00+05:30,12115.00,12130.00,12105.00,12125.00,738
2026-06-25T09:38:00+05:30,12121.00,12125.00,12119.00,12122.00,265
2026-06-25T09:39:00+05:30,12124.00,12128.00,12123.00,12128.00,488
2026-06-25T09:40:00+05:30,12127.00,12131.00,12111.00,12131.00,1492
2026-06-25T09:41:00+05:30,12130.00,12131.00,12125.00,12127.00,329
2026-06-25T09:42:00+05:30,12128.00,12131.00,12126.00,12126.00,340
2026-06-25T09:43:00+05:30,12130.00,12156.00,12130.00,12150.00,1567
2026-06-25T09:44:00+05:30,12149.00,12155.00,12139.00,12139.00,1848
2026-06-25T09:45:00+05:30,12140.00,12152.00,12136.00,12152.00,416
2026-06-25T09:46:00+05:30,12150.00,12155.00,12146.00,12155.00,394
2026-06-25T09:47:00+05:30,12152.00,12190.00,12150.00,12170.00,2534
2026-06-25T09:48:00+05:30,12171.00,12177.00,12165.00,12170.00,1385
2026-06-25T09:49:00+05:30,12172.00,12195.00,12170.00,12195.00,1872
2026-06-25T09:50:00+05:30,12192.00,12199.00,12183.00,12183.00,1081
2026-06-25T09:51:00+05:30,12188.00,12194.00,12188.00,12192.00,326
2026-06-25T09:52:00+05:30,12192.00,12192.00,12175.00,12180.00,710
2026-06-25T09:53:00+05:30,12179.00,12179.00,12163.00,12175.00,846
2026-06-25T09:54:00+05:30,12175.00,12175.00,12167.00,12170.00,323
2026-06-25T09:55:00+05:30,12167.00,12179.00,12167.00,12176.00,701
2026-06-25T09:56:00+05:30,12171.00,12176.00,12171.00,12176.00,222
2026-06-25T09:57:00+05:30,12174.00,12175.00,12170.00,12171.00,602
2026-06-25T09:58:00+05:30,12173.00,12173.00,12162.00,12168.00,1082
2026-06-25T09:59:00+05:30,12175.00,12175.00,12166.00,12173.00,156
2026-06-25T10:00:00+05:30,12172.00,12179.00,12166.00,12170.00,788
2026-06-25T10:01:00+05:30,12171.00,12171.00,12163.00,12164.00,363
2026-06-25T10:02:00+05:30,12172.00,12179.00,12170.00,12170.00,818
2026-06-25T10:03:00+05:30,12180.00,12180.00,12170.00,12178.00,841
2026-06-25T10:04:00+05:30,12176.00,12176.00,12170.00,12173.00,364
2026-06-25T10:05:00+05:30,12173.00,12175.00,12170.00,12170.00,167
2026-06-25T10:06:00+05:30,12170.00,12170.00,12140.00,12140.00,3030
2026-06-25T10:07:00+05:30,12140.00,12140.00,12124.00,12130.00,756
2026-06-25T10:08:00+05:30,12130.00,12171.00,12128.00,12170.00,2198
2026-06-25T10:09:00+05:30,12170.00,12182.00,12170.00,12182.00,654
2026-06-25T10:10:00+05:30,12184.00,12184.00,12176.00,12182.00,276
2026-06-25T10:11:00+05:30,12182.00,12182.00,12175.00,12180.00,620
2026-06-25T10:12:00+05:30,12185.00,12185.00,12178.00,12178.00,292
2026-06-25T10:13:00+05:30,12178.00,12184.00,12174.00,12179.00,674
2026-06-25T10:14:00+05:30,12180.00,12185.00,12180.00,12180.00,395
2026-06-25T10:15:00+05:30,12179.00,12179.00,12172.00,12174.00,277
2026-06-25T10:16:00+05:30,12174.00,12175.00,12172.00,12172.00,261
2026-06-25T10:17:00+05:30,12170.00,12190.00,12170.00,12181.00,869
2026-06-25T10:18:00+05:30,12186.00,12190.00,12180.00,12190.00,1155
2026-06-25T10:19:00+05:30,12185.00,12194.00,12185.00,12192.00,560
2026-06-25T10:20:00+05:30,12192.00,12194.00,12187.00,12187.00,282
2026-06-25T10:21:00+05:30,12190.00,12197.00,12187.00,12196.00,985
2026-06-25T10:22:00+05:30,12198.00,12216.00,12186.00,12216.00,24339
2026-06-25T10:23:00+05:30,12214.00,12238.00,12208.00,12230.00,5165
2026-06-25T10:24:00+05:30,12236.00,12237.00,12213.00,12213.00,1522
2026-06-25T10:25:00+05:30,12209.00,12210.00,12194.00,12202.00,1136
2026-06-25T10:26:00+05:30,12204.00,12220.00,12203.00,12220.00,416
2026-06-25T10:27:00+05:30,12215.00,12218.00,12208.00,12208.00,410
2026-06-25T10:28:00+05:30,12209.00,12209.00,12205.00,12205.00,207
