ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,622.00,624.95,622.00,624.65,0
2026-06-25T09:16:00+05:30,624.45,626.15,624.45,625.70,23173
2026-06-25T09:17:00+05:30,625.20,626.25,625.00,626.25,20904
2026-06-25T09:18:00+05:30,626.50,627.50,626.50,627.20,21404
2026-06-25T09:19:00+05:30,627.10,627.10,625.45,625.85,12700
2026-06-25T09:20:00+05:30,625.80,626.70,625.80,626.15,9704
2026-06-25T09:21:00+05:30,626.55,629.40,626.55,628.80,35145
2026-06-25T09:22:00+05:30,629.05,630.00,629.00,629.25,37845
2026-06-25T09:23:00+05:30,629.25,629.25,627.40,627.60,19005
2026-06-25T09:24:00+05:30,627.45,627.60,627.00,627.45,22440
2026-06-25T09:25:00+05:30,627.30,627.30,627.00,627.00,10655
2026-06-25T09:26:00+05:30,627.05,627.05,626.50,626.50,22051
2026-06-25T09:27:00+05:30,626.10,626.75,625.75,625.75,14598
2026-06-25T09:28:00+05:30,625.60,626.20,625.60,625.95,11528
2026-06-25T09:29:00+05:30,626.15,626.30,625.80,625.80,18925
2026-06-25T09:30:00+05:30,626.50,626.50,626.05,626.50,16060
2026-06-25T09:31:00+05:30,626.40,626.40,625.40,625.40,16521
2026-06-25T09:32:00+05:30,625.40,625.80,625.10,625.40,9062
2026-06-25T09:33:00+05:30,625.40,626.25,625.25,626.25,10393
2026-06-25T09:34:00+05:30,626.25,626.55,625.90,625.95,9236
2026-06-25T09:35:00+05:30,626.00,626.30,626.00,626.10,8149
2026-06-25T09:36:00+05:30,626.00,626.00,624.50,624.55,15877
2026-06-25T09:37:00+05:30,624.40,625.35,624.40,625.10,13202
2026-06-25T09:38:00+05:30,625.10,625.65,623.40,623.40,20987
2026-06-25T09:39:00+05:30,623.95,624.95,623.80,624.80,10899
2026-06-25T09:40:00+05:30,624.70,625.30,624.70,625.00,9705
2026-06-25T09:41:00+05:30,624.80,625.15,624.60,624.60,10648
2026-06-25T09:42:00+05:30,624.10,624.90,624.10,624.90,3976
2026-06-25T09:43:00+05:30,624.65,625.70,624.65,625.70,12925
2026-06-25T09:44:00+05:30,625.65,626.00,625.45,626.00,15436
2026-06-25T09:45:00+05:30,625.95,626.85,625.75,626.85,14196
2026-06-25T09:46:00+05:30,627.00,627.25,626.75,627.25,13862
2026-06-25T09:47:00+05:30,627.40,627.40,626.30,626.30,6646
2026-06-25T09:48:00+05:30,626.15,626.80,626.00,626.00,11590
2026-06-25T09:49:00+05:30,626.20,627.25,626.20,627.20,12805
2026-06-25T09:50:00+05:30,627.25,627.30,627.00,627.15,13946
2026-06-25T09:51:00+05:30,627.20,627.65,626.90,626.95,6438
2026-06-25T09:52:00+05:30,627.25,627.65,627.05,627.45,13180
2026-06-25T09:53:00+05:30,627.40,627.50,626.45,626.45,10414
2026-06-25T09:54:00+05:30,626.40,626.70,626.00,626.00,10739
2026-06-25T09:55:00+05:30,626.00,626.00,625.05,625.05,13146
2026-06-25T09:56:00+05:30,625.05,625.45,625.05,625.25,2548
2026-06-25T09:57:00+05:30,625.20,625.20,623.80,623.80,19127
2026-06-25T09:58:00+05:30,624.30,624.45,623.95,623.95,15945
2026-06-25T09:59:00+05:30,623.85,623.95,623.50,623.50,13296
2026-06-25T10:00:00+05:30,623.55,623.75,623.05,623.25,11525
2026-06-25T10:01:00+05:30,623.25,623.25,622.85,623.00,7681
2026-06-25T10:02:00+05:30,622.75,622.80,622.30,622.50,7217
2026-06-25T10:03:00+05:30,622.30,622.50,621.30,621.30,8268
2026-06-25T10:04:00+05:30,621.85,622.25,621.50,621.65,25084
2026-06-25T10:05:00+05:30,621.70,622.30,621.70,622.00,6553
2026-06-25T10:06:00+05:30,621.55,623.00,621.55,622.65,4713
2026-06-25T10:07:00+05:30,622.60,622.60,622.05,622.10,1616
2026-06-25T10:08:00+05:30,621.85,621.90,621.60,621.90,4303
2026-06-25T10:09:00+05:30,621.90,621.90,621.50,621.55,6814
2026-06-25T10:10:00+05:30,621.60,622.05,621.60,621.75,37725
2026-06-25T10:11:00+05:30,621.65,621.90,621.30,621.90,7582
2026-06-25T10:12:00+05:30,621.80,622.35,621.60,621.60,5841
2026-06-25T10:13:00+05:30,621.00,621.40,620.50,621.20,48901
2026-06-25T10:14:00+05:30,621.00,622.20,621.00,622.20,2244
2026-06-25T10:15:00+05:30,622.05,622.50,621.90,622.35,3627
2026-06-25T10:16:00+05:30,622.75,623.30,622.45,622.75,22183
2026-06-25T10:17:00+05:30,622.90,623.75,622.80,623.60,10024
2026-06-25T10:18:00+05:30,623.60,623.95,622.65,622.85,5504
2026-06-25T10:19:00+05:30,622.65,623.10,622.50,622.50,3384
2026-06-25T10:20:00+05:30,622.10,622.60,621.80,622.15,5786
2026-06-25T10:21:00+05:30,622.25,622.50,621.85,621.85,2973
2026-06-25T10:22:00+05:30,621.90,621.90,621.30,621.60,5900
2026-06-25T10:23:00+05:30,621.80,622.45,621.75,622.45,4968
2026-06-25T10:24:00+05:30,622.50,622.60,621.95,622.15,7925
2026-06-25T10:25:00+05:30,622.00,622.55,621.85,622.30,2719
2026-06-25T10:26:00+05:30,622.35,622.50,622.05,622.10,1659
2026-06-25T10:27:00+05:30,622.00,622.00,621.70,621.90,3976
2026-06-25T10:28:00+05:30,621.90,622.50,621.90,622.50,3959
2026-06-25T10:29:00+05:30,622.50,622.75,622.35,622.75,8238
2026-06-25T10:30:00+05:30,622.55,623.10,622.55,623.00,3595
2026-06-25T10:31:00+05:30,623.10,623.70,623.10,623.70,6013
2026-06-25T10:32:00+05:30,623.75,624.00,623.75,624.00,4465
2026-06-25T10:33:00+05:30,624.00,624.00,623.50,623.85,4878
2026-06-25T10:34:00+05:30,623.85,624.00,623.00,623.20,5582
2026-06-25T10:35:00+05:30,623.20,623.40,623.00,623.10,4039
2026-06-25T10:36:00+05:30,623.30,623.70,623.30,623.70,4865
2026-06-25T10:37:00+05:30,623.70,623.85,623.60,623.65,5127
2026-06-25T10:38:00+05:30,623.70,623.85,623.50,623.65,1934
2026-06-25T10:39:00+05:30,623.65,624.00,623.20,623.85,10343
2026-06-25T10:40:00+05:30,623.45,623.95,623.45,623.90,7213
2026-06-25T10:41:00+05:30,623.90,623.95,623.65,623.80,4372
2026-06-25T10:42:00+05:30,623.90,624.00,623.80,624.00,3701
2026-06-25T10:43:00+05:30,624.00,624.00,623.70,623.70,3086
2026-06-25T10:44:00+05:30,624.00,624.00,623.50,623.50,2860
2026-06-25T10:45:00+05:30,623.50,623.65,623.20,623.40,10649
2026-06-25T10:46:00+05:30,623.50,623.90,623.30,623.50,2844
2026-06-25T10:47:00+05:30,623.75,623.80,623.50,623.75,3062
2026-06-25T10:48:00+05:30,623.75,623.75,623.30,623.55,4608
2026-06-25T10:49:00+05:30,623.20,623.60,623.20,623.50,3375
2026-06-25T10:50:00+05:30,623.70,623.70,623.30,623.45,2861
2026-06-25T10:51:00+05:30,623.50,623.70,623.45,623.55,2650
2026-06-25T10:52:00+05:30,623.55,623.75,623.25,623.50,5691
2026-06-25T10:53:00+05:30,623.70,623.70,623.00,623.35,3560
2026-06-25T10:54:00+05:30,623.00,623.55,623.00,623.25,3525
2026-06-25T10:55:00+05:30,623.40,624.05,623.40,623.90,10119
2026-06-25T10:56:00+05:30,623.95,624.00,623.25,623.30,2272
2026-06-25T10:57:00+05:30,623.40,624.00,623.40,624.00,4404
2026-06-25T10:58:00+05:30,624.00,624.00,623.70,623.80,2299
2026-06-25T10:59:00+05:30,623.80,624.00,623.65,624.00,6630
2026-06-25T11:00:00+05:30,624.10,624.10,623.65,623.75,8639
2026-06-25T11:01:00+05:30,623.40,624.00,623.40,623.80,17446
2026-06-25T11:02:00+05:30,623.75,624.00,623.40,623.70,5404
2026-06-25T11:03:00+05:30,623.60,623.70,623.25,623.55,1406
2026-06-25T11:04:00+05:30,623.55,624.05,623.55,624.00,16717
2026-06-25T11:05:00+05:30,624.00,624.25,623.80,624.00,17839
2026-06-25T11:06:00+05:30,624.00,625.50,624.00,625.40,72019
2026-06-25T11:07:00+05:30,625.40,626.00,623.85,624.00,47632
2026-06-25T11:08:00+05:30,624.00,624.00,623.85,624.00,8213
2026-06-25T11:09:00+05:30,624.00,624.20,623.85,624.00,21749
2026-06-25T11:10:00+05:30,624.00,624.80,623.90,624.55,45715
2026-06-25T11:11:00+05:30,624.90,625.20,624.50,625.20,13644
2026-06-25T11:12:00+05:30,625.00,625.35,625.00,625.25,4101
2026-06-25T11:13:00+05:30,625.30,625.85,625.20,625.55,16886
2026-06-25T11:14:00+05:30,625.55,625.55,624.40,624.65,7566
2026-06-25T11:15:00+05:30,624.65,624.90,624.35,624.85,3665
2026-06-25T11:16:00+05:30,624.85,625.50,624.85,625.50,4143
2026-06-25T11:17:00+05:30,625.50,625.55,625.00,625.20,10529
2026-06-25T11:18:00+05:30,625.20,625.35,624.80,624.85,1984
2026-06-25T11:19:00+05:30,624.85,624.95,624.60,624.80,1985
2026-06-25T11:20:00+05:30,624.80,624.90,623.20,623.25,8882
2026-06-25T11:21:00+05:30,623.20,623.40,622.45,623.40,11832
2026-06-25T11:22:00+05:30,623.70,624.20,623.55,623.85,4680
2026-06-25T11:23:00+05:30,624.00,624.50,624.00,624.05,2526
2026-06-25T11:24:00+05:30,624.05,624.05,623.75,623.90,4440
2026-06-25T11:25:00+05:30,623.85,624.20,623.50,624.20,4977
2026-06-25T11:26:00+05:30,624.30,624.30,624.20,624.20,2651
2026-06-25T11:27:00+05:30,624.15,624.55,624.00,624.00,3658
2026-06-25T11:28:00+05:30,623.85,624.45,623.85,624.45,2145
2026-06-25T11:29:00+05:30,624.45,625.00,624.45,625.00,2397
2026-06-25T11:30:00+05:30,625.00,625.00,624.25,624.25,5229
2026-06-25T11:31:00+05:30,624.25,624.60,624.00,624.40,6770
2026-06-25T11:32:00+05:30,624.45,624.60,624.35,624.35,1001
2026-06-25T11:33:00+05:30,624.35,624.85,624.35,624.50,3591
2026-06-25T11:34:00+05:30,624.70,624.70,624.30,624.30,2804
2026-06-25T11:35:00+05:30,624.60,624.80,623.95,624.75,8443
2026-06-25T11:36:00+05:30,624.75,625.00,624.30,624.50,9433
2026-06-25T11:37:00+05:30,624.60,624.65,624.10,624.30,4345
2026-06-25T11:38:00+05:30,624.25,624.50,623.80,624.45,7434
2026-06-25T11:39:00+05:30,624.45,624.60,623.85,624.20,7373
2026-06-25T11:40:00+05:30,624.20,624.70,624.00,624.70,5738
2026-06-25T11:41:00+05:30,624.45,624.75,624.15,624.35,19143
2026-06-25T11:42:00+05:30,624.50,625.20,624.35,625.20,8952
2026-06-25T11:43:00+05:30,625.15,625.80,624.85,625.65,5183
2026-06-25T11:44:00+05:30,625.70,625.80,625.15,625.30,2807
2026-06-25T11:45:00+05:30,625.50,625.60,625.30,625.60,5922
2026-06-25T11:46:00+05:30,625.55,625.75,625.35,625.75,2697
2026-06-25T11:47:00+05:30,625.80,626.40,625.80,626.15,13060
2026-06-25T11:48:00+05:30,626.40,627.45,626.15,626.95,8692
2026-06-25T11:49:00+05:30,626.95,627.40,626.90,627.40,4022
2026-06-25T11:50:00+05:30,627.20,627.50,626.75,627.35,17925
2026-06-25T11:51:00+05:30,627.35,627.60,627.20,627.55,9093
2026-06-25T11:52:00+05:30,627.45,627.60,626.70,626.70,4078
2026-06-25T11:53:00+05:30,626.95,627.30,626.40,627.00,19774
