ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,325.00,325.00,324.35,324.85,0
2026-06-25T09:16:00+05:30,324.70,325.00,324.60,324.85,65957
2026-06-25T09:17:00+05:30,324.65,324.65,323.90,324.05,80309
2026-06-25T09:18:00+05:30,323.90,324.25,323.90,324.15,14114
2026-06-25T09:19:00+05:30,324.25,324.25,323.15,323.15,20986
2026-06-25T09:20:00+05:30,323.20,323.75,323.20,323.30,59689
2026-06-25T09:21:00+05:30,323.50,323.50,323.25,323.30,15207
2026-06-25T09:22:00+05:30,323.30,323.55,322.90,322.90,70469
2026-06-25T09:23:00+05:30,322.95,323.25,322.95,323.20,51095
2026-06-25T09:24:00+05:30,323.20,323.40,323.15,323.30,13667
2026-06-25T09:25:00+05:30,323.20,323.40,322.95,323.40,38074
2026-06-25T09:26:00+05:30,323.40,323.40,323.10,323.20,78605
2026-06-25T09:27:00+05:30,323.00,323.15,322.80,322.90,39935
2026-06-25T09:28:00+05:30,323.00,323.25,322.95,323.25,23087
2026-06-25T09:29:00+05:30,323.30,323.95,323.30,323.95,30413
2026-06-25T09:30:00+05:30,323.75,324.05,323.75,324.05,21005
2026-06-25T09:31:00+05:30,324.05,324.10,323.85,323.85,12728
2026-06-25T09:32:00+05:30,323.90,324.30,323.90,324.20,6565
2026-06-25T09:33:00+05:30,324.15,324.30,323.90,323.90,16802
2026-06-25T09:34:00+05:30,324.15,324.20,324.00,324.05,13808
2026-06-25T09:35:00+05:30,324.10,324.55,324.10,324.30,18509
2026-06-25T09:36:00+05:30,324.25,324.25,324.10,324.15,6285
2026-06-25T09:37:00+05:30,324.25,324.45,324.20,324.45,4021
2026-06-25T09:38:00+05:30,324.45,324.60,324.10,324.10,14966
2026-06-25T09:39:00+05:30,324.10,324.30,324.00,324.20,2851
2026-06-25T09:40:00+05:30,324.20,324.20,324.05,324.10,14159
2026-06-25T09:41:00+05:30,324.30,324.40,324.15,324.15,11750
2026-06-25T09:42:00+05:30,324.10,324.10,323.80,323.85,24116
2026-06-25T09:43:00+05:30,323.90,323.95,323.85,323.85,17486
2026-06-25T09:44:00+05:30,323.85,324.05,323.80,323.80,9206
2026-06-25T09:45:00+05:30,323.80,324.00,323.70,323.70,8130
2026-06-25T09:46:00+05:30,323.95,323.95,323.50,323.50,15159
2026-06-25T09:47:00+05:30,323.60,323.60,323.30,323.30,15198
2026-06-25T09:48:00+05:30,323.55,323.55,323.30,323.40,18985
2026-06-25T09:49:00+05:30,323.40,323.75,323.40,323.65,13047
2026-06-25T09:50:00+05:30,323.80,323.80,323.50,323.70,9995
