ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,972.90,977.30,972.90,977.30,0
2026-06-25T09:16:00+05:30,977.05,977.05,974.55,974.55,0
2026-06-25T09:17:00+05:30,974.40,974.40,971.25,971.25,2101
2026-06-25T09:18:00+05:30,971.45,971.45,969.85,969.85,1503
2026-06-25T09:19:00+05:30,970.00,971.90,970.00,971.65,765
2026-06-25T09:20:00+05:30,971.10,971.60,970.35,971.00,5702
2026-06-25T09:21:00+05:30,970.00,970.00,968.75,968.75,1540
2026-06-25T09:22:00+05:30,969.05,969.95,969.05,969.95,689
2026-06-25T09:23:00+05:30,970.65,971.25,969.30,969.80,2713
2026-06-25T09:24:00+05:30,969.55,970.85,969.55,970.10,522
2026-06-25T09:25:00+05:30,970.20,970.70,969.10,969.10,729
2026-06-25T09:26:00+05:30,968.55,968.95,968.50,968.80,1572
2026-06-25T09:27:00+05:30,969.70,970.15,969.15,969.40,2242
2026-06-25T09:28:00+05:30,969.20,969.85,969.20,969.85,1024
2026-06-25T09:29:00+05:30,969.85,970.10,969.55,970.00,329
2026-06-25T09:30:00+05:30,970.20,971.40,969.05,971.40,588
2026-06-25T09:31:00+05:30,971.65,971.65,970.25,970.25,174
2026-06-25T09:32:00+05:30,970.90,971.10,970.00,970.15,328
2026-06-25T09:33:00+05:30,970.30,970.65,969.70,970.65,349
2026-06-25T09:34:00+05:30,970.50,971.95,970.50,971.15,343
2026-06-25T09:35:00+05:30,970.90,970.95,970.00,970.00,378
2026-06-25T09:36:00+05:30,969.65,969.65,968.50,968.85,973
2026-06-25T09:37:00+05:30,968.85,970.75,968.85,970.75,2022
2026-06-25T09:38:00+05:30,971.30,972.00,971.15,971.20,634
2026-06-25T09:39:00+05:30,971.30,971.80,971.20,971.55,291
2026-06-25T09:40:00+05:30,971.50,971.50,970.65,970.65,458
2026-06-25T09:41:00+05:30,971.00,971.00,970.20,970.20,633
2026-06-25T09:42:00+05:30,970.60,970.60,970.25,970.55,315
2026-06-25T09:43:00+05:30,970.95,971.50,970.60,970.95,513
2026-06-25T09:44:00+05:30,971.05,971.40,970.50,970.60,388
2026-06-25T09:45:00+05:30,970.65,970.95,970.20,970.95,393
2026-06-25T09:46:00+05:30,971.30,971.35,970.65,970.65,230
2026-06-25T09:47:00+05:30,971.00,971.35,970.20,970.75,715
2026-06-25T09:48:00+05:30,971.45,971.70,971.05,971.05,177
2026-06-25T09:49:00+05:30,971.45,971.45,970.50,971.45,379
2026-06-25T09:50:00+05:30,970.85,971.40,970.75,971.00,242
2026-06-25T09:51:00+05:30,971.20,971.30,970.60,970.70,1496
2026-06-25T09:52:00+05:30,970.90,971.05,970.70,970.70,247
2026-06-25T09:53:00+05:30,971.00,971.00,970.05,970.05,530
2026-06-25T09:54:00+05:30,970.25,971.35,970.20,970.65,340
2026-06-25T09:55:00+05:30,971.10,971.70,971.10,971.15,353
2026-06-25T09:56:00+05:30,971.55,971.55,971.10,971.40,1110
2026-06-25T09:57:00+05:30,970.70,971.10,970.35,970.35,818
2026-06-25T09:58:00+05:30,970.65,970.70,970.20,970.20,279
2026-06-25T09:59:00+05:30,970.60,970.75,970.15,970.15,1260
2026-06-25T10:00:00+05:30,970.75,971.00,970.15,970.15,331
2026-06-25T10:01:00+05:30,970.45,970.95,970.25,970.40,237
2026-06-25T10:02:00+05:30,971.40,972.60,971.05,972.60,961
2026-06-25T10:03:00+05:30,972.35,972.35,971.80,972.15,312
2026-06-25T10:04:00+05:30,971.90,973.40,971.90,973.40,1094
2026-06-25T10:05:00+05:30,973.60,973.85,973.00,973.00,1118
2026-06-25T10:06:00+05:30,973.20,973.55,972.85,972.85,522
2026-06-25T10:07:00+05:30,973.35,974.00,972.90,973.95,197
2026-06-25T10:08:00+05:30,973.40,974.00,973.40,973.85,1987
2026-06-25T10:09:00+05:30,973.95,973.95,973.20,973.45,510
2026-06-25T10:10:00+05:30,973.00,973.30,972.50,972.50,430
2026-06-25T10:11:00+05:30,973.15,973.45,972.70,972.85,198
2026-06-25T10:12:00+05:30,972.95,973.00,972.35,972.75,247
2026-06-25T10:13:00+05:30,972.70,972.95,972.00,972.50,331
2026-06-25T10:14:00+05:30,972.65,972.95,972.15,972.45,234
2026-06-25T10:15:00+05:30,972.50,972.50,972.15,972.15,180
2026-06-25T10:16:00+05:30,972.30,972.95,972.00,972.95,665
2026-06-25T10:17:00+05:30,972.35,972.60,971.65,971.65,344
2026-06-25T10:18:00+05:30,971.65,972.05,971.25,971.40,502
2026-06-25T10:19:00+05:30,972.05,972.35,971.40,971.65,241
2026-06-25T10:20:00+05:30,971.55,972.20,971.55,971.55,491
2026-06-25T10:21:00+05:30,972.05,974.00,971.80,973.55,2586
2026-06-25T10:22:00+05:30,973.95,974.00,973.45,973.75,783
2026-06-25T10:23:00+05:30,974.00,974.25,973.85,973.85,947
2026-06-25T10:24:00+05:30,973.45,973.95,973.35,973.55,277
2026-06-25T10:25:00+05:30,973.60,974.20,973.60,973.90,543
2026-06-25T10:26:00+05:30,974.50,975.95,974.40,975.35,2267
2026-06-25T10:27:00+05:30,975.35,975.85,975.25,975.45,480
2026-06-25T10:28:00+05:30,975.95,976.40,975.30,975.90,993
2026-06-25T10:29:00+05:30,976.05,976.70,976.05,976.50,216
2026-06-25T10:30:00+05:30,976.50,976.70,976.05,976.05,801
2026-06-25T10:31:00+05:30,976.50,976.75,976.10,976.60,1284
2026-06-25T10:32:00+05:30,976.65,977.40,976.65,976.80,692
2026-06-25T10:33:00+05:30,977.35,977.45,976.85,977.25,453
2026-06-25T10:34:00+05:30,977.45,977.50,977.25,977.50,5142
2026-06-25T10:35:00+05:30,977.40,977.70,977.25,977.35,761
2026-06-25T10:36:00+05:30,977.40,978.45,976.95,978.45,4938
2026-06-25T10:37:00+05:30,978.95,978.95,978.10,978.10,408
2026-06-25T10:38:00+05:30,978.30,978.40,977.95,977.95,1057
2026-06-25T10:39:00+05:30,978.30,978.30,977.25,977.50,2791
2026-06-25T10:40:00+05:30,976.35,978.85,975.85,977.70,21229
2026-06-25T10:41:00+05:30,978.65,980.90,977.60,980.90,70227
2026-06-25T10:42:00+05:30,980.60,981.00,979.55,980.15,13847
2026-06-25T10:43:00+05:30,980.50,980.50,977.35,977.75,64695
2026-06-25T10:44:00+05:30,978.25,978.40,977.70,977.85,35876
2026-06-25T10:45:00+05:30,978.35,979.00,977.65,977.65,2709
2026-06-25T10:46:00+05:30,978.50,979.80,978.10,979.40,2061
2026-06-25T10:47:00+05:30,979.85,979.90,979.50,979.90,207
2026-06-25T10:48:00+05:30,979.90,979.95,979.00,979.00,1225
2026-06-25T10:49:00+05:30,978.70,979.00,978.00,978.00,260
2026-06-25T10:50:00+05:30,978.40,979.00,978.40,978.40,522
2026-06-25T10:51:00+05:30,978.75,979.55,978.75,979.55,1087
2026-06-25T10:52:00+05:30,979.45,979.70,979.00,979.40,1161
2026-06-25T10:53:00+05:30,979.70,980.95,979.70,980.95,1421
2026-06-25T10:54:00+05:30,981.00,981.70,980.55,981.70,1622
2026-06-25T10:55:00+05:30,981.70,983.00,981.40,982.20,4339
2026-06-25T10:56:00+05:30,982.25,982.50,982.00,982.10,1405
2026-06-25T10:57:00+05:30,982.30,982.30,981.95,981.95,1914
2026-06-25T10:58:00+05:30,982.00,982.50,982.00,982.00,1185
2026-06-25T10:59:00+05:30,981.95,982.90,981.70,982.45,2092
2026-06-25T11:00:00+05:30,982.85,982.85,981.00,981.35,1341
2026-06-25T11:01:00+05:30,981.85,982.50,981.60,982.25,1232
2026-06-25T11:02:00+05:30,982.35,982.35,981.00,981.00,925
2026-06-25T11:03:00+05:30,981.40,981.40,980.40,981.30,1089
