ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2184.00,2188.80,2184.00,2187.10,0
2026-06-25T09:16:00+05:30,2190.00,2190.00,2183.60,2183.60,2074
2026-06-25T09:17:00+05:30,2183.40,2183.40,2177.80,2177.80,2637
2026-06-25T09:18:00+05:30,2173.40,2175.60,2172.70,2175.60,2486
2026-06-25T09:19:00+05:30,2175.70,2179.10,2175.70,2177.10,1323
2026-06-25T09:20:00+05:30,2177.00,2177.00,2172.70,2173.30,4207
2026-06-25T09:21:00+05:30,2172.70,2173.30,2171.00,2172.60,2035
2026-06-25T09:22:00+05:30,2172.70,2173.30,2171.70,2171.80,1640
2026-06-25T09:23:00+05:30,2172.60,2173.20,2172.50,2172.50,750
2026-06-25T09:24:00+05:30,2172.50,2172.50,2170.60,2171.10,1320
2026-06-25T09:25:00+05:30,2171.10,2173.60,2171.10,2171.90,1096
2026-06-25T09:26:00+05:30,2171.30,2171.50,2171.10,2171.40,850
2026-06-25T09:27:00+05:30,2171.10,2171.40,2168.60,2168.60,875
2026-06-25T09:28:00+05:30,2167.90,2170.50,2166.20,2170.50,2288
2026-06-25T09:29:00+05:30,2170.20,2170.50,2166.60,2167.00,1518
2026-06-25T09:30:00+05:30,2167.00,2169.70,2167.00,2167.70,1344
2026-06-25T09:31:00+05:30,2168.20,2170.40,2168.00,2170.40,810
2026-06-25T09:32:00+05:30,2170.70,2171.90,2170.00,2171.90,1360
2026-06-25T09:33:00+05:30,2171.00,2172.20,2170.40,2171.20,1205
2026-06-25T09:34:00+05:30,2171.80,2174.50,2171.80,2172.60,1540
2026-06-25T09:35:00+05:30,2173.40,2174.50,2173.40,2174.40,896
2026-06-25T09:36:00+05:30,2174.30,2174.30,2173.30,2173.30,624
2026-06-25T09:37:00+05:30,2173.30,2177.00,2173.30,2177.00,1277
2026-06-25T09:38:00+05:30,2178.00,2178.20,2176.00,2176.00,886
2026-06-25T09:39:00+05:30,2175.60,2177.30,2174.50,2176.90,1343
2026-06-25T09:40:00+05:30,2176.10,2176.10,2174.60,2175.20,704
2026-06-25T09:41:00+05:30,2175.20,2176.10,2174.80,2176.10,1013
2026-06-25T09:42:00+05:30,2175.80,2176.00,2175.70,2175.70,525
2026-06-25T09:43:00+05:30,2175.70,2179.00,2175.70,2178.40,1257
2026-06-25T09:44:00+05:30,2178.90,2178.90,2178.60,2178.60,554
2026-06-25T09:45:00+05:30,2178.00,2178.00,2176.90,2177.60,1433
2026-06-25T09:46:00+05:30,2180.40,2181.30,2180.00,2180.50,3159
2026-06-25T09:47:00+05:30,2180.60,2180.60,2179.80,2179.80,1467
2026-06-25T09:48:00+05:30,2179.10,2180.20,2179.10,2179.80,686
2026-06-25T09:49:00+05:30,2179.30,2179.30,2179.00,2179.00,439
2026-06-25T09:50:00+05:30,2179.10,2179.30,2176.10,2176.50,1579
2026-06-25T09:51:00+05:30,2177.40,2178.60,2177.40,2178.60,411
2026-06-25T09:52:00+05:30,2178.30,2179.40,2178.10,2178.50,749
2026-06-25T09:53:00+05:30,2178.50,2179.40,2177.10,2179.00,1886
2026-06-25T09:54:00+05:30,2178.90,2179.00,2178.40,2178.90,840
2026-06-25T09:55:00+05:30,2178.40,2178.70,2177.00,2178.40,867
2026-06-25T09:56:00+05:30,2179.00,2179.40,2178.80,2178.80,302
2026-06-25T09:57:00+05:30,2179.10,2180.80,2178.00,2178.70,1420
2026-06-25T09:58:00+05:30,2179.00,2180.20,2178.90,2179.10,922
2026-06-25T09:59:00+05:30,2178.70,2179.30,2175.60,2175.60,841
2026-06-25T10:00:00+05:30,2175.00,2175.10,2173.40,2175.00,1561
2026-06-25T10:01:00+05:30,2175.00,2175.10,2174.50,2175.10,585
2026-06-25T10:02:00+05:30,2175.10,2175.10,2174.60,2174.60,132
2026-06-25T10:03:00+05:30,2174.40,2174.40,2173.50,2174.30,1409
2026-06-25T10:04:00+05:30,2174.80,2176.80,2174.80,2174.80,727
2026-06-25T10:05:00+05:30,2174.30,2174.30,2173.70,2174.10,116
2026-06-25T10:06:00+05:30,2174.20,2174.20,2172.00,2172.00,348
2026-06-25T10:07:00+05:30,2172.00,2172.20,2171.80,2172.20,852
2026-06-25T10:08:00+05:30,2172.20,2173.60,2172.20,2173.00,800
2026-06-25T10:09:00+05:30,2173.20,2173.20,2171.60,2171.90,518
2026-06-25T10:10:00+05:30,2171.50,2171.50,2170.90,2171.00,761
2026-06-25T10:11:00+05:30,2171.50,2171.50,2170.50,2170.90,860
2026-06-25T10:12:00+05:30,2170.50,2170.50,2169.00,2169.70,853
2026-06-25T10:13:00+05:30,2169.80,2169.80,2169.60,2169.70,765
2026-06-25T10:14:00+05:30,2169.80,2169.80,2167.20,2167.20,689
2026-06-25T10:15:00+05:30,2167.20,2170.40,2167.20,2170.40,792
2026-06-25T10:16:00+05:30,2169.60,2169.60,2168.80,2169.20,241
2026-06-25T10:17:00+05:30,2169.20,2169.20,2168.20,2168.20,964
2026-06-25T10:18:00+05:30,2167.70,2169.20,2167.40,2169.20,1410
2026-06-25T10:19:00+05:30,2169.20,2169.80,2168.80,2169.30,1354
2026-06-25T10:20:00+05:30,2169.30,2169.70,2169.00,2169.50,90
2026-06-25T10:21:00+05:30,2169.50,2169.50,2169.30,2169.30,1953
2026-06-25T10:22:00+05:30,2168.70,2169.70,2168.40,2169.40,806
2026-06-25T10:23:00+05:30,2168.50,2168.50,2168.40,2168.40,381
2026-06-25T10:24:00+05:30,2168.40,2168.80,2168.40,2168.50,229
2026-06-25T10:25:00+05:30,2168.60,2168.80,2168.10,2168.80,1154
2026-06-25T10:26:00+05:30,2168.80,2169.30,2168.80,2169.20,117
2026-06-25T10:27:00+05:30,2169.50,2170.50,2169.50,2170.20,315
2026-06-25T10:28:00+05:30,2170.50,2170.60,2170.40,2170.60,675
2026-06-25T10:29:00+05:30,2171.40,2173.50,2171.40,2172.30,679
2026-06-25T10:30:00+05:30,2172.30,2172.60,2172.00,2172.60,1122
2026-06-25T10:31:00+05:30,2173.20,2175.00,2173.20,2175.00,467
2026-06-25T10:32:00+05:30,2174.70,2175.00,2174.30,2174.70,742
2026-06-25T10:33:00+05:30,2174.80,2174.80,2172.80,2172.80,1141
2026-06-25T10:34:00+05:30,2173.40,2174.50,2173.40,2174.50,588
2026-06-25T10:35:00+05:30,2174.50,2174.50,2174.00,2174.50,283
2026-06-25T10:36:00+05:30,2174.30,2174.50,2172.60,2173.40,588
2026-06-25T10:37:00+05:30,2173.40,2175.00,2173.40,2174.30,684
2026-06-25T10:38:00+05:30,2174.20,2174.20,2173.10,2173.50,966
2026-06-25T10:39:00+05:30,2173.50,2173.50,2173.20,2173.20,146
2026-06-25T10:40:00+05:30,2173.30,2173.50,2173.30,2173.50,289
2026-06-25T10:41:00+05:30,2172.40,2172.70,2171.50,2171.50,1424
2026-06-25T10:42:00+05:30,2171.70,2171.70,2171.20,2171.20,81
2026-06-25T10:43:00+05:30,2170.70,2172.20,2170.70,2171.70,1115
2026-06-25T10:44:00+05:30,2172.20,2172.20,2171.80,2171.80,154
2026-06-25T10:45:00+05:30,2171.80,2174.30,2171.80,2174.30,615
2026-06-25T10:46:00+05:30,2174.30,2174.30,2173.60,2174.20,496
2026-06-25T10:47:00+05:30,2173.70,2174.20,2173.70,2174.20,407
2026-06-25T10:48:00+05:30,2175.00,2175.00,2174.40,2175.00,342
2026-06-25T10:49:00+05:30,2174.70,2174.90,2173.40,2173.40,910
2026-06-25T10:50:00+05:30,2173.40,2173.50,2172.90,2172.90,362
2026-06-25T10:51:00+05:30,2172.90,2173.20,2172.50,2173.10,1109
2026-06-25T10:52:00+05:30,2174.00,2174.00,2173.10,2173.10,142
2026-06-25T10:53:00+05:30,2173.00,2173.00,2172.20,2172.50,369
2026-06-25T10:54:00+05:30,2172.10,2172.40,2172.10,2172.10,161
2026-06-25T10:55:00+05:30,2172.10,2172.40,2172.10,2172.40,731
2026-06-25T10:56:00+05:30,2172.00,2172.10,2171.90,2172.00,1179
2026-06-25T10:57:00+05:30,2172.80,2173.00,2172.40,2172.40,389
2026-06-25T10:58:00+05:30,2172.70,2172.70,2172.60,2172.70,690
2026-06-25T10:59:00+05:30,2173.30,2173.40,2172.80,2173.40,153
2026-06-25T11:00:00+05:30,2173.40,2173.40,2168.70,2169.70,2312
