ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,4395.50,4399.50,4375.90,4379.80,0
2026-06-25T09:16:00+05:30,4378.90,4378.90,4357.30,4362.10,14129
2026-06-25T09:17:00+05:30,4362.30,4367.10,4356.60,4358.10,6573
2026-06-25T09:18:00+05:30,4358.10,4365.00,4357.20,4360.90,3530
2026-06-25T09:19:00+05:30,4358.50,4366.10,4358.00,4364.40,2037
2026-06-25T09:20:00+05:30,4365.00,4377.10,4364.60,4377.10,4137
2026-06-25T09:21:00+05:30,4377.00,4378.10,4368.40,4371.00,3054
2026-06-25T09:22:00+05:30,4371.20,4374.30,4358.10,4372.80,17096
2026-06-25T09:23:00+05:30,4373.60,4377.00,4357.60,4363.00,7612
2026-06-25T09:24:00+05:30,4361.10,4368.40,4361.10,4368.00,1558
2026-06-25T09:25:00+05:30,4368.20,4368.60,4365.20,4368.00,944
2026-06-25T09:26:00+05:30,4367.10,4368.00,4361.00,4361.00,2593
2026-06-25T09:27:00+05:30,4362.00,4363.10,4351.20,4358.40,5579
2026-06-25T09:28:00+05:30,4360.00,4366.30,4358.60,4362.00,1416
2026-06-25T09:29:00+05:30,4362.00,4366.00,4361.00,4366.00,1244
2026-06-25T09:30:00+05:30,4367.00,4375.90,4365.10,4375.00,3687
2026-06-25T09:31:00+05:30,4374.30,4378.30,4374.30,4376.70,4833
2026-06-25T09:32:00+05:30,4377.10,4377.80,4373.40,4375.90,1130
2026-06-25T09:33:00+05:30,4373.60,4376.00,4373.00,4374.70,793
2026-06-25T09:34:00+05:30,4376.00,4380.00,4375.00,4378.00,1441
2026-06-25T09:35:00+05:30,4377.00,4381.90,4377.00,4378.90,1822
2026-06-25T09:36:00+05:30,4377.00,4381.00,4376.90,4381.00,2480
2026-06-25T09:37:00+05:30,4380.00,4382.00,4375.00,4382.00,3912
2026-06-25T09:38:00+05:30,4382.00,4383.00,4371.00,4372.70,2542
2026-06-25T09:39:00+05:30,4373.20,4375.00,4370.50,4375.00,685
2026-06-25T09:40:00+05:30,4373.50,4377.90,4373.00,4377.70,449
2026-06-25T09:41:00+05:30,4376.00,4377.40,4374.80,4375.50,534
2026-06-25T09:42:00+05:30,4373.50,4378.80,4373.50,4376.10,881
2026-06-25T09:43:00+05:30,4375.40,4376.60,4373.70,4375.20,800
2026-06-25T09:44:00+05:30,4375.20,4376.00,4373.10,4374.00,643
2026-06-25T09:45:00+05:30,4374.00,4374.00,4370.00,4372.20,1725
2026-06-25T09:46:00+05:30,4370.00,4374.90,4369.40,4374.90,541
2026-06-25T09:47:00+05:30,4376.20,4376.20,4372.30,4374.40,498
