ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1190.00,1195.60,1190.00,1194.90,0
2026-06-25T09:16:00+05:30,1194.90,1194.90,1190.90,1190.90,5285
2026-06-25T09:17:00+05:30,1190.10,1191.70,1189.80,1191.60,2304
2026-06-25T09:18:00+05:30,1189.60,1191.90,1189.50,1191.90,2340
2026-06-25T09:19:00+05:30,1190.60,1193.80,1190.60,1193.80,5198
2026-06-25T09:20:00+05:30,1194.70,1194.70,1193.00,1193.70,3364
2026-06-25T09:21:00+05:30,1194.90,1194.90,1193.00,1193.30,3338
2026-06-25T09:22:00+05:30,1192.20,1193.10,1192.20,1192.20,657
2026-06-25T09:23:00+05:30,1192.80,1193.20,1192.20,1193.00,757
2026-06-25T09:24:00+05:30,1192.10,1192.60,1192.10,1192.50,1459
2026-06-25T09:25:00+05:30,1192.50,1192.80,1192.10,1192.10,543
2026-06-25T09:26:00+05:30,1192.10,1192.20,1191.30,1191.50,735
2026-06-25T09:27:00+05:30,1191.70,1191.70,1190.50,1190.60,2141
2026-06-25T09:28:00+05:30,1190.60,1192.60,1190.60,1191.60,1569
2026-06-25T09:29:00+05:30,1192.30,1193.00,1191.50,1193.00,1399
2026-06-25T09:30:00+05:30,1193.00,1193.30,1191.50,1191.70,1783
2026-06-25T09:31:00+05:30,1191.70,1191.70,1190.50,1191.10,607
2026-06-25T09:32:00+05:30,1190.90,1191.90,1190.50,1190.60,1028
2026-06-25T09:33:00+05:30,1190.60,1190.70,1190.30,1190.30,662
2026-06-25T09:34:00+05:30,1190.80,1192.30,1190.80,1191.50,584
2026-06-25T09:35:00+05:30,1191.20,1192.50,1191.20,1191.40,677
2026-06-25T09:36:00+05:30,1191.40,1191.40,1190.70,1190.70,1170
2026-06-25T09:37:00+05:30,1190.70,1191.30,1190.50,1190.70,413
2026-06-25T09:38:00+05:30,1191.30,1191.50,1190.80,1191.50,685
2026-06-25T09:39:00+05:30,1191.20,1192.00,1190.60,1191.80,468
2026-06-25T09:40:00+05:30,1192.90,1192.90,1191.90,1191.90,884
2026-06-25T09:41:00+05:30,1192.50,1192.80,1191.90,1192.10,1363
2026-06-25T09:42:00+05:30,1192.10,1192.40,1192.10,1192.40,1701
2026-06-25T09:43:00+05:30,1192.00,1193.00,1192.00,1193.00,404
2026-06-25T09:44:00+05:30,1192.90,1193.50,1192.30,1192.90,561
2026-06-25T09:45:00+05:30,1192.40,1193.20,1192.40,1193.20,1080
2026-06-25T09:46:00+05:30,1192.60,1193.50,1192.60,1193.40,293
2026-06-25T09:47:00+05:30,1192.90,1193.40,1192.60,1192.70,421
2026-06-25T09:48:00+05:30,1192.60,1193.20,1192.60,1193.20,1481
2026-06-25T09:49:00+05:30,1192.60,1193.30,1192.60,1192.80,0
2026-06-25T09:50:00+05:30,1194.00,1194.40,1193.70,1193.70,1164
2026-06-25T09:51:00+05:30,1194.50,1194.50,1193.90,1194.00,452
2026-06-25T09:52:00+05:30,1194.00,1195.50,1194.00,1194.80,5373
2026-06-25T09:53:00+05:30,1195.00,1195.00,1194.10,1194.20,973
2026-06-25T09:54:00+05:30,1195.00,1196.00,1194.50,1196.00,2037
2026-06-25T09:55:00+05:30,1195.20,1196.00,1194.80,1195.00,1633
2026-06-25T09:56:00+05:30,1194.90,1195.40,1194.90,1195.40,750
2026-06-25T09:57:00+05:30,1196.00,1196.00,1191.20,1191.20,8411
2026-06-25T09:58:00+05:30,1191.30,1191.80,1190.40,1190.60,4546
2026-06-25T09:59:00+05:30,1191.10,1191.80,1190.80,1191.30,1092
2026-06-25T10:00:00+05:30,1191.40,1191.70,1191.00,1191.50,1753
2026-06-25T10:01:00+05:30,1191.90,1191.90,1191.10,1191.10,973
2026-06-25T10:02:00+05:30,1191.30,1191.80,1190.90,1190.90,1761
2026-06-25T10:03:00+05:30,1190.50,1191.90,1190.50,1191.90,529
2026-06-25T10:04:00+05:30,1191.90,1192.50,1191.90,1192.00,8227
2026-06-25T10:05:00+05:30,1192.00,1192.50,1191.10,1191.10,4975
2026-06-25T10:06:00+05:30,1192.00,1192.30,1191.30,1191.30,2376
2026-06-25T10:07:00+05:30,1191.70,1191.80,1191.30,1191.30,51
2026-06-25T10:08:00+05:30,1191.30,1192.20,1191.30,1191.40,1127
2026-06-25T10:09:00+05:30,1192.00,1192.00,1191.40,1192.00,0
2026-06-25T10:10:00+05:30,1192.20,1192.40,1191.60,1191.90,902
2026-06-25T10:11:00+05:30,1191.90,1192.60,1191.90,1192.00,3620
2026-06-25T10:12:00+05:30,1192.30,1192.80,1191.90,1192.40,2997
2026-06-25T10:13:00+05:30,1192.00,1192.50,1191.70,1191.90,2437
2026-06-25T10:14:00+05:30,1192.60,1192.60,1191.60,1191.60,13062
2026-06-25T10:15:00+05:30,1192.40,1192.70,1191.70,1191.90,17446
2026-06-25T10:16:00+05:30,1192.00,1192.60,1191.80,1191.80,2208
2026-06-25T10:17:00+05:30,1192.40,1192.40,1191.50,1192.00,1212
2026-06-25T10:18:00+05:30,1191.50,1192.00,1191.40,1191.50,1837
2026-06-25T10:19:00+05:30,1191.50,1192.40,1191.50,1192.30,1838
2026-06-25T10:20:00+05:30,1191.50,1192.00,1191.40,1192.00,495
2026-06-25T10:21:00+05:30,1192.00,1192.10,1191.40,1191.40,1030
2026-06-25T10:22:00+05:30,1191.50,1192.30,1191.50,1192.30,2168
2026-06-25T10:23:00+05:30,1192.40,1192.50,1191.70,1191.80,14051
2026-06-25T10:24:00+05:30,1191.80,1192.60,1191.50,1191.70,1946
2026-06-25T10:25:00+05:30,1192.00,1192.40,1191.50,1192.00,5189
2026-06-25T10:26:00+05:30,1191.80,1192.20,1191.70,1191.80,483
2026-06-25T10:27:00+05:30,1191.70,1191.90,1191.30,1191.90,1766
2026-06-25T10:28:00+05:30,1191.30,1192.10,1190.60,1190.60,18143
2026-06-25T10:29:00+05:30,1191.00,1191.90,1191.00,1191.40,1899
2026-06-25T10:30:00+05:30,1191.60,1192.00,1191.50,1191.60,594
2026-06-25T10:31:00+05:30,1192.20,1192.50,1192.00,1192.10,637
2026-06-25T10:32:00+05:30,1192.10,1192.60,1191.70,1192.00,556
2026-06-25T10:33:00+05:30,1192.00,1192.30,1191.70,1192.30,584
2026-06-25T10:34:00+05:30,1191.70,1192.30,1191.60,1191.70,615
2026-06-25T10:35:00+05:30,1191.60,1192.20,1191.60,1192.00,9701
2026-06-25T10:36:00+05:30,1192.00,1192.20,1191.60,1191.60,4665
2026-06-25T10:37:00+05:30,1191.60,1192.00,1191.60,1191.60,2846
2026-06-25T10:38:00+05:30,1191.60,1191.60,1191.60,1191.60,20
2026-06-25T10:39:00+05:30,1191.90,1192.50,1191.60,1191.60,1234
2026-06-25T10:40:00+05:30,1192.00,1192.10,1191.40,1191.40,1192
2026-06-25T10:41:00+05:30,1192.00,1192.00,1191.40,1192.00,528
2026-06-25T10:42:00+05:30,1191.40,1192.00,1191.40,1191.70,73
2026-06-25T10:43:00+05:30,1191.60,1192.50,1191.50,1191.70,3337
2026-06-25T10:44:00+05:30,1191.60,1192.30,1191.40,1191.50,1206
2026-06-25T10:45:00+05:30,1191.50,1192.10,1191.40,1191.40,2150
2026-06-25T10:46:00+05:30,1191.40,1192.40,1191.40,1191.50,642
2026-06-25T10:47:00+05:30,1192.00,1192.50,1191.40,1191.40,790
2026-06-25T10:48:00+05:30,1191.50,1192.40,1191.50,1191.50,890
2026-06-25T10:49:00+05:30,1191.50,1192.00,1191.30,1191.90,1776
2026-06-25T10:50:00+05:30,1192.20,1192.60,1191.40,1192.00,4206
2026-06-25T10:51:00+05:30,1192.00,1192.20,1192.00,1192.00,212
2026-06-25T10:52:00+05:30,1192.00,1192.30,1191.50,1192.10,2092
2026-06-25T10:53:00+05:30,1192.00,1192.40,1191.50,1191.60,596
2026-06-25T10:54:00+05:30,1191.70,1192.20,1191.40,1191.50,1178
2026-06-25T10:55:00+05:30,1191.50,1192.40,1191.40,1191.80,2024
2026-06-25T10:56:00+05:30,1192.00,1192.40,1191.80,1192.00,1292
2026-06-25T10:57:00+05:30,1192.00,1192.20,1191.70,1192.10,558
