ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2645.00,2659.00,2645.00,2656.50,0
2026-06-25T09:16:00+05:30,2653.30,2658.60,2653.30,2654.90,1960
2026-06-25T09:17:00+05:30,2656.40,2667.30,2655.60,2667.30,4770
2026-06-25T09:18:00+05:30,2669.10,2669.10,2666.70,2667.10,2782
2026-06-25T09:19:00+05:30,2667.60,2669.00,2665.10,2665.60,2970
2026-06-25T09:20:00+05:30,2667.00,2672.10,2667.00,2670.00,1646
2026-06-25T09:21:00+05:30,2667.10,2668.40,2665.80,2668.40,1033
2026-06-25T09:22:00+05:30,2668.10,2674.90,2668.10,2670.00,1979
2026-06-25T09:23:00+05:30,2673.50,2673.50,2668.20,2668.40,3710
2026-06-25T09:24:00+05:30,2668.00,2676.20,2667.20,2673.80,4983
2026-06-25T09:25:00+05:30,2671.60,2673.90,2669.60,2670.10,2585
2026-06-25T09:26:00+05:30,2668.20,2668.70,2667.70,2668.00,2058
2026-06-25T09:27:00+05:30,2668.10,2668.10,2664.80,2665.90,2952
2026-06-25T09:28:00+05:30,2665.00,2667.20,2662.20,2667.20,4274
2026-06-25T09:29:00+05:30,2667.60,2667.60,2666.00,2667.00,742
2026-06-25T09:30:00+05:30,2664.90,2664.90,2659.10,2659.10,1406
2026-06-25T09:31:00+05:30,2659.00,2659.00,2656.10,2656.30,4166
2026-06-25T09:32:00+05:30,2656.60,2658.30,2655.40,2656.00,1164
2026-06-25T09:33:00+05:30,2656.00,2658.60,2656.00,2656.90,1091
2026-06-25T09:34:00+05:30,2659.50,2661.00,2659.30,2661.00,409
2026-06-25T09:35:00+05:30,2660.10,2663.10,2658.70,2661.60,283
2026-06-25T09:36:00+05:30,2660.20,2661.50,2660.20,2660.20,528
2026-06-25T09:37:00+05:30,2658.80,2660.10,2658.80,2659.20,119
2026-06-25T09:38:00+05:30,2659.10,2659.10,2657.20,2658.70,2130
2026-06-25T09:39:00+05:30,2656.70,2658.10,2656.50,2657.00,234
2026-06-25T09:40:00+05:30,2657.00,2657.00,2652.40,2656.10,1164
2026-06-25T09:41:00+05:30,2656.10,2657.60,2654.50,2657.60,876
2026-06-25T09:42:00+05:30,2657.10,2657.10,2655.40,2656.60,540
2026-06-25T09:43:00+05:30,2656.00,2660.40,2656.00,2657.00,1482
2026-06-25T09:44:00+05:30,2657.90,2658.20,2655.90,2656.50,348
2026-06-25T09:45:00+05:30,2656.50,2659.70,2656.10,2659.00,1491
2026-06-25T09:46:00+05:30,2658.30,2658.40,2655.50,2655.50,515
2026-06-25T09:47:00+05:30,2655.00,2657.90,2655.00,2657.90,1656
2026-06-25T09:48:00+05:30,2658.80,2659.60,2656.40,2656.40,390
2026-06-25T09:49:00+05:30,2657.20,2660.00,2657.20,2660.00,832
2026-06-25T09:50:00+05:30,2659.80,2659.80,2658.00,2658.00,2
2026-06-25T09:51:00+05:30,2658.00,2667.60,2658.00,2667.60,2792
2026-06-25T09:52:00+05:30,2666.50,2668.70,2664.30,2665.60,2188
2026-06-25T09:53:00+05:30,2666.10,2666.50,2662.50,2662.50,1163
2026-06-25T09:54:00+05:30,2662.50,2666.70,2662.40,2665.50,1566
2026-06-25T09:55:00+05:30,2665.50,2665.60,2663.00,2663.00,737
2026-06-25T09:56:00+05:30,2663.00,2666.00,2663.00,2665.90,1172
2026-06-25T09:57:00+05:30,2667.10,2667.40,2665.90,2667.40,701
2026-06-25T09:58:00+05:30,2667.50,2667.50,2664.00,2664.00,1362
2026-06-25T09:59:00+05:30,2664.10,2665.00,2663.70,2663.90,1203
2026-06-25T10:00:00+05:30,2663.90,2664.50,2662.90,2663.80,796
2026-06-25T10:01:00+05:30,2663.70,2671.40,2663.50,2671.40,2720
2026-06-25T10:02:00+05:30,2670.50,2670.70,2667.40,2670.40,2896
2026-06-25T10:03:00+05:30,2670.40,2672.20,2669.50,2671.50,1993
2026-06-25T10:04:00+05:30,2671.80,2673.80,2671.70,2673.60,3366
2026-06-25T10:05:00+05:30,2674.60,2674.90,2673.00,2674.20,2886
2026-06-25T10:06:00+05:30,2674.30,2676.00,2672.70,2675.90,2817
2026-06-25T10:07:00+05:30,2675.90,2676.70,2674.60,2674.60,1881
2026-06-25T10:08:00+05:30,2674.60,2677.00,2674.60,2676.00,2473
2026-06-25T10:09:00+05:30,2675.90,2677.00,2675.60,2677.00,1648
2026-06-25T10:10:00+05:30,2678.00,2679.00,2677.80,2678.00,1617
2026-06-25T10:11:00+05:30,2677.50,2677.50,2677.00,2677.20,2148
2026-06-25T10:12:00+05:30,2677.50,2680.00,2677.50,2679.70,1552
2026-06-25T10:13:00+05:30,2679.90,2681.00,2678.30,2681.00,2698
2026-06-25T10:14:00+05:30,2681.50,2683.00,2681.50,2683.00,3346
2026-06-25T10:15:00+05:30,2682.00,2684.00,2682.00,2684.00,2913
