ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,595.50,595.50,593.35,594.55,0
2026-06-24T09:16:00+05:30,594.85,595.20,594.40,594.40,9476
2026-06-24T09:17:00+05:30,594.40,594.40,591.70,591.70,15761
2026-06-24T09:18:00+05:30,591.10,592.40,591.10,592.20,9632
2026-06-24T09:19:00+05:30,592.20,592.20,591.15,591.50,4949
2026-06-24T09:20:00+05:30,591.10,591.80,590.30,591.30,11205
2026-06-24T09:21:00+05:30,591.05,591.05,590.25,591.00,10091
2026-06-24T09:22:00+05:30,591.10,591.50,591.10,591.45,7721
2026-06-24T09:23:00+05:30,591.60,591.60,590.85,591.10,3669
2026-06-24T09:24:00+05:30,591.35,591.35,590.40,590.75,12397
2026-06-24T09:25:00+05:30,590.55,591.30,590.55,591.30,6928
2026-06-24T09:26:00+05:30,591.35,591.90,591.25,591.90,5833
2026-06-24T09:27:00+05:30,591.60,591.65,591.50,591.50,5137
2026-06-24T09:28:00+05:30,591.40,591.40,590.25,590.25,6570
2026-06-24T09:29:00+05:30,590.30,590.60,590.05,590.60,6398
2026-06-24T09:30:00+05:30,590.65,590.75,590.10,590.75,7440
2026-06-24T09:31:00+05:30,590.75,590.90,590.45,590.75,6187
2026-06-24T09:32:00+05:30,590.55,590.75,590.50,590.60,8761
2026-06-24T09:33:00+05:30,590.60,590.60,590.30,590.40,2869
2026-06-24T09:34:00+05:30,590.25,590.25,589.50,589.65,8497
2026-06-24T09:35:00+05:30,589.65,589.65,589.45,589.45,6094
2026-06-24T09:36:00+05:30,589.45,590.10,589.45,589.85,5828
2026-06-24T09:37:00+05:30,589.60,589.65,589.00,589.45,6104
2026-06-24T09:38:00+05:30,589.60,589.60,589.20,589.20,6048
2026-06-24T09:39:00+05:30,589.00,589.70,588.85,589.40,3162
2026-06-24T09:40:00+05:30,589.40,589.90,589.40,589.55,1676
2026-06-24T09:41:00+05:30,589.20,589.20,588.65,588.65,9390
2026-06-24T09:42:00+05:30,588.55,588.55,588.10,588.35,9755
2026-06-24T09:43:00+05:30,587.85,588.05,587.70,587.70,5584
2026-06-24T09:44:00+05:30,587.50,587.95,587.15,587.15,6480
2026-06-24T09:45:00+05:30,587.35,587.35,586.75,586.85,4193
2026-06-24T09:46:00+05:30,586.95,587.30,586.80,587.05,6406
2026-06-24T09:47:00+05:30,586.55,586.65,586.40,586.40,8580
2026-06-24T09:48:00+05:30,586.25,586.40,586.10,586.10,4352
2026-06-24T09:49:00+05:30,586.30,586.30,586.15,586.20,2104
2026-06-24T09:50:00+05:30,586.20,586.20,585.90,586.20,2646
2026-06-24T09:51:00+05:30,586.15,586.15,585.85,585.85,6489
2026-06-24T09:52:00+05:30,585.65,585.85,585.50,585.60,5815
2026-06-24T09:53:00+05:30,585.85,585.85,585.60,585.85,2517
2026-06-24T09:54:00+05:30,585.60,586.10,585.60,586.10,1923
2026-06-24T09:55:00+05:30,585.40,585.80,585.40,585.80,4814
2026-06-24T09:56:00+05:30,586.00,586.35,585.90,586.35,3388
2026-06-24T09:57:00+05:30,586.50,586.60,586.30,586.50,3792
2026-06-24T09:58:00+05:30,586.65,587.05,586.50,586.50,6827
2026-06-24T09:59:00+05:30,586.50,586.70,586.50,586.55,7378
