ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,418.50,419.95,417.65,418.35,0
2026-06-25T09:16:00+05:30,418.80,418.80,417.00,417.00,120398
2026-06-25T09:17:00+05:30,417.30,417.30,416.75,416.95,60925
2026-06-25T09:18:00+05:30,417.10,418.20,417.00,417.95,46332
2026-06-25T09:19:00+05:30,417.75,417.75,416.85,417.10,31299
2026-06-25T09:20:00+05:30,416.85,417.25,416.85,417.00,77726
2026-06-25T09:21:00+05:30,416.80,416.90,416.25,416.50,28417
2026-06-25T09:22:00+05:30,416.55,416.55,416.30,416.40,20884
2026-06-25T09:23:00+05:30,416.40,416.85,416.25,416.45,49947
2026-06-25T09:24:00+05:30,416.65,417.00,416.60,416.70,35116
2026-06-25T09:25:00+05:30,416.75,416.75,416.50,416.50,34437
2026-06-25T09:26:00+05:30,416.60,417.05,416.40,417.05,29503
2026-06-25T09:27:00+05:30,416.85,417.55,416.80,417.45,20008
2026-06-25T09:28:00+05:30,417.55,417.55,416.80,416.95,31429
2026-06-25T09:29:00+05:30,416.70,416.70,416.40,416.45,25917
2026-06-25T09:30:00+05:30,416.45,416.85,416.45,416.80,10575
2026-06-25T09:31:00+05:30,416.70,416.80,416.55,416.55,9634
2026-06-25T09:32:00+05:30,416.35,416.40,416.00,416.20,13328
2026-06-25T09:33:00+05:30,416.05,416.05,415.55,415.75,46595
2026-06-25T09:34:00+05:30,415.65,415.65,415.50,415.50,14297
2026-06-25T09:35:00+05:30,415.75,416.10,415.75,416.00,14421
2026-06-25T09:36:00+05:30,416.10,416.80,416.00,416.30,18329
2026-06-25T09:37:00+05:30,416.50,416.55,416.25,416.55,8688
2026-06-25T09:38:00+05:30,416.65,416.65,416.20,416.20,10975
2026-06-25T09:39:00+05:30,416.20,416.45,416.00,416.00,12964
2026-06-25T09:40:00+05:30,416.00,416.05,415.90,415.95,7583
2026-06-25T09:41:00+05:30,415.95,416.25,415.90,415.95,15359
2026-06-25T09:42:00+05:30,415.80,416.00,415.70,416.00,9001
2026-06-25T09:43:00+05:30,415.75,416.10,415.75,416.10,9718
2026-06-25T09:44:00+05:30,416.00,416.15,415.60,415.70,12421
2026-06-25T09:45:00+05:30,415.70,416.20,415.70,416.20,12717
2026-06-25T09:46:00+05:30,416.30,416.40,416.15,416.30,21161
2026-06-25T09:47:00+05:30,416.30,416.40,416.15,416.35,4457
2026-06-25T09:48:00+05:30,416.35,417.05,416.25,416.50,35775
2026-06-25T09:49:00+05:30,416.40,416.40,415.70,415.70,7500
2026-06-25T09:50:00+05:30,415.70,416.00,415.70,416.00,5972
2026-06-25T09:51:00+05:30,415.85,416.00,415.65,415.65,9262
2026-06-25T09:52:00+05:30,415.65,415.90,415.65,415.70,3313
2026-06-25T09:53:00+05:30,415.80,415.80,415.20,415.30,40944
2026-06-25T09:54:00+05:30,415.40,415.45,415.30,415.45,3224
2026-06-25T09:55:00+05:30,415.35,415.35,415.10,415.30,12019
