ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,1339.70,1346.80,1337.00,1345.90,0
2026-06-19T09:16:00+05:30,1346.10,1346.60,1344.70,1346.40,97783
2026-06-19T09:17:00+05:30,1346.00,1346.00,1343.80,1344.70,61321
2026-06-19T09:18:00+05:30,1344.60,1344.70,1342.70,1343.00,63942
2026-06-19T09:19:00+05:30,1342.50,1344.80,1342.00,1344.50,58787
2026-06-19T09:20:00+05:30,1344.30,1344.50,1342.90,1343.60,36848
2026-06-19T09:21:00+05:30,1343.60,1343.90,1343.00,1343.10,18371
2026-06-19T09:22:00+05:30,1342.60,1342.60,1342.00,1342.00,23357
2026-06-19T09:23:00+05:30,1342.10,1342.20,1341.90,1341.90,32502
2026-06-19T09:24:00+05:30,1341.90,1341.90,1341.10,1341.20,14630
2026-06-19T09:25:00+05:30,1341.10,1341.10,1340.30,1340.30,13830
2026-06-19T09:26:00+05:30,1340.40,1341.70,1340.40,1341.70,29508
2026-06-19T09:27:00+05:30,1341.10,1341.50,1341.10,1341.20,20030
2026-06-19T09:28:00+05:30,1341.30,1341.30,1341.20,1341.30,5955
2026-06-19T09:29:00+05:30,1341.30,1342.10,1341.30,1342.10,14543
2026-06-19T09:30:00+05:30,1342.10,1342.20,1340.20,1340.30,97248
2026-06-19T09:31:00+05:30,1340.00,1341.60,1340.00,1341.20,32057
2026-06-19T09:32:00+05:30,1341.20,1342.20,1341.10,1342.10,8970
2026-06-19T09:33:00+05:30,1342.00,1342.10,1341.80,1341.80,9898
2026-06-19T09:34:00+05:30,1341.60,1342.20,1341.60,1342.20,7968
2026-06-19T09:35:00+05:30,1342.20,1344.10,1342.20,1344.10,44654
2026-06-19T09:36:00+05:30,1344.00,1345.40,1344.00,1345.20,14428
2026-06-19T09:37:00+05:30,1345.30,1345.40,1345.10,1345.10,9029
2026-06-19T09:38:00+05:30,1345.10,1345.20,1345.10,1345.10,10620
2026-06-19T09:39:00+05:30,1345.10,1345.20,1344.90,1344.90,5579
2026-06-19T09:40:00+05:30,1344.80,1345.80,1344.80,1345.70,50708
2026-06-19T09:41:00+05:30,1345.70,1345.70,1344.80,1345.00,21957
2026-06-19T09:42:00+05:30,1345.00,1345.10,1344.60,1344.80,12075
2026-06-19T09:43:00+05:30,1344.90,1345.50,1344.90,1345.10,19597
2026-06-19T09:44:00+05:30,1345.20,1345.90,1345.20,1345.70,15057
2026-06-19T09:45:00+05:30,1345.70,1345.70,1345.20,1345.20,11738
2026-06-19T09:46:00+05:30,1345.30,1346.70,1345.30,1346.50,28205
2026-06-19T09:47:00+05:30,1346.50,1346.50,1346.00,1346.20,22101
2026-06-19T09:48:00+05:30,1346.50,1346.80,1346.50,1346.80,15045
2026-06-19T09:49:00+05:30,1346.80,1346.80,1346.40,1346.50,10957
2026-06-19T09:50:00+05:30,1346.20,1346.50,1346.10,1346.40,9781
