ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1830.00,1830.20,1828.70,1829.50,0
2026-06-25T09:16:00+05:30,1829.50,1830.50,1827.00,1827.00,645
2026-06-25T09:17:00+05:30,1825.90,1829.40,1824.60,1828.00,395
2026-06-25T09:18:00+05:30,1827.90,1827.90,1826.00,1826.00,133
2026-06-25T09:19:00+05:30,1826.00,1829.90,1826.00,1829.90,300
2026-06-25T09:20:00+05:30,1829.70,1829.70,1829.30,1829.30,15
2026-06-25T09:21:00+05:30,1828.50,1828.70,1826.70,1827.30,391
2026-06-25T09:22:00+05:30,1826.60,1826.60,1826.10,1826.10,98
2026-06-25T09:23:00+05:30,1825.90,1825.90,1825.10,1825.10,64
2026-06-25T09:24:00+05:30,1825.30,1825.30,1824.70,1824.70,89
2026-06-25T09:25:00+05:30,1825.00,1827.90,1825.00,1827.20,676
2026-06-25T09:26:00+05:30,1826.70,1827.60,1825.40,1827.40,172
2026-06-25T09:27:00+05:30,1827.30,1827.30,1827.00,1827.00,40
2026-06-25T09:28:00+05:30,1826.00,1827.00,1826.00,1827.00,345
2026-06-25T09:29:00+05:30,1827.00,1827.30,1826.40,1827.20,515
2026-06-25T09:30:00+05:30,1827.10,1832.00,1826.30,1832.00,950
2026-06-25T09:31:00+05:30,1832.40,1832.60,1830.30,1830.60,260
2026-06-25T09:32:00+05:30,1831.10,1831.10,1830.60,1830.60,0
2026-06-25T09:33:00+05:30,1832.60,1834.40,1832.60,1834.40,1057
2026-06-25T09:34:00+05:30,1834.20,1835.00,1833.40,1835.00,93
2026-06-25T09:35:00+05:30,1835.00,1836.00,1834.90,1835.60,467
2026-06-25T09:36:00+05:30,1836.00,1836.00,1834.60,1835.00,148
2026-06-25T09:37:00+05:30,1835.00,1836.60,1835.00,1836.60,199
2026-06-25T09:38:00+05:30,1836.50,1836.90,1835.10,1835.90,37
2026-06-25T09:39:00+05:30,1836.60,1836.60,1836.60,1836.60,1
2026-06-25T09:40:00+05:30,1836.60,1836.70,1835.90,1835.90,33
2026-06-25T09:41:00+05:30,1836.00,1836.80,1836.00,1836.80,300
2026-06-25T09:42:00+05:30,1836.90,1837.00,1836.40,1837.00,137
2026-06-25T09:43:00+05:30,1837.90,1838.00,1835.20,1836.70,408
2026-06-25T09:44:00+05:30,1836.50,1836.60,1835.50,1835.50,23
2026-06-25T09:45:00+05:30,1835.90,1836.60,1835.80,1836.60,414
2026-06-25T09:46:00+05:30,1835.90,1836.50,1835.50,1835.50,17
2026-06-25T09:47:00+05:30,1835.80,1835.80,1835.00,1835.00,35
2026-06-25T09:48:00+05:30,1835.00,1835.70,1834.00,1834.00,269
2026-06-25T09:49:00+05:30,1835.00,1835.70,1835.00,1835.70,52
2026-06-25T09:50:00+05:30,1836.90,1838.00,1836.90,1838.00,844
2026-06-25T09:51:00+05:30,1838.40,1839.10,1837.60,1838.10,306
2026-06-25T09:52:00+05:30,1838.30,1838.30,1837.30,1837.30,0
2026-06-25T09:53:00+05:30,1838.40,1839.30,1836.90,1836.90,184
2026-06-25T09:54:00+05:30,1836.10,1836.30,1834.60,1834.60,268
2026-06-25T09:55:00+05:30,1835.10,1835.80,1832.10,1832.10,185
2026-06-25T09:56:00+05:30,1830.90,1832.70,1830.50,1832.40,184
2026-06-25T09:57:00+05:30,1833.30,1833.30,1832.10,1832.10,25
2026-06-25T09:58:00+05:30,1830.90,1830.90,1829.70,1830.90,139
2026-06-25T09:59:00+05:30,1832.00,1832.10,1832.00,1832.10,6
2026-06-25T10:00:00+05:30,1828.70,1832.20,1828.70,1832.20,465
2026-06-25T10:01:00+05:30,1832.80,1833.20,1832.50,1833.00,140
2026-06-25T10:02:00+05:30,1833.30,1833.30,1831.30,1832.50,230
2026-06-25T10:03:00+05:30,1832.70,1832.80,1831.80,1832.20,35
2026-06-25T10:04:00+05:30,1832.20,1832.20,1830.00,1831.10,222
2026-06-25T10:05:00+05:30,1832.00,1832.20,1830.30,1830.30,140
2026-06-25T10:06:00+05:30,1829.40,1829.40,1829.40,1829.40,3
2026-06-25T10:07:00+05:30,1828.60,1828.60,1827.50,1828.00,545
2026-06-25T10:08:00+05:30,1828.70,1828.80,1827.30,1827.30,66
2026-06-25T10:09:00+05:30,1826.80,1829.80,1826.80,1829.80,104
2026-06-25T10:10:00+05:30,1828.30,1828.30,1828.30,1828.30,48
2026-06-25T10:11:00+05:30,1829.00,1829.00,1828.20,1828.20,267
2026-06-25T10:12:00+05:30,1829.00,1830.00,1828.50,1828.50,8
2026-06-25T10:13:00+05:30,1829.00,1830.50,1829.00,1829.10,5993
2026-06-25T10:14:00+05:30,1829.50,1829.50,1827.70,1828.50,1151
2026-06-25T10:15:00+05:30,1828.00,1828.00,1824.30,1825.40,2394
2026-06-25T10:16:00+05:30,1824.50,1825.00,1824.30,1824.30,536
2026-06-25T10:17:00+05:30,1824.30,1824.30,1823.20,1824.30,95
2026-06-25T10:18:00+05:30,1824.80,1824.80,1824.80,1824.80,79
2026-06-25T10:19:00+05:30,1824.90,1825.00,1824.30,1824.30,132
2026-06-25T10:20:00+05:30,1824.30,1824.30,1823.50,1824.00,11
2026-06-25T10:22:00+05:30,1824.40,1824.40,1823.60,1824.20,141
2026-06-25T10:23:00+05:30,1824.00,1824.00,1824.00,1824.00,2
2026-06-25T10:24:00+05:30,1824.00,1824.00,1823.90,1823.90,34
2026-06-25T10:25:00+05:30,1824.60,1824.60,1824.50,1824.50,82
2026-06-25T10:26:00+05:30,1824.50,1825.00,1824.50,1825.00,0
2026-06-25T10:27:00+05:30,1825.00,1825.00,1824.30,1824.30,113
2026-06-25T10:28:00+05:30,1824.90,1824.90,1824.80,1824.80,8
2026-06-25T10:29:00+05:30,1824.70,1824.70,1824.70,1824.70,1
2026-06-25T10:30:00+05:30,1824.90,1825.60,1824.90,1825.60,1242
2026-06-25T10:31:00+05:30,1825.00,1825.00,1824.90,1825.00,271
2026-06-25T10:32:00+05:30,1825.00,1826.00,1825.00,1826.00,2674
2026-06-25T10:33:00+05:30,1825.90,1826.20,1824.90,1824.90,4112
2026-06-25T10:34:00+05:30,1824.90,1825.20,1824.90,1825.20,594
2026-06-25T10:35:00+05:30,1824.70,1825.10,1824.70,1825.10,29
2026-06-25T10:36:00+05:30,1825.20,1825.80,1824.90,1824.90,854
2026-06-25T10:37:00+05:30,1826.80,1827.10,1825.00,1825.60,4410
2026-06-25T10:38:00+05:30,1825.70,1826.00,1824.30,1824.30,10581
2026-06-25T10:39:00+05:30,1824.70,1825.00,1824.50,1824.50,443
2026-06-25T10:40:00+05:30,1824.40,1824.40,1824.00,1824.00,364
2026-06-25T10:41:00+05:30,1823.00,1823.00,1822.10,1822.50,1250
2026-06-25T10:42:00+05:30,1822.50,1824.60,1822.50,1824.60,810
2026-06-25T10:43:00+05:30,1824.60,1824.60,1823.50,1823.50,51
2026-06-25T10:44:00+05:30,1822.80,1822.80,1822.50,1822.70,118
2026-06-25T10:45:00+05:30,1822.90,1824.00,1822.90,1823.40,103
2026-06-25T10:46:00+05:30,1823.40,1823.40,1822.60,1822.60,66
2026-06-25T10:47:00+05:30,1822.60,1822.90,1822.50,1822.50,24
2026-06-25T10:48:00+05:30,1823.40,1823.40,1822.60,1822.80,27
2026-06-25T10:49:00+05:30,1822.80,1823.70,1822.80,1823.20,48
2026-06-25T10:50:00+05:30,1823.90,1824.10,1823.80,1823.80,86
2026-06-25T10:52:00+05:30,1822.70,1823.00,1822.30,1822.30,260
2026-06-25T10:53:00+05:30,1823.10,1824.50,1823.10,1824.10,594
2026-06-25T10:54:00+05:30,1824.30,1824.30,1824.00,1824.00,804
2026-06-25T10:55:00+05:30,1824.50,1824.50,1824.50,1824.50,0
2026-06-25T10:56:00+05:30,1824.50,1825.00,1824.20,1824.20,327
2026-06-25T10:57:00+05:30,1824.90,1824.90,1824.90,1824.90,410
2026-06-25T10:58:00+05:30,1825.00,1828.40,1825.00,1828.40,1181
2026-06-25T10:59:00+05:30,1828.50,1829.20,1828.50,1829.10,112
2026-06-25T11:00:00+05:30,1828.30,1829.00,1826.10,1826.20,1839
2026-06-25T11:01:00+05:30,1827.30,1827.60,1827.30,1827.60,558
2026-06-25T11:02:00+05:30,1826.40,1826.40,1826.40,1826.40,0
2026-06-25T11:03:00+05:30,1828.00,1828.00,1827.30,1827.30,373
2026-06-25T11:05:00+05:30,1826.80,1826.80,1826.70,1826.70,712
2026-06-25T11:06:00+05:30,1827.00,1827.80,1827.00,1827.80,391
2026-06-25T11:08:00+05:30,1828.00,1828.00,1828.00,1828.00,812
2026-06-25T11:09:00+05:30,1827.30,1827.80,1826.80,1826.80,377
2026-06-25T11:11:00+05:30,1827.90,1827.90,1827.80,1827.80,24
2026-06-25T11:12:00+05:30,1827.80,1827.80,1827.80,1827.80,0
2026-06-25T11:13:00+05:30,1827.60,1827.60,1827.60,1827.60,48
2026-06-25T11:14:00+05:30,1828.00,1828.00,1827.00,1827.00,2682
2026-06-25T11:15:00+05:30,1828.00,1828.90,1827.50,1828.20,2378
2026-06-25T11:16:00+05:30,1828.00,1828.40,1827.50,1827.50,1817
2026-06-25T11:17:00+05:30,1827.70,1828.90,1827.50,1828.50,1441
2026-06-25T11:18:00+05:30,1828.20,1828.90,1827.50,1827.50,4373
2026-06-25T11:19:00+05:30,1828.00,1828.50,1827.50,1827.90,6849
2026-06-25T11:20:00+05:30,1827.40,1827.40,1827.20,1827.20,0
2026-06-25T11:21:00+05:30,1826.60,1826.60,1826.60,1826.60,148
2026-06-25T11:22:00+05:30,1826.00,1826.60,1826.00,1826.60,294
2026-06-25T11:23:00+05:30,1826.10,1827.30,1826.10,1826.70,1624
2026-06-25T11:24:00+05:30,1825.80,1825.80,1825.80,1825.80,0
2026-06-25T11:25:00+05:30,1826.70,1827.80,1826.70,1827.80,773
2026-06-25T11:26:00+05:30,1827.70,1827.70,1827.70,1827.70,8
2026-06-25T11:27:00+05:30,1827.20,1828.50,1827.20,1828.50,635
2026-06-25T11:28:00+05:30,1828.20,1828.20,1828.00,1828.00,169
2026-06-25T11:29:00+05:30,1828.00,1828.30,1828.00,1828.30,669
2026-06-25T11:31:00+05:30,1829.40,1829.50,1827.90,1829.50,1964
2026-06-25T11:32:00+05:30,1829.90,1829.90,1829.50,1829.90,418
2026-06-25T11:33:00+05:30,1828.50,1829.90,1828.50,1829.90,154
2026-06-25T11:34:00+05:30,1828.80,1829.90,1828.80,1829.90,352
2026-06-25T11:35:00+05:30,1829.90,1831.00,1829.90,1831.00,5660
2026-06-25T11:36:00+05:30,1832.60,1834.20,1832.60,1834.20,1102
2026-06-25T11:37:00+05:30,1833.20,1833.50,1833.20,1833.50,48
2026-06-25T11:38:00+05:30,1834.50,1834.50,1834.50,1834.50,2
2026-06-25T11:39:00+05:30,1835.00,1835.00,1835.00,1835.00,278
2026-06-25T11:40:00+05:30,1836.00,1836.00,1835.90,1836.00,126
2026-06-25T11:41:00+05:30,1836.50,1836.70,1836.20,1836.20,249
2026-06-25T11:42:00+05:30,1837.00,1837.00,1836.40,1836.40,37
2026-06-25T11:43:00+05:30,1836.60,1836.60,1836.50,1836.50,480
2026-06-25T11:44:00+05:30,1835.30,1835.30,1835.30,1835.30,39
2026-06-25T11:45:00+05:30,1835.50,1835.50,1835.50,1835.50,0
2026-06-25T11:46:00+05:30,1835.30,1835.30,1834.90,1834.90,232
2026-06-25T11:47:00+05:30,1835.00,1835.00,1834.80,1834.80,121
2026-06-25T11:48:00+05:30,1835.00,1835.90,1834.40,1835.00,2301
2026-06-25T11:50:00+05:30,1835.00,1835.70,1834.90,1834.90,0
2026-06-25T11:51:00+05:30,1834.90,1835.50,1834.90,1835.50,126
2026-06-25T11:52:00+05:30,1835.50,1835.60,1835.50,1835.60,62
2026-06-25T11:53:00+05:30,1835.30,1835.60,1835.30,1835.60,112
2026-06-25T11:54:00+05:30,1835.60,1836.10,1835.60,1835.80,243
2026-06-25T11:55:00+05:30,1834.90,1835.10,1834.60,1834.60,95
2026-06-25T11:56:00+05:30,1834.50,1835.50,1834.50,1835.10,134
2026-06-25T11:57:00+05:30,1835.30,1836.90,1835.30,1835.70,212
2026-06-25T11:58:00+05:30,1836.20,1836.20,1835.30,1835.30,258
2026-06-25T11:59:00+05:30,1835.30,1835.30,1834.50,1834.50,113
2026-06-25T12:00:00+05:30,1834.50,1834.90,1834.50,1834.60,293
2026-06-25T12:01:00+05:30,1832.10,1832.10,1831.30,1831.30,783
2026-06-25T12:02:00+05:30,1831.00,1831.00,1830.00,1830.00,444
