ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,500.00,502.10,500.00,500.50,0
2026-06-25T09:16:00+05:30,500.85,500.85,500.50,500.70,10389
2026-06-25T09:17:00+05:30,501.05,501.05,499.55,499.90,5302
2026-06-25T09:18:00+05:30,499.50,499.90,499.40,499.90,2107
2026-06-25T09:19:00+05:30,499.70,500.25,499.70,500.25,1008
2026-06-25T09:20:00+05:30,500.30,500.70,500.25,500.40,2850
2026-06-25T09:21:00+05:30,500.05,500.70,499.95,500.45,2537
2026-06-25T09:22:00+05:30,500.55,501.35,500.50,501.00,1527
2026-06-25T09:23:00+05:30,500.80,500.80,499.80,499.80,28459
2026-06-25T09:24:00+05:30,500.15,500.15,499.25,499.60,2730
2026-06-25T09:25:00+05:30,499.50,499.80,499.35,499.75,793
2026-06-25T09:26:00+05:30,499.65,499.65,499.50,499.60,4012
2026-06-25T09:27:00+05:30,499.70,499.80,499.40,499.75,2589
2026-06-25T09:28:00+05:30,499.75,500.25,499.75,500.10,2156
2026-06-25T09:29:00+05:30,499.95,500.60,499.90,500.50,505
2026-06-25T09:30:00+05:30,500.90,500.90,499.60,499.95,2812
2026-06-25T09:31:00+05:30,499.95,499.95,499.10,499.10,794
2026-06-25T09:32:00+05:30,499.45,499.45,499.20,499.30,888
2026-06-25T09:33:00+05:30,499.45,499.65,499.00,499.20,2074
2026-06-25T09:34:00+05:30,499.30,499.70,498.10,498.85,5385
2026-06-25T09:35:00+05:30,498.70,498.95,498.65,498.75,13997
2026-06-25T09:36:00+05:30,498.95,499.10,498.05,498.20,2432
2026-06-25T09:37:00+05:30,498.45,498.45,498.20,498.45,482
2026-06-25T09:38:00+05:30,498.70,498.70,498.00,498.50,2169
2026-06-25T09:39:00+05:30,498.25,498.55,498.25,498.35,1415
2026-06-25T09:40:00+05:30,498.55,498.55,498.05,498.40,8521
2026-06-25T09:41:00+05:30,498.40,498.40,498.05,498.10,1483
2026-06-25T09:42:00+05:30,498.10,498.45,498.10,498.45,533
2026-06-25T09:43:00+05:30,498.55,498.90,498.55,498.65,734
2026-06-25T09:44:00+05:30,498.65,498.70,498.25,498.30,1455
2026-06-25T09:45:00+05:30,498.45,498.60,498.45,498.60,322
2026-06-25T09:46:00+05:30,498.85,498.85,498.70,498.70,205
2026-06-25T09:47:00+05:30,498.55,498.55,498.55,498.55,102
2026-06-25T09:48:00+05:30,498.85,498.85,498.60,498.65,1558
2026-06-25T09:49:00+05:30,498.70,498.70,498.20,498.40,624
2026-06-25T09:50:00+05:30,498.70,498.70,498.60,498.60,174
2026-06-25T09:51:00+05:30,498.60,498.70,498.60,498.70,215
2026-06-25T09:52:00+05:30,498.75,499.30,498.65,499.30,2691
2026-06-25T09:53:00+05:30,499.35,499.35,499.00,499.00,1264
2026-06-25T09:54:00+05:30,498.75,499.15,498.75,499.15,1778
2026-06-25T09:55:00+05:30,498.95,498.95,498.90,498.95,0
2026-06-25T09:56:00+05:30,498.95,499.00,498.85,499.00,1329
2026-06-25T09:57:00+05:30,499.10,499.65,499.10,499.50,3104
2026-06-25T09:58:00+05:30,499.50,499.75,499.50,499.55,1101
2026-06-25T09:59:00+05:30,499.70,499.70,499.70,499.70,26
2026-06-25T10:00:00+05:30,499.70,499.70,499.55,499.70,381
2026-06-25T10:01:00+05:30,499.60,499.60,499.35,499.45,698
2026-06-25T10:02:00+05:30,499.40,499.40,499.30,499.30,179
2026-06-25T10:03:00+05:30,499.25,499.35,499.25,499.25,10
2026-06-25T10:04:00+05:30,499.45,499.55,499.45,499.55,351
