ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,79.45,80.05,79.40,79.95,0
2026-06-25T09:16:00+05:30,79.95,80.00,79.80,79.90,91315
2026-06-25T09:17:00+05:30,79.95,79.95,79.80,79.85,123604
2026-06-25T09:18:00+05:30,79.75,79.75,79.65,79.70,126758
2026-06-25T09:19:00+05:30,79.75,79.80,79.65,79.65,108927
2026-06-25T09:20:00+05:30,79.75,79.75,79.65,79.65,33797
2026-06-25T09:21:00+05:30,79.65,79.75,79.65,79.75,52279
2026-06-25T09:22:00+05:30,79.70,79.70,79.65,79.65,15521
2026-06-25T09:23:00+05:30,79.55,79.60,79.45,79.45,105371
2026-06-25T09:24:00+05:30,79.50,79.50,79.45,79.50,77897
2026-06-25T09:25:00+05:30,79.50,79.50,79.45,79.50,38129
2026-06-25T09:26:00+05:30,79.50,79.50,79.40,79.40,47403
2026-06-25T09:27:00+05:30,79.40,79.50,79.40,79.50,31694
2026-06-25T09:28:00+05:30,79.50,79.55,79.40,79.40,26003
2026-06-25T09:29:00+05:30,79.40,79.40,79.40,79.40,49958
2026-06-25T09:30:00+05:30,79.40,79.45,79.35,79.45,208478
2026-06-25T09:31:00+05:30,79.45,79.45,79.35,79.35,17826
2026-06-25T09:32:00+05:30,79.35,79.45,79.30,79.45,41764
2026-06-25T09:33:00+05:30,79.40,79.45,79.40,79.45,11676
2026-06-25T09:34:00+05:30,79.45,79.55,79.45,79.50,13237
2026-06-25T09:35:00+05:30,79.55,79.55,79.50,79.55,25402
2026-06-25T09:36:00+05:30,79.50,79.50,79.45,79.50,8562
2026-06-25T09:37:00+05:30,79.50,79.55,79.50,79.55,7781
2026-06-25T09:38:00+05:30,79.55,79.55,79.45,79.45,42542
2026-06-25T09:39:00+05:30,79.45,79.50,79.45,79.50,4772
2026-06-25T09:40:00+05:30,79.50,79.55,79.50,79.55,20798
2026-06-25T09:41:00+05:30,79.55,79.70,79.55,79.70,42798
2026-06-25T09:42:00+05:30,79.70,79.70,79.60,79.70,25804
2026-06-25T09:43:00+05:30,79.75,79.80,79.75,79.80,80834
2026-06-25T09:44:00+05:30,79.80,79.80,79.80,79.80,23570
2026-06-25T09:45:00+05:30,79.85,80.00,79.85,80.00,142230
2026-06-25T09:46:00+05:30,80.00,80.00,79.90,79.95,43694
2026-06-25T09:47:00+05:30,80.00,80.15,79.95,80.15,268328
2026-06-25T09:48:00+05:30,80.25,80.30,80.05,80.10,389990
2026-06-25T09:49:00+05:30,80.05,80.05,79.90,80.05,103654
2026-06-25T09:50:00+05:30,80.10,80.10,79.90,79.95,91894
2026-06-25T09:51:00+05:30,80.10,80.10,80.05,80.10,70363
2026-06-25T09:52:00+05:30,80.10,80.10,80.00,80.00,96298
2026-06-25T09:53:00+05:30,79.95,79.95,79.90,79.95,31815
2026-06-25T09:54:00+05:30,79.90,80.00,79.90,79.95,39259
2026-06-25T09:55:00+05:30,79.95,79.95,79.90,79.90,35089
2026-06-25T09:56:00+05:30,79.95,80.00,79.95,79.95,23728
2026-06-25T09:57:00+05:30,80.00,80.00,79.95,79.95,56413
2026-06-25T09:58:00+05:30,79.95,79.95,79.90,79.95,18763
2026-06-25T09:59:00+05:30,79.90,80.00,79.90,79.95,111157
2026-06-25T10:00:00+05:30,80.00,80.00,79.90,79.90,66520
2026-06-25T10:01:00+05:30,79.95,79.95,79.90,79.95,30956
2026-06-25T10:02:00+05:30,79.95,79.95,79.85,79.85,104375
2026-06-25T10:03:00+05:30,79.85,79.90,79.80,79.80,28568
2026-06-25T10:04:00+05:30,79.85,79.95,79.80,79.90,42850
2026-06-25T10:05:00+05:30,79.90,79.90,79.80,79.80,32492
2026-06-25T10:06:00+05:30,79.80,79.85,79.75,79.80,16876
2026-06-25T10:07:00+05:30,79.80,79.80,79.70,79.75,40467
2026-06-25T10:08:00+05:30,79.75,79.80,79.75,79.80,31703
2026-06-25T10:09:00+05:30,79.80,79.90,79.80,79.90,22465
2026-06-25T10:10:00+05:30,79.85,79.85,79.80,79.85,34115
2026-06-25T10:11:00+05:30,79.80,79.85,79.80,79.85,12380
2026-06-25T10:12:00+05:30,79.85,79.90,79.85,79.90,19279
2026-06-25T10:13:00+05:30,79.90,80.00,79.90,80.00,47129
2026-06-25T10:14:00+05:30,80.00,80.00,79.95,80.00,80735
2026-06-25T10:15:00+05:30,79.90,79.95,79.90,79.95,24479
2026-06-25T10:16:00+05:30,79.95,80.00,79.90,80.00,56242
2026-06-25T10:17:00+05:30,79.95,80.00,79.90,79.95,17188
2026-06-25T10:18:00+05:30,79.90,79.95,79.90,79.90,9551
2026-06-25T10:19:00+05:30,79.90,79.90,79.90,79.90,7492
2026-06-25T10:20:00+05:30,79.90,79.90,79.85,79.85,13247
2026-06-25T10:21:00+05:30,79.85,79.85,79.80,79.85,20814
2026-06-25T10:22:00+05:30,79.85,79.85,79.75,79.85,18575
2026-06-25T10:23:00+05:30,79.85,79.85,79.80,79.85,4096
2026-06-25T10:24:00+05:30,79.85,79.85,79.80,79.85,8390
2026-06-25T10:25:00+05:30,79.85,79.85,79.80,79.80,26288
2026-06-25T10:26:00+05:30,79.80,79.85,79.80,79.80,4567
2026-06-25T10:27:00+05:30,79.80,79.80,79.75,79.80,11151
2026-06-25T10:28:00+05:30,79.75,79.80,79.70,79.70,12407
2026-06-25T10:29:00+05:30,79.75,79.85,79.70,79.80,56553
2026-06-25T10:30:00+05:30,79.85,79.85,79.85,79.85,8854
2026-06-25T10:31:00+05:30,79.85,79.90,79.80,79.90,32627
2026-06-25T10:32:00+05:30,79.85,79.90,79.85,79.85,11812
2026-06-25T10:33:00+05:30,79.85,79.85,79.75,79.75,27071
2026-06-25T10:34:00+05:30,79.75,79.75,79.70,79.70,36235
2026-06-25T10:35:00+05:30,79.75,79.85,79.75,79.75,17346
2026-06-25T10:36:00+05:30,79.80,79.85,79.80,79.80,10630
2026-06-25T10:37:00+05:30,79.80,79.85,79.80,79.80,6362
2026-06-25T10:38:00+05:30,79.80,79.85,79.75,79.75,17704
2026-06-25T10:39:00+05:30,79.75,79.80,79.75,79.80,21576
2026-06-25T10:40:00+05:30,79.80,79.80,79.75,79.80,24230
2026-06-25T10:41:00+05:30,79.80,79.80,79.75,79.80,9856
2026-06-25T10:42:00+05:30,79.80,79.85,79.75,79.80,34309
2026-06-25T10:43:00+05:30,79.80,79.80,79.75,79.75,20432
2026-06-25T10:44:00+05:30,79.75,79.75,79.75,79.75,10185
2026-06-25T10:45:00+05:30,79.75,79.80,79.75,79.80,6841
2026-06-25T10:46:00+05:30,79.80,79.80,79.70,79.80,39580
2026-06-25T10:47:00+05:30,79.80,79.80,79.80,79.80,7816
2026-06-25T10:48:00+05:30,79.80,79.85,79.75,79.85,62094
2026-06-25T10:49:00+05:30,79.85,79.85,79.75,79.80,21284
2026-06-25T10:50:00+05:30,79.80,79.80,79.80,79.80,10633
2026-06-25T10:51:00+05:30,79.80,79.80,79.75,79.75,14704
2026-06-25T10:52:00+05:30,79.75,79.75,79.70,79.75,20681
2026-06-25T10:53:00+05:30,79.75,79.75,79.70,79.75,15065
2026-06-25T10:54:00+05:30,79.75,79.75,79.70,79.75,73736
2026-06-25T10:55:00+05:30,79.70,79.75,79.70,79.75,12935
2026-06-25T10:56:00+05:30,79.70,79.75,79.70,79.70,14333
2026-06-25T10:57:00+05:30,79.70,79.70,79.70,79.70,38994
2026-06-25T10:58:00+05:30,79.70,79.75,79.70,79.75,8400
2026-06-25T10:59:00+05:30,79.75,79.75,79.75,79.75,8364
2026-06-25T11:00:00+05:30,79.80,79.80,79.75,79.75,11697
2026-06-25T11:01:00+05:30,79.75,79.75,79.70,79.75,5649
2026-06-25T11:02:00+05:30,79.75,79.75,79.75,79.75,8886
2026-06-25T11:03:00+05:30,79.75,79.80,79.75,79.80,35054
2026-06-25T11:04:00+05:30,79.75,79.80,79.75,79.75,6245
2026-06-25T11:05:00+05:30,79.75,79.80,79.70,79.70,12226
2026-06-25T11:06:00+05:30,79.70,79.75,79.70,79.70,18854
2026-06-25T11:07:00+05:30,79.75,79.75,79.70,79.70,12549
2026-06-25T11:08:00+05:30,79.70,79.70,79.70,79.70,16084
2026-06-25T11:09:00+05:30,79.70,79.70,79.65,79.65,10074
2026-06-25T11:10:00+05:30,79.70,79.70,79.65,79.65,10709
2026-06-25T11:11:00+05:30,79.65,79.70,79.65,79.65,4834
2026-06-25T11:12:00+05:30,79.70,79.70,79.65,79.65,11157
2026-06-25T11:13:00+05:30,79.65,79.70,79.65,79.70,16986
