ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,169.70,169.70,168.85,169.00,0
2026-06-25T09:16:00+05:30,168.50,169.40,168.50,169.05,9329
2026-06-25T09:17:00+05:30,168.75,169.05,168.55,168.70,5258
2026-06-25T09:18:00+05:30,168.30,168.50,168.30,168.50,15874
2026-06-25T09:19:00+05:30,168.50,168.75,168.50,168.75,0
2026-06-25T09:20:00+05:30,168.55,168.70,168.55,168.70,1082
2026-06-25T09:21:00+05:30,168.70,169.00,168.70,168.75,13468
2026-06-25T09:22:00+05:30,169.00,169.05,168.85,169.00,1073
2026-06-25T09:23:00+05:30,168.95,168.95,168.70,168.70,5608
2026-06-25T09:24:00+05:30,168.70,168.70,168.30,168.50,5182
2026-06-25T09:25:00+05:30,168.35,168.45,168.35,168.45,2692
2026-06-25T09:26:00+05:30,168.50,169.80,168.50,169.55,26284
2026-06-25T09:27:00+05:30,169.90,169.90,169.45,169.45,13963
2026-06-25T09:28:00+05:30,169.55,169.55,169.15,169.40,3436
2026-06-25T09:29:00+05:30,169.35,169.35,169.30,169.35,7155
2026-06-25T09:30:00+05:30,169.30,169.45,169.30,169.30,2699
2026-06-25T09:31:00+05:30,169.55,169.55,169.05,169.05,2229
2026-06-25T09:32:00+05:30,169.15,170.35,169.15,170.10,133332
2026-06-25T09:33:00+05:30,170.10,170.25,170.00,170.10,17695
2026-06-25T09:34:00+05:30,170.00,170.30,170.00,170.10,16580
2026-06-25T09:35:00+05:30,170.05,170.40,170.05,170.40,10671
2026-06-25T09:36:00+05:30,170.35,170.35,170.15,170.35,8249
2026-06-25T09:37:00+05:30,171.00,171.00,170.15,170.15,38312
2026-06-25T09:38:00+05:30,170.15,170.15,170.00,170.05,9913
2026-06-25T09:39:00+05:30,169.75,169.75,169.50,169.60,63814
2026-06-25T09:40:00+05:30,169.30,169.65,169.10,169.60,15547
2026-06-25T09:41:00+05:30,169.60,169.60,169.25,169.45,5182
2026-06-25T09:42:00+05:30,169.45,169.45,169.15,169.15,3761
2026-06-25T09:43:00+05:30,169.10,169.25,168.85,168.85,14538
2026-06-25T09:44:00+05:30,168.70,168.90,168.70,168.85,8616
2026-06-25T09:45:00+05:30,168.90,168.95,168.75,168.80,6160
2026-06-25T09:46:00+05:30,168.70,168.80,168.70,168.80,13968
2026-06-25T09:47:00+05:30,168.65,168.65,168.50,168.60,5106
2026-06-25T09:48:00+05:30,168.60,169.40,168.60,169.40,75086
2026-06-25T09:49:00+05:30,170.05,170.05,169.50,169.55,12404
2026-06-25T09:50:00+05:30,169.50,170.00,169.50,169.90,12148
2026-06-25T09:51:00+05:30,170.00,170.20,170.00,170.15,9958
2026-06-25T09:52:00+05:30,170.15,170.15,169.50,169.65,23470
2026-06-25T09:53:00+05:30,169.65,169.65,169.45,169.45,3096
2026-06-25T09:54:00+05:30,169.45,169.45,169.45,169.45,1045
2026-06-25T09:55:00+05:30,169.45,169.45,169.15,169.15,1726
2026-06-25T09:56:00+05:30,169.55,169.80,169.55,169.70,20840
2026-06-25T09:57:00+05:30,169.55,169.70,169.25,169.25,13744
2026-06-25T09:58:00+05:30,169.35,169.35,169.15,169.25,3162
