ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,401.00,401.00,399.80,400.50,0
2026-06-25T09:16:00+05:30,400.25,400.40,400.05,400.05,21401
2026-06-25T09:17:00+05:30,400.00,400.45,400.00,400.10,65341
2026-06-25T09:18:00+05:30,400.05,400.55,400.00,400.55,7554
2026-06-25T09:19:00+05:30,400.60,400.75,400.60,400.75,7290
2026-06-25T09:20:00+05:30,400.80,400.80,400.55,400.60,1927
2026-06-25T09:21:00+05:30,400.60,400.65,400.50,400.50,1562
2026-06-25T09:22:00+05:30,400.40,401.05,400.40,401.05,4909
2026-06-25T09:23:00+05:30,401.00,401.00,400.50,400.70,4797
2026-06-25T09:24:00+05:30,401.25,401.90,401.25,401.70,19291
2026-06-25T09:25:00+05:30,401.50,401.55,401.15,401.55,21153
2026-06-25T09:26:00+05:30,401.45,401.55,401.00,401.00,11089
2026-06-25T09:27:00+05:30,400.75,400.95,400.65,400.95,2657
2026-06-25T09:28:00+05:30,400.95,401.15,400.85,400.85,16193
2026-06-25T09:29:00+05:30,401.05,401.20,400.85,400.85,4511
2026-06-25T09:30:00+05:30,400.75,400.90,400.75,400.85,5414
2026-06-25T09:31:00+05:30,401.05,401.15,400.55,400.90,10331
2026-06-25T09:32:00+05:30,400.80,400.80,400.65,400.80,5145
2026-06-25T09:33:00+05:30,400.80,400.80,400.50,400.70,1574
2026-06-25T09:34:00+05:30,400.70,401.05,400.55,400.80,3755
2026-06-25T09:35:00+05:30,400.80,400.80,400.50,400.50,2728
2026-06-25T09:36:00+05:30,400.50,400.75,400.50,400.60,2691
2026-06-25T09:37:00+05:30,400.80,401.00,400.60,401.00,8154
2026-06-25T09:38:00+05:30,401.25,401.95,401.25,401.95,11784
2026-06-25T09:39:00+05:30,401.95,401.95,401.70,401.70,1888
2026-06-25T09:40:00+05:30,401.70,401.70,401.10,401.20,3651
2026-06-25T09:41:00+05:30,401.20,401.20,401.15,401.15,1357
2026-06-25T09:42:00+05:30,401.35,401.35,400.45,400.45,5137
2026-06-25T09:43:00+05:30,400.70,401.15,400.70,401.15,4875
2026-06-25T09:44:00+05:30,401.15,401.45,400.95,401.10,25940
2026-06-25T09:45:00+05:30,401.35,401.40,401.15,401.40,14280
2026-06-25T09:46:00+05:30,401.40,401.40,401.25,401.35,3231
2026-06-25T09:47:00+05:30,401.60,401.60,401.30,401.55,10003
2026-06-25T09:48:00+05:30,401.60,401.75,401.40,401.70,13618
2026-06-25T09:49:00+05:30,401.40,401.65,401.40,401.50,1561
2026-06-25T09:50:00+05:30,401.90,402.60,401.85,402.60,13238
2026-06-25T09:51:00+05:30,402.20,402.70,402.00,402.35,16792
2026-06-25T09:52:00+05:30,402.35,402.45,402.10,402.30,15918
2026-06-25T09:53:00+05:30,402.30,402.30,401.20,401.20,6897
2026-06-25T09:54:00+05:30,401.20,401.20,401.05,401.05,8876
2026-06-25T09:55:00+05:30,401.65,401.85,401.50,401.50,23342
2026-06-25T09:56:00+05:30,401.70,401.70,401.25,401.25,8301
2026-06-25T09:57:00+05:30,401.50,401.95,401.50,401.70,23585
2026-06-25T09:58:00+05:30,401.65,401.90,401.50,401.60,17004
2026-06-25T09:59:00+05:30,401.60,401.70,401.50,401.50,8078
2026-06-25T10:00:00+05:30,401.55,401.95,401.30,401.55,19261
2026-06-25T10:01:00+05:30,401.55,401.90,401.55,401.55,10710
2026-06-25T10:02:00+05:30,401.60,401.80,401.60,401.80,6196
2026-06-25T10:03:00+05:30,401.75,402.10,401.75,402.10,12399
2026-06-25T10:04:00+05:30,402.10,402.35,401.80,402.05,20643
2026-06-25T10:05:00+05:30,402.15,402.20,402.05,402.05,13840
2026-06-25T10:06:00+05:30,402.10,402.50,402.05,402.45,16745
2026-06-25T10:07:00+05:30,402.45,402.45,402.05,402.05,10377
2026-06-25T10:08:00+05:30,402.05,402.35,402.05,402.30,10947
2026-06-25T10:09:00+05:30,402.30,402.40,402.15,402.25,17440
2026-06-25T10:10:00+05:30,402.25,402.60,402.25,402.40,14664
2026-06-25T10:11:00+05:30,402.45,402.55,402.30,402.30,12422
2026-06-25T10:12:00+05:30,402.30,402.85,402.25,402.85,30268
2026-06-25T10:13:00+05:30,402.75,402.80,402.55,402.65,21411
2026-06-25T10:14:00+05:30,402.60,403.35,402.60,403.05,18549
2026-06-25T10:15:00+05:30,403.15,403.25,403.05,403.25,11846
2026-06-25T10:16:00+05:30,402.90,403.25,402.90,403.15,47953
2026-06-25T10:17:00+05:30,403.00,403.10,402.65,402.85,12849
2026-06-25T10:18:00+05:30,402.70,402.95,402.50,402.95,18426
2026-06-25T10:19:00+05:30,402.95,403.15,402.90,403.00,16629
2026-06-25T10:20:00+05:30,402.90,403.15,402.90,403.10,11226
