ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,147.80,148.20,147.30,147.35,0
2026-06-25T09:16:00+05:30,147.30,147.40,147.00,147.05,301077
2026-06-25T09:17:00+05:30,147.15,147.20,147.00,147.15,299773
2026-06-25T09:18:00+05:30,147.10,147.25,147.05,147.20,113578
2026-06-25T09:19:00+05:30,147.15,147.15,147.00,147.15,124464
2026-06-25T09:20:00+05:30,147.15,147.20,147.10,147.10,89478
2026-06-25T09:21:00+05:30,147.15,147.15,146.95,146.95,151252
2026-06-25T09:22:00+05:30,147.00,147.05,147.00,147.05,74751
2026-06-25T09:23:00+05:30,147.00,147.10,146.95,147.10,143643
2026-06-25T09:24:00+05:30,147.00,147.10,147.00,147.00,54489
2026-06-25T09:25:00+05:30,147.05,147.05,146.95,147.00,36007
2026-06-25T09:26:00+05:30,147.00,147.15,147.00,147.10,77495
2026-06-25T09:27:00+05:30,147.10,147.25,147.10,147.20,86170
2026-06-25T09:28:00+05:30,147.25,147.25,147.15,147.20,88684
2026-06-25T09:29:00+05:30,147.20,147.20,147.10,147.10,48917
2026-06-25T09:30:00+05:30,147.10,147.15,147.10,147.15,57639
2026-06-25T09:31:00+05:30,147.15,147.15,146.90,146.90,93030
2026-06-25T09:32:00+05:30,146.90,146.90,146.80,146.80,136504
2026-06-25T09:33:00+05:30,146.75,146.75,146.60,146.65,88340
2026-06-25T09:34:00+05:30,146.60,146.70,146.60,146.70,62188
2026-06-25T09:35:00+05:30,146.75,146.80,146.70,146.70,37340
2026-06-25T09:36:00+05:30,146.70,146.80,146.70,146.75,49232
2026-06-25T09:37:00+05:30,146.75,146.95,146.65,146.90,50431
2026-06-25T09:38:00+05:30,146.90,146.90,146.75,146.75,37407
2026-06-25T09:39:00+05:30,146.75,146.75,146.70,146.75,37093
2026-06-25T09:40:00+05:30,146.70,146.70,146.60,146.65,35499
2026-06-25T09:41:00+05:30,146.65,146.65,146.60,146.60,39675
2026-06-25T09:42:00+05:30,146.55,146.55,146.50,146.50,81790
2026-06-25T09:43:00+05:30,146.45,146.55,146.45,146.50,36285
2026-06-25T09:44:00+05:30,146.55,146.55,146.35,146.35,79814
2026-06-25T09:45:00+05:30,146.40,146.45,146.40,146.45,40478
2026-06-25T09:46:00+05:30,146.50,146.65,146.50,146.65,90527
2026-06-25T09:47:00+05:30,146.60,146.60,146.50,146.55,27153
2026-06-25T09:48:00+05:30,146.55,146.65,146.50,146.60,66935
2026-06-25T09:49:00+05:30,146.50,146.55,146.40,146.45,49536
2026-06-25T09:50:00+05:30,146.45,146.80,146.45,146.65,151984
2026-06-25T09:51:00+05:30,146.80,147.00,146.80,146.90,89537
2026-06-25T09:52:00+05:30,146.90,146.95,146.85,146.90,30869
2026-06-25T09:53:00+05:30,146.90,146.95,146.60,146.60,47944
2026-06-25T09:54:00+05:30,146.60,146.60,146.50,146.55,14881
2026-06-25T09:55:00+05:30,146.55,146.55,146.40,146.40,38754
2026-06-25T09:56:00+05:30,146.35,146.45,146.30,146.35,63429
2026-06-25T09:57:00+05:30,146.30,146.35,146.25,146.30,66092
2026-06-25T09:58:00+05:30,146.30,146.30,146.10,146.15,73188
2026-06-25T09:59:00+05:30,146.10,146.20,146.10,146.15,30881
2026-06-25T10:00:00+05:30,146.20,146.20,146.10,146.15,36043
2026-06-25T10:01:00+05:30,146.15,146.30,146.15,146.30,27265
2026-06-25T10:02:00+05:30,146.25,146.25,146.15,146.15,43410
2026-06-25T10:03:00+05:30,146.20,146.20,146.10,146.10,25456
2026-06-25T10:04:00+05:30,146.10,146.20,146.10,146.10,75461
2026-06-25T10:05:00+05:30,146.10,146.20,146.10,146.15,41140
2026-06-25T10:06:00+05:30,146.10,146.20,146.05,146.20,17404
2026-06-25T10:07:00+05:30,146.10,146.20,146.10,146.20,18464
2026-06-25T10:08:00+05:30,146.20,146.20,146.15,146.15,28745
2026-06-25T10:09:00+05:30,146.15,146.20,146.15,146.20,38746
2026-06-25T10:10:00+05:30,146.30,146.30,146.15,146.15,37546
2026-06-25T10:11:00+05:30,146.15,146.15,146.10,146.10,22784
2026-06-25T10:12:00+05:30,146.15,146.15,146.10,146.15,17290
2026-06-25T10:13:00+05:30,146.15,146.15,146.10,146.15,18948
2026-06-25T10:14:00+05:30,146.10,146.15,146.10,146.15,25759
2026-06-25T10:15:00+05:30,146.15,146.15,146.10,146.10,14601
2026-06-25T10:16:00+05:30,146.10,146.15,146.10,146.15,14596
2026-06-25T10:17:00+05:30,146.10,146.10,145.95,145.95,122443
2026-06-25T10:18:00+05:30,145.95,146.05,145.85,146.05,67597
2026-06-25T10:19:00+05:30,146.05,146.10,146.00,146.10,24673
2026-06-25T10:20:00+05:30,146.10,146.10,146.10,146.10,3786
2026-06-25T10:21:00+05:30,146.10,146.10,145.95,146.00,27831
2026-06-25T10:22:00+05:30,146.00,146.00,145.95,145.95,15673
2026-06-25T10:23:00+05:30,146.00,146.00,145.95,146.00,9562
2026-06-25T10:24:00+05:30,145.95,145.95,145.90,145.90,31851
