ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,516.75,517.05,516.25,517.05,0
2026-06-25T09:16:00+05:30,517.00,517.00,514.50,514.65,18762
2026-06-25T09:17:00+05:30,514.70,514.70,513.60,514.65,12911
2026-06-25T09:18:00+05:30,514.40,514.40,513.70,514.05,11561
2026-06-25T09:19:00+05:30,514.75,514.80,514.15,514.40,8632
2026-06-25T09:20:00+05:30,514.60,515.15,514.60,515.15,4843
2026-06-25T09:21:00+05:30,515.10,515.25,514.75,515.25,5484
2026-06-25T09:22:00+05:30,515.10,515.50,514.95,515.35,5731
2026-06-25T09:23:00+05:30,515.05,515.20,514.45,514.45,5551
2026-06-25T09:24:00+05:30,514.45,514.55,514.45,514.55,2869
2026-06-25T09:25:00+05:30,514.55,514.75,514.50,514.65,1633
2026-06-25T09:26:00+05:30,514.65,514.65,514.15,514.45,1739
2026-06-25T09:27:00+05:30,514.45,514.75,514.15,514.75,4187
2026-06-25T09:28:00+05:30,514.75,514.75,514.65,514.65,1773
2026-06-25T09:29:00+05:30,514.65,514.65,514.55,514.55,830
2026-06-25T09:30:00+05:30,514.55,514.55,514.00,514.20,1907
2026-06-25T09:31:00+05:30,514.30,514.35,514.15,514.35,1891
2026-06-25T09:32:00+05:30,514.20,514.30,514.10,514.30,881
2026-06-25T09:33:00+05:30,514.30,514.30,513.75,513.90,6291
2026-06-25T09:34:00+05:30,513.90,514.05,513.90,513.90,2976
2026-06-25T09:35:00+05:30,513.90,514.05,513.90,514.05,1288
2026-06-25T09:36:00+05:30,513.90,514.05,513.90,514.05,565
2026-06-25T09:37:00+05:30,514.05,514.40,513.90,514.40,2039
2026-06-25T09:38:00+05:30,514.70,514.75,514.30,514.35,632
2026-06-25T09:39:00+05:30,514.50,514.50,514.15,514.40,2215
2026-06-25T09:40:00+05:30,514.35,514.40,514.35,514.40,771
2026-06-25T09:41:00+05:30,514.45,514.80,514.45,514.75,3221
2026-06-25T09:42:00+05:30,514.75,514.90,514.65,514.65,1906
2026-06-25T09:43:00+05:30,514.90,515.10,514.90,515.00,3468
2026-06-25T09:44:00+05:30,515.00,515.00,514.70,514.90,655
2026-06-25T09:45:00+05:30,514.90,514.90,514.75,514.80,1333
2026-06-25T09:46:00+05:30,514.80,515.00,514.80,514.90,1003
2026-06-25T09:47:00+05:30,515.00,515.00,514.80,514.80,969
2026-06-25T09:48:00+05:30,514.80,514.80,514.30,514.45,1488
2026-06-25T09:49:00+05:30,514.45,514.50,514.40,514.50,1054
2026-06-25T09:50:00+05:30,514.50,515.00,514.40,514.85,18018
2026-06-25T09:51:00+05:30,514.90,514.90,514.70,514.85,823
2026-06-25T09:52:00+05:30,514.90,514.90,514.80,514.90,55
2026-06-25T09:53:00+05:30,514.90,514.90,514.80,514.80,3177
2026-06-25T09:54:00+05:30,514.85,514.90,514.80,514.90,1092
2026-06-25T09:55:00+05:30,514.60,514.80,514.60,514.75,288
2026-06-25T09:56:00+05:30,514.80,514.85,514.55,514.55,3270
2026-06-25T09:57:00+05:30,514.55,514.85,514.50,514.55,789
2026-06-25T09:58:00+05:30,514.80,514.80,514.30,514.30,1227
2026-06-25T09:59:00+05:30,514.30,515.00,514.30,515.00,8268
2026-06-25T10:00:00+05:30,515.90,516.10,514.70,514.70,12209
2026-06-25T10:01:00+05:30,514.80,514.80,514.50,514.60,903
2026-06-25T10:02:00+05:30,514.75,514.75,514.50,514.70,127
2026-06-25T10:03:00+05:30,514.70,515.00,514.60,514.60,1531
2026-06-25T10:04:00+05:30,514.70,514.75,514.60,514.70,309
2026-06-25T10:05:00+05:30,514.70,514.70,514.70,514.70,271
2026-06-25T10:06:00+05:30,514.70,514.70,514.60,514.60,387
2026-06-25T10:07:00+05:30,514.60,514.70,514.50,514.50,4636
2026-06-25T10:08:00+05:30,514.20,514.50,514.20,514.40,1773
2026-06-25T10:09:00+05:30,514.40,514.75,514.10,514.75,11258
2026-06-25T10:10:00+05:30,514.70,514.70,514.30,514.50,598
2026-06-25T10:11:00+05:30,514.50,514.50,514.05,514.40,1273
2026-06-25T10:12:00+05:30,514.40,514.50,513.80,514.40,5213
2026-06-25T10:13:00+05:30,514.35,514.35,513.75,514.10,3432
2026-06-25T10:14:00+05:30,513.70,514.05,513.70,514.05,521
2026-06-25T10:15:00+05:30,514.05,514.50,513.80,514.50,1661
2026-06-25T10:16:00+05:30,514.30,514.30,514.00,514.30,654
2026-06-25T10:17:00+05:30,514.35,514.65,514.35,514.65,776
2026-06-25T10:18:00+05:30,514.65,514.70,514.50,514.55,1369
2026-06-25T10:19:00+05:30,514.70,514.70,514.55,514.55,403
2026-06-25T10:20:00+05:30,514.70,514.70,514.30,514.30,3510
2026-06-25T10:21:00+05:30,514.15,514.50,514.15,514.50,1263
2026-06-25T10:22:00+05:30,514.50,514.60,514.50,514.55,475
2026-06-25T10:23:00+05:30,514.60,514.80,514.60,514.60,451
2026-06-25T10:24:00+05:30,514.80,514.85,514.80,514.85,274
2026-06-25T10:25:00+05:30,514.80,514.85,514.75,514.80,791
2026-06-25T10:26:00+05:30,514.80,514.80,514.70,514.75,267
2026-06-25T10:27:00+05:30,514.75,514.75,514.70,514.75,874
2026-06-25T10:28:00+05:30,514.45,514.50,514.00,514.50,12006
2026-06-25T10:29:00+05:30,514.50,514.50,514.30,514.50,446
2026-06-25T10:30:00+05:30,514.50,514.50,514.30,514.45,780
2026-06-25T10:31:00+05:30,514.30,514.50,514.20,514.35,1076
2026-06-25T10:32:00+05:30,514.35,514.45,514.30,514.45,1492
2026-06-25T10:33:00+05:30,514.20,514.65,514.20,514.40,1368
2026-06-25T10:34:00+05:30,514.40,514.40,514.15,514.30,84
2026-06-25T10:35:00+05:30,514.15,514.30,514.05,514.25,402
2026-06-25T10:36:00+05:30,514.25,514.25,514.10,514.10,404
2026-06-25T10:37:00+05:30,514.15,514.15,514.00,514.00,2504
2026-06-25T10:38:00+05:30,514.00,514.00,513.65,513.90,2281
2026-06-25T10:39:00+05:30,513.90,514.00,513.90,514.00,2587
2026-06-25T10:40:00+05:30,514.20,514.20,514.00,514.00,386
2026-06-25T10:41:00+05:30,514.20,514.20,514.00,514.15,101
2026-06-25T10:42:00+05:30,514.00,514.10,514.00,514.00,1759
2026-06-25T10:43:00+05:30,514.00,514.00,513.90,513.90,468
2026-06-25T10:44:00+05:30,513.90,513.95,513.80,513.95,547
2026-06-25T10:45:00+05:30,513.95,513.95,513.70,513.70,932
2026-06-25T10:46:00+05:30,513.85,513.95,513.70,513.70,1062
2026-06-25T10:47:00+05:30,513.95,513.95,513.90,513.95,935
2026-06-25T10:48:00+05:30,513.95,513.95,513.75,513.75,1309
2026-06-25T10:49:00+05:30,513.90,514.05,513.80,514.05,484
2026-06-25T10:50:00+05:30,514.15,514.20,514.15,514.20,509
2026-06-25T10:51:00+05:30,514.20,514.25,514.05,514.25,1381
2026-06-25T10:52:00+05:30,514.25,514.25,514.00,514.00,1069
2026-06-25T10:53:00+05:30,514.20,514.40,514.00,514.20,1796
2026-06-25T10:54:00+05:30,514.20,514.45,513.80,514.00,2552
2026-06-25T10:55:00+05:30,514.00,514.10,513.95,514.10,1495
2026-06-25T10:56:00+05:30,514.20,514.20,514.00,514.20,315
2026-06-25T10:57:00+05:30,514.25,514.25,514.00,514.25,8
2026-06-25T10:58:00+05:30,514.20,514.20,514.20,514.20,269
2026-06-25T10:59:00+05:30,514.35,514.40,514.05,514.05,543
2026-06-25T11:00:00+05:30,514.00,514.00,513.80,513.95,944
2026-06-25T11:01:00+05:30,513.95,514.40,513.95,514.40,6232
2026-06-25T11:02:00+05:30,514.45,514.45,514.15,514.30,805
2026-06-25T11:03:00+05:30,514.10,514.25,514.00,514.25,312
2026-06-25T11:04:00+05:30,514.25,514.25,514.25,514.25,160
2026-06-25T11:05:00+05:30,514.00,514.35,514.00,514.25,1221
2026-06-25T11:06:00+05:30,514.25,514.35,514.25,514.30,271
2026-06-25T11:07:00+05:30,514.30,514.30,514.10,514.25,140
2026-06-25T11:08:00+05:30,514.10,514.25,514.10,514.25,227
2026-06-25T11:09:00+05:30,514.25,514.30,514.25,514.30,438
2026-06-25T11:10:00+05:30,514.25,514.35,514.10,514.30,1001
2026-06-25T11:11:00+05:30,514.30,514.35,514.30,514.35,1294
2026-06-25T11:12:00+05:30,514.35,514.45,514.35,514.35,755
2026-06-25T11:13:00+05:30,514.35,514.45,514.20,514.20,686
2026-06-25T11:14:00+05:30,514.40,514.45,514.40,514.45,505
2026-06-25T11:15:00+05:30,514.45,514.60,514.45,514.60,628
2026-06-25T11:16:00+05:30,514.60,514.60,514.40,514.50,830
2026-06-25T11:17:00+05:30,514.50,514.60,514.40,514.50,602
2026-06-25T11:18:00+05:30,514.50,514.60,514.40,514.55,99
2026-06-25T11:19:00+05:30,514.55,514.55,514.30,514.45,282
2026-06-25T11:20:00+05:30,514.30,514.45,514.30,514.30,292
2026-06-25T11:21:00+05:30,514.30,514.30,514.20,514.30,486
2026-06-25T11:22:00+05:30,514.25,514.40,514.20,514.40,622
2026-06-25T11:23:00+05:30,514.40,514.40,514.30,514.30,290
2026-06-25T11:24:00+05:30,514.40,514.40,514.40,514.40,6
2026-06-25T11:25:00+05:30,514.40,514.50,514.20,514.30,3118
2026-06-25T11:26:00+05:30,514.20,514.20,514.10,514.20,349
2026-06-25T11:27:00+05:30,514.10,514.20,514.05,514.20,722
2026-06-25T11:28:00+05:30,514.20,514.20,514.20,514.20,572
2026-06-25T11:29:00+05:30,514.25,514.25,514.25,514.25,298
2026-06-25T11:30:00+05:30,514.25,514.25,514.25,514.25,342
2026-06-25T11:31:00+05:30,514.25,514.25,514.20,514.20,323
2026-06-25T11:32:00+05:30,514.25,514.50,514.00,514.20,2340
2026-06-25T11:33:00+05:30,514.40,514.50,514.20,514.50,948
2026-06-25T11:34:00+05:30,514.40,514.50,514.40,514.45,262
2026-06-25T11:35:00+05:30,514.40,514.40,514.30,514.30,506
2026-06-25T11:36:00+05:30,514.35,514.50,514.20,514.35,772
2026-06-25T11:37:00+05:30,514.50,514.50,514.35,514.50,164
2026-06-25T11:38:00+05:30,514.30,514.50,514.30,514.50,125
2026-06-25T11:39:00+05:30,514.50,514.50,514.35,514.40,70
2026-06-25T11:40:00+05:30,514.35,514.35,514.30,514.30,326
2026-06-25T11:41:00+05:30,514.25,514.30,514.20,514.30,1201
2026-06-25T11:42:00+05:30,514.30,514.30,514.25,514.30,172
2026-06-25T11:43:00+05:30,514.25,514.35,514.20,514.25,321
