ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,91.05,91.85,91.05,91.75,0
2026-06-25T09:16:00+05:30,91.75,92.10,91.70,92.00,2965737
2026-06-25T09:17:00+05:30,92.00,92.10,91.90,92.00,1383024
2026-06-25T09:18:00+05:30,91.95,92.20,91.85,92.20,1157021
2026-06-25T09:19:00+05:30,92.15,92.25,92.10,92.15,865284
2026-06-25T09:20:00+05:30,92.20,92.20,92.10,92.10,622019
2026-06-25T09:21:00+05:30,92.15,92.15,92.10,92.15,300555
2026-06-25T09:22:00+05:30,92.15,92.15,91.85,92.00,808372
2026-06-25T09:23:00+05:30,92.00,92.10,91.95,92.00,388494
2026-06-25T09:24:00+05:30,92.00,92.05,91.95,91.95,283264
2026-06-25T09:25:00+05:30,91.95,92.05,91.85,92.00,478783
2026-06-25T09:26:00+05:30,91.95,92.05,91.90,91.95,571835
2026-06-25T09:27:00+05:30,92.00,92.15,91.95,92.15,509703
2026-06-25T09:28:00+05:30,92.15,92.15,92.05,92.10,312032
2026-06-25T09:29:00+05:30,92.10,92.20,92.10,92.10,478226
2026-06-25T09:30:00+05:30,92.05,92.15,91.90,91.95,514905
2026-06-25T09:31:00+05:30,91.95,91.95,91.75,91.80,609707
2026-06-25T09:32:00+05:30,91.80,91.80,91.55,91.60,591640
2026-06-25T09:33:00+05:30,91.60,91.65,91.50,91.65,548482
2026-06-25T09:34:00+05:30,91.70,91.70,91.55,91.55,272901
2026-06-25T09:35:00+05:30,91.60,91.80,91.55,91.75,312271
2026-06-25T09:36:00+05:30,91.75,91.80,91.70,91.80,136519
2026-06-25T09:37:00+05:30,91.80,91.90,91.75,91.90,276327
2026-06-25T09:38:00+05:30,91.90,91.95,91.80,91.85,311145
2026-06-25T09:39:00+05:30,91.85,91.95,91.80,91.90,202514
2026-06-25T09:40:00+05:30,91.90,92.00,91.80,91.90,260629
2026-06-25T09:41:00+05:30,91.90,92.00,91.85,91.90,174889
2026-06-25T09:42:00+05:30,91.95,92.00,91.90,91.90,126802
2026-06-25T09:43:00+05:30,91.90,92.00,91.90,92.00,360219
2026-06-25T09:44:00+05:30,92.00,92.00,91.90,91.95,104067
2026-06-25T09:45:00+05:30,92.00,92.00,91.95,91.95,82469
2026-06-25T09:46:00+05:30,91.95,92.05,91.95,92.05,166505
2026-06-25T09:47:00+05:30,92.00,92.05,91.95,92.05,209789
2026-06-25T09:48:00+05:30,92.00,92.05,91.90,92.00,223163
2026-06-25T09:49:00+05:30,92.00,92.00,91.95,92.00,108487
2026-06-25T09:50:00+05:30,92.00,92.00,91.90,91.90,199246
2026-06-25T09:51:00+05:30,91.90,92.00,91.85,92.00,218217
2026-06-25T09:52:00+05:30,92.00,92.00,91.85,91.90,103647
2026-06-25T09:53:00+05:30,91.90,91.90,91.85,91.85,124737
2026-06-25T09:54:00+05:30,91.85,91.85,91.85,91.85,130708
2026-06-25T09:55:00+05:30,91.85,91.85,91.75,91.80,189764
2026-06-25T09:56:00+05:30,91.80,91.90,91.75,91.90,218097
2026-06-25T09:57:00+05:30,91.90,91.95,91.85,91.90,202947
2026-06-25T09:58:00+05:30,91.90,91.90,91.85,91.90,238499
2026-06-25T09:59:00+05:30,91.90,91.90,91.80,91.90,163683
2026-06-25T10:00:00+05:30,91.85,92.05,91.85,92.05,262191
2026-06-25T10:01:00+05:30,92.10,92.10,92.00,92.10,298267
2026-06-25T10:02:00+05:30,92.10,92.10,92.00,92.05,279652
2026-06-25T10:03:00+05:30,92.05,92.05,91.95,92.00,81909
2026-06-25T10:04:00+05:30,92.05,92.10,92.00,92.05,107907
2026-06-25T10:05:00+05:30,92.05,92.05,92.00,92.00,103422
2026-06-25T10:06:00+05:30,91.95,92.00,91.95,92.00,104201
2026-06-25T10:07:00+05:30,91.95,92.00,91.95,92.00,44430
2026-06-25T10:08:00+05:30,91.95,91.95,91.85,91.90,131230
2026-06-25T10:09:00+05:30,91.90,92.00,91.90,91.95,198829
2026-06-25T10:10:00+05:30,91.95,92.00,91.90,92.00,166159
2026-06-25T10:11:00+05:30,92.00,92.00,91.90,91.95,198536
2026-06-25T10:12:00+05:30,91.95,92.00,91.95,92.00,90219
2026-06-25T10:13:00+05:30,92.00,92.05,91.95,92.05,114800
2026-06-25T10:14:00+05:30,92.05,92.15,92.05,92.15,473511
2026-06-25T10:15:00+05:30,92.05,92.15,92.05,92.10,144600
2026-06-25T10:16:00+05:30,92.15,92.20,92.10,92.10,120193
2026-06-25T10:17:00+05:30,92.15,92.15,92.10,92.15,34817
2026-06-25T10:18:00+05:30,92.15,92.20,92.10,92.20,122490
2026-06-25T10:19:00+05:30,92.20,92.20,92.10,92.10,126658
2026-06-25T10:20:00+05:30,92.15,92.15,92.10,92.15,75338
2026-06-25T10:21:00+05:30,92.15,92.15,92.10,92.15,54716
2026-06-25T10:22:00+05:30,92.10,92.10,92.05,92.05,115350
2026-06-25T10:23:00+05:30,92.10,92.10,92.05,92.10,20787
2026-06-25T10:24:00+05:30,92.10,92.10,92.05,92.05,45983
2026-06-25T10:25:00+05:30,92.10,92.10,92.00,92.05,83803
2026-06-25T10:26:00+05:30,92.00,92.00,91.95,92.00,163649
2026-06-25T10:27:00+05:30,92.00,92.05,91.95,92.05,92552
2026-06-25T10:28:00+05:30,92.05,92.10,92.00,92.05,40279
2026-06-25T10:29:00+05:30,92.05,92.05,92.00,92.00,70287
2026-06-25T10:30:00+05:30,92.00,92.05,92.00,92.00,123497
2026-06-25T10:31:00+05:30,92.00,92.00,91.95,92.00,75638
2026-06-25T10:32:00+05:30,92.00,92.00,91.90,91.90,88089
2026-06-25T10:33:00+05:30,91.95,91.95,91.80,91.85,152976
2026-06-25T10:34:00+05:30,91.85,91.90,91.80,91.85,93376
2026-06-25T10:35:00+05:30,91.90,91.90,91.80,91.90,46437
2026-06-25T10:36:00+05:30,91.90,91.90,91.80,91.85,141654
2026-06-25T10:37:00+05:30,91.85,91.85,91.80,91.80,36299
2026-06-25T10:38:00+05:30,91.85,91.85,91.75,91.80,176873
2026-06-25T10:39:00+05:30,91.80,91.80,91.70,91.75,240728
2026-06-25T10:40:00+05:30,91.70,91.85,91.70,91.85,237698
2026-06-25T10:41:00+05:30,91.85,91.90,91.80,91.90,42302
2026-06-25T10:42:00+05:30,91.85,91.95,91.85,91.95,80667
2026-06-25T10:43:00+05:30,91.90,92.00,91.90,91.95,295643
2026-06-25T10:44:00+05:30,91.90,91.95,91.90,91.95,33472
2026-06-25T10:45:00+05:30,91.95,91.95,91.90,91.95,38773
2026-06-25T10:46:00+05:30,91.95,91.95,91.90,91.90,16545
2026-06-25T10:47:00+05:30,91.90,91.95,91.90,91.95,87088
2026-06-25T10:48:00+05:30,91.95,91.95,91.90,91.95,71792
2026-06-25T10:49:00+05:30,91.95,91.95,91.90,91.95,51096
2026-06-25T10:50:00+05:30,91.95,92.00,91.95,92.00,70301
2026-06-25T10:51:00+05:30,91.95,92.00,91.90,91.95,33623
2026-06-25T10:52:00+05:30,91.90,91.95,91.85,91.90,69536
2026-06-25T10:53:00+05:30,91.90,91.90,91.85,91.90,19822
2026-06-25T10:54:00+05:30,91.90,91.90,91.85,91.85,67143
2026-06-25T10:55:00+05:30,91.90,91.90,91.85,91.90,25711
2026-06-25T10:56:00+05:30,91.90,92.00,91.90,91.95,39476
2026-06-25T10:57:00+05:30,91.95,92.00,91.90,91.95,85523
2026-06-25T10:58:00+05:30,92.00,92.00,91.95,92.00,45148
2026-06-25T10:59:00+05:30,91.95,92.00,91.95,92.00,54573
2026-06-25T11:00:00+05:30,92.05,92.05,92.00,92.00,353090
2026-06-25T11:01:00+05:30,92.05,92.05,92.00,92.00,52176
2026-06-25T11:02:00+05:30,92.00,92.00,91.95,92.00,27250
2026-06-25T11:03:00+05:30,92.00,92.05,91.95,92.05,57068
2026-06-25T11:04:00+05:30,92.00,92.05,92.00,92.05,32297
2026-06-25T11:05:00+05:30,92.05,92.10,92.05,92.05,144402
2026-06-25T11:06:00+05:30,92.05,92.10,92.05,92.05,81603
2026-06-25T11:07:00+05:30,92.05,92.15,92.05,92.10,213023
2026-06-25T11:08:00+05:30,92.10,92.10,92.05,92.05,41885
2026-06-25T11:09:00+05:30,92.05,92.10,92.05,92.10,25825
2026-06-25T11:10:00+05:30,92.10,92.10,92.05,92.10,51136
2026-06-25T11:11:00+05:30,92.05,92.10,92.05,92.10,74673
2026-06-25T11:12:00+05:30,92.10,92.10,92.00,92.00,55197
2026-06-25T11:13:00+05:30,92.05,92.10,92.05,92.10,18103
2026-06-25T11:14:00+05:30,92.10,92.10,92.05,92.05,39805
2026-06-25T11:15:00+05:30,92.05,92.10,92.05,92.05,19992
2026-06-25T11:16:00+05:30,92.05,92.15,92.05,92.15,61618
2026-06-25T11:17:00+05:30,92.15,92.15,92.10,92.10,35335
2026-06-25T11:18:00+05:30,92.10,92.15,92.10,92.15,22410
2026-06-25T11:19:00+05:30,92.10,92.15,92.10,92.10,15388
