ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,425.95,426.40,425.95,426.40,0
2026-06-25T09:16:00+05:30,426.50,426.50,425.75,425.90,5198
2026-06-25T09:17:00+05:30,426.00,426.00,425.50,425.55,6089
2026-06-25T09:18:00+05:30,425.60,426.30,425.60,426.30,2705
2026-06-25T09:19:00+05:30,426.25,426.25,425.25,425.50,6162
2026-06-25T09:20:00+05:30,425.70,425.85,425.30,425.40,1783
2026-06-25T09:21:00+05:30,425.85,426.00,425.85,425.95,1574
2026-06-25T09:22:00+05:30,426.00,426.75,426.00,426.45,10602
2026-06-25T09:23:00+05:30,426.60,426.60,426.00,426.00,1233
2026-06-25T09:24:00+05:30,425.95,426.15,425.80,426.00,9401
2026-06-25T09:25:00+05:30,426.00,426.00,425.55,425.65,241
2026-06-25T09:26:00+05:30,425.65,426.25,425.50,426.15,8178
2026-06-25T09:27:00+05:30,425.85,426.25,425.70,426.25,5674
2026-06-25T09:28:00+05:30,426.10,426.40,425.95,426.35,1789
2026-06-25T09:29:00+05:30,426.35,426.40,425.75,425.75,8065
2026-06-25T09:30:00+05:30,425.65,425.70,424.85,424.85,12042
2026-06-25T09:31:00+05:30,425.20,425.20,424.50,424.50,4483
2026-06-25T09:32:00+05:30,424.45,424.75,424.35,424.75,7195
2026-06-25T09:33:00+05:30,425.40,425.40,424.65,424.95,14979
2026-06-25T09:34:00+05:30,425.00,425.00,424.65,424.65,1048
2026-06-25T09:35:00+05:30,424.65,424.90,424.40,424.40,2275
2026-06-25T09:36:00+05:30,424.90,425.30,424.90,425.00,19682
2026-06-25T09:37:00+05:30,425.05,425.80,425.05,425.50,2980
2026-06-25T09:38:00+05:30,425.75,425.75,425.45,425.70,652
2026-06-25T09:39:00+05:30,425.70,426.50,425.65,426.50,4148
2026-06-25T09:40:00+05:30,426.65,427.15,426.50,427.15,4019
2026-06-25T09:41:00+05:30,427.25,427.50,426.90,426.95,4076
2026-06-25T09:42:00+05:30,426.95,427.50,426.95,427.50,3858
2026-06-25T09:43:00+05:30,427.30,427.60,427.30,427.40,10370
2026-06-25T09:44:00+05:30,427.50,427.60,426.85,426.85,2764
2026-06-25T09:45:00+05:30,426.75,427.50,426.75,427.50,6371
2026-06-25T09:46:00+05:30,427.55,427.85,427.50,427.85,4268
2026-06-25T09:47:00+05:30,428.05,428.80,428.05,428.80,9369
2026-06-25T09:48:00+05:30,428.80,429.00,428.65,428.65,2223
2026-06-25T09:49:00+05:30,428.65,429.75,428.65,429.25,13387
2026-06-25T09:50:00+05:30,429.40,429.60,429.05,429.25,5666
2026-06-25T09:51:00+05:30,429.30,429.30,428.80,429.20,8697
2026-06-25T09:52:00+05:30,429.15,429.40,429.15,429.25,4024
2026-06-25T09:53:00+05:30,429.25,429.40,428.50,428.50,1140
2026-06-25T09:54:00+05:30,428.50,428.50,428.10,428.15,3230
2026-06-25T09:55:00+05:30,428.15,428.50,428.15,428.45,1496
2026-06-25T09:56:00+05:30,428.40,428.55,428.40,428.55,65
2026-06-25T09:57:00+05:30,428.55,428.55,427.65,427.95,8231
2026-06-25T09:58:00+05:30,427.80,428.15,427.80,427.90,1801
2026-06-25T09:59:00+05:30,427.95,428.10,427.85,427.85,5370
2026-06-25T10:00:00+05:30,427.90,428.10,427.45,427.45,3536
2026-06-25T10:01:00+05:30,427.60,428.70,427.50,428.65,7638
2026-06-25T10:02:00+05:30,428.15,428.50,428.15,428.50,1583
2026-06-25T10:03:00+05:30,428.50,428.50,428.10,428.40,946
2026-06-25T10:04:00+05:30,428.40,429.00,428.40,429.00,6442
2026-06-25T10:05:00+05:30,429.10,429.35,428.75,428.95,6314
2026-06-25T10:06:00+05:30,428.75,428.95,428.65,428.80,1510
2026-06-25T10:07:00+05:30,428.80,429.10,428.80,429.05,5653
2026-06-25T10:08:00+05:30,428.80,429.05,428.80,429.05,1059
2026-06-25T10:09:00+05:30,429.00,429.00,428.50,428.70,1651
2026-06-25T10:10:00+05:30,429.05,429.05,428.60,428.90,3239
2026-06-25T10:11:00+05:30,428.80,429.15,428.80,429.05,4620
2026-06-25T10:12:00+05:30,429.05,429.20,429.05,429.20,1144
2026-06-25T10:13:00+05:30,429.20,429.20,428.85,429.00,2591
2026-06-25T10:14:00+05:30,429.05,429.55,429.00,429.45,7623
2026-06-25T10:15:00+05:30,429.30,429.45,429.20,429.35,6519
2026-06-25T10:16:00+05:30,429.30,429.30,429.10,429.20,1226
2026-06-25T10:17:00+05:30,429.10,429.10,428.75,428.75,8549
2026-06-25T10:18:00+05:30,428.50,428.65,428.50,428.65,847
2026-06-25T10:19:00+05:30,428.55,429.35,428.55,429.15,7795
2026-06-25T10:20:00+05:30,429.05,429.05,428.40,428.90,7969
2026-06-25T10:21:00+05:30,428.75,428.75,428.70,428.75,823
2026-06-25T10:22:00+05:30,428.75,428.90,428.70,428.90,3296
2026-06-25T10:23:00+05:30,428.60,428.90,428.60,428.90,1050
2026-06-25T10:24:00+05:30,428.85,429.00,428.65,429.00,9514
2026-06-25T10:25:00+05:30,428.85,429.00,428.80,428.80,3849
2026-06-25T10:26:00+05:30,428.80,429.00,428.80,429.00,3115
2026-06-25T10:27:00+05:30,428.80,428.90,428.80,428.85,709
2026-06-25T10:28:00+05:30,428.80,428.80,428.60,428.80,242
2026-06-25T10:29:00+05:30,428.80,429.20,428.80,429.20,3935
2026-06-25T10:30:00+05:30,429.25,429.45,429.10,429.45,6247
2026-06-25T10:31:00+05:30,429.35,430.00,429.35,429.90,15981
2026-06-25T10:32:00+05:30,430.10,430.15,429.70,429.70,9363
2026-06-25T10:33:00+05:30,429.95,430.15,429.80,429.90,2152
2026-06-25T10:34:00+05:30,430.15,430.60,430.10,430.55,7951
2026-06-25T10:35:00+05:30,430.50,430.60,430.10,430.10,3293
2026-06-25T10:36:00+05:30,430.30,430.30,430.00,430.10,1371
2026-06-25T10:37:00+05:30,430.25,430.50,430.25,430.30,2792
2026-06-25T10:38:00+05:30,430.40,430.60,430.10,430.10,6964
2026-06-25T10:39:00+05:30,430.25,430.25,429.95,430.00,4642
2026-06-25T10:40:00+05:30,430.10,430.10,429.70,429.75,812
2026-06-25T10:41:00+05:30,429.90,430.00,429.80,430.00,6514
2026-06-25T10:42:00+05:30,430.00,430.40,430.00,430.35,12086
2026-06-25T10:43:00+05:30,430.40,430.40,430.00,430.20,755
2026-06-25T10:44:00+05:30,430.20,430.35,429.95,430.15,2668
2026-06-25T10:45:00+05:30,430.15,430.20,430.00,430.20,1427
2026-06-25T10:46:00+05:30,430.00,430.15,429.70,430.00,4527
2026-06-25T10:47:00+05:30,430.00,430.70,430.00,430.70,8685
2026-06-25T10:48:00+05:30,430.70,431.00,430.70,430.75,5484
2026-06-25T10:49:00+05:30,430.55,430.70,430.55,430.65,2892
2026-06-25T10:50:00+05:30,430.65,431.00,430.60,430.75,5788
2026-06-25T10:51:00+05:30,429.60,429.95,429.50,429.75,11837
2026-06-25T10:52:00+05:30,429.35,429.35,429.30,429.30,2276
2026-06-25T10:53:00+05:30,429.25,429.35,429.20,429.30,10107
2026-06-25T10:54:00+05:30,429.30,429.30,428.60,428.65,4451
2026-06-25T10:55:00+05:30,428.50,428.60,428.10,428.60,14671
2026-06-25T10:56:00+05:30,428.75,429.00,428.70,428.85,2346
2026-06-25T10:57:00+05:30,428.75,428.95,428.75,428.95,864
2026-06-25T10:58:00+05:30,428.95,429.25,428.95,429.20,1072
2026-06-25T10:59:00+05:30,429.15,429.30,429.15,429.30,1707
2026-06-25T11:00:00+05:30,429.30,429.35,429.20,429.35,2674
2026-06-25T11:01:00+05:30,429.20,429.25,429.10,429.10,1019
2026-06-25T11:02:00+05:30,429.10,429.25,429.10,429.20,2808
2026-06-25T11:03:00+05:30,429.15,429.20,429.00,429.20,1687
2026-06-25T11:04:00+05:30,429.15,429.20,429.00,429.20,693
2026-06-25T11:05:00+05:30,428.95,429.15,428.95,429.00,53
2026-06-25T11:06:00+05:30,429.15,429.15,429.15,429.15,181
2026-06-25T11:07:00+05:30,428.90,428.95,428.70,428.70,2578
2026-06-25T11:08:00+05:30,428.85,428.85,428.35,428.40,3407
2026-06-25T11:09:00+05:30,428.40,428.40,428.40,428.40,379
2026-06-25T11:10:00+05:30,428.55,428.55,428.55,428.55,1034
2026-06-25T11:11:00+05:30,428.60,428.75,428.60,428.75,0
2026-06-25T11:12:00+05:30,428.60,428.95,428.60,428.95,2485
2026-06-25T11:13:00+05:30,428.85,428.85,428.70,428.85,689
2026-06-25T11:14:00+05:30,428.90,428.90,428.85,428.85,1138
2026-06-25T11:15:00+05:30,428.85,428.90,428.65,428.65,3951
2026-06-25T11:16:00+05:30,428.70,428.70,428.70,428.70,295
2026-06-25T11:17:00+05:30,428.65,428.75,428.30,428.30,3483
2026-06-25T11:18:00+05:30,428.30,428.60,428.30,428.35,582
2026-06-25T11:19:00+05:30,428.50,428.50,428.25,428.25,851
2026-06-25T11:20:00+05:30,428.35,428.40,428.35,428.40,527
2026-06-25T11:21:00+05:30,428.25,428.25,428.20,428.20,623
2026-06-25T11:22:00+05:30,428.00,428.30,428.00,428.30,5518
2026-06-25T11:23:00+05:30,428.10,428.10,428.00,428.00,515
2026-06-25T11:24:00+05:30,428.00,428.15,428.00,428.15,748
2026-06-25T11:25:00+05:30,428.15,428.15,428.10,428.15,588
2026-06-25T11:26:00+05:30,428.10,428.25,428.10,428.25,759
2026-06-25T11:27:00+05:30,428.20,428.20,428.00,428.15,5862
2026-06-25T11:28:00+05:30,428.05,428.10,428.00,428.00,3181
2026-06-25T11:29:00+05:30,428.00,428.20,428.00,428.20,1288
2026-06-25T11:30:00+05:30,428.20,428.20,428.20,428.20,2523
2026-06-25T11:31:00+05:30,428.00,428.10,428.00,428.10,2351
2026-06-25T11:32:00+05:30,428.10,428.10,428.05,428.10,438
2026-06-25T11:33:00+05:30,428.10,428.15,428.05,428.05,1293
2026-06-25T11:34:00+05:30,428.05,428.40,428.05,428.40,3210
2026-06-25T11:35:00+05:30,428.20,428.40,428.20,428.30,668
2026-06-25T11:36:00+05:30,428.15,428.30,428.15,428.30,24
2026-06-25T11:37:00+05:30,428.30,428.30,428.25,428.25,213
2026-06-25T11:38:00+05:30,428.25,428.25,428.25,428.25,41
2026-06-25T11:39:00+05:30,428.25,428.45,428.25,428.25,8652
2026-06-25T11:40:00+05:30,428.45,428.45,428.25,428.45,28
2026-06-25T11:41:00+05:30,428.25,428.25,428.25,428.25,693
2026-06-25T11:42:00+05:30,428.45,428.45,428.25,428.35,1410
2026-06-25T11:43:00+05:30,428.35,428.35,428.00,428.20,1050
2026-06-25T11:44:00+05:30,428.20,428.25,427.95,428.25,5898
2026-06-25T11:45:00+05:30,428.35,428.45,428.15,428.45,1731
2026-06-25T11:46:00+05:30,428.45,428.45,428.30,428.45,248
2026-06-25T11:47:00+05:30,428.25,428.45,428.25,428.45,696
2026-06-25T11:48:00+05:30,428.50,428.55,428.50,428.55,912
2026-06-25T11:49:00+05:30,428.45,428.60,428.25,428.60,1203
2026-06-25T11:50:00+05:30,428.50,428.50,428.50,428.50,424
2026-06-25T11:51:00+05:30,428.70,428.80,428.55,428.65,2842
2026-06-25T11:52:00+05:30,428.85,428.85,428.75,428.80,4032
2026-06-25T11:53:00+05:30,428.80,429.00,428.80,429.00,2403
2026-06-25T11:54:00+05:30,429.10,429.40,429.10,429.30,2609
2026-06-25T11:55:00+05:30,429.15,429.70,429.15,429.40,2522
2026-06-25T11:56:00+05:30,429.55,429.75,429.50,429.70,479
2026-06-25T11:57:00+05:30,429.60,429.90,429.60,429.75,490
2026-06-25T11:58:00+05:30,429.65,429.65,429.60,429.60,80
2026-06-25T11:59:00+05:30,429.60,429.60,429.05,429.20,3787
2026-06-25T12:00:00+05:30,429.40,429.40,429.30,429.30,212
2026-06-25T12:01:00+05:30,429.20,429.30,429.10,429.30,1940
2026-06-25T12:02:00+05:30,429.25,429.30,428.95,429.30,3715
2026-06-25T12:03:00+05:30,429.25,429.30,429.25,429.25,0
2026-06-25T12:04:00+05:30,429.25,429.25,429.10,429.10,22
2026-06-25T12:05:00+05:30,429.10,429.30,429.10,429.15,832
2026-06-25T12:06:00+05:30,429.15,429.15,429.15,429.15,244
2026-06-25T12:07:00+05:30,429.05,429.05,428.90,429.00,1840
2026-06-25T12:08:00+05:30,428.80,428.80,428.80,428.80,149
2026-06-25T12:09:00+05:30,428.80,428.90,428.75,428.75,586
2026-06-25T12:10:00+05:30,428.75,428.80,428.75,428.80,221
2026-06-25T12:11:00+05:30,428.60,428.70,428.60,428.60,293
2026-06-25T12:12:00+05:30,428.80,428.80,428.60,428.80,24
2026-06-25T12:13:00+05:30,428.60,428.60,428.55,428.55,306
2026-06-25T12:14:00+05:30,428.55,428.60,428.45,428.60,2082
2026-06-25T12:15:00+05:30,428.50,428.50,428.50,428.50,231
2026-06-25T12:16:00+05:30,428.45,428.60,428.45,428.55,393
2026-06-25T12:17:00+05:30,428.55,428.70,428.45,428.70,1534
2026-06-25T12:18:00+05:30,428.45,428.60,428.45,428.45,1658
2026-06-25T12:19:00+05:30,428.45,428.45,428.25,428.25,1387
2026-06-25T12:20:00+05:30,428.45,428.45,428.25,428.35,1086
2026-06-25T12:21:00+05:30,428.25,428.55,428.25,428.55,741
2026-06-25T12:22:00+05:30,428.55,428.55,428.35,428.50,550
2026-06-25T12:23:00+05:30,428.65,428.65,428.50,428.50,4095
2026-06-25T12:24:00+05:30,428.50,428.80,428.50,428.80,4770
2026-06-25T12:25:00+05:30,428.90,428.90,428.65,428.80,3297
2026-06-25T12:26:00+05:30,428.50,428.70,428.50,428.70,2232
2026-06-25T12:27:00+05:30,428.45,428.45,428.45,428.45,40
2026-06-25T12:28:00+05:30,428.50,428.50,428.40,428.50,812
2026-06-25T12:29:00+05:30,428.55,428.60,428.45,428.60,416
2026-06-25T12:30:00+05:30,428.60,429.05,428.60,429.05,5726
2026-06-25T12:31:00+05:30,428.95,428.95,428.60,428.65,7194
2026-06-25T12:32:00+05:30,428.40,428.65,428.40,428.65,1965
2026-06-25T12:33:00+05:30,428.65,428.75,428.65,428.75,1318
2026-06-25T12:34:00+05:30,428.70,428.75,428.70,428.75,1551
2026-06-25T12:35:00+05:30,428.80,428.85,428.75,428.85,636
2026-06-25T12:36:00+05:30,429.05,429.10,429.05,429.10,1678
2026-06-25T12:37:00+05:30,429.10,429.20,429.10,429.20,1005
2026-06-25T12:38:00+05:30,429.60,429.70,428.90,428.90,13091
2026-06-25T12:39:00+05:30,428.90,428.90,428.90,428.90,104
2026-06-25T12:40:00+05:30,428.70,428.70,428.50,428.50,1690
2026-06-25T12:41:00+05:30,428.80,428.80,428.70,428.70,4089
2026-06-25T12:42:00+05:30,428.65,428.70,428.65,428.65,560
2026-06-25T12:43:00+05:30,428.50,428.70,428.50,428.50,1967
2026-06-25T12:44:00+05:30,428.50,428.55,428.25,428.30,588
2026-06-25T12:45:00+05:30,428.45,428.45,428.30,428.30,1397
2026-06-25T12:46:00+05:30,428.30,428.30,428.05,428.05,2298
2026-06-25T12:47:00+05:30,428.40,428.40,428.20,428.20,3189
2026-06-25T12:48:00+05:30,428.25,428.25,428.20,428.20,567
2026-06-25T12:49:00+05:30,428.05,428.05,428.05,428.05,129
2026-06-25T12:50:00+05:30,428.20,428.20,428.20,428.20,0
2026-06-25T12:51:00+05:30,428.20,428.20,428.15,428.15,136
2026-06-25T12:52:00+05:30,428.05,428.60,428.05,428.50,2786
2026-06-25T12:53:00+05:30,428.40,428.45,428.25,428.45,1019
2026-06-25T12:54:00+05:30,428.45,428.80,428.45,428.80,1432
2026-06-25T12:55:00+05:30,428.70,428.75,428.60,428.60,1409
2026-06-25T12:56:00+05:30,428.75,428.85,428.75,428.85,1150
2026-06-25T12:57:00+05:30,428.50,428.75,428.50,428.50,2709
2026-06-25T12:58:00+05:30,428.35,428.40,428.35,428.35,0
2026-06-25T12:59:00+05:30,428.55,428.70,428.40,428.45,1547
2026-06-25T13:00:00+05:30,428.40,428.65,428.40,428.65,74
2026-06-25T13:01:00+05:30,428.65,428.65,428.65,428.65,0
2026-06-25T13:02:00+05:30,428.40,428.40,428.40,428.40,36
2026-06-25T13:03:00+05:30,428.55,428.55,428.35,428.55,1623
2026-06-25T13:04:00+05:30,428.60,428.60,428.55,428.55,509
2026-06-25T13:05:00+05:30,428.55,428.55,428.40,428.55,2025
2026-06-25T13:06:00+05:30,428.30,428.40,428.15,428.15,1611
2026-06-25T13:07:00+05:30,428.15,428.15,428.15,428.15,339
2026-06-25T13:08:00+05:30,428.15,428.25,428.10,428.25,3651
2026-06-25T13:09:00+05:30,428.20,428.25,428.20,428.25,705
2026-06-25T13:10:00+05:30,428.10,428.15,428.05,428.15,1165
2026-06-25T13:11:00+05:30,428.10,428.15,427.80,428.15,5518
2026-06-25T13:12:00+05:30,428.05,428.10,428.05,428.10,1187
2026-06-25T13:13:00+05:30,428.10,428.25,428.00,428.00,1607
2026-06-25T13:14:00+05:30,427.80,427.80,427.40,427.50,4744
2026-06-25T13:15:00+05:30,427.50,427.55,427.45,427.55,308
2026-06-25T13:16:00+05:30,427.55,427.55,427.40,427.50,147
2026-06-25T13:17:00+05:30,427.50,427.75,427.50,427.75,5321
2026-06-25T13:18:00+05:30,427.60,427.75,427.60,427.65,766
2026-06-25T13:19:00+05:30,427.65,427.70,427.55,427.70,1198
2026-06-25T13:20:00+05:30,427.50,427.75,427.50,427.70,2358
2026-06-25T13:21:00+05:30,427.50,427.80,427.50,427.80,648
2026-06-25T13:22:00+05:30,427.80,427.80,427.80,427.80,4
2026-06-25T13:23:00+05:30,427.85,428.00,427.85,428.00,1411
2026-06-25T13:24:00+05:30,428.00,428.00,428.00,428.00,520
2026-06-25T13:25:00+05:30,428.00,428.00,428.00,428.00,903
2026-06-25T13:26:00+05:30,427.85,428.10,427.85,428.05,537
2026-06-25T13:27:00+05:30,428.35,428.70,428.35,428.50,2817
2026-06-25T13:28:00+05:30,428.50,428.50,428.00,428.00,417
2026-06-25T13:29:00+05:30,428.00,428.00,428.00,428.00,746
2026-06-25T13:30:00+05:30,428.05,428.05,427.60,427.60,2035
2026-06-25T13:31:00+05:30,427.60,427.60,427.30,427.35,10378
