ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,552.70,554.15,552.70,554.00,0
2026-06-25T09:16:00+05:30,553.60,553.85,552.50,552.50,12036
2026-06-25T09:17:00+05:30,552.35,552.35,551.50,551.55,1598
2026-06-25T09:18:00+05:30,551.55,552.20,551.55,552.10,3676
2026-06-25T09:19:00+05:30,551.90,553.20,551.90,552.15,19669
2026-06-25T09:20:00+05:30,551.70,552.85,551.70,552.25,4208
2026-06-25T09:21:00+05:30,552.00,552.80,552.00,552.75,6016
2026-06-25T09:22:00+05:30,552.90,553.75,552.70,552.70,5594
2026-06-25T09:23:00+05:30,552.30,552.70,552.30,552.30,2821
2026-06-25T09:24:00+05:30,552.10,552.15,552.00,552.00,1423
2026-06-25T09:25:00+05:30,552.20,552.30,552.00,552.30,2385
2026-06-25T09:26:00+05:30,552.20,552.30,552.00,552.00,1691
2026-06-25T09:27:00+05:30,552.15,552.15,551.90,551.95,774
2026-06-25T09:28:00+05:30,551.95,552.00,551.70,551.75,1134
2026-06-25T09:29:00+05:30,551.95,552.20,551.95,552.20,475
2026-06-25T09:30:00+05:30,552.10,552.30,551.60,551.60,6160
2026-06-25T09:31:00+05:30,551.45,552.15,551.00,551.75,27158
2026-06-25T09:32:00+05:30,551.70,551.95,551.70,551.70,1067
2026-06-25T09:33:00+05:30,552.20,552.25,551.90,552.00,5222
2026-06-25T09:34:00+05:30,552.25,553.70,552.25,553.50,15125
2026-06-25T09:35:00+05:30,554.20,554.90,554.20,554.80,12039
2026-06-25T09:36:00+05:30,554.30,554.30,553.90,554.10,18942
2026-06-25T09:37:00+05:30,553.65,554.10,553.50,554.10,13238
2026-06-25T09:38:00+05:30,553.75,554.15,553.75,553.75,6290
2026-06-25T09:39:00+05:30,553.75,554.25,553.75,554.00,7832
2026-06-25T09:40:00+05:30,553.75,554.00,553.70,553.70,9515
2026-06-25T09:41:00+05:30,554.05,554.10,553.80,554.00,8428
2026-06-25T09:42:00+05:30,554.00,554.40,553.80,554.30,10811
2026-06-25T09:43:00+05:30,554.10,554.40,554.00,554.20,5486
2026-06-25T09:44:00+05:30,554.50,554.70,554.30,554.55,10377
2026-06-25T09:45:00+05:30,554.60,555.40,554.60,555.10,21447
2026-06-25T09:46:00+05:30,555.20,555.90,555.20,555.90,6856
2026-06-25T09:47:00+05:30,555.85,556.00,555.70,556.00,5924
2026-06-25T09:48:00+05:30,556.00,556.00,555.80,555.80,4720
2026-06-25T09:49:00+05:30,555.80,556.25,555.50,556.20,14902
2026-06-25T09:50:00+05:30,556.25,556.75,556.25,556.75,19203
2026-06-25T09:51:00+05:30,556.70,556.70,556.40,556.45,6218
2026-06-25T09:52:00+05:30,556.55,556.80,556.55,556.80,6479
2026-06-25T09:53:00+05:30,556.80,556.80,556.45,556.45,5011
2026-06-25T09:54:00+05:30,556.50,556.65,556.20,556.55,7414
2026-06-25T09:55:00+05:30,556.30,556.30,555.95,555.95,5733
2026-06-25T09:56:00+05:30,555.95,556.20,555.75,555.80,3688
2026-06-25T09:57:00+05:30,555.80,556.10,555.55,555.75,167399
2026-06-25T09:58:00+05:30,555.75,555.90,553.90,553.90,10988
2026-06-25T09:59:00+05:30,554.45,554.80,552.40,552.40,27045
2026-06-25T10:00:00+05:30,552.40,553.50,552.15,553.00,6927
2026-06-25T10:01:00+05:30,553.05,553.35,553.05,553.30,1993
2026-06-25T10:02:00+05:30,553.30,553.30,552.60,552.95,3355
2026-06-25T10:03:00+05:30,552.60,553.05,552.05,552.05,7513
2026-06-25T10:04:00+05:30,551.70,552.15,551.70,551.90,13456
2026-06-25T10:05:00+05:30,552.00,552.00,551.15,551.60,5067
2026-06-25T10:06:00+05:30,551.50,552.00,551.45,551.60,15574
2026-06-25T10:07:00+05:30,551.70,551.75,551.40,551.40,3623
