ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,954.90,960.00,951.60,958.10,0
2026-06-25T09:16:00+05:30,958.25,961.55,957.20,961.00,62452
2026-06-25T09:17:00+05:30,960.95,966.30,960.05,965.95,49300
2026-06-25T09:18:00+05:30,965.35,967.00,960.65,960.65,71185
2026-06-25T09:19:00+05:30,960.25,960.90,957.50,959.45,63067
2026-06-25T09:20:00+05:30,959.85,965.95,959.50,965.60,61927
2026-06-25T09:21:00+05:30,966.00,969.50,965.35,968.90,92192
2026-06-25T09:22:00+05:30,969.00,972.00,968.70,970.45,159074
2026-06-25T09:23:00+05:30,970.55,971.00,967.60,967.90,66609
2026-06-25T09:24:00+05:30,967.40,969.00,967.10,969.00,33543
2026-06-25T09:25:00+05:30,968.60,969.05,967.40,967.45,48709
2026-06-25T09:26:00+05:30,966.70,966.70,965.00,965.90,67597
2026-06-25T09:27:00+05:30,965.75,965.80,963.20,963.50,48108
2026-06-25T09:28:00+05:30,964.25,965.00,963.10,964.00,28496
2026-06-25T09:29:00+05:30,963.70,967.90,963.60,967.90,43118
2026-06-25T09:30:00+05:30,967.80,968.20,965.20,966.20,23721
2026-06-25T09:31:00+05:30,966.75,967.90,965.90,965.90,15118
2026-06-25T09:32:00+05:30,966.15,966.20,964.80,966.20,26467
2026-06-25T09:33:00+05:30,965.85,967.00,965.00,966.00,12933
2026-06-25T09:34:00+05:30,966.60,967.50,965.20,965.65,19353
2026-06-25T09:35:00+05:30,965.20,965.75,964.55,964.55,24691
2026-06-25T09:36:00+05:30,964.25,964.50,962.00,962.00,58282
2026-06-25T09:37:00+05:30,962.20,962.95,962.00,962.55,43599
2026-06-25T09:38:00+05:30,963.00,963.80,960.10,960.70,34793
2026-06-25T09:39:00+05:30,960.75,961.40,958.55,959.00,30220
2026-06-25T09:40:00+05:30,959.00,959.45,958.10,958.45,21137
2026-06-25T09:41:00+05:30,958.65,962.50,958.65,959.40,20347
2026-06-25T09:42:00+05:30,958.50,962.55,958.50,962.15,21544
2026-06-25T09:43:00+05:30,962.20,963.65,961.90,963.15,13984
2026-06-25T09:44:00+05:30,963.00,963.90,962.05,963.90,12538
2026-06-25T09:45:00+05:30,964.00,964.00,962.80,963.05,7713
2026-06-25T09:46:00+05:30,963.75,964.75,963.55,963.55,13470
2026-06-25T09:47:00+05:30,964.35,964.80,963.10,963.10,14658
2026-06-25T09:48:00+05:30,963.25,964.15,962.05,962.05,15857
2026-06-25T09:49:00+05:30,962.15,964.15,962.15,962.75,11982
2026-06-25T09:50:00+05:30,962.85,963.40,962.10,962.60,8639
2026-06-25T09:51:00+05:30,962.65,963.60,962.60,963.60,2589
2026-06-25T09:52:00+05:30,963.60,965.45,963.30,965.45,22751
2026-06-25T09:53:00+05:30,964.25,964.30,962.55,963.30,9890
2026-06-25T09:54:00+05:30,963.10,963.10,962.10,962.10,4664
2026-06-25T09:55:00+05:30,961.30,961.80,960.20,961.35,28070
2026-06-25T09:56:00+05:30,961.00,961.65,960.70,961.00,5149
2026-06-25T09:57:00+05:30,960.75,961.95,960.70,961.00,6400
2026-06-25T09:58:00+05:30,961.05,961.50,960.90,961.50,6427
2026-06-25T09:59:00+05:30,961.50,962.85,961.15,961.35,26124
2026-06-25T10:00:00+05:30,961.45,962.00,960.50,961.15,8170
2026-06-25T10:01:00+05:30,961.15,961.15,958.50,959.00,25956
2026-06-25T10:02:00+05:30,958.95,958.95,956.45,958.00,38729
