ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2372.10,2386.50,2372.10,2386.50,0
2026-06-25T09:16:00+05:30,2390.80,2390.80,2383.80,2383.80,2023
2026-06-25T09:17:00+05:30,2385.60,2386.10,2378.80,2380.00,3617
2026-06-25T09:18:00+05:30,2378.40,2378.40,2376.50,2377.00,805
2026-06-25T09:19:00+05:30,2378.30,2379.20,2377.90,2378.20,679
2026-06-25T09:20:00+05:30,2379.20,2379.20,2372.70,2372.70,1665
2026-06-25T09:21:00+05:30,2372.70,2373.60,2372.70,2373.60,734
2026-06-25T09:22:00+05:30,2373.80,2374.40,2371.70,2371.70,489
2026-06-25T09:23:00+05:30,2372.50,2374.80,2371.30,2371.30,1320
2026-06-25T09:24:00+05:30,2371.70,2373.00,2371.70,2372.10,914
2026-06-25T09:25:00+05:30,2372.60,2372.60,2371.50,2371.50,614
2026-06-25T09:26:00+05:30,2371.40,2372.60,2370.80,2371.70,878
2026-06-25T09:27:00+05:30,2370.90,2371.30,2369.90,2370.10,685
2026-06-25T09:28:00+05:30,2370.40,2373.00,2369.20,2373.00,1062
2026-06-25T09:29:00+05:30,2372.90,2372.90,2369.20,2369.60,503
2026-06-25T09:30:00+05:30,2370.50,2370.50,2368.40,2368.40,391
2026-06-25T09:31:00+05:30,2369.20,2369.60,2368.70,2368.80,491
2026-06-25T09:32:00+05:30,2369.50,2369.50,2369.50,2369.50,148
2026-06-25T09:33:00+05:30,2368.90,2369.30,2366.70,2367.00,1345
2026-06-25T09:34:00+05:30,2368.90,2368.90,2367.70,2367.70,416
2026-06-25T09:35:00+05:30,2367.60,2367.90,2366.20,2366.30,1885
2026-06-25T09:36:00+05:30,2367.20,2368.20,2366.30,2368.10,384
2026-06-25T09:37:00+05:30,2367.20,2368.20,2367.20,2368.20,106
2026-06-25T09:38:00+05:30,2369.40,2369.40,2368.70,2368.80,112
2026-06-25T09:39:00+05:30,2368.80,2369.40,2368.10,2369.40,804
2026-06-25T09:40:00+05:30,2369.30,2369.40,2368.20,2369.40,62
2026-06-25T09:41:00+05:30,2368.70,2369.80,2368.50,2368.90,281
2026-06-25T09:42:00+05:30,2368.70,2369.00,2368.70,2369.00,262
2026-06-25T09:43:00+05:30,2368.90,2369.60,2368.50,2369.40,260
2026-06-25T09:44:00+05:30,2369.70,2370.20,2369.30,2369.70,542
2026-06-25T09:45:00+05:30,2369.30,2369.30,2368.20,2369.00,239
2026-06-25T09:46:00+05:30,2369.90,2370.80,2369.90,2370.10,204
2026-06-25T09:47:00+05:30,2370.60,2370.70,2368.40,2368.40,1139
2026-06-25T09:48:00+05:30,2369.20,2369.40,2368.30,2368.30,1106
2026-06-25T09:49:00+05:30,2368.40,2368.50,2367.70,2368.50,206
2026-06-25T09:50:00+05:30,2367.80,2368.70,2367.80,2368.10,357
2026-06-25T09:51:00+05:30,2368.60,2368.80,2368.40,2368.80,36
2026-06-25T09:52:00+05:30,2368.80,2371.90,2368.40,2371.90,598
2026-06-25T09:53:00+05:30,2372.70,2373.00,2370.50,2371.90,4346
2026-06-25T09:54:00+05:30,2372.40,2372.50,2370.00,2370.00,713
2026-06-25T09:55:00+05:30,2371.00,2371.00,2369.00,2370.40,2376
2026-06-25T09:56:00+05:30,2370.90,2372.80,2370.10,2371.70,636
2026-06-25T09:57:00+05:30,2372.70,2372.70,2371.00,2371.60,980
2026-06-25T09:58:00+05:30,2371.80,2372.70,2371.80,2372.70,192
2026-06-25T09:59:00+05:30,2372.70,2372.70,2371.70,2371.70,162
2026-06-25T10:00:00+05:30,2372.40,2373.90,2371.60,2373.90,2171
2026-06-25T10:01:00+05:30,2374.00,2374.00,2373.00,2373.10,714
2026-06-25T10:02:00+05:30,2373.60,2374.00,2372.80,2374.00,284
2026-06-25T10:03:00+05:30,2374.00,2374.00,2372.50,2373.40,97
2026-06-25T10:04:00+05:30,2373.20,2373.90,2368.50,2368.50,2557
2026-06-25T10:05:00+05:30,2368.80,2368.90,2368.00,2368.90,505
2026-06-25T10:06:00+05:30,2368.10,2368.90,2368.00,2368.70,475
2026-06-25T10:07:00+05:30,2369.30,2369.70,2368.00,2369.70,832
2026-06-25T10:08:00+05:30,2369.30,2369.40,2368.50,2369.40,587
2026-06-25T10:09:00+05:30,2368.50,2369.20,2368.30,2368.30,92
2026-06-25T10:10:00+05:30,2368.30,2368.90,2368.30,2368.30,88
2026-06-25T10:11:00+05:30,2368.50,2368.50,2365.40,2365.60,905
2026-06-25T10:12:00+05:30,2365.80,2367.10,2365.40,2366.00,643
2026-06-25T10:13:00+05:30,2366.00,2366.10,2365.40,2366.10,129
2026-06-25T10:14:00+05:30,2366.10,2366.10,2365.00,2365.10,1018
2026-06-25T10:15:00+05:30,2365.00,2366.10,2364.20,2366.10,1001
2026-06-25T10:16:00+05:30,2365.50,2366.80,2365.10,2366.10,291
2026-06-25T10:17:00+05:30,2365.90,2366.10,2365.10,2365.10,111
2026-06-25T10:18:00+05:30,2365.60,2365.60,2364.00,2364.30,807
2026-06-25T10:19:00+05:30,2364.10,2365.60,2364.10,2364.70,374
2026-06-25T10:20:00+05:30,2364.70,2365.50,2364.70,2365.50,45
2026-06-25T10:21:00+05:30,2365.50,2365.50,2365.10,2365.50,194
2026-06-25T10:22:00+05:30,2367.00,2367.10,2367.00,2367.10,526
2026-06-25T10:23:00+05:30,2367.00,2367.00,2365.90,2365.90,454
2026-06-25T10:24:00+05:30,2366.40,2367.00,2366.40,2367.00,49
2026-06-25T10:25:00+05:30,2366.30,2366.30,2365.40,2366.20,223
2026-06-25T10:26:00+05:30,2365.50,2366.20,2365.40,2366.20,168
2026-06-25T10:27:00+05:30,2368.90,2370.70,2367.80,2370.70,1245
2026-06-25T10:28:00+05:30,2369.90,2370.30,2369.30,2370.20,84
2026-06-25T10:29:00+05:30,2370.80,2370.80,2370.40,2370.80,222
2026-06-25T10:30:00+05:30,2370.80,2371.60,2370.40,2371.50,124
2026-06-25T10:31:00+05:30,2371.50,2371.60,2370.60,2370.90,153
2026-06-25T10:32:00+05:30,2371.70,2373.50,2371.70,2373.50,242
2026-06-25T10:33:00+05:30,2372.20,2372.70,2370.60,2371.40,425
2026-06-25T10:34:00+05:30,2371.40,2371.40,2370.60,2371.30,2
2026-06-25T10:35:00+05:30,2370.60,2371.40,2370.60,2371.40,48
2026-06-25T10:36:00+05:30,2371.40,2371.60,2370.80,2371.60,19
2026-06-25T10:37:00+05:30,2371.60,2373.50,2371.60,2373.50,665
2026-06-25T10:38:00+05:30,2371.00,2371.80,2370.70,2370.70,870
2026-06-25T10:39:00+05:30,2370.70,2371.20,2370.60,2371.20,87
2026-06-25T10:40:00+05:30,2371.40,2373.10,2370.80,2373.00,759
2026-06-25T10:41:00+05:30,2372.90,2372.90,2370.60,2370.90,319
2026-06-25T10:42:00+05:30,2371.70,2371.70,2370.70,2371.00,106
2026-06-25T10:43:00+05:30,2371.00,2371.50,2370.60,2370.60,262
2026-06-25T10:44:00+05:30,2371.10,2371.10,2370.60,2371.00,42
2026-06-25T10:45:00+05:30,2371.00,2372.20,2370.80,2372.20,640
2026-06-25T10:46:00+05:30,2372.50,2374.90,2372.50,2374.90,754
2026-06-25T10:47:00+05:30,2374.70,2376.60,2374.20,2374.90,735
2026-06-25T10:48:00+05:30,2374.90,2376.10,2374.90,2376.00,322
2026-06-25T10:49:00+05:30,2375.90,2375.90,2374.80,2374.80,153
2026-06-25T10:50:00+05:30,2375.40,2376.00,2374.90,2375.60,605
2026-06-25T10:51:00+05:30,2375.60,2376.20,2375.40,2376.20,210
2026-06-25T10:52:00+05:30,2375.80,2376.90,2375.40,2376.70,481
2026-06-25T10:53:00+05:30,2375.70,2376.50,2375.70,2376.50,71
2026-06-25T10:54:00+05:30,2375.90,2376.30,2374.10,2374.10,1197
2026-06-25T10:55:00+05:30,2375.90,2375.90,2374.30,2374.30,74
2026-06-25T10:56:00+05:30,2375.10,2375.10,2374.40,2375.00,236
2026-06-25T10:57:00+05:30,2374.40,2375.00,2374.40,2374.40,107
2026-06-25T10:58:00+05:30,2375.00,2375.90,2375.00,2375.90,542
2026-06-25T10:59:00+05:30,2375.90,2376.20,2374.70,2374.70,364
2026-06-25T11:00:00+05:30,2376.00,2376.00,2374.40,2374.40,300
2026-06-25T11:01:00+05:30,2374.60,2374.80,2374.10,2374.80,263
2026-06-25T11:02:00+05:30,2374.80,2375.10,2374.40,2374.40,292
2026-06-25T11:03:00+05:30,2374.60,2374.60,2373.50,2373.50,103
2026-06-25T11:04:00+05:30,2374.20,2374.20,2373.80,2373.80,494
2026-06-25T11:05:00+05:30,2373.80,2375.10,2373.80,2375.10,347
2026-06-25T11:06:00+05:30,2375.10,2375.20,2374.50,2374.50,1178
2026-06-25T11:07:00+05:30,2374.50,2374.50,2373.80,2374.20,773
2026-06-25T11:08:00+05:30,2374.20,2375.90,2374.20,2374.60,1674
2026-06-25T11:09:00+05:30,2374.80,2374.80,2373.50,2374.20,112
2026-06-25T11:10:00+05:30,2374.20,2374.80,2374.00,2374.30,315
2026-06-25T11:11:00+05:30,2374.30,2374.40,2373.10,2373.10,1109
2026-06-25T11:12:00+05:30,2374.40,2374.40,2373.30,2373.40,63
2026-06-25T11:13:00+05:30,2373.30,2373.60,2373.10,2373.60,210
2026-06-25T11:14:00+05:30,2374.30,2374.50,2374.10,2374.30,226
2026-06-25T11:15:00+05:30,2374.60,2374.60,2374.30,2374.30,169
2026-06-25T11:16:00+05:30,2374.30,2375.00,2374.20,2374.20,43
2026-06-25T11:17:00+05:30,2374.70,2374.70,2373.80,2374.20,351
2026-06-25T11:18:00+05:30,2374.20,2374.20,2371.00,2371.00,407
2026-06-25T11:19:00+05:30,2371.30,2371.30,2370.30,2370.30,10
2026-06-25T11:20:00+05:30,2370.80,2371.80,2370.40,2371.80,170
2026-06-25T11:21:00+05:30,2371.80,2373.50,2371.70,2372.80,124
2026-06-25T11:22:00+05:30,2373.20,2373.20,2372.00,2372.00,283
2026-06-25T11:23:00+05:30,2371.80,2372.10,2370.60,2372.00,3795
2026-06-25T11:24:00+05:30,2371.90,2376.50,2370.90,2376.50,1224
2026-06-25T11:25:00+05:30,2378.20,2378.20,2376.70,2377.50,580
2026-06-25T11:26:00+05:30,2377.60,2379.70,2376.30,2378.40,2269
2026-06-25T11:27:00+05:30,2379.00,2379.00,2378.00,2378.00,2219
2026-06-25T11:28:00+05:30,2378.50,2379.00,2378.10,2378.10,510
2026-06-25T11:29:00+05:30,2376.80,2378.20,2376.00,2376.80,252
2026-06-25T11:30:00+05:30,2377.30,2377.30,2377.00,2377.20,15
2026-06-25T11:31:00+05:30,2378.20,2378.20,2377.00,2377.00,270
2026-06-25T11:32:00+05:30,2377.10,2378.00,2377.10,2377.30,2712
2026-06-25T11:33:00+05:30,2378.30,2378.60,2377.30,2378.30,1216
2026-06-25T11:34:00+05:30,2378.30,2378.30,2377.30,2378.30,569
2026-06-25T11:35:00+05:30,2378.00,2378.00,2376.60,2377.50,180
2026-06-25T11:36:00+05:30,2377.50,2377.50,2376.10,2376.10,273
2026-06-25T11:37:00+05:30,2376.80,2376.80,2376.30,2376.50,576
2026-06-25T11:38:00+05:30,2376.60,2376.60,2376.50,2376.60,101
2026-06-25T11:39:00+05:30,2377.00,2377.00,2376.20,2376.50,383
2026-06-25T11:40:00+05:30,2376.00,2378.20,2376.00,2377.30,1589
2026-06-25T11:41:00+05:30,2377.60,2378.60,2376.90,2378.60,215
2026-06-25T11:42:00+05:30,2378.20,2378.20,2377.10,2378.00,86
2026-06-25T11:43:00+05:30,2378.00,2378.00,2375.10,2376.40,672
2026-06-25T11:44:00+05:30,2376.30,2376.30,2374.20,2374.50,111
2026-06-25T11:45:00+05:30,2374.70,2374.70,2373.60,2373.80,280
2026-06-25T11:46:00+05:30,2374.30,2374.30,2373.80,2374.00,24
2026-06-25T11:47:00+05:30,2374.00,2374.40,2373.90,2374.30,174
2026-06-25T11:48:00+05:30,2374.40,2375.00,2374.40,2375.00,132
2026-06-25T11:49:00+05:30,2375.00,2375.00,2373.10,2373.10,1407
2026-06-25T11:50:00+05:30,2373.20,2374.10,2372.30,2374.10,490
2026-06-25T11:51:00+05:30,2374.90,2374.90,2374.30,2374.30,14
2026-06-25T11:52:00+05:30,2374.80,2375.00,2374.30,2375.00,732
2026-06-25T11:53:00+05:30,2374.90,2376.20,2374.40,2375.10,1961
2026-06-25T11:54:00+05:30,2375.50,2375.90,2375.00,2375.00,1345
2026-06-25T11:55:00+05:30,2375.00,2375.30,2375.00,2375.30,53
2026-06-25T11:56:00+05:30,2376.10,2376.10,2375.00,2375.00,889
2026-06-25T11:57:00+05:30,2374.50,2375.20,2374.40,2374.50,109
2026-06-25T11:58:00+05:30,2375.00,2375.00,2374.90,2374.90,176
2026-06-25T11:59:00+05:30,2374.20,2374.70,2372.40,2372.40,337
2026-06-25T12:00:00+05:30,2372.40,2372.90,2371.00,2371.90,175
2026-06-25T12:01:00+05:30,2371.90,2372.90,2371.50,2372.10,219
2026-06-25T12:02:00+05:30,2372.00,2372.00,2371.80,2371.90,386
2026-06-25T12:03:00+05:30,2372.00,2372.00,2371.10,2371.10,305
2026-06-25T12:04:00+05:30,2371.60,2372.00,2371.10,2371.50,53
2026-06-25T12:05:00+05:30,2371.60,2371.60,2370.70,2371.60,382
2026-06-25T12:06:00+05:30,2371.60,2371.60,2370.60,2370.60,193
2026-06-25T12:07:00+05:30,2370.70,2370.70,2370.00,2370.10,229
2026-06-25T12:08:00+05:30,2370.70,2370.70,2368.90,2368.90,405
2026-06-25T12:09:00+05:30,2369.90,2369.90,2368.80,2368.80,194
2026-06-25T12:10:00+05:30,2369.10,2370.00,2369.10,2369.20,92
2026-06-25T12:11:00+05:30,2369.40,2371.30,2369.40,2371.30,210
2026-06-25T12:12:00+05:30,2371.20,2371.30,2368.70,2368.70,458
2026-06-25T12:13:00+05:30,2369.20,2369.20,2367.90,2368.30,536
2026-06-25T12:14:00+05:30,2368.30,2368.50,2367.60,2368.10,335
2026-06-25T12:15:00+05:30,2367.90,2367.90,2367.00,2367.00,230
2026-06-25T12:16:00+05:30,2367.00,2367.00,2365.00,2365.00,404
2026-06-25T12:17:00+05:30,2365.60,2365.90,2365.50,2365.80,83
2026-06-25T12:18:00+05:30,2365.60,2365.70,2365.00,2365.30,327
2026-06-25T12:19:00+05:30,2365.30,2365.30,2364.40,2364.40,262
2026-06-25T12:20:00+05:30,2365.00,2365.30,2362.00,2362.90,2929
2026-06-25T12:21:00+05:30,2362.10,2362.80,2362.00,2362.00,195
2026-06-25T12:22:00+05:30,2362.60,2363.80,2362.60,2363.80,235
2026-06-25T12:23:00+05:30,2363.80,2363.90,2363.00,2363.00,276
2026-06-25T12:24:00+05:30,2363.50,2363.60,2363.00,2363.00,240
2026-06-25T12:25:00+05:30,2363.50,2363.80,2362.60,2362.60,678
2026-06-25T12:26:00+05:30,2363.50,2363.50,2362.70,2362.70,127
2026-06-25T12:27:00+05:30,2363.30,2363.30,2359.60,2359.90,2056
2026-06-25T12:28:00+05:30,2361.10,2364.20,2359.50,2364.20,680
2026-06-25T12:29:00+05:30,2363.10,2364.00,2362.60,2363.00,895
2026-06-25T12:30:00+05:30,2362.70,2362.70,2361.00,2361.00,333
2026-06-25T12:31:00+05:30,2361.50,2361.90,2361.00,2361.00,307
2026-06-25T12:32:00+05:30,2360.90,2360.90,2358.10,2358.30,1221
2026-06-25T12:33:00+05:30,2360.00,2360.90,2358.90,2360.90,282
2026-06-25T12:34:00+05:30,2360.40,2364.10,2359.60,2364.10,635
2026-06-25T12:35:00+05:30,2364.00,2365.00,2363.40,2365.00,679
2026-06-25T12:36:00+05:30,2365.60,2366.50,2365.00,2365.10,652
2026-06-25T12:37:00+05:30,2364.00,2364.50,2363.80,2363.80,472
2026-06-25T12:38:00+05:30,2363.70,2364.10,2362.80,2364.10,261
2026-06-25T12:39:00+05:30,2364.10,2365.00,2364.00,2365.00,641
2026-06-25T12:40:00+05:30,2365.20,2365.20,2362.70,2362.70,1973
2026-06-25T12:41:00+05:30,2363.20,2363.20,2361.20,2362.30,346
2026-06-25T12:42:00+05:30,2361.60,2363.90,2361.60,2363.90,678
2026-06-25T12:43:00+05:30,2363.40,2364.00,2362.70,2363.80,613
2026-06-25T12:44:00+05:30,2363.70,2364.40,2363.70,2364.00,573
2026-06-25T12:45:00+05:30,2364.50,2364.50,2362.30,2364.00,1475
2026-06-25T12:46:00+05:30,2363.80,2364.30,2363.00,2364.10,130
2026-06-25T12:47:00+05:30,2364.10,2364.30,2363.40,2364.00,288
2026-06-25T12:48:00+05:30,2364.00,2364.60,2363.90,2364.20,172
2026-06-25T12:49:00+05:30,2364.90,2364.90,2364.20,2364.20,204
2026-06-25T12:50:00+05:30,2364.20,2364.80,2364.20,2364.20,693
2026-06-25T12:51:00+05:30,2364.70,2364.70,2364.30,2364.30,256
2026-06-25T12:52:00+05:30,2364.50,2364.50,2363.90,2364.00,239
2026-06-25T12:53:00+05:30,2364.40,2364.40,2362.90,2363.80,244
2026-06-25T12:54:00+05:30,2363.80,2363.80,2363.00,2363.80,87
2026-06-25T12:55:00+05:30,2363.70,2363.90,2361.40,2361.40,361
2026-06-25T12:56:00+05:30,2362.90,2362.90,2361.60,2362.80,144
2026-06-25T12:57:00+05:30,2362.90,2363.10,2361.80,2362.00,125
2026-06-25T12:58:00+05:30,2362.60,2362.70,2361.70,2361.70,358
2026-06-25T12:59:00+05:30,2362.20,2363.00,2361.70,2362.40,283
2026-06-25T13:00:00+05:30,2362.50,2362.60,2360.00,2361.40,329
2026-06-25T13:01:00+05:30,2361.30,2361.50,2360.70,2361.50,135
2026-06-25T13:02:00+05:30,2361.50,2362.10,2360.10,2362.10,769
2026-06-25T13:03:00+05:30,2361.60,2361.60,2359.20,2359.60,392
2026-06-25T13:04:00+05:30,2360.10,2360.80,2359.10,2359.40,193
2026-06-25T13:05:00+05:30,2359.70,2360.00,2359.00,2359.00,298
2026-06-25T13:06:00+05:30,2359.00,2359.90,2359.00,2359.50,668
2026-06-25T13:07:00+05:30,2359.50,2360.20,2359.50,2359.60,269
2026-06-25T13:08:00+05:30,2359.90,2361.00,2359.80,2361.00,747
2026-06-25T13:09:00+05:30,2360.50,2361.20,2360.40,2360.50,264
2026-06-25T13:10:00+05:30,2360.70,2361.40,2360.70,2361.40,171
2026-06-25T13:11:00+05:30,2361.60,2361.60,2360.90,2360.90,662
