ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,819.50,820.60,819.25,820.05,0
2026-06-25T09:16:00+05:30,820.25,822.35,820.25,821.75,2998
2026-06-25T09:17:00+05:30,822.25,822.55,822.00,822.20,2302
2026-06-25T09:18:00+05:30,821.30,821.30,819.45,820.05,2970
2026-06-25T09:19:00+05:30,820.50,822.35,820.50,822.35,3151
2026-06-25T09:20:00+05:30,821.95,822.30,821.60,821.75,4356
2026-06-25T09:21:00+05:30,821.55,821.55,820.05,820.55,2593
2026-06-25T09:22:00+05:30,820.40,821.90,820.40,821.35,846
2026-06-25T09:23:00+05:30,821.30,821.30,820.25,820.25,1614
2026-06-25T09:24:00+05:30,820.45,821.45,820.45,821.35,754
2026-06-25T09:25:00+05:30,821.10,821.20,820.85,821.15,2692
2026-06-25T09:26:00+05:30,821.15,821.40,820.75,821.20,1307
2026-06-25T09:27:00+05:30,821.20,822.30,821.20,821.45,4433
2026-06-25T09:28:00+05:30,821.50,821.50,821.15,821.25,1432
2026-06-25T09:29:00+05:30,821.25,821.45,820.90,821.20,791
2026-06-25T09:30:00+05:30,820.95,822.60,820.95,822.55,628
2026-06-25T09:31:00+05:30,822.50,822.55,821.45,821.45,1971
2026-06-25T09:32:00+05:30,821.20,822.05,821.20,821.60,1201
2026-06-25T09:33:00+05:30,821.75,821.80,820.75,821.80,2521
2026-06-25T09:34:00+05:30,821.85,821.95,821.45,821.45,2700
2026-06-25T09:35:00+05:30,821.45,821.95,821.35,821.75,518
2026-06-25T09:36:00+05:30,821.50,821.80,821.15,821.35,3982
2026-06-25T09:37:00+05:30,821.35,821.80,821.25,821.80,1147
2026-06-25T09:38:00+05:30,821.75,821.80,821.60,821.75,266
2026-06-25T09:39:00+05:30,821.60,821.75,821.60,821.70,845
2026-06-25T09:40:00+05:30,821.65,821.65,821.25,821.55,6072
2026-06-25T09:41:00+05:30,821.65,821.65,821.20,821.20,1291
2026-06-25T09:42:00+05:30,821.20,821.20,821.00,821.15,838
2026-06-25T09:43:00+05:30,821.15,821.15,820.70,821.05,312
2026-06-25T09:44:00+05:30,821.00,821.00,820.65,820.90,217
2026-06-25T09:45:00+05:30,820.90,820.90,820.55,820.85,564
2026-06-25T09:46:00+05:30,820.85,821.00,820.85,821.00,1262
2026-06-25T09:47:00+05:30,821.10,822.30,821.00,822.30,3372
2026-06-25T09:48:00+05:30,822.90,823.35,822.35,822.60,7153
2026-06-25T09:49:00+05:30,822.60,823.55,822.60,823.55,5218
2026-06-25T09:50:00+05:30,823.45,824.95,823.45,823.95,9601
2026-06-25T09:51:00+05:30,823.95,825.25,823.90,825.25,6724
2026-06-25T09:52:00+05:30,825.25,826.30,825.10,826.00,9881
2026-06-25T09:53:00+05:30,826.00,826.35,824.95,824.95,7108
2026-06-25T09:54:00+05:30,825.00,825.85,824.85,825.65,3197
2026-06-25T09:55:00+05:30,825.65,827.00,825.65,827.00,7511
2026-06-25T09:56:00+05:30,827.25,827.50,827.00,827.45,14284
2026-06-25T09:57:00+05:30,827.35,828.60,827.35,828.45,5249
2026-06-25T09:58:00+05:30,828.55,828.55,827.90,828.30,2526
2026-06-25T09:59:00+05:30,828.20,828.20,827.95,827.95,2198
2026-06-25T10:00:00+05:30,827.90,827.90,826.55,826.55,3848
2026-06-25T10:01:00+05:30,826.20,826.20,825.45,825.90,2749
2026-06-25T10:02:00+05:30,826.20,827.15,826.15,826.80,1317
2026-06-25T10:03:00+05:30,826.80,826.85,826.55,826.85,2263
2026-06-25T10:04:00+05:30,827.25,827.25,826.70,826.70,1720
2026-06-25T10:05:00+05:30,826.70,826.95,826.70,826.95,2045
2026-06-25T10:06:00+05:30,826.95,826.95,826.45,826.65,1558
2026-06-25T10:07:00+05:30,826.65,826.65,826.10,826.50,1190
2026-06-25T10:08:00+05:30,826.50,826.90,826.50,826.85,1847
2026-06-25T10:09:00+05:30,826.60,826.60,826.20,826.30,645
2026-06-25T10:10:00+05:30,826.80,826.80,826.35,826.40,1515
2026-06-25T10:11:00+05:30,826.50,826.50,826.20,826.20,510
2026-06-25T10:12:00+05:30,826.50,828.50,826.45,828.50,5788
2026-06-25T10:13:00+05:30,828.35,828.40,828.10,828.40,3014
2026-06-25T10:14:00+05:30,828.10,828.40,827.95,827.95,2479
2026-06-25T10:15:00+05:30,827.60,828.70,827.60,828.65,2617
2026-06-25T10:16:00+05:30,828.55,828.55,827.95,828.15,1323
2026-06-25T10:17:00+05:30,827.95,828.00,827.65,827.90,1217
2026-06-25T10:18:00+05:30,827.60,827.90,827.60,827.90,2168
2026-06-25T10:19:00+05:30,827.80,827.80,826.90,827.05,964
2026-06-25T10:20:00+05:30,827.05,827.05,826.45,826.65,1256
2026-06-25T10:21:00+05:30,826.45,827.90,826.45,827.80,4187
2026-06-25T10:22:00+05:30,827.80,827.80,826.85,827.00,1503
2026-06-25T10:23:00+05:30,827.45,827.95,827.30,827.70,1270
2026-06-25T10:24:00+05:30,827.90,827.90,827.65,827.90,5163
2026-06-25T10:25:00+05:30,828.20,828.60,828.20,828.55,3520
2026-06-25T10:26:00+05:30,828.60,829.00,828.50,828.95,2764
2026-06-25T10:27:00+05:30,828.85,829.60,828.85,829.10,5371
2026-06-25T10:28:00+05:30,829.10,830.70,828.75,830.10,8744
2026-06-25T10:29:00+05:30,830.35,830.40,830.15,830.35,1343
2026-06-25T10:30:00+05:30,830.35,830.55,829.85,829.85,6022
2026-06-25T10:31:00+05:30,829.85,831.70,829.05,831.50,109111
2026-06-25T10:32:00+05:30,831.70,832.65,831.65,831.85,15236
2026-06-25T10:33:00+05:30,831.85,832.15,831.00,832.05,43058
2026-06-25T10:34:00+05:30,832.45,832.50,830.70,831.10,83554
2026-06-25T10:35:00+05:30,830.75,831.10,830.25,830.60,8975
2026-06-25T10:36:00+05:30,830.55,831.20,830.40,830.95,43501
2026-06-25T10:37:00+05:30,830.50,831.15,830.50,830.65,3251
2026-06-25T10:38:00+05:30,830.60,831.00,829.85,830.60,4263
2026-06-25T10:39:00+05:30,830.20,830.70,830.20,830.70,2898
2026-06-25T10:40:00+05:30,830.40,830.55,829.90,830.20,3954
2026-06-25T10:41:00+05:30,829.70,830.00,829.70,830.00,4278
2026-06-25T10:42:00+05:30,830.00,830.20,830.00,830.10,2437
2026-06-25T10:43:00+05:30,830.10,830.55,829.70,830.35,3208
2026-06-25T10:44:00+05:30,830.50,830.90,830.00,830.00,9038
2026-06-25T10:45:00+05:30,830.00,830.00,829.65,829.75,2787
2026-06-25T10:46:00+05:30,830.00,830.00,829.55,829.55,7035
2026-06-25T10:47:00+05:30,829.75,830.00,829.65,830.00,3778
2026-06-25T10:48:00+05:30,830.30,830.30,829.75,829.75,2658
2026-06-25T10:49:00+05:30,829.75,829.75,829.70,829.75,1741
2026-06-25T10:50:00+05:30,828.60,828.60,827.50,827.65,16366
