ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1077.00,1084.00,1077.00,1082.90,0
2026-06-25T09:16:00+05:30,1083.10,1087.00,1083.10,1084.35,3455
2026-06-25T09:17:00+05:30,1084.85,1086.85,1084.05,1086.15,4589
2026-06-25T09:18:00+05:30,1086.45,1086.45,1083.60,1084.80,4212
2026-06-25T09:19:00+05:30,1086.80,1088.95,1086.80,1088.50,6658
2026-06-25T09:20:00+05:30,1088.55,1088.55,1087.00,1087.00,6284
2026-06-25T09:21:00+05:30,1086.90,1086.90,1086.20,1086.75,2027
2026-06-25T09:22:00+05:30,1086.75,1086.75,1084.00,1086.10,13463
2026-06-25T09:23:00+05:30,1088.20,1090.65,1088.00,1088.70,6013
2026-06-25T09:24:00+05:30,1089.00,1089.90,1088.75,1089.70,4403
2026-06-25T09:25:00+05:30,1089.45,1090.95,1089.05,1090.00,16872
2026-06-25T09:26:00+05:30,1090.05,1090.45,1088.00,1088.10,1869
2026-06-25T09:27:00+05:30,1088.10,1089.15,1088.10,1089.15,1597
2026-06-25T09:28:00+05:30,1088.95,1092.90,1088.80,1092.90,6225
2026-06-25T09:29:00+05:30,1093.10,1095.50,1091.65,1094.00,29323
2026-06-25T09:30:00+05:30,1094.45,1094.45,1092.00,1092.40,9819
2026-06-25T09:31:00+05:30,1092.10,1093.95,1091.50,1093.15,70066
2026-06-25T09:32:00+05:30,1093.45,1094.20,1093.00,1093.80,40075
2026-06-25T09:33:00+05:30,1093.55,1093.55,1093.00,1093.20,8784
2026-06-25T09:34:00+05:30,1093.20,1093.50,1093.00,1093.35,6582
2026-06-25T09:35:00+05:30,1093.60,1093.95,1093.40,1093.65,2174
2026-06-25T09:36:00+05:30,1093.65,1093.80,1093.05,1093.05,1597
2026-06-25T09:37:00+05:30,1093.15,1093.70,1093.10,1093.30,1185
2026-06-25T09:38:00+05:30,1093.35,1094.45,1093.35,1094.45,6818
2026-06-25T09:39:00+05:30,1093.95,1094.20,1093.00,1093.05,6210
2026-06-25T09:40:00+05:30,1093.05,1094.05,1093.00,1093.90,10297
2026-06-25T09:41:00+05:30,1093.90,1093.90,1093.35,1093.55,1368
2026-06-25T09:42:00+05:30,1093.25,1093.80,1093.25,1093.55,945
2026-06-25T09:43:00+05:30,1093.65,1094.25,1093.65,1093.85,3266
2026-06-25T09:44:00+05:30,1092.85,1094.00,1092.40,1092.40,36580
2026-06-25T09:45:00+05:30,1092.10,1092.20,1090.10,1091.25,23079
2026-06-25T09:46:00+05:30,1091.25,1091.25,1089.55,1089.75,5512
2026-06-25T09:47:00+05:30,1089.85,1091.70,1089.05,1091.70,24597
2026-06-25T09:48:00+05:30,1091.90,1093.40,1091.60,1093.00,4192
2026-06-25T09:49:00+05:30,1093.55,1094.15,1092.90,1093.70,2218
2026-06-25T09:50:00+05:30,1093.70,1095.75,1093.70,1095.75,110294
2026-06-25T09:51:00+05:30,1095.75,1095.75,1093.05,1094.00,24458
2026-06-25T09:52:00+05:30,1093.75,1093.75,1092.70,1092.85,4553
2026-06-25T09:53:00+05:30,1093.00,1095.30,1092.85,1095.30,5824
2026-06-25T09:54:00+05:30,1095.90,1096.50,1095.90,1096.50,2178
2026-06-25T09:55:00+05:30,1096.40,1096.40,1095.55,1095.55,1089
2026-06-25T09:56:00+05:30,1095.10,1096.00,1094.60,1094.70,6076
2026-06-25T09:57:00+05:30,1094.75,1095.60,1094.70,1095.60,806
2026-06-25T09:58:00+05:30,1095.60,1096.95,1095.60,1096.95,7555
2026-06-25T09:59:00+05:30,1096.95,1097.70,1096.95,1097.70,2367
2026-06-25T10:00:00+05:30,1097.70,1098.35,1097.35,1097.35,2908
2026-06-25T10:01:00+05:30,1097.15,1099.70,1095.55,1099.30,55142
2026-06-25T10:02:00+05:30,1099.95,1101.70,1099.95,1101.00,24157
2026-06-25T10:03:00+05:30,1101.00,1101.40,1100.80,1101.00,6571
2026-06-25T10:04:00+05:30,1101.00,1101.60,1100.75,1101.55,5927
2026-06-25T10:05:00+05:30,1101.50,1102.55,1101.50,1101.90,5834
2026-06-25T10:06:00+05:30,1102.00,1102.00,1100.95,1101.20,6330
2026-06-25T10:07:00+05:30,1101.05,1101.90,1101.05,1101.25,4320
2026-06-25T10:08:00+05:30,1101.25,1101.75,1101.20,1101.40,1325
2026-06-25T10:09:00+05:30,1101.80,1101.85,1101.35,1101.55,1230
2026-06-25T10:10:00+05:30,1101.60,1102.35,1101.00,1102.35,8099
2026-06-25T10:11:00+05:30,1102.10,1102.60,1101.75,1101.75,5059
