ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1651.10,1666.40,1651.10,1660.60,0
2026-06-25T09:16:00+05:30,1661.80,1663.50,1656.40,1657.70,3647
2026-06-25T09:17:00+05:30,1657.80,1657.80,1656.20,1657.70,1858
2026-06-25T09:18:00+05:30,1655.60,1655.60,1652.40,1652.90,3224
2026-06-25T09:19:00+05:30,1652.30,1652.80,1652.30,1652.30,449
2026-06-25T09:20:00+05:30,1652.30,1654.30,1651.70,1652.10,4850
2026-06-25T09:21:00+05:30,1652.10,1652.10,1650.50,1650.70,3847
2026-06-25T09:22:00+05:30,1652.30,1654.10,1652.30,1653.10,3925
2026-06-25T09:23:00+05:30,1652.90,1653.40,1651.50,1651.50,3367
2026-06-25T09:24:00+05:30,1651.60,1652.20,1651.30,1652.20,1713
2026-06-25T09:25:00+05:30,1652.20,1653.50,1652.00,1652.70,2510
2026-06-25T09:26:00+05:30,1652.50,1652.50,1649.10,1650.00,1705
2026-06-25T09:27:00+05:30,1650.00,1650.80,1650.00,1650.80,2985
2026-06-25T09:28:00+05:30,1650.70,1651.40,1650.00,1650.00,613
2026-06-25T09:29:00+05:30,1649.80,1650.50,1649.80,1650.10,1726
2026-06-25T09:30:00+05:30,1650.50,1651.80,1649.00,1649.30,687
2026-06-25T09:31:00+05:30,1649.70,1650.30,1649.70,1649.70,628
2026-06-25T09:32:00+05:30,1649.00,1649.60,1648.80,1649.50,560
2026-06-25T09:33:00+05:30,1649.00,1650.30,1649.00,1650.00,728
2026-06-25T09:34:00+05:30,1649.40,1650.40,1649.00,1649.00,713
2026-06-25T09:35:00+05:30,1648.80,1650.00,1648.30,1649.30,966
2026-06-25T09:36:00+05:30,1649.30,1649.30,1647.00,1647.00,234
2026-06-25T09:37:00+05:30,1648.00,1650.50,1648.00,1649.60,3019
2026-06-25T09:38:00+05:30,1650.00,1650.00,1648.40,1648.40,522
2026-06-25T09:39:00+05:30,1648.10,1649.70,1648.10,1649.70,752
2026-06-25T09:40:00+05:30,1649.30,1649.30,1647.30,1647.30,297
2026-06-25T09:41:00+05:30,1647.20,1647.40,1646.50,1646.80,709
2026-06-25T09:42:00+05:30,1646.80,1647.70,1646.30,1647.70,976
2026-06-25T09:43:00+05:30,1646.10,1647.20,1646.10,1646.10,996
2026-06-25T09:44:00+05:30,1646.50,1648.50,1645.00,1648.50,1962
2026-06-25T09:45:00+05:30,1648.80,1648.80,1647.60,1647.70,1284
2026-06-25T09:46:00+05:30,1647.80,1647.80,1646.50,1647.10,1048
2026-06-25T09:47:00+05:30,1647.10,1647.10,1646.10,1646.20,400
2026-06-25T09:48:00+05:30,1646.30,1647.70,1646.30,1646.40,1007
2026-06-25T09:49:00+05:30,1646.40,1647.00,1645.00,1645.00,432
2026-06-25T09:50:00+05:30,1645.40,1645.80,1645.00,1645.00,1095
2026-06-25T09:51:00+05:30,1645.00,1647.00,1644.80,1647.00,1561
2026-06-25T09:52:00+05:30,1647.00,1649.00,1647.00,1649.00,883
2026-06-25T09:53:00+05:30,1649.00,1649.00,1647.40,1647.40,215
2026-06-25T09:54:00+05:30,1647.40,1648.00,1647.00,1647.00,255
2026-06-25T09:55:00+05:30,1647.00,1647.40,1646.10,1646.50,757
2026-06-25T09:56:00+05:30,1646.40,1647.00,1646.00,1646.00,135
2026-06-25T09:57:00+05:30,1646.50,1649.00,1646.50,1647.10,1329
2026-06-25T09:58:00+05:30,1647.10,1647.10,1646.60,1646.60,122
2026-06-25T09:59:00+05:30,1646.60,1646.60,1645.50,1645.60,352
2026-06-25T10:00:00+05:30,1645.90,1647.00,1645.60,1645.70,1165
2026-06-25T10:01:00+05:30,1646.40,1647.00,1646.30,1646.30,644
2026-06-25T10:02:00+05:30,1646.30,1646.50,1646.10,1646.40,342
2026-06-25T10:03:00+05:30,1646.20,1646.80,1646.20,1646.20,304
2026-06-25T10:04:00+05:30,1645.90,1645.90,1645.00,1645.00,380
2026-06-25T10:05:00+05:30,1645.00,1645.00,1643.50,1643.50,399
2026-06-25T10:06:00+05:30,1643.50,1643.50,1643.00,1643.00,576
2026-06-25T10:07:00+05:30,1643.00,1643.00,1642.40,1642.40,299
2026-06-25T10:08:00+05:30,1642.40,1642.80,1641.60,1642.80,974
2026-06-25T10:09:00+05:30,1641.60,1643.70,1641.60,1642.00,2483
2026-06-25T10:10:00+05:30,1642.00,1642.10,1641.20,1642.10,791
2026-06-25T10:11:00+05:30,1642.10,1643.60,1641.80,1642.60,730
2026-06-25T10:12:00+05:30,1642.20,1643.20,1642.20,1643.20,512
2026-06-25T10:13:00+05:30,1643.00,1644.60,1643.00,1644.20,692
2026-06-25T10:14:00+05:30,1644.70,1645.10,1644.60,1644.60,197
2026-06-25T10:15:00+05:30,1644.80,1644.80,1643.90,1643.90,308
2026-06-25T10:16:00+05:30,1643.90,1646.00,1643.90,1645.20,1841
2026-06-25T10:17:00+05:30,1644.00,1644.50,1643.30,1643.30,245
2026-06-25T10:18:00+05:30,1643.20,1643.40,1641.90,1642.40,2291
2026-06-25T10:19:00+05:30,1642.50,1642.90,1642.50,1642.60,237
2026-06-25T10:20:00+05:30,1642.60,1642.60,1641.60,1642.60,790
2026-06-25T10:21:00+05:30,1642.10,1644.30,1642.10,1643.50,774
2026-06-25T10:22:00+05:30,1643.50,1644.70,1643.50,1644.10,884
2026-06-25T10:23:00+05:30,1644.10,1644.80,1643.80,1644.40,239
2026-06-25T10:24:00+05:30,1643.60,1646.10,1643.60,1646.10,770
2026-06-25T10:25:00+05:30,1647.40,1647.40,1645.00,1645.00,3030
2026-06-25T10:26:00+05:30,1645.00,1645.30,1644.50,1644.50,157
2026-06-25T10:27:00+05:30,1644.50,1644.50,1643.90,1643.90,648
2026-06-25T10:28:00+05:30,1643.60,1643.60,1642.60,1642.60,371
2026-06-25T10:29:00+05:30,1642.70,1643.30,1642.40,1643.30,737
2026-06-25T10:30:00+05:30,1643.50,1643.50,1643.10,1643.30,271
2026-06-25T10:31:00+05:30,1643.00,1643.30,1642.70,1642.90,889
2026-06-25T10:32:00+05:30,1642.90,1643.30,1642.50,1642.50,328
2026-06-25T10:33:00+05:30,1642.50,1642.50,1641.70,1642.10,573
2026-06-25T10:34:00+05:30,1641.70,1641.70,1637.50,1637.60,2715
2026-06-25T10:35:00+05:30,1638.20,1638.20,1637.50,1637.50,628
2026-06-25T10:36:00+05:30,1637.90,1637.90,1636.60,1636.60,1610
2026-06-25T10:37:00+05:30,1637.60,1638.70,1637.60,1637.80,1169
2026-06-25T10:38:00+05:30,1637.80,1638.20,1637.10,1638.00,387
2026-06-25T10:39:00+05:30,1638.00,1638.10,1636.90,1636.90,278
2026-06-25T10:40:00+05:30,1636.80,1639.90,1636.30,1638.30,1998
2026-06-25T10:41:00+05:30,1638.50,1639.00,1638.00,1638.40,352
2026-06-25T10:42:00+05:30,1638.40,1639.00,1638.20,1638.40,245
2026-06-25T10:43:00+05:30,1639.00,1640.40,1638.50,1640.00,1033
2026-06-25T10:44:00+05:30,1640.80,1641.60,1640.80,1640.90,411
2026-06-25T10:45:00+05:30,1641.00,1643.80,1641.00,1642.70,1083
2026-06-25T10:46:00+05:30,1643.30,1643.70,1643.10,1643.60,173
2026-06-25T10:47:00+05:30,1643.60,1644.30,1641.60,1641.60,2090
2026-06-25T10:48:00+05:30,1642.30,1648.00,1641.00,1648.00,12834
2026-06-25T10:49:00+05:30,1647.30,1648.10,1646.40,1648.10,1428
