ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,144.50,145.30,144.50,145.25,0
2026-06-25T09:16:00+05:30,145.20,145.35,145.00,145.15,108471
2026-06-25T09:17:00+05:30,145.10,145.55,145.10,145.50,241724
2026-06-25T09:18:00+05:30,145.55,146.05,145.55,145.85,139224
2026-06-25T09:19:00+05:30,145.85,146.20,145.85,146.20,162882
2026-06-25T09:20:00+05:30,146.20,146.60,146.20,146.60,105663
2026-06-25T09:21:00+05:30,146.60,147.10,146.60,147.05,189610
2026-06-25T09:22:00+05:30,146.90,147.10,146.85,146.85,93241
2026-06-25T09:23:00+05:30,146.90,146.95,146.70,146.90,113943
2026-06-25T09:24:00+05:30,146.90,146.95,146.80,146.80,40207
2026-06-25T09:25:00+05:30,146.80,147.10,146.75,146.85,214718
2026-06-25T09:26:00+05:30,146.90,146.95,146.85,146.95,42670
2026-06-25T09:27:00+05:30,147.10,147.10,146.90,146.90,102165
2026-06-25T09:28:00+05:30,146.95,147.00,146.95,147.00,275643
2026-06-25T09:29:00+05:30,147.00,147.00,146.80,147.00,73398
2026-06-25T09:30:00+05:30,147.05,147.15,147.00,147.15,85235
2026-06-25T09:31:00+05:30,147.15,147.35,147.15,147.25,118973
2026-06-25T09:32:00+05:30,147.25,147.75,147.15,147.70,153360
2026-06-25T09:33:00+05:30,147.75,148.00,147.55,147.95,247944
2026-06-25T09:34:00+05:30,147.95,148.05,147.90,147.90,208289
2026-06-25T09:35:00+05:30,148.00,148.10,147.95,148.00,155156
2026-06-25T09:36:00+05:30,148.00,148.00,147.60,147.60,118694
2026-06-25T09:37:00+05:30,147.55,147.95,147.55,147.85,69821
2026-06-25T09:38:00+05:30,147.95,148.05,147.90,148.00,147456
2026-06-25T09:39:00+05:30,148.00,148.10,147.90,148.10,109924
2026-06-25T09:40:00+05:30,148.10,148.10,147.55,147.55,180719
2026-06-25T09:41:00+05:30,147.55,147.75,147.55,147.65,66663
2026-06-25T09:42:00+05:30,147.65,147.95,147.55,147.95,39735
2026-06-25T09:43:00+05:30,147.95,148.10,147.90,147.95,85447
2026-06-25T09:44:00+05:30,148.30,148.45,148.20,148.25,338318
2026-06-25T09:45:00+05:30,148.30,148.40,148.20,148.40,87367
2026-06-25T09:46:00+05:30,148.40,148.50,148.20,148.35,193286
2026-06-25T09:47:00+05:30,148.40,148.40,148.05,148.05,97066
2026-06-25T09:48:00+05:30,148.10,148.30,147.80,148.00,338142
2026-06-25T09:49:00+05:30,147.95,148.40,147.90,148.35,55706
2026-06-25T09:50:00+05:30,148.40,148.45,148.25,148.35,146496
2026-06-25T09:51:00+05:30,148.30,148.35,148.20,148.30,55117
2026-06-25T09:52:00+05:30,148.30,148.35,148.25,148.30,46316
2026-06-25T09:53:00+05:30,148.30,148.65,148.20,148.45,243278
2026-06-25T09:54:00+05:30,148.40,148.45,148.30,148.40,78531
2026-06-25T09:55:00+05:30,148.40,148.50,148.35,148.45,100419
2026-06-25T09:56:00+05:30,148.40,148.60,148.40,148.50,65378
2026-06-25T09:57:00+05:30,148.50,148.65,148.45,148.55,60199
2026-06-25T09:58:00+05:30,148.65,148.70,148.50,148.50,100598
2026-06-25T09:59:00+05:30,148.55,148.65,148.50,148.60,103197
2026-06-25T10:00:00+05:30,148.60,148.65,148.50,148.60,68031
2026-06-25T10:01:00+05:30,148.60,148.60,148.40,148.40,217567
2026-06-25T10:02:00+05:30,148.40,148.45,148.40,148.40,73684
2026-06-25T10:03:00+05:30,148.40,148.40,148.00,148.00,120892
2026-06-25T10:04:00+05:30,148.05,148.10,148.00,148.10,83409
2026-06-25T10:05:00+05:30,148.10,148.25,148.05,148.05,52209
2026-06-25T10:06:00+05:30,148.00,148.25,147.90,148.25,257815
2026-06-25T10:07:00+05:30,148.10,148.40,148.05,148.40,141626
2026-06-25T10:08:00+05:30,148.35,148.65,148.35,148.60,129642
2026-06-25T10:09:00+05:30,148.65,148.80,148.65,148.80,106708
2026-06-25T10:10:00+05:30,148.80,148.95,148.70,148.95,204548
2026-06-25T10:11:00+05:30,148.90,149.25,148.90,149.15,331834
2026-06-25T10:12:00+05:30,149.15,149.25,148.95,149.00,127582
2026-06-25T10:13:00+05:30,148.95,149.10,148.80,148.85,258543
2026-06-25T10:14:00+05:30,148.85,148.90,148.75,148.80,99392
2026-06-25T10:15:00+05:30,148.80,149.10,148.75,149.05,108254
2026-06-25T10:16:00+05:30,149.10,149.25,149.00,149.20,140012
2026-06-25T10:17:00+05:30,149.15,149.50,149.05,149.30,420844
2026-06-25T10:18:00+05:30,149.35,149.40,149.25,149.35,90316
2026-06-25T10:19:00+05:30,149.35,149.90,149.30,149.80,407899
2026-06-25T10:20:00+05:30,149.80,149.90,149.65,149.85,331630
