ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2286.10,2294.60,2284.30,2294.60,0
2026-06-25T09:16:00+05:30,2291.70,2298.00,2291.60,2296.80,4136
2026-06-25T09:17:00+05:30,2294.50,2294.50,2287.90,2288.20,5189
2026-06-25T09:18:00+05:30,2286.60,2289.10,2284.20,2284.20,1803
2026-06-25T09:19:00+05:30,2282.90,2284.20,2276.10,2276.40,4005
2026-06-25T09:20:00+05:30,2279.90,2279.90,2276.30,2277.80,496
2026-06-25T09:21:00+05:30,2276.00,2276.00,2270.40,2273.80,1948
2026-06-25T09:22:00+05:30,2274.00,2274.40,2272.60,2273.90,465
2026-06-25T09:23:00+05:30,2273.80,2273.80,2267.00,2268.80,1187
2026-06-25T09:24:00+05:30,2268.80,2270.80,2267.20,2268.20,723
2026-06-25T09:25:00+05:30,2267.70,2267.70,2263.40,2264.00,967
2026-06-25T09:26:00+05:30,2264.00,2264.00,2262.90,2262.90,462
2026-06-25T09:27:00+05:30,2261.30,2261.30,2258.70,2258.70,1627
2026-06-25T09:28:00+05:30,2258.20,2263.00,2258.20,2263.00,967
2026-06-25T09:29:00+05:30,2262.30,2263.50,2259.20,2259.20,788
2026-06-25T09:30:00+05:30,2261.40,2261.90,2260.10,2261.10,171
2026-06-25T09:31:00+05:30,2260.00,2260.20,2258.00,2258.00,1081
2026-06-25T09:32:00+05:30,2258.00,2258.00,2255.60,2255.60,121
2026-06-25T09:33:00+05:30,2254.00,2255.00,2252.60,2252.60,640
2026-06-25T09:34:00+05:30,2252.60,2252.60,2250.10,2251.00,1351
2026-06-25T09:35:00+05:30,2250.10,2251.50,2249.00,2249.00,2060
2026-06-25T09:36:00+05:30,2249.60,2249.60,2247.40,2248.30,1318
2026-06-25T09:37:00+05:30,2251.20,2253.30,2251.20,2253.30,1146
2026-06-25T09:38:00+05:30,2255.10,2255.90,2250.20,2251.80,807
2026-06-25T09:39:00+05:30,2250.00,2252.80,2250.00,2252.20,801
2026-06-25T09:40:00+05:30,2252.50,2252.50,2250.40,2250.40,1481
2026-06-25T09:41:00+05:30,2251.00,2252.00,2247.90,2248.30,1372
2026-06-25T09:42:00+05:30,2247.90,2250.60,2247.90,2249.40,369
2026-06-25T09:43:00+05:30,2250.90,2253.80,2249.80,2252.50,767
2026-06-25T09:44:00+05:30,2252.80,2254.40,2251.70,2252.50,172
2026-06-25T09:45:00+05:30,2251.70,2256.80,2250.20,2256.80,2350
2026-06-25T09:46:00+05:30,2258.10,2260.20,2258.00,2259.50,456
2026-06-25T09:47:00+05:30,2259.60,2260.90,2258.60,2258.60,621
2026-06-25T09:48:00+05:30,2259.00,2260.10,2259.00,2259.20,311
2026-06-25T09:49:00+05:30,2260.00,2260.10,2259.60,2260.10,588
2026-06-25T09:50:00+05:30,2260.10,2262.00,2258.50,2261.40,1011
2026-06-25T09:51:00+05:30,2260.40,2262.30,2260.40,2261.80,628
2026-06-25T09:52:00+05:30,2261.00,2261.00,2259.10,2259.50,869
2026-06-25T09:53:00+05:30,2260.50,2261.00,2258.60,2259.00,643
2026-06-25T09:54:00+05:30,2259.00,2261.20,2258.00,2259.40,320
2026-06-25T09:55:00+05:30,2259.90,2260.20,2258.70,2258.90,195
2026-06-25T09:56:00+05:30,2258.00,2258.20,2258.00,2258.00,25
2026-06-25T09:57:00+05:30,2257.20,2258.40,2257.20,2258.40,499
2026-06-25T09:58:00+05:30,2259.00,2259.00,2257.00,2257.00,296
2026-06-25T09:59:00+05:30,2257.10,2257.10,2255.90,2256.60,162
2026-06-25T10:00:00+05:30,2257.90,2259.00,2257.90,2257.90,713
2026-06-25T10:01:00+05:30,2258.60,2259.00,2257.30,2259.00,266
2026-06-25T10:02:00+05:30,2259.00,2262.40,2258.50,2262.40,4935
2026-06-25T10:03:00+05:30,2262.80,2264.30,2261.00,2262.90,1274
2026-06-25T10:04:00+05:30,2261.00,2265.90,2261.00,2265.90,2462
2026-06-25T10:05:00+05:30,2265.50,2266.30,2261.60,2264.40,1240
2026-06-25T10:06:00+05:30,2264.80,2265.00,2263.80,2263.80,1867
2026-06-25T10:07:00+05:30,2263.90,2263.90,2260.00,2260.20,1230
2026-06-25T10:08:00+05:30,2260.10,2260.10,2259.60,2259.60,695
2026-06-25T10:09:00+05:30,2258.00,2261.90,2258.00,2261.90,539
2026-06-25T10:10:00+05:30,2262.00,2262.60,2261.20,2261.20,1156
2026-06-25T10:11:00+05:30,2261.30,2261.30,2259.30,2259.30,180
2026-06-25T10:12:00+05:30,2260.50,2260.60,2258.50,2259.00,38
2026-06-25T10:13:00+05:30,2259.40,2259.50,2256.20,2256.20,1422
2026-06-25T10:14:00+05:30,2256.40,2258.00,2256.40,2256.70,601
2026-06-25T10:15:00+05:30,2256.70,2257.30,2256.10,2257.30,223
2026-06-25T10:16:00+05:30,2256.20,2259.40,2256.00,2256.10,1629
2026-06-25T10:17:00+05:30,2256.30,2256.30,2254.00,2254.00,648
2026-06-25T10:18:00+05:30,2254.00,2255.00,2254.00,2254.90,854
2026-06-25T10:19:00+05:30,2253.90,2254.80,2253.00,2253.00,204
2026-06-25T10:20:00+05:30,2252.80,2253.10,2252.00,2252.50,179
2026-06-25T10:21:00+05:30,2251.60,2252.90,2251.50,2252.30,250
2026-06-25T10:22:00+05:30,2251.30,2254.10,2251.30,2254.10,77
2026-06-25T10:23:00+05:30,2253.70,2254.70,2252.10,2253.60,235
2026-06-25T10:24:00+05:30,2254.70,2254.70,2253.20,2253.20,91
2026-06-25T10:25:00+05:30,2253.20,2254.10,2251.60,2251.60,1108
2026-06-25T10:26:00+05:30,2253.00,2253.00,2251.80,2253.00,0
2026-06-25T10:27:00+05:30,2254.10,2255.00,2253.60,2254.30,161
2026-06-25T10:28:00+05:30,2253.50,2253.90,2253.20,2253.70,112
2026-06-25T10:29:00+05:30,2253.60,2254.90,2252.30,2252.50,110
2026-06-25T10:30:00+05:30,2252.40,2255.40,2252.40,2255.40,107
2026-06-25T10:31:00+05:30,2254.30,2256.00,2254.30,2256.00,1257
2026-06-25T10:32:00+05:30,2255.90,2257.90,2255.00,2255.00,792
2026-06-25T10:33:00+05:30,2252.70,2254.30,2252.70,2254.20,173
2026-06-25T10:34:00+05:30,2253.10,2254.00,2253.00,2253.00,93
2026-06-25T10:35:00+05:30,2253.30,2254.30,2252.30,2254.30,264
2026-06-25T10:36:00+05:30,2253.20,2253.60,2251.10,2251.10,174
2026-06-25T10:37:00+05:30,2251.00,2252.20,2250.80,2251.50,480
2026-06-25T10:38:00+05:30,2251.00,2252.50,2251.00,2252.00,187
2026-06-25T10:39:00+05:30,2250.70,2252.60,2250.70,2252.20,418
2026-06-25T10:40:00+05:30,2251.00,2252.20,2250.20,2250.20,205
2026-06-25T10:41:00+05:30,2250.20,2251.20,2250.20,2251.20,21
2026-06-25T10:42:00+05:30,2252.80,2252.80,2250.00,2250.00,949
2026-06-25T10:43:00+05:30,2250.60,2250.70,2250.00,2250.20,60
2026-06-25T10:44:00+05:30,2250.20,2251.90,2250.20,2251.80,645
2026-06-25T10:45:00+05:30,2251.60,2253.70,2251.60,2253.70,34
2026-06-25T10:46:00+05:30,2252.90,2253.50,2251.40,2251.60,123
2026-06-25T10:47:00+05:30,2252.20,2253.40,2252.00,2253.40,23
2026-06-25T10:48:00+05:30,2253.40,2253.40,2252.50,2252.70,14
2026-06-25T10:49:00+05:30,2252.70,2252.70,2250.00,2251.00,795
2026-06-25T10:50:00+05:30,2250.50,2251.80,2250.20,2251.80,269
2026-06-25T10:51:00+05:30,2251.00,2251.00,2251.00,2251.00,3
2026-06-25T10:52:00+05:30,2251.00,2251.50,2250.20,2250.20,940
2026-06-25T10:53:00+05:30,2250.10,2250.10,2248.20,2249.10,1511
2026-06-25T10:54:00+05:30,2249.20,2250.20,2249.20,2249.40,231
2026-06-25T10:55:00+05:30,2248.30,2252.10,2248.30,2252.10,73
2026-06-25T10:56:00+05:30,2251.00,2252.00,2250.40,2250.40,77
2026-06-25T10:57:00+05:30,2250.40,2251.60,2250.40,2251.50,132
2026-06-25T10:58:00+05:30,2250.60,2251.10,2249.80,2251.00,396
2026-06-25T10:59:00+05:30,2249.70,2253.70,2249.70,2253.70,98
2026-06-25T11:00:00+05:30,2253.00,2253.50,2250.10,2250.10,40
2026-06-25T11:01:00+05:30,2250.10,2254.90,2250.00,2254.90,771
2026-06-25T11:02:00+05:30,2255.40,2258.30,2255.40,2258.00,1939
2026-06-25T11:03:00+05:30,2258.00,2258.10,2256.20,2258.00,484
2026-06-25T11:04:00+05:30,2258.00,2259.10,2253.10,2253.10,1825
2026-06-25T11:05:00+05:30,2251.40,2253.50,2250.30,2253.40,1044
2026-06-25T11:06:00+05:30,2252.70,2253.40,2251.80,2253.00,274
2026-06-25T11:07:00+05:30,2252.00,2253.10,2252.00,2252.30,250
2026-06-25T11:08:00+05:30,2252.00,2253.10,2252.00,2253.00,1091
2026-06-25T11:09:00+05:30,2252.10,2253.70,2252.00,2253.70,87
2026-06-25T11:10:00+05:30,2252.20,2254.10,2252.20,2252.40,191
2026-06-25T11:11:00+05:30,2252.50,2253.00,2252.40,2253.00,249
2026-06-25T11:12:00+05:30,2252.20,2253.90,2252.20,2253.00,174
2026-06-25T11:13:00+05:30,2252.20,2253.60,2252.10,2252.10,131
2026-06-25T11:14:00+05:30,2253.50,2255.20,2252.50,2253.50,107
2026-06-25T11:15:00+05:30,2254.60,2254.60,2252.50,2252.50,72
2026-06-25T11:16:00+05:30,2252.50,2254.00,2252.10,2253.00,812
2026-06-25T11:17:00+05:30,2252.00,2253.00,2251.80,2253.00,734
2026-06-25T11:18:00+05:30,2252.10,2253.60,2252.00,2253.00,696
2026-06-25T11:19:00+05:30,2252.10,2253.40,2252.10,2253.40,1439
2026-06-25T11:20:00+05:30,2253.40,2254.00,2251.00,2251.00,1344
2026-06-25T11:21:00+05:30,2253.00,2253.40,2251.30,2252.00,1533
2026-06-25T11:22:00+05:30,2252.40,2253.60,2252.10,2252.50,657
2026-06-25T11:23:00+05:30,2252.20,2252.40,2252.20,2252.20,39
2026-06-25T11:24:00+05:30,2252.20,2253.00,2251.90,2251.90,1374
2026-06-25T11:25:00+05:30,2251.90,2253.00,2251.20,2253.00,6271
2026-06-25T11:26:00+05:30,2252.10,2253.10,2252.00,2253.10,183
2026-06-25T11:27:00+05:30,2253.00,2253.00,2251.50,2251.50,4240
2026-06-25T11:28:00+05:30,2251.70,2253.00,2251.00,2253.00,6034
2026-06-25T11:29:00+05:30,2252.00,2254.10,2252.00,2252.70,704
2026-06-25T11:30:00+05:30,2252.70,2253.40,2252.30,2252.30,130
2026-06-25T11:31:00+05:30,2253.00,2253.00,2252.30,2252.50,204
2026-06-25T11:32:00+05:30,2252.60,2255.00,2252.60,2254.40,789
2026-06-25T11:33:00+05:30,2253.60,2255.00,2253.60,2255.00,1192
2026-06-25T11:34:00+05:30,2254.40,2255.40,2254.40,2254.40,27
2026-06-25T11:35:00+05:30,2254.40,2255.50,2254.20,2255.50,367
2026-06-25T11:36:00+05:30,2254.60,2255.50,2254.00,2254.40,522
2026-06-25T11:37:00+05:30,2255.30,2255.30,2254.10,2254.80,1009
2026-06-25T11:38:00+05:30,2254.90,2255.50,2254.90,2255.50,161
2026-06-25T11:39:00+05:30,2255.00,2255.50,2255.00,2255.20,5083
2026-06-25T11:40:00+05:30,2255.20,2256.00,2254.50,2254.90,253
2026-06-25T11:41:00+05:30,2254.70,2255.70,2254.50,2254.80,123
2026-06-25T11:42:00+05:30,2254.10,2255.70,2254.10,2255.70,413
2026-06-25T11:43:00+05:30,2254.70,2255.70,2254.30,2255.50,129
2026-06-25T11:44:00+05:30,2254.60,2255.00,2254.50,2254.80,445
2026-06-25T11:45:00+05:30,2254.70,2255.90,2254.50,2255.90,572
2026-06-25T11:46:00+05:30,2255.20,2256.00,2255.20,2255.30,57
2026-06-25T11:47:00+05:30,2255.30,2256.00,2255.30,2255.30,9
2026-06-25T11:48:00+05:30,2255.30,2256.00,2254.60,2254.80,173
2026-06-25T11:49:00+05:30,2254.90,2255.00,2254.90,2255.00,132
2026-06-25T11:50:00+05:30,2255.00,2255.10,2255.00,2255.10,244
2026-06-25T11:51:00+05:30,2255.10,2255.70,2254.60,2255.60,86
2026-06-25T11:52:00+05:30,2254.50,2255.80,2254.50,2254.60,506
2026-06-25T11:53:00+05:30,2255.50,2255.60,2254.20,2254.80,1098
2026-06-25T11:54:00+05:30,2254.80,2255.50,2254.60,2255.00,743
