ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,131325.00,131325.00,130900.00,130950.00,0
2026-06-25T09:16:00+05:30,130800.00,130945.00,130800.00,130800.00,29
2026-06-25T09:17:00+05:30,130800.00,130850.00,130800.00,130825.00,19
2026-06-25T09:18:00+05:30,130855.00,131105.00,130855.00,131030.00,137
2026-06-25T09:19:00+05:30,131150.00,131450.00,131125.00,131290.00,96
2026-06-25T09:20:00+05:30,131545.00,131545.00,131295.00,131520.00,20
2026-06-25T09:21:00+05:30,131490.00,131715.00,131490.00,131550.00,52
2026-06-25T09:22:00+05:30,131555.00,131595.00,131475.00,131475.00,31
2026-06-25T09:23:00+05:30,131290.00,131290.00,131255.00,131285.00,17
2026-06-25T09:24:00+05:30,131375.00,131425.00,131300.00,131300.00,6
2026-06-25T09:25:00+05:30,131350.00,131350.00,131000.00,131010.00,68
2026-06-25T09:26:00+05:30,131105.00,131105.00,131030.00,131030.00,20
2026-06-25T09:27:00+05:30,131135.00,131135.00,131025.00,131090.00,9
2026-06-25T09:28:00+05:30,131010.00,131050.00,131010.00,131050.00,11
2026-06-25T09:29:00+05:30,130930.00,130935.00,130930.00,130935.00,6
2026-06-25T09:30:00+05:30,131040.00,131040.00,130950.00,130955.00,8
2026-06-25T09:31:00+05:30,131085.00,131085.00,130965.00,131045.00,9
2026-06-25T09:32:00+05:30,130930.00,130930.00,130930.00,130930.00,5
2026-06-25T09:33:00+05:30,130935.00,130935.00,130860.00,130890.00,20
2026-06-25T09:34:00+05:30,130930.00,131000.00,130890.00,130995.00,16
2026-06-25T09:35:00+05:30,130865.00,130865.00,130805.00,130830.00,6
2026-06-25T09:36:00+05:30,130895.00,130895.00,130805.00,130805.00,6
2026-06-25T09:37:00+05:30,130815.00,130815.00,130700.00,130775.00,30
2026-06-25T09:38:00+05:30,130865.00,130990.00,130805.00,130805.00,15
2026-06-25T09:39:00+05:30,130925.00,131000.00,130925.00,131000.00,12
2026-06-25T09:40:00+05:30,131000.00,131110.00,131000.00,131010.00,16
2026-06-25T09:41:00+05:30,130980.00,131025.00,130980.00,131025.00,6
2026-06-25T09:42:00+05:30,131000.00,131000.00,131000.00,131000.00,7
2026-06-25T09:43:00+05:30,130930.00,130930.00,130930.00,130930.00,2
2026-06-25T09:44:00+05:30,131045.00,131045.00,130925.00,131020.00,29
2026-06-25T09:45:00+05:30,131000.00,131090.00,131000.00,131090.00,4
2026-06-25T09:46:00+05:30,130975.00,131090.00,130975.00,131090.00,8
2026-06-25T09:47:00+05:30,131110.00,131135.00,130995.00,130995.00,3
2026-06-25T09:48:00+05:30,131070.00,131070.00,130990.00,130990.00,3
2026-06-25T09:49:00+05:30,131000.00,131000.00,131000.00,131000.00,4
2026-06-25T09:50:00+05:30,131005.00,131140.00,131005.00,131110.00,10
2026-06-25T09:51:00+05:30,131125.00,131140.00,131115.00,131140.00,5
2026-06-25T09:52:00+05:30,131140.00,131140.00,131105.00,131105.00,1
2026-06-25T09:53:00+05:30,131090.00,131090.00,131090.00,131090.00,3
2026-06-25T09:54:00+05:30,131090.00,131090.00,131090.00,131090.00,9
2026-06-25T09:55:00+05:30,131030.00,131065.00,130985.00,131065.00,11
2026-06-25T09:56:00+05:30,130900.00,130900.00,130885.00,130885.00,12
2026-06-25T09:57:00+05:30,130885.00,130890.00,130885.00,130890.00,0
2026-06-25T09:58:00+05:30,130850.00,130850.00,130850.00,130850.00,8
2026-06-25T09:59:00+05:30,130805.00,130900.00,130805.00,130900.00,7
2026-06-25T10:00:00+05:30,130930.00,130930.00,130930.00,130930.00,31
2026-06-25T10:01:00+05:30,130920.00,130920.00,130920.00,130920.00,0
2026-06-25T10:02:00+05:30,130800.00,130925.00,130800.00,130925.00,6
2026-06-25T10:03:00+05:30,130775.00,130930.00,130750.00,130875.00,31
2026-06-25T10:04:00+05:30,130880.00,130950.00,130700.00,130940.00,46
2026-06-25T10:05:00+05:30,130710.00,130725.00,130710.00,130725.00,14
2026-06-25T10:06:00+05:30,130875.00,130875.00,130700.00,130700.00,29
2026-06-25T10:07:00+05:30,130805.00,130805.00,130700.00,130700.00,4
2026-06-25T10:08:00+05:30,130790.00,130795.00,130715.00,130795.00,10
2026-06-25T10:09:00+05:30,130800.00,130800.00,130800.00,130800.00,5
2026-06-25T10:10:00+05:30,130850.00,130850.00,130850.00,130850.00,1
2026-06-25T10:11:00+05:30,130800.00,131065.00,130800.00,130980.00,27
2026-06-25T10:12:00+05:30,131055.00,131135.00,131055.00,131135.00,31
2026-06-25T10:13:00+05:30,131250.00,131255.00,131085.00,131200.00,50
2026-06-25T10:14:00+05:30,131220.00,131220.00,131130.00,131175.00,3
2026-06-25T10:15:00+05:30,131170.00,131170.00,131030.00,131035.00,3
2026-06-25T10:16:00+05:30,131165.00,131165.00,131165.00,131165.00,2
2026-06-25T10:17:00+05:30,131165.00,131165.00,131030.00,131065.00,5
2026-06-25T10:18:00+05:30,130905.00,130980.00,130905.00,130905.00,13
2026-06-25T10:19:00+05:30,130990.00,130990.00,130945.00,130990.00,4
2026-06-25T10:20:00+05:30,130985.00,130985.00,130985.00,130985.00,1
2026-06-25T10:21:00+05:30,130985.00,131030.00,130985.00,131030.00,16
2026-06-25T10:22:00+05:30,131030.00,131030.00,131030.00,131030.00,0
2026-06-25T10:23:00+05:30,131035.00,131035.00,131035.00,131035.00,9
2026-06-25T10:24:00+05:30,130940.00,130940.00,130940.00,130940.00,1
2026-06-25T10:25:00+05:30,130945.00,130945.00,130945.00,130945.00,1
2026-06-25T10:26:00+05:30,130955.00,131165.00,130910.00,131165.00,54
2026-06-25T10:27:00+05:30,130985.00,130985.00,130925.00,130925.00,3
2026-06-25T10:28:00+05:30,130935.00,130950.00,130935.00,130950.00,3
2026-06-25T10:29:00+05:30,130950.00,131025.00,130950.00,131025.00,7
2026-06-25T10:30:00+05:30,131050.00,131050.00,131050.00,131050.00,1
2026-06-25T10:31:00+05:30,131050.00,131165.00,131050.00,131165.00,8
2026-06-25T10:32:00+05:30,131095.00,131095.00,131095.00,131095.00,1
2026-06-25T10:33:00+05:30,130805.00,130875.00,130805.00,130875.00,53
2026-06-25T10:34:00+05:30,130875.00,130875.00,130875.00,130875.00,17
2026-06-25T10:35:00+05:30,130840.00,131090.00,130815.00,130815.00,42
2026-06-25T10:36:00+05:30,130930.00,130930.00,130930.00,130930.00,1
2026-06-25T10:37:00+05:30,130915.00,130915.00,130915.00,130915.00,3
2026-06-25T10:38:00+05:30,130815.00,130930.00,130710.00,130710.00,9
2026-06-25T10:39:00+05:30,130830.00,130835.00,130830.00,130835.00,4
2026-06-25T10:41:00+05:30,131015.00,131015.00,130835.00,130930.00,25
2026-06-25T10:42:00+05:30,130950.00,130950.00,130950.00,130950.00,1
2026-06-25T10:43:00+05:30,130835.00,130835.00,130835.00,130835.00,1
2026-06-25T10:44:00+05:30,130940.00,130940.00,130940.00,130940.00,2
2026-06-25T10:47:00+05:30,130970.00,130970.00,130830.00,130830.00,7
2026-06-25T10:48:00+05:30,130935.00,130935.00,130935.00,130935.00,3
2026-06-25T10:50:00+05:30,130930.00,130930.00,130770.00,130770.00,13
2026-06-25T10:51:00+05:30,130815.00,130880.00,130815.00,130880.00,1
2026-06-25T10:53:00+05:30,130770.00,130770.00,130770.00,130770.00,6
2026-06-25T10:54:00+05:30,130865.00,130865.00,130865.00,130865.00,10
2026-06-25T10:56:00+05:30,130970.00,130970.00,130950.00,130950.00,7
2026-06-25T10:58:00+05:30,130950.00,131020.00,130950.00,131020.00,50
2026-06-25T10:59:00+05:30,131095.00,131140.00,131095.00,131120.00,11
2026-06-25T11:00:00+05:30,131120.00,131140.00,131025.00,131025.00,15
2026-06-25T11:02:00+05:30,130910.00,131050.00,130910.00,131050.00,64
2026-06-25T11:03:00+05:30,131000.00,131130.00,130865.00,131130.00,14
2026-06-25T11:04:00+05:30,131190.00,131190.00,131190.00,131190.00,2
2026-06-25T11:05:00+05:30,131190.00,131200.00,131035.00,131035.00,7
2026-06-25T11:08:00+05:30,131045.00,131045.00,131045.00,131045.00,3
2026-06-25T11:09:00+05:30,131045.00,131045.00,130870.00,130870.00,20
2026-06-25T11:10:00+05:30,130880.00,130880.00,130880.00,130880.00,1
2026-06-25T11:11:00+05:30,130855.00,130855.00,130825.00,130825.00,2
2026-06-25T11:13:00+05:30,130880.00,130880.00,130880.00,130880.00,4
2026-06-25T11:14:00+05:30,130880.00,130880.00,130880.00,130880.00,2
2026-06-25T11:15:00+05:30,130830.00,130830.00,130830.00,130830.00,2
2026-06-25T11:16:00+05:30,130800.00,130800.00,130800.00,130800.00,8
2026-06-25T11:17:00+05:30,130780.00,130790.00,130770.00,130790.00,4
2026-06-25T11:18:00+05:30,130765.00,130765.00,130745.00,130745.00,5
2026-06-25T11:19:00+05:30,130840.00,130840.00,130840.00,130840.00,6
2026-06-25T11:22:00+05:30,130840.00,130915.00,130840.00,130915.00,5
2026-06-25T11:23:00+05:30,130800.00,130800.00,130790.00,130790.00,3
2026-06-25T11:24:00+05:30,130910.00,130910.00,130910.00,130910.00,1
2026-06-25T11:25:00+05:30,130790.00,130790.00,130790.00,130790.00,1
2026-06-25T11:26:00+05:30,130785.00,130785.00,130785.00,130785.00,1
2026-06-25T11:28:00+05:30,130795.00,130795.00,130775.00,130775.00,5
2026-06-25T11:29:00+05:30,130735.00,130760.00,130735.00,130760.00,13
2026-06-25T11:30:00+05:30,130725.00,130765.00,130725.00,130765.00,1
2026-06-25T11:31:00+05:30,130710.00,130805.00,130710.00,130710.00,4
2026-06-25T11:32:00+05:30,130710.00,130710.00,130700.00,130700.00,3
2026-06-25T11:34:00+05:30,130700.00,130700.00,130700.00,130700.00,4
2026-06-25T11:35:00+05:30,130700.00,130725.00,130700.00,130725.00,8
2026-06-25T11:36:00+05:30,131170.00,131550.00,131045.00,131395.00,335
2026-06-25T11:37:00+05:30,131495.00,131620.00,131415.00,131415.00,88
2026-06-25T11:38:00+05:30,131400.00,131575.00,131400.00,131575.00,41
2026-06-25T11:39:00+05:30,131580.00,131585.00,131535.00,131535.00,14
2026-06-25T11:40:00+05:30,131565.00,131585.00,131500.00,131500.00,19
2026-06-25T11:41:00+05:30,131495.00,131500.00,131435.00,131500.00,1
2026-06-25T11:42:00+05:30,131365.00,131400.00,131365.00,131400.00,7
2026-06-25T11:43:00+05:30,131400.00,131400.00,131400.00,131400.00,20
2026-06-25T11:44:00+05:30,131370.00,131445.00,131310.00,131355.00,7
2026-06-25T11:45:00+05:30,131350.00,131350.00,131250.00,131250.00,2
2026-06-25T11:46:00+05:30,131250.00,131250.00,131250.00,131250.00,2
2026-06-25T11:47:00+05:30,131250.00,131250.00,131250.00,131250.00,7
2026-06-25T11:48:00+05:30,131300.00,131300.00,131300.00,131300.00,0
2026-06-25T11:49:00+05:30,131245.00,131245.00,131240.00,131240.00,2
2026-06-25T11:50:00+05:30,131240.00,131340.00,131240.00,131240.00,9
2026-06-25T11:51:00+05:30,131240.00,131315.00,131240.00,131285.00,7
2026-06-25T11:52:00+05:30,131285.00,131285.00,131285.00,131285.00,0
2026-06-25T11:53:00+05:30,131315.00,131435.00,131280.00,131280.00,23
2026-06-25T11:54:00+05:30,131280.00,131280.00,131280.00,131280.00,2
2026-06-25T11:56:00+05:30,131255.00,131295.00,131255.00,131295.00,19
2026-06-25T11:57:00+05:30,131295.00,131295.00,131295.00,131295.00,2
2026-06-25T11:59:00+05:30,131295.00,131295.00,131255.00,131255.00,12
2026-06-25T12:00:00+05:30,131250.00,131285.00,131180.00,131285.00,11
2026-06-25T12:02:00+05:30,131295.00,131295.00,131295.00,131295.00,1
2026-06-25T12:03:00+05:30,131280.00,131280.00,131275.00,131275.00,2
2026-06-25T12:04:00+05:30,131205.00,131215.00,131205.00,131215.00,2
2026-06-25T12:05:00+05:30,131215.00,131215.00,131215.00,131215.00,2
2026-06-25T12:06:00+05:30,131275.00,131275.00,131275.00,131275.00,0
2026-06-25T12:08:00+05:30,131275.00,131275.00,131180.00,131225.00,13
2026-06-25T12:09:00+05:30,131220.00,131220.00,131220.00,131220.00,3
2026-06-25T12:10:00+05:30,131125.00,131125.00,131125.00,131125.00,1
2026-06-25T12:12:00+05:30,131115.00,131120.00,131115.00,131120.00,2
2026-06-25T12:13:00+05:30,131120.00,131120.00,131110.00,131110.00,5
2026-06-25T12:15:00+05:30,131145.00,131145.00,131110.00,131110.00,6
2026-06-25T12:16:00+05:30,131110.00,131220.00,131110.00,131220.00,5
2026-06-25T12:17:00+05:30,131280.00,131280.00,131140.00,131140.00,2
2026-06-25T12:18:00+05:30,131235.00,131235.00,131235.00,131235.00,1
2026-06-25T12:19:00+05:30,131210.00,131210.00,131210.00,131210.00,1
2026-06-25T12:20:00+05:30,131160.00,131160.00,131160.00,131160.00,3
2026-06-25T12:21:00+05:30,131215.00,131215.00,131215.00,131215.00,3
2026-06-25T12:23:00+05:30,131215.00,131215.00,131215.00,131215.00,3
2026-06-25T12:24:00+05:30,131170.00,131170.00,131170.00,131170.00,2
2026-06-25T12:25:00+05:30,131130.00,131130.00,131110.00,131110.00,4
2026-06-25T12:26:00+05:30,131110.00,131120.00,131110.00,131120.00,4
2026-06-25T12:27:00+05:30,131120.00,131120.00,131120.00,131120.00,1
2026-06-25T12:28:00+05:30,131125.00,131125.00,131100.00,131100.00,25
2026-06-25T12:29:00+05:30,131185.00,131185.00,131060.00,131060.00,2
2026-06-25T12:30:00+05:30,131060.00,131195.00,131055.00,131195.00,7
2026-06-25T12:31:00+05:30,131060.00,131185.00,130860.00,130860.00,37
2026-06-25T12:32:00+05:30,130810.00,130885.00,130810.00,130820.00,4
2026-06-25T12:33:00+05:30,130890.00,130890.00,130825.00,130825.00,6
2026-06-25T12:34:00+05:30,130895.00,130900.00,130825.00,130900.00,3
2026-06-25T12:35:00+05:30,130830.00,130830.00,130830.00,130830.00,3
2026-06-25T12:36:00+05:30,130830.00,130840.00,130830.00,130840.00,3
2026-06-25T12:37:00+05:30,130840.00,130900.00,130835.00,130835.00,4
2026-06-25T12:38:00+05:30,130835.00,130835.00,130835.00,130835.00,2
2026-06-25T12:39:00+05:30,130810.00,130810.00,130720.00,130720.00,59
2026-06-25T12:40:00+05:30,130755.00,130835.00,130755.00,130755.00,6
2026-06-25T12:41:00+05:30,130805.00,130810.00,130805.00,130810.00,42
2026-06-25T12:42:00+05:30,130810.00,130810.00,130810.00,130810.00,3
2026-06-25T12:43:00+05:30,130800.00,130835.00,130755.00,130835.00,4
2026-06-25T12:44:00+05:30,130750.00,130780.00,130665.00,130675.00,29
2026-06-25T12:45:00+05:30,130675.00,130830.00,130675.00,130685.00,3
2026-06-25T12:46:00+05:30,130700.00,130835.00,130700.00,130740.00,13
2026-06-25T12:47:00+05:30,130740.00,130740.00,130740.00,130740.00,2
2026-06-25T12:48:00+05:30,130740.00,130740.00,130740.00,130740.00,3
2026-06-25T12:49:00+05:30,130865.00,130865.00,130710.00,130710.00,21
2026-06-25T12:50:00+05:30,130710.00,130855.00,130710.00,130750.00,7
2026-06-25T12:51:00+05:30,130750.00,130865.00,130750.00,130865.00,3
2026-06-25T12:52:00+05:30,130755.00,130755.00,130750.00,130750.00,1
2026-06-25T12:53:00+05:30,130750.00,130870.00,130750.00,130870.00,7
2026-06-25T12:54:00+05:30,130870.00,130870.00,130755.00,130760.00,5
2026-06-25T12:55:00+05:30,130760.00,130760.00,130760.00,130760.00,1
2026-06-25T12:56:00+05:30,130755.00,130855.00,130735.00,130735.00,3
2026-06-25T12:57:00+05:30,130735.00,130735.00,130735.00,130735.00,3
2026-06-25T12:58:00+05:30,130820.00,130820.00,130730.00,130730.00,3
2026-06-25T12:59:00+05:30,130730.00,130750.00,130720.00,130720.00,3
2026-06-25T13:00:00+05:30,130720.00,130720.00,130720.00,130720.00,2
2026-06-25T13:01:00+05:30,130705.00,130775.00,130700.00,130775.00,5
2026-06-25T13:02:00+05:30,130700.00,130700.00,130700.00,130700.00,1
2026-06-25T13:03:00+05:30,130750.00,130750.00,130700.00,130700.00,3
2026-06-25T13:04:00+05:30,130820.00,130820.00,130705.00,130705.00,2
2026-06-25T13:05:00+05:30,130800.00,130800.00,130705.00,130795.00,5
2026-06-25T13:06:00+05:30,130710.00,130710.00,130700.00,130700.00,7
2026-06-25T13:07:00+05:30,130700.00,130700.00,130645.00,130645.00,44
2026-06-25T13:08:00+05:30,130620.00,130620.00,130610.00,130610.00,12
2026-06-25T13:09:00+05:30,130620.00,130620.00,130500.00,130505.00,17
2026-06-25T13:10:00+05:30,130505.00,130505.00,130500.00,130500.00,8
2026-06-25T13:11:00+05:30,130500.00,130500.00,130485.00,130485.00,12
2026-06-25T13:12:00+05:30,130480.00,130480.00,130400.00,130400.00,4
2026-06-25T13:13:00+05:30,130400.00,130400.00,130350.00,130350.00,5
2026-06-25T13:14:00+05:30,130350.00,130350.00,130300.00,130300.00,11
2026-06-25T13:15:00+05:30,130300.00,130465.00,130300.00,130345.00,9
2026-06-25T13:16:00+05:30,130205.00,130345.00,130205.00,130290.00,46
2026-06-25T13:17:00+05:30,130410.00,130410.00,130315.00,130315.00,4
2026-06-25T13:18:00+05:30,130310.00,130405.00,130275.00,130405.00,9
2026-06-25T13:19:00+05:30,130405.00,130405.00,130330.00,130330.00,4
2026-06-25T13:20:00+05:30,130330.00,130440.00,130330.00,130340.00,5
2026-06-25T13:21:00+05:30,130340.00,130455.00,130340.00,130390.00,4
2026-06-25T13:22:00+05:30,130540.00,130540.00,130450.00,130450.00,3
2026-06-25T13:23:00+05:30,130415.00,130520.00,130415.00,130440.00,4
2026-06-25T13:24:00+05:30,130520.00,130525.00,130460.00,130460.00,4
2026-06-25T13:25:00+05:30,130460.00,130460.00,130460.00,130460.00,1
2026-06-25T13:26:00+05:30,130435.00,130575.00,130425.00,130430.00,7
2026-06-25T13:27:00+05:30,130435.00,130570.00,130435.00,130435.00,7
2026-06-25T13:28:00+05:30,130430.00,130510.00,130360.00,130360.00,5
2026-06-25T13:29:00+05:30,130365.00,130370.00,130365.00,130370.00,2
2026-06-25T13:30:00+05:30,130445.00,130445.00,130345.00,130345.00,2
2026-06-25T13:31:00+05:30,130335.00,130485.00,130335.00,130485.00,9
2026-06-25T13:32:00+05:30,130355.00,130355.00,130355.00,130355.00,2
2026-06-25T13:33:00+05:30,130355.00,130355.00,130355.00,130355.00,2
2026-06-25T13:34:00+05:30,130355.00,130480.00,130355.00,130480.00,2
2026-06-25T13:35:00+05:30,130410.00,130490.00,130400.00,130400.00,3
2026-06-25T13:36:00+05:30,130400.00,130400.00,130400.00,130400.00,2
2026-06-25T13:37:00+05:30,130400.00,130545.00,130400.00,130405.00,16
2026-06-25T13:38:00+05:30,130545.00,130545.00,130400.00,130425.00,8
2026-06-25T13:39:00+05:30,130405.00,130405.00,130405.00,130405.00,1
2026-06-25T13:40:00+05:30,130425.00,130425.00,130410.00,130410.00,2
2026-06-25T13:41:00+05:30,130410.00,130540.00,130410.00,130530.00,4
2026-06-25T13:42:00+05:30,130440.00,130440.00,130405.00,130405.00,3
2026-06-25T13:43:00+05:30,130405.00,130405.00,130375.00,130375.00,4
2026-06-25T13:44:00+05:30,130370.00,130370.00,130370.00,130370.00,2
2026-06-25T13:45:00+05:30,130370.00,130445.00,130370.00,130445.00,3
2026-06-25T13:46:00+05:30,130370.00,130370.00,130370.00,130370.00,4
2026-06-25T13:47:00+05:30,130400.00,130400.00,130370.00,130370.00,2
2026-06-25T13:48:00+05:30,130370.00,130370.00,130370.00,130370.00,1
2026-06-25T13:49:00+05:30,130370.00,130450.00,130370.00,130420.00,6
