ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,3100.00,3100.00,3075.90,3078.00,0
2026-06-25T09:16:00+05:30,3082.60,3098.50,3073.40,3085.00,34175
2026-06-25T09:17:00+05:30,3087.00,3087.00,3073.50,3082.50,15081
2026-06-25T09:18:00+05:30,3082.00,3092.30,3078.80,3090.60,36388
2026-06-25T09:19:00+05:30,3092.00,3092.00,3085.00,3088.00,58559
2026-06-25T09:20:00+05:30,3088.00,3089.10,3072.50,3076.00,27702
2026-06-25T09:21:00+05:30,3075.50,3077.70,3071.50,3076.50,9403
2026-06-25T09:22:00+05:30,3075.20,3088.90,3075.20,3086.90,11290
2026-06-25T09:23:00+05:30,3086.90,3086.90,3080.00,3086.00,6804
2026-06-25T09:24:00+05:30,3086.10,3087.60,3080.10,3080.10,5222
2026-06-25T09:25:00+05:30,3080.40,3085.00,3080.00,3084.00,10919
2026-06-25T09:26:00+05:30,3083.80,3089.00,3083.40,3086.90,4042
2026-06-25T09:27:00+05:30,3086.30,3092.30,3086.30,3089.50,13584
2026-06-25T09:28:00+05:30,3089.30,3090.30,3085.50,3087.90,6176
2026-06-25T09:29:00+05:30,3087.90,3089.00,3085.40,3088.40,3905
2026-06-25T09:30:00+05:30,3088.20,3088.20,3083.70,3083.80,3786
2026-06-25T09:31:00+05:30,3083.70,3088.00,3082.00,3084.40,2949
2026-06-25T09:32:00+05:30,3092.50,3106.80,3091.40,3105.20,13816
2026-06-25T09:33:00+05:30,3105.20,3106.70,3100.00,3104.30,11582
2026-06-25T09:34:00+05:30,3103.60,3105.60,3102.00,3102.00,8394
2026-06-25T09:35:00+05:30,3103.10,3104.00,3101.20,3103.40,3792
2026-06-25T09:36:00+05:30,3102.40,3103.20,3100.60,3101.70,2137
2026-06-25T09:37:00+05:30,3103.60,3106.50,3103.60,3106.00,2507
2026-06-25T09:38:00+05:30,3106.10,3108.10,3102.00,3102.20,3597
2026-06-25T09:39:00+05:30,3110.00,3113.30,3108.40,3110.00,16568
2026-06-25T09:40:00+05:30,3110.40,3110.40,3110.00,3110.00,21686
2026-06-25T09:41:00+05:30,3110.00,3110.10,3102.20,3103.90,17358
2026-06-25T09:42:00+05:30,3103.50,3107.90,3100.00,3103.70,7229
2026-06-25T09:43:00+05:30,3104.60,3105.90,3104.10,3105.00,1132
