ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,341.95,341.95,339.25,339.45,0
2026-06-25T09:16:00+05:30,339.30,339.30,336.85,338.50,254828
2026-06-25T09:17:00+05:30,338.50,338.50,337.00,337.80,509987
2026-06-25T09:18:00+05:30,337.80,339.65,337.70,338.60,322252
2026-06-25T09:19:00+05:30,338.45,338.85,337.00,337.80,118054
2026-06-25T09:20:00+05:30,337.75,337.80,337.00,337.35,116896
2026-06-25T09:21:00+05:30,337.35,337.50,336.25,336.45,109173
2026-06-25T09:22:00+05:30,336.45,337.70,336.45,337.45,203539
2026-06-25T09:23:00+05:30,337.40,337.70,337.05,337.30,79673
2026-06-25T09:24:00+05:30,337.15,337.80,335.70,337.60,300979
2026-06-25T09:25:00+05:30,337.50,338.30,337.50,338.30,90580
2026-06-25T09:26:00+05:30,338.40,338.65,338.05,338.40,106218
2026-06-25T09:27:00+05:30,338.45,338.50,338.10,338.20,62692
2026-06-25T09:28:00+05:30,338.20,338.45,338.20,338.40,54569
2026-06-25T09:29:00+05:30,338.35,338.40,337.85,337.85,64660
2026-06-25T09:30:00+05:30,337.70,338.60,337.70,337.85,71093
2026-06-25T09:31:00+05:30,337.85,337.85,336.70,336.70,60107
2026-06-25T09:32:00+05:30,336.85,337.55,336.80,337.55,63971
2026-06-25T09:33:00+05:30,337.75,338.40,337.75,338.35,54102
2026-06-25T09:34:00+05:30,338.65,338.75,338.50,338.60,51810
2026-06-25T09:35:00+05:30,338.75,339.35,338.75,339.25,150875
2026-06-25T09:36:00+05:30,339.60,340.45,339.60,340.10,151718
2026-06-25T09:37:00+05:30,340.25,340.40,340.00,340.10,86929
2026-06-25T09:38:00+05:30,340.10,340.15,339.50,339.60,51068
2026-06-25T09:39:00+05:30,339.55,339.80,339.25,339.55,54070
2026-06-25T09:40:00+05:30,339.65,339.65,339.05,339.45,38631
2026-06-25T09:41:00+05:30,339.45,339.45,338.80,338.80,45256
2026-06-25T09:42:00+05:30,338.70,338.70,338.60,338.70,34124
2026-06-25T09:43:00+05:30,338.70,338.70,338.45,338.45,33118
2026-06-25T09:44:00+05:30,338.45,338.45,338.05,338.05,33923
2026-06-25T09:45:00+05:30,337.90,338.00,337.60,338.00,33592
2026-06-25T09:46:00+05:30,338.00,338.15,337.65,338.15,29395
2026-06-25T09:47:00+05:30,338.10,338.10,337.70,337.80,19293
2026-06-25T09:48:00+05:30,337.70,337.85,337.65,337.85,24106
2026-06-25T09:49:00+05:30,337.75,337.90,337.70,337.90,28953
2026-06-25T09:50:00+05:30,337.75,337.85,337.05,337.05,81880
2026-06-25T09:51:00+05:30,337.00,337.15,336.65,336.75,64001
2026-06-25T09:52:00+05:30,336.95,337.15,336.60,336.60,48938
2026-06-25T09:53:00+05:30,336.60,336.60,336.35,336.45,30621
2026-06-25T09:54:00+05:30,336.60,336.65,336.15,336.65,61965
2026-06-25T09:55:00+05:30,336.50,336.60,336.20,336.60,38058
2026-06-25T09:56:00+05:30,336.55,336.60,336.35,336.50,31680
2026-06-25T09:57:00+05:30,336.60,336.60,336.30,336.30,42826
2026-06-25T09:58:00+05:30,336.30,336.30,336.15,336.15,30773
2026-06-25T09:59:00+05:30,336.15,336.25,336.10,336.10,22493
2026-06-25T10:00:00+05:30,336.15,336.55,336.15,336.55,72233
2026-06-25T10:01:00+05:30,336.70,337.15,336.55,336.95,71137
2026-06-25T10:02:00+05:30,336.90,337.15,336.70,337.00,27775
2026-06-25T10:03:00+05:30,337.00,337.20,336.70,336.70,34375
2026-06-25T10:04:00+05:30,336.85,336.85,336.65,336.75,40288
2026-06-25T10:05:00+05:30,336.70,336.75,336.60,336.65,21664
2026-06-25T10:06:00+05:30,336.60,336.95,336.60,336.90,25458
2026-06-25T10:07:00+05:30,336.95,336.95,336.50,336.50,49790
2026-06-25T10:08:00+05:30,336.55,336.85,336.50,336.85,29853
2026-06-25T10:09:00+05:30,336.85,337.30,336.75,337.30,32103
2026-06-25T10:10:00+05:30,337.50,337.55,337.45,337.45,33909
2026-06-25T10:11:00+05:30,337.55,337.55,337.05,337.20,29485
2026-06-25T10:12:00+05:30,337.20,337.55,337.15,337.55,18564
2026-06-25T10:13:00+05:30,337.50,337.75,337.35,337.75,39192
2026-06-25T10:14:00+05:30,337.70,337.90,337.60,337.80,26564
2026-06-25T10:15:00+05:30,337.80,337.90,337.70,337.90,21945
2026-06-25T10:16:00+05:30,338.00,338.20,338.00,338.05,46689
2026-06-25T10:17:00+05:30,338.05,338.20,337.90,337.90,30984
2026-06-25T10:18:00+05:30,337.95,338.15,337.95,338.15,24346
2026-06-25T10:19:00+05:30,338.15,338.80,337.95,338.35,61553
2026-06-25T10:20:00+05:30,338.20,338.50,338.20,338.35,16235
2026-06-25T10:21:00+05:30,338.30,338.40,337.60,337.60,70847
2026-06-25T10:22:00+05:30,337.20,337.55,337.20,337.55,48332
2026-06-25T10:23:00+05:30,337.60,337.60,336.70,336.70,42851
2026-06-25T10:24:00+05:30,336.75,336.90,336.65,336.75,22662
2026-06-25T10:25:00+05:30,336.70,336.70,336.15,336.15,55291
2026-06-25T10:26:00+05:30,335.85,335.85,335.10,335.40,184690
2026-06-25T10:27:00+05:30,335.35,335.55,335.25,335.40,41855
2026-06-25T10:28:00+05:30,335.35,335.45,335.15,335.35,33022
2026-06-25T10:29:00+05:30,335.20,335.40,335.20,335.35,35306
2026-06-25T10:30:00+05:30,335.55,335.65,335.35,335.50,37377
2026-06-25T10:31:00+05:30,335.50,335.55,335.40,335.55,28240
2026-06-25T10:32:00+05:30,335.65,335.65,335.35,335.65,25579
2026-06-25T10:33:00+05:30,335.65,335.70,335.45,335.45,44724
2026-06-25T10:34:00+05:30,335.50,336.10,335.50,335.90,52454
