ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1014.80,1018.50,1014.80,1017.05,0
2026-06-25T09:16:00+05:30,1015.40,1016.65,1015.00,1015.85,6427
2026-06-25T09:17:00+05:30,1015.15,1015.15,1011.65,1012.50,8106
2026-06-25T09:18:00+05:30,1012.95,1012.95,1011.00,1011.50,3357
2026-06-25T09:19:00+05:30,1011.50,1011.50,1008.80,1008.80,7055
2026-06-25T09:20:00+05:30,1010.40,1011.00,1009.15,1010.40,4662
2026-06-25T09:21:00+05:30,1010.75,1011.30,1008.80,1010.60,4622
2026-06-25T09:22:00+05:30,1010.70,1011.35,1010.25,1011.35,2498
2026-06-25T09:23:00+05:30,1010.85,1011.15,1009.95,1010.05,5793
2026-06-25T09:24:00+05:30,1010.30,1014.50,1009.55,1013.10,8368
2026-06-25T09:25:00+05:30,1013.25,1013.25,1010.00,1011.35,4093
2026-06-25T09:26:00+05:30,1011.35,1012.50,1010.90,1012.50,858
2026-06-25T09:27:00+05:30,1012.00,1012.00,1011.50,1011.75,1758
2026-06-25T09:28:00+05:30,1011.45,1012.85,1011.45,1012.25,5678
2026-06-25T09:29:00+05:30,1012.75,1013.10,1012.20,1012.25,1335
2026-06-25T09:30:00+05:30,1012.00,1012.70,1009.55,1009.55,12536
2026-06-25T09:31:00+05:30,1008.70,1008.70,1006.55,1006.70,4375
2026-06-25T09:32:00+05:30,1006.60,1007.70,1006.40,1006.75,6421
2026-06-25T09:33:00+05:30,1007.00,1007.00,1006.00,1006.65,5852
2026-06-25T09:34:00+05:30,1006.15,1006.60,1006.00,1006.05,1494
2026-06-25T09:35:00+05:30,1006.50,1006.55,1005.20,1006.05,2868
2026-06-25T09:36:00+05:30,1005.75,1005.75,1005.55,1005.75,2458
2026-06-25T09:37:00+05:30,1005.80,1006.75,1005.45,1006.70,3759
2026-06-25T09:38:00+05:30,1006.65,1006.65,1006.15,1006.40,1700
2026-06-25T09:39:00+05:30,1006.15,1006.70,1006.15,1006.70,3529
2026-06-25T09:40:00+05:30,1006.70,1006.95,1006.40,1006.55,600
2026-06-25T09:41:00+05:30,1007.40,1007.95,1007.00,1007.25,2977
2026-06-25T09:42:00+05:30,1007.65,1007.90,1007.40,1007.65,679
2026-06-25T09:43:00+05:30,1007.65,1008.00,1007.40,1008.00,1845
2026-06-25T09:44:00+05:30,1008.00,1008.00,1007.25,1007.25,8043
2026-06-25T09:45:00+05:30,1007.95,1008.00,1007.35,1007.95,1567
2026-06-25T09:46:00+05:30,1007.95,1008.05,1007.85,1008.00,1087
