ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,79.50,79.75,79.40,79.75,0
2026-06-25T09:16:00+05:30,79.85,79.85,79.70,79.70,56082
2026-06-25T09:17:00+05:30,79.65,79.80,79.65,79.80,54429
2026-06-25T09:18:00+05:30,79.80,79.80,79.65,79.70,83795
2026-06-25T09:19:00+05:30,79.70,79.85,79.70,79.85,48912
2026-06-25T09:20:00+05:30,79.95,79.95,79.85,79.85,140885
2026-06-25T09:21:00+05:30,79.80,79.85,79.80,79.85,32718
2026-06-25T09:22:00+05:30,79.80,79.80,79.75,79.75,18675
2026-06-25T09:23:00+05:30,79.80,79.80,79.70,79.70,29204
2026-06-25T09:24:00+05:30,79.70,79.70,79.55,79.55,31727
2026-06-25T09:25:00+05:30,79.60,79.60,79.50,79.50,66617
2026-06-25T09:26:00+05:30,79.45,79.50,79.45,79.45,38274
2026-06-25T09:27:00+05:30,79.45,79.45,79.40,79.40,29227
2026-06-25T09:28:00+05:30,79.40,79.45,79.40,79.45,28728
2026-06-25T09:29:00+05:30,79.45,79.50,79.40,79.45,29054
2026-06-25T09:30:00+05:30,79.50,79.50,79.40,79.40,60502
2026-06-25T09:31:00+05:30,79.40,79.45,79.35,79.35,12809
2026-06-25T09:32:00+05:30,79.40,79.40,79.30,79.40,28284
2026-06-25T09:33:00+05:30,79.35,79.35,79.30,79.30,24054
2026-06-25T09:34:00+05:30,79.30,79.45,79.30,79.40,18395
2026-06-25T09:35:00+05:30,79.45,79.45,79.35,79.35,45700
2026-06-25T09:36:00+05:30,79.35,79.40,79.30,79.35,12550
2026-06-25T09:37:00+05:30,79.35,79.35,79.30,79.30,17916
2026-06-25T09:38:00+05:30,79.30,79.35,79.25,79.25,39629
2026-06-25T09:39:00+05:30,79.25,79.25,79.20,79.20,11048
2026-06-25T09:40:00+05:30,79.20,79.20,79.20,79.20,42098
2026-06-25T09:41:00+05:30,79.20,79.20,79.00,79.00,107142
2026-06-25T09:42:00+05:30,78.95,78.95,78.85,78.90,119067
2026-06-25T09:43:00+05:30,78.80,79.00,78.80,79.00,36268
2026-06-25T09:44:00+05:30,79.00,79.00,78.95,79.00,20445
2026-06-25T09:45:00+05:30,79.00,79.05,78.95,78.95,39347
2026-06-25T09:46:00+05:30,78.95,78.95,78.85,78.90,37773
2026-06-25T09:47:00+05:30,78.90,78.90,78.80,78.85,82665
2026-06-25T09:48:00+05:30,78.80,78.85,78.80,78.80,178913
2026-06-25T09:49:00+05:30,78.75,78.75,78.70,78.75,43403
2026-06-25T09:50:00+05:30,78.75,78.80,78.70,78.75,48471
2026-06-25T09:51:00+05:30,78.85,78.85,78.75,78.80,75576
2026-06-25T09:52:00+05:30,78.80,78.85,78.80,78.85,26499
2026-06-25T09:53:00+05:30,78.85,78.85,78.80,78.85,13559
2026-06-25T09:54:00+05:30,78.85,78.85,78.80,78.80,5248
