ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,86.25,86.25,85.85,85.95,0
2026-06-25T09:16:00+05:30,85.75,85.75,85.50,85.50,132572
2026-06-25T09:17:00+05:30,85.40,85.45,85.40,85.45,76295
2026-06-25T09:18:00+05:30,85.50,85.50,85.35,85.50,93535
2026-06-25T09:19:00+05:30,85.50,85.55,85.25,85.25,122305
2026-06-25T09:20:00+05:30,85.30,85.40,85.15,85.35,77759
2026-06-25T09:21:00+05:30,85.30,85.35,85.25,85.30,130119
2026-06-25T09:22:00+05:30,85.30,85.35,85.25,85.25,28431
2026-06-25T09:23:00+05:30,85.30,85.30,85.20,85.20,140825
2026-06-25T09:24:00+05:30,85.15,85.20,85.10,85.20,67957
2026-06-25T09:25:00+05:30,85.20,85.20,85.15,85.20,18690
2026-06-25T09:26:00+05:30,85.15,85.20,85.05,85.05,210089
2026-06-25T09:27:00+05:30,85.00,85.05,85.00,85.05,43893
2026-06-25T09:28:00+05:30,85.05,85.15,85.05,85.10,69166
2026-06-25T09:29:00+05:30,85.15,85.15,85.10,85.10,35560
2026-06-25T09:30:00+05:30,85.15,85.20,85.15,85.15,87375
2026-06-25T09:31:00+05:30,85.15,85.15,85.00,85.00,59723
2026-06-25T09:32:00+05:30,85.00,85.05,84.90,85.05,144217
2026-06-25T09:33:00+05:30,85.10,85.10,84.95,84.95,73825
2026-06-25T09:34:00+05:30,85.00,85.00,84.95,84.95,8985
2026-06-25T09:35:00+05:30,84.95,85.05,84.95,85.00,48850
2026-06-25T09:36:00+05:30,85.00,85.25,85.00,85.20,62994
2026-06-25T09:37:00+05:30,85.25,85.25,85.25,85.25,241805
2026-06-25T09:38:00+05:30,85.30,85.35,85.30,85.35,67673
2026-06-25T09:39:00+05:30,85.35,85.60,85.35,85.50,202242
2026-06-25T09:40:00+05:30,85.50,85.50,85.35,85.40,77476
2026-06-25T09:41:00+05:30,85.40,85.40,85.30,85.30,59612
2026-06-25T09:42:00+05:30,85.25,85.30,85.25,85.30,26997
2026-06-25T09:43:00+05:30,85.25,85.30,85.25,85.25,36631
2026-06-25T09:44:00+05:30,85.25,85.25,85.20,85.25,36194
2026-06-25T09:45:00+05:30,85.25,85.30,85.25,85.30,40239
2026-06-25T09:46:00+05:30,85.25,85.30,85.25,85.25,31081
2026-06-25T09:47:00+05:30,85.30,85.30,85.20,85.25,55939
2026-06-25T09:48:00+05:30,85.25,85.25,85.20,85.25,22097
2026-06-25T09:49:00+05:30,85.25,85.35,85.25,85.35,17681
2026-06-25T09:50:00+05:30,85.35,85.35,85.25,85.30,11175
2026-06-25T09:51:00+05:30,85.30,85.30,85.25,85.25,26380
2026-06-25T09:52:00+05:30,85.25,85.25,85.20,85.20,25201
2026-06-25T09:53:00+05:30,85.25,85.25,85.20,85.20,21653
2026-06-25T09:54:00+05:30,85.20,85.20,85.20,85.20,23971
2026-06-25T09:55:00+05:30,85.20,85.20,85.10,85.10,53086
2026-06-25T09:56:00+05:30,85.10,85.15,85.10,85.15,6812
2026-06-25T09:57:00+05:30,85.10,85.15,85.05,85.05,50931
2026-06-25T09:58:00+05:30,85.05,85.05,85.00,85.00,28650
2026-06-25T09:59:00+05:30,85.00,85.00,85.00,85.00,62564
2026-06-25T10:00:00+05:30,85.00,85.05,85.00,85.05,15475
2026-06-25T10:01:00+05:30,85.05,85.05,85.00,85.00,27342
2026-06-25T10:02:00+05:30,85.00,85.00,84.90,84.90,107411
2026-06-25T10:03:00+05:30,84.90,84.90,84.85,84.85,41533
2026-06-25T10:04:00+05:30,84.85,85.00,84.80,84.95,169289
2026-06-25T10:05:00+05:30,84.95,84.95,84.90,84.90,67292
2026-06-25T10:06:00+05:30,84.90,84.90,84.85,84.85,11397
2026-06-25T10:07:00+05:30,84.85,84.90,84.85,84.85,27700
2026-06-25T10:08:00+05:30,84.85,84.95,84.85,84.95,19393
2026-06-25T10:09:00+05:30,84.95,84.95,84.90,84.95,48170
2026-06-25T10:10:00+05:30,85.00,85.00,84.95,84.95,23066
2026-06-25T10:11:00+05:30,84.90,84.90,84.90,84.90,74067
2026-06-25T10:12:00+05:30,84.90,84.95,84.90,84.90,67730
2026-06-25T10:13:00+05:30,84.90,84.95,84.85,84.90,123473
2026-06-25T10:14:00+05:30,84.90,84.90,84.90,84.90,64148
2026-06-25T10:15:00+05:30,84.90,85.05,84.90,85.05,27049
2026-06-25T10:16:00+05:30,85.05,85.20,85.05,85.10,106769
2026-06-25T10:17:00+05:30,85.10,85.10,85.05,85.05,51419
2026-06-25T10:18:00+05:30,85.05,85.05,85.00,85.05,13855
2026-06-25T10:19:00+05:30,85.10,85.15,85.05,85.15,98113
2026-06-25T10:20:00+05:30,85.10,85.15,85.10,85.15,10059
2026-06-25T10:21:00+05:30,85.15,85.15,85.05,85.05,38860
2026-06-25T10:22:00+05:30,85.05,85.15,85.00,85.15,47127
2026-06-25T10:23:00+05:30,85.15,85.15,85.05,85.10,7984
2026-06-25T10:24:00+05:30,85.10,85.15,85.10,85.10,17014
2026-06-25T10:25:00+05:30,85.10,85.10,85.05,85.05,50356
2026-06-25T10:26:00+05:30,85.00,85.00,84.95,84.95,30383
2026-06-25T10:27:00+05:30,84.95,84.95,84.95,84.95,8585
2026-06-25T10:28:00+05:30,84.95,85.00,84.95,84.95,56785
2026-06-25T10:29:00+05:30,84.95,85.00,84.95,85.00,9675
2026-06-25T10:30:00+05:30,85.00,85.10,85.00,85.10,19294
2026-06-25T10:31:00+05:30,85.10,85.10,85.10,85.10,7237
2026-06-25T10:32:00+05:30,85.10,85.15,85.10,85.15,17107
2026-06-25T10:33:00+05:30,85.20,85.20,85.15,85.15,17061
2026-06-25T10:34:00+05:30,85.15,85.25,85.15,85.25,22778
2026-06-25T10:35:00+05:30,85.25,85.25,85.15,85.25,21675
2026-06-25T10:36:00+05:30,85.25,85.30,85.25,85.30,9637
2026-06-25T10:37:00+05:30,85.30,85.30,85.25,85.30,18323
2026-06-25T10:38:00+05:30,85.30,85.30,85.25,85.30,17054
2026-06-25T10:39:00+05:30,85.30,85.30,85.20,85.20,57667
2026-06-25T10:40:00+05:30,85.20,85.20,85.15,85.20,5618
2026-06-25T10:41:00+05:30,85.20,85.20,85.20,85.20,5483
2026-06-25T10:42:00+05:30,85.20,85.20,85.20,85.20,8012
2026-06-25T10:43:00+05:30,85.20,85.30,85.20,85.20,51698
2026-06-25T10:44:00+05:30,85.25,85.25,85.20,85.20,17754
2026-06-25T10:45:00+05:30,85.20,85.20,85.20,85.20,3076
2026-06-25T10:46:00+05:30,85.25,85.25,85.15,85.20,25811
2026-06-25T10:47:00+05:30,85.20,85.20,85.15,85.20,10198
2026-06-25T10:48:00+05:30,85.20,85.30,85.20,85.30,8748
2026-06-25T10:49:00+05:30,85.25,85.25,85.20,85.25,22457
2026-06-25T10:50:00+05:30,85.30,85.30,85.20,85.20,17747
2026-06-25T10:51:00+05:30,85.20,85.25,85.15,85.15,23814
2026-06-25T10:52:00+05:30,85.15,85.20,85.15,85.15,1420
2026-06-25T10:53:00+05:30,85.20,85.20,85.15,85.15,10866
2026-06-25T10:54:00+05:30,85.20,85.20,85.15,85.15,8667
2026-06-25T10:55:00+05:30,85.15,85.25,85.15,85.25,7145
2026-06-25T10:56:00+05:30,85.25,85.25,85.20,85.20,11216
2026-06-25T10:57:00+05:30,85.20,85.20,85.20,85.20,2904
2026-06-25T10:58:00+05:30,85.20,85.25,85.20,85.25,14728
2026-06-25T10:59:00+05:30,85.25,85.30,85.25,85.30,17861
2026-06-25T11:00:00+05:30,85.25,85.30,85.25,85.25,17106
2026-06-25T11:01:00+05:30,85.25,85.25,85.20,85.20,9034
2026-06-25T11:02:00+05:30,85.20,85.20,85.15,85.15,10014
2026-06-25T11:03:00+05:30,85.15,85.25,85.15,85.25,18150
2026-06-25T11:04:00+05:30,85.25,85.25,85.25,85.25,6664
2026-06-25T11:05:00+05:30,85.25,85.25,85.25,85.25,6869
2026-06-25T11:06:00+05:30,85.25,85.25,85.20,85.20,12236
2026-06-25T11:07:00+05:30,85.20,85.25,85.10,85.10,17081
2026-06-25T11:08:00+05:30,85.10,85.15,85.10,85.15,15066
2026-06-25T11:09:00+05:30,85.20,85.25,85.15,85.20,8057
2026-06-25T11:10:00+05:30,85.20,85.30,85.15,85.30,33313
2026-06-25T11:11:00+05:30,85.25,85.25,85.25,85.25,817
2026-06-25T11:12:00+05:30,85.25,85.30,85.25,85.30,6228
2026-06-25T11:13:00+05:30,85.25,85.30,85.25,85.30,8869
2026-06-25T11:14:00+05:30,85.40,85.40,85.30,85.30,45606
2026-06-25T11:15:00+05:30,85.30,85.30,85.30,85.30,8214
2026-06-25T11:16:00+05:30,85.30,85.35,85.25,85.30,45662
2026-06-25T11:17:00+05:30,85.30,85.30,85.25,85.25,3644
2026-06-25T11:18:00+05:30,85.25,85.25,85.25,85.25,6442
2026-06-25T11:19:00+05:30,85.25,85.30,85.25,85.25,4328
2026-06-25T11:20:00+05:30,85.30,85.35,85.30,85.35,9682
2026-06-25T11:21:00+05:30,85.35,85.35,85.35,85.35,21124
2026-06-25T11:22:00+05:30,85.35,85.40,85.30,85.30,72066
2026-06-25T11:23:00+05:30,85.35,85.35,85.25,85.25,28563
2026-06-25T11:24:00+05:30,85.30,85.30,85.25,85.25,3306
2026-06-25T11:25:00+05:30,85.25,85.30,85.25,85.30,26325
2026-06-25T11:26:00+05:30,85.25,85.30,85.25,85.25,16833
2026-06-25T11:27:00+05:30,85.25,85.30,85.25,85.25,12783
2026-06-25T11:28:00+05:30,85.25,85.30,85.25,85.25,6873
2026-06-25T11:29:00+05:30,85.25,85.25,85.20,85.25,97709
2026-06-25T11:30:00+05:30,85.20,85.25,85.20,85.20,369
2026-06-25T11:31:00+05:30,85.20,85.25,85.15,85.20,29460
2026-06-25T11:32:00+05:30,85.25,85.25,85.20,85.25,2612
2026-06-25T11:33:00+05:30,85.25,85.25,85.25,85.25,4820
2026-06-25T11:34:00+05:30,85.25,85.25,85.25,85.25,9948
2026-06-25T11:35:00+05:30,85.25,85.25,85.25,85.25,5080
2026-06-25T11:36:00+05:30,85.25,85.25,85.20,85.20,12305
2026-06-25T11:37:00+05:30,85.25,85.25,85.20,85.20,14276
2026-06-25T11:38:00+05:30,85.20,85.20,85.15,85.20,61331
2026-06-25T11:39:00+05:30,85.20,85.20,85.15,85.20,27056
2026-06-25T11:40:00+05:30,85.15,85.20,85.15,85.15,9335
2026-06-25T11:41:00+05:30,85.20,85.20,85.15,85.15,33256
2026-06-25T11:42:00+05:30,85.15,85.20,85.15,85.20,7632
2026-06-25T11:43:00+05:30,85.20,85.20,85.15,85.20,7471
2026-06-25T11:44:00+05:30,85.20,85.20,85.15,85.20,8173
2026-06-25T11:45:00+05:30,85.20,85.20,85.05,85.05,42807
2026-06-25T11:46:00+05:30,85.10,85.10,85.05,85.05,5388
2026-06-25T11:47:00+05:30,85.05,85.10,85.05,85.10,16937
2026-06-25T11:48:00+05:30,85.05,85.10,85.05,85.05,3043
2026-06-25T11:49:00+05:30,85.10,85.10,85.05,85.10,24089
2026-06-25T11:50:00+05:30,85.15,85.15,85.05,85.10,34999
2026-06-25T11:51:00+05:30,85.10,85.10,85.05,85.05,13324
2026-06-25T11:52:00+05:30,85.05,85.10,85.05,85.05,27697
2026-06-25T11:53:00+05:30,85.05,85.05,85.05,85.05,12122
2026-06-25T11:54:00+05:30,85.05,85.05,85.05,85.05,7241
2026-06-25T11:55:00+05:30,85.10,85.10,85.05,85.05,8293
2026-06-25T11:56:00+05:30,85.10,85.10,85.05,85.05,6320
2026-06-25T11:57:00+05:30,85.10,85.25,85.10,85.25,37282
2026-06-25T11:58:00+05:30,85.25,85.25,85.20,85.25,16084
2026-06-25T11:59:00+05:30,85.25,85.25,85.20,85.20,14037
