ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1760.00,1778.00,1760.00,1769.20,0
2026-06-25T09:16:00+05:30,1771.60,1774.00,1768.60,1774.00,13641
2026-06-25T09:17:00+05:30,1774.30,1774.50,1769.50,1770.00,7670
2026-06-25T09:18:00+05:30,1769.60,1771.70,1763.50,1770.00,27965
2026-06-25T09:19:00+05:30,1769.50,1769.50,1758.80,1760.80,20153
2026-06-25T09:20:00+05:30,1760.80,1769.20,1760.80,1766.60,10216
2026-06-25T09:21:00+05:30,1768.10,1783.00,1766.80,1779.20,28739
2026-06-25T09:22:00+05:30,1783.00,1784.00,1777.80,1778.10,17000
2026-06-25T09:23:00+05:30,1779.00,1779.00,1773.60,1773.60,5980
2026-06-25T09:24:00+05:30,1773.50,1774.90,1771.50,1774.70,5699
2026-06-25T09:25:00+05:30,1774.70,1775.00,1772.20,1772.20,4053
2026-06-25T09:26:00+05:30,1772.40,1773.90,1770.70,1772.00,6124
2026-06-25T09:27:00+05:30,1771.60,1771.70,1770.40,1771.50,3230
2026-06-25T09:28:00+05:30,1771.20,1771.70,1771.00,1771.00,2483
2026-06-25T09:29:00+05:30,1771.00,1771.00,1769.20,1769.30,2177
2026-06-25T09:30:00+05:30,1771.70,1772.30,1770.00,1771.00,4042
2026-06-25T09:31:00+05:30,1772.20,1772.40,1768.50,1768.50,4406
2026-06-25T09:32:00+05:30,1769.90,1769.90,1765.90,1767.20,2242
2026-06-25T09:33:00+05:30,1768.10,1770.80,1767.30,1770.40,7075
2026-06-25T09:34:00+05:30,1771.20,1771.20,1768.20,1768.60,1905
2026-06-25T09:35:00+05:30,1769.50,1770.40,1767.60,1767.60,1659
2026-06-25T09:36:00+05:30,1767.60,1768.20,1764.60,1764.80,2322
2026-06-25T09:37:00+05:30,1764.50,1767.40,1764.50,1765.80,4867
2026-06-25T09:38:00+05:30,1765.00,1767.50,1765.00,1765.00,1798
2026-06-25T09:39:00+05:30,1765.00,1766.00,1763.70,1765.90,979
2026-06-25T09:40:00+05:30,1766.00,1766.70,1764.70,1766.00,2760
2026-06-25T09:41:00+05:30,1766.00,1768.30,1766.00,1766.00,1060
2026-06-25T09:42:00+05:30,1765.60,1769.60,1765.50,1768.00,963
2026-06-25T09:43:00+05:30,1767.70,1768.70,1766.60,1766.60,398
2026-06-25T09:44:00+05:30,1766.60,1766.60,1765.00,1765.90,8988
2026-06-25T09:45:00+05:30,1765.30,1765.80,1765.10,1765.50,982
2026-06-25T09:46:00+05:30,1767.30,1768.50,1766.30,1768.00,1438
2026-06-25T09:47:00+05:30,1767.70,1768.00,1766.90,1767.00,623
