ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,244.35,244.60,243.90,244.00,0
2026-06-24T09:16:00+05:30,244.20,245.00,244.20,244.90,111399
2026-06-24T09:17:00+05:30,245.00,245.20,245.00,245.00,46780
2026-06-24T09:18:00+05:30,245.15,245.50,244.95,245.30,119733
2026-06-24T09:19:00+05:30,245.10,245.10,244.70,244.75,37420
2026-06-24T09:20:00+05:30,244.75,244.95,244.75,244.75,28112
2026-06-24T09:21:00+05:30,244.95,244.95,244.90,244.95,13065
2026-06-24T09:22:00+05:30,244.90,244.90,244.70,244.85,22899
2026-06-24T09:23:00+05:30,244.80,244.85,244.70,244.70,21529
2026-06-24T09:24:00+05:30,244.75,244.75,244.40,244.50,18426
2026-06-24T09:25:00+05:30,244.60,244.95,244.60,244.90,15772
2026-06-24T09:26:00+05:30,244.85,244.85,244.55,244.60,14373
2026-06-24T09:27:00+05:30,244.50,244.50,244.40,244.40,18217
2026-06-24T09:28:00+05:30,244.40,244.60,244.40,244.45,28789
2026-06-24T09:29:00+05:30,244.40,244.60,244.35,244.40,28136
2026-06-24T09:30:00+05:30,244.80,244.80,244.45,244.45,79618
2026-06-24T09:31:00+05:30,244.50,244.50,244.20,244.30,17773
2026-06-24T09:32:00+05:30,244.30,244.30,244.20,244.20,9158
2026-06-24T09:33:00+05:30,244.25,244.45,244.20,244.45,24414
2026-06-24T09:34:00+05:30,244.40,244.40,244.15,244.15,38077
2026-06-24T09:35:00+05:30,244.20,244.20,244.10,244.10,9133
2026-06-24T09:36:00+05:30,244.00,244.20,244.00,244.10,18970
2026-06-24T09:37:00+05:30,244.10,244.15,243.80,243.90,52493
2026-06-24T09:38:00+05:30,243.85,243.85,243.75,243.75,11885
2026-06-24T09:39:00+05:30,243.75,243.95,243.75,243.95,11487
2026-06-24T09:40:00+05:30,243.85,243.90,243.80,243.80,76152
2026-06-24T09:41:00+05:30,243.65,243.65,243.55,243.55,32439
2026-06-24T09:42:00+05:30,243.60,243.60,243.50,243.55,6237
2026-06-24T09:43:00+05:30,243.55,243.55,243.45,243.45,24492
2026-06-24T09:44:00+05:30,243.35,243.40,243.35,243.40,7181
2026-06-24T09:45:00+05:30,243.40,243.45,243.35,243.45,33826
2026-06-24T09:46:00+05:30,243.50,243.65,243.50,243.50,18587
2026-06-24T09:47:00+05:30,243.55,243.55,243.40,243.45,14805
2026-06-24T09:48:00+05:30,243.45,243.45,243.25,243.40,29166
2026-06-24T09:49:00+05:30,243.40,243.40,243.25,243.25,5719
2026-06-24T09:50:00+05:30,243.35,243.50,243.25,243.50,9668
2026-06-24T09:51:00+05:30,243.60,243.60,243.30,243.30,34078
2026-06-24T09:52:00+05:30,243.25,243.30,243.15,243.30,85705
2026-06-24T09:53:00+05:30,243.25,243.25,243.10,243.25,6528
2026-06-24T09:54:00+05:30,243.25,243.40,243.25,243.40,7402
2026-06-24T09:55:00+05:30,243.40,243.40,243.30,243.35,9327
2026-06-24T09:56:00+05:30,243.35,243.65,243.35,243.60,10451
2026-06-24T09:57:00+05:30,243.60,243.60,243.55,243.55,2225
2026-06-24T09:58:00+05:30,243.60,243.70,243.55,243.70,13243
2026-06-24T09:59:00+05:30,243.70,243.80,243.55,243.60,23792
2026-06-24T10:00:00+05:30,243.60,243.70,243.55,243.70,15767
2026-06-24T10:01:00+05:30,243.70,243.70,243.65,243.65,5306
2026-06-24T10:02:00+05:30,243.70,243.85,243.70,243.85,7408
2026-06-24T10:03:00+05:30,243.80,243.85,243.80,243.85,4724
2026-06-24T10:04:00+05:30,243.75,243.75,243.70,243.75,18168
2026-06-24T10:05:00+05:30,243.75,243.75,243.55,243.55,39026
2026-06-24T10:06:00+05:30,243.40,243.55,243.40,243.50,11474
2026-06-24T10:07:00+05:30,243.55,243.55,243.40,243.45,6884
2026-06-24T10:08:00+05:30,243.40,243.45,243.25,243.25,36558
2026-06-24T10:09:00+05:30,243.40,243.55,243.40,243.55,11984
2026-06-24T10:10:00+05:30,243.60,243.60,243.40,243.50,28837
2026-06-24T10:11:00+05:30,243.50,243.50,243.40,243.45,8012
2026-06-24T10:12:00+05:30,243.45,243.55,243.45,243.45,6736
2026-06-24T10:13:00+05:30,243.50,243.50,243.50,243.50,6977
2026-06-24T10:14:00+05:30,243.50,243.50,243.45,243.45,38101
2026-06-24T10:15:00+05:30,243.45,243.50,243.45,243.50,8024
2026-06-24T10:16:00+05:30,243.50,243.50,243.45,243.50,3370
2026-06-24T10:17:00+05:30,243.50,243.50,243.45,243.50,2547
2026-06-24T10:18:00+05:30,243.50,243.50,243.30,243.40,44479
2026-06-24T10:19:00+05:30,243.40,243.40,243.35,243.35,1751
2026-06-24T10:20:00+05:30,243.40,243.40,243.35,243.35,5830
2026-06-24T10:21:00+05:30,243.35,243.40,243.30,243.40,14634
2026-06-24T10:22:00+05:30,243.40,243.40,243.35,243.40,791
2026-06-24T10:23:00+05:30,243.40,243.45,243.35,243.40,9144
2026-06-24T10:24:00+05:30,243.45,243.50,243.45,243.50,3986
2026-06-24T10:25:00+05:30,243.50,243.50,243.45,243.50,2274
2026-06-24T10:26:00+05:30,243.55,243.55,243.55,243.55,6528
2026-06-24T10:27:00+05:30,243.55,243.70,243.55,243.65,10191
2026-06-24T10:28:00+05:30,243.70,243.70,243.55,243.55,18890
2026-06-24T10:29:00+05:30,243.60,243.60,243.40,243.40,44765
2026-06-24T10:30:00+05:30,243.45,243.50,243.45,243.50,7550
2026-06-24T10:31:00+05:30,243.55,243.60,243.55,243.60,4655
2026-06-24T10:32:00+05:30,243.60,243.60,243.55,243.60,14071
2026-06-24T10:33:00+05:30,243.60,243.60,243.35,243.35,16318
2026-06-24T10:34:00+05:30,243.40,243.40,243.40,243.40,8074
2026-06-24T10:35:00+05:30,243.40,243.40,243.30,243.35,12579
2026-06-24T10:36:00+05:30,243.35,243.35,243.30,243.30,1132
2026-06-24T10:37:00+05:30,243.30,243.30,243.25,243.30,14538
2026-06-24T10:38:00+05:30,243.30,243.30,243.25,243.30,1755
2026-06-24T10:39:00+05:30,243.30,243.30,243.20,243.20,5157
2026-06-24T10:40:00+05:30,243.25,243.30,243.25,243.30,14916
2026-06-24T10:41:00+05:30,243.30,243.30,243.15,243.20,28914
2026-06-24T10:42:00+05:30,243.20,243.30,243.20,243.30,11198
2026-06-24T10:43:00+05:30,243.30,243.30,243.15,243.25,12569
2026-06-24T10:44:00+05:30,243.20,243.25,243.05,243.10,78369
2026-06-24T10:45:00+05:30,243.05,243.25,243.05,243.25,14035
2026-06-24T10:46:00+05:30,243.25,243.25,243.20,243.25,1141
2026-06-24T10:47:00+05:30,243.25,243.35,243.25,243.30,5778
2026-06-24T10:48:00+05:30,243.30,243.35,243.15,243.25,12335
