ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,40560.00,41340.00,40560.00,41210.00,0
2026-06-25T09:16:00+05:30,41205.00,41230.00,41165.00,41215.00,158
2026-06-25T09:17:00+05:30,41200.00,41200.00,41075.00,41075.00,252
2026-06-25T09:18:00+05:30,41075.00,41085.00,40865.00,40895.00,179
2026-06-25T09:19:00+05:30,40845.00,40865.00,40755.00,40865.00,90
2026-06-25T09:20:00+05:30,40840.00,40850.00,40815.00,40850.00,83
2026-06-25T09:21:00+05:30,40890.00,40910.00,40885.00,40885.00,106
2026-06-25T09:22:00+05:30,40875.00,41010.00,40875.00,41010.00,79
2026-06-25T09:23:00+05:30,41120.00,41130.00,41025.00,41090.00,310
2026-06-25T09:24:00+05:30,41035.00,41095.00,40965.00,40965.00,367
2026-06-25T09:25:00+05:30,40895.00,40945.00,40895.00,40905.00,159
2026-06-25T09:26:00+05:30,40825.00,40910.00,40825.00,40910.00,150
2026-06-25T09:27:00+05:30,40885.00,40945.00,40880.00,40945.00,113
2026-06-25T09:28:00+05:30,40950.00,40950.00,40910.00,40920.00,73
2026-06-25T09:29:00+05:30,40910.00,40915.00,40850.00,40870.00,249
2026-06-25T09:30:00+05:30,40840.00,40860.00,40835.00,40840.00,83
2026-06-25T09:31:00+05:30,40850.00,40855.00,40800.00,40800.00,69
2026-06-25T09:32:00+05:30,40810.00,40810.00,40750.00,40750.00,101
2026-06-25T09:33:00+05:30,40755.00,40945.00,40710.00,40945.00,200
2026-06-25T09:34:00+05:30,40930.00,40955.00,40910.00,40940.00,143
2026-06-25T09:35:00+05:30,40905.00,40965.00,40905.00,40965.00,152
2026-06-25T09:36:00+05:30,40940.00,40940.00,40900.00,40900.00,127
2026-06-25T09:37:00+05:30,40900.00,40925.00,40900.00,40925.00,116
2026-06-25T09:38:00+05:30,40915.00,40925.00,40910.00,40925.00,58
2026-06-25T09:39:00+05:30,40925.00,41185.00,40915.00,41185.00,819
2026-06-25T09:40:00+05:30,41170.00,41170.00,41090.00,41120.00,140
2026-06-25T09:41:00+05:30,41125.00,41245.00,41125.00,41210.00,422
2026-06-25T09:42:00+05:30,41275.00,41480.00,41275.00,41410.00,3932
2026-06-25T09:43:00+05:30,41415.00,41440.00,41300.00,41420.00,369
2026-06-25T09:44:00+05:30,41415.00,41415.00,41370.00,41405.00,42
2026-06-25T09:45:00+05:30,41380.00,41405.00,41380.00,41385.00,95
2026-06-25T09:46:00+05:30,41395.00,41500.00,41385.00,41500.00,152
2026-06-25T09:47:00+05:30,41500.00,41625.00,41500.00,41570.00,627
2026-06-25T09:48:00+05:30,41600.00,41610.00,41560.00,41595.00,99
