ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,4944.00,4944.00,4927.00,4941.00,0
2026-06-25T09:16:00+05:30,4941.00,4949.50,4931.00,4931.00,1962
2026-06-25T09:17:00+05:30,4926.50,4929.00,4918.00,4918.00,2618
2026-06-25T09:18:00+05:30,4919.50,4921.00,4919.00,4919.50,1728
2026-06-25T09:19:00+05:30,4910.00,4913.00,4900.00,4901.50,14124
2026-06-25T09:20:00+05:30,4908.00,4911.50,4901.00,4905.50,1784
2026-06-25T09:21:00+05:30,4906.50,4911.50,4904.00,4910.50,3694
2026-06-25T09:22:00+05:30,4913.00,4914.50,4908.00,4914.00,1378
2026-06-25T09:23:00+05:30,4913.00,4915.00,4904.00,4907.00,2968
2026-06-25T09:24:00+05:30,4907.00,4907.50,4893.50,4893.50,2877
2026-06-25T09:25:00+05:30,4893.50,4897.00,4892.00,4895.50,831
2026-06-25T09:26:00+05:30,4898.00,4902.00,4895.50,4895.50,1076
2026-06-25T09:27:00+05:30,4891.50,4895.00,4885.00,4889.00,1883
2026-06-25T09:28:00+05:30,4889.00,4895.00,4889.00,4890.00,943
2026-06-25T09:29:00+05:30,4890.00,4890.00,4885.00,4886.00,1059
2026-06-25T09:30:00+05:30,4888.50,4891.50,4886.50,4887.50,1674
2026-06-25T09:31:00+05:30,4886.00,4887.50,4881.00,4881.00,1208
2026-06-25T09:32:00+05:30,4885.00,4885.00,4877.50,4878.50,1090
2026-06-25T09:33:00+05:30,4875.50,4876.50,4866.00,4869.50,5054
2026-06-25T09:34:00+05:30,4868.50,4872.00,4861.00,4862.50,1891
2026-06-25T09:35:00+05:30,4865.50,4871.50,4861.00,4866.00,1636
2026-06-25T09:36:00+05:30,4864.00,4865.50,4861.00,4864.50,1950
2026-06-25T09:37:00+05:30,4863.00,4878.00,4861.50,4878.00,1166
2026-06-25T09:38:00+05:30,4878.00,4880.50,4873.50,4874.00,1894
2026-06-25T09:39:00+05:30,4874.00,4877.00,4871.50,4872.50,3053
2026-06-25T09:40:00+05:30,4872.50,4874.00,4870.00,4874.00,774
2026-06-25T09:41:00+05:30,4874.50,4875.00,4871.50,4873.00,728
2026-06-25T09:42:00+05:30,4873.50,4879.00,4873.50,4879.00,685
2026-06-25T09:43:00+05:30,4878.00,4892.50,4878.00,4888.50,1187
2026-06-25T09:44:00+05:30,4892.00,4893.00,4883.50,4887.00,983
2026-06-25T09:45:00+05:30,4887.00,4889.00,4881.00,4889.00,1404
2026-06-25T09:46:00+05:30,4890.00,4898.00,4890.00,4898.00,774
2026-06-25T09:47:00+05:30,4898.00,4911.50,4898.00,4911.50,3937
2026-06-25T09:48:00+05:30,4909.50,4911.50,4905.00,4911.50,1377
2026-06-25T09:49:00+05:30,4911.50,4915.00,4909.50,4914.00,1215
2026-06-25T09:50:00+05:30,4911.00,4914.50,4909.00,4909.00,2739
2026-06-25T09:51:00+05:30,4914.50,4916.50,4910.50,4910.50,480
2026-06-25T09:52:00+05:30,4909.00,4911.50,4909.00,4910.00,858
2026-06-25T09:53:00+05:30,4911.00,4913.00,4910.00,4910.00,243
2026-06-25T09:54:00+05:30,4912.00,4915.00,4910.00,4911.00,256
2026-06-25T09:55:00+05:30,4912.00,4912.00,4909.00,4909.00,177
2026-06-25T09:56:00+05:30,4910.00,4911.50,4907.50,4909.00,336
2026-06-25T09:57:00+05:30,4907.50,4912.50,4907.50,4911.00,668
2026-06-25T09:58:00+05:30,4909.50,4911.50,4907.00,4907.50,471
2026-06-25T09:59:00+05:30,4905.50,4907.50,4905.50,4907.50,266
2026-06-25T10:00:00+05:30,4910.00,4917.50,4908.50,4917.50,892
2026-06-25T10:01:00+05:30,4917.50,4919.00,4913.50,4919.00,608
