ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,289.00,290.10,289.00,289.55,0
2026-06-25T09:16:00+05:30,289.00,289.55,288.75,289.55,7663
2026-06-25T09:17:00+05:30,289.40,289.40,288.60,288.75,5946
2026-06-25T09:18:00+05:30,288.90,289.00,288.80,289.00,1762
2026-06-25T09:19:00+05:30,289.00,289.15,289.00,289.00,2677
2026-06-25T09:20:00+05:30,289.10,289.50,288.85,289.00,4540
2026-06-25T09:21:00+05:30,289.00,289.25,289.00,289.00,244896
2026-06-25T09:22:00+05:30,289.25,289.30,288.70,288.70,1459
2026-06-25T09:23:00+05:30,288.95,288.95,288.60,288.80,2998
2026-06-25T09:24:00+05:30,288.60,288.60,287.25,287.25,15677
2026-06-25T09:25:00+05:30,287.25,287.40,287.25,287.25,2183
2026-06-25T09:26:00+05:30,287.20,287.20,286.85,286.85,3963
2026-06-25T09:27:00+05:30,286.70,287.20,286.70,286.75,14501
2026-06-25T09:28:00+05:30,286.70,286.85,286.65,286.85,4362
2026-06-25T09:29:00+05:30,286.85,286.85,286.35,286.35,12855
2026-06-25T09:30:00+05:30,286.35,286.70,286.35,286.65,6675
2026-06-25T09:31:00+05:30,286.45,286.55,286.45,286.55,2876
2026-06-25T09:32:00+05:30,286.40,286.50,286.30,286.40,971
2026-06-25T09:33:00+05:30,286.25,286.45,286.25,286.25,2688
2026-06-25T09:34:00+05:30,286.25,286.35,286.20,286.35,9686
2026-06-25T09:35:00+05:30,286.35,286.35,285.90,285.90,306908
2026-06-25T09:36:00+05:30,285.75,285.85,285.70,285.70,1773
2026-06-25T09:37:00+05:30,285.75,285.80,285.70,285.75,6138
2026-06-25T09:38:00+05:30,285.90,285.90,285.40,285.40,3656
2026-06-25T09:39:00+05:30,285.45,285.45,285.30,285.30,805
2026-06-25T09:40:00+05:30,285.45,285.45,285.20,285.25,4669
2026-06-25T09:41:00+05:30,285.25,285.25,285.20,285.25,781
2026-06-25T09:42:00+05:30,285.15,285.25,285.05,285.15,10132
2026-06-25T09:43:00+05:30,285.15,285.85,285.15,285.85,9175
2026-06-25T09:44:00+05:30,286.10,286.10,285.80,285.95,4039
2026-06-25T09:45:00+05:30,285.95,285.95,285.70,285.70,3674
2026-06-25T09:46:00+05:30,285.80,286.10,285.80,286.05,5177
2026-06-25T09:47:00+05:30,285.90,286.05,285.85,286.05,1668
2026-06-25T09:48:00+05:30,286.05,287.15,285.80,287.15,211682
2026-06-25T09:49:00+05:30,287.50,287.50,286.80,286.80,33098
2026-06-25T09:50:00+05:30,286.80,287.10,286.80,287.10,13040
2026-06-25T09:51:00+05:30,287.10,287.25,286.85,286.85,2223
2026-06-25T09:52:00+05:30,287.05,287.25,287.05,287.25,8295
2026-06-25T09:53:00+05:30,287.20,287.20,287.00,287.00,3653
2026-06-25T09:54:00+05:30,287.05,287.10,287.00,287.10,4738
2026-06-25T09:55:00+05:30,287.15,287.15,287.00,287.00,2409
2026-06-25T09:56:00+05:30,287.00,287.00,287.00,287.00,1739
2026-06-25T09:57:00+05:30,287.00,287.00,286.70,286.90,300
2026-06-25T09:58:00+05:30,286.60,286.65,286.50,286.65,5686
2026-06-25T09:59:00+05:30,286.50,286.65,286.50,286.65,330
2026-06-25T10:00:00+05:30,286.65,286.65,286.40,286.55,6090
2026-06-25T10:01:00+05:30,286.65,286.65,286.40,286.55,1379
2026-06-25T10:02:00+05:30,286.55,286.55,286.35,286.35,2074
2026-06-25T10:03:00+05:30,286.50,286.50,286.25,286.45,950
2026-06-25T10:04:00+05:30,286.35,286.45,286.35,286.45,1554
2026-06-25T10:05:00+05:30,286.45,286.45,286.45,286.45,625
2026-06-25T10:06:00+05:30,286.45,286.45,286.15,286.35,5495
2026-06-25T10:07:00+05:30,286.25,286.45,286.25,286.30,2196
2026-06-25T10:08:00+05:30,286.20,286.45,286.20,286.45,1020
2026-06-25T10:09:00+05:30,286.45,286.45,286.30,286.45,227
2026-06-25T10:10:00+05:30,286.45,286.45,286.30,286.45,248
2026-06-25T10:11:00+05:30,286.45,286.45,286.45,286.45,1929
2026-06-25T10:12:00+05:30,286.45,286.45,286.35,286.35,906
2026-06-25T10:13:00+05:30,286.35,286.45,286.15,286.30,1790
2026-06-25T10:14:00+05:30,286.30,286.30,286.30,286.30,265
2026-06-25T10:15:00+05:30,286.30,286.30,286.15,286.30,162
2026-06-25T10:16:00+05:30,286.30,286.65,286.20,286.60,16996
2026-06-25T10:17:00+05:30,286.60,286.60,286.20,286.20,3172
2026-06-25T10:18:00+05:30,286.20,286.35,286.10,286.35,5568
2026-06-25T10:19:00+05:30,286.20,286.35,286.15,286.35,2130
2026-06-25T10:20:00+05:30,286.35,286.35,286.20,286.20,841
2026-06-25T10:21:00+05:30,286.25,286.25,286.15,286.15,1850
2026-06-25T10:22:00+05:30,286.15,286.15,286.00,286.15,2133
2026-06-25T10:23:00+05:30,286.15,286.15,286.05,286.15,1083
2026-06-25T10:24:00+05:30,286.15,286.15,286.05,286.15,1337
2026-06-25T10:25:00+05:30,286.15,286.15,286.05,286.05,961
2026-06-25T10:26:00+05:30,286.05,286.05,285.85,286.05,5531
2026-06-25T10:27:00+05:30,286.00,286.05,286.00,286.05,660
2026-06-25T10:28:00+05:30,286.05,286.05,286.05,286.05,18
2026-06-25T10:29:00+05:30,286.00,286.05,286.00,286.05,5143
2026-06-25T10:30:00+05:30,286.05,286.20,286.05,286.20,821
2026-06-25T10:31:00+05:30,286.20,286.25,286.05,286.05,2494
2026-06-25T10:32:00+05:30,286.20,286.25,286.05,286.10,1099
2026-06-25T10:33:00+05:30,286.25,286.25,286.10,286.25,856
2026-06-25T10:34:00+05:30,286.25,286.25,286.00,286.10,1808
2026-06-25T10:35:00+05:30,286.10,286.10,285.95,285.95,834
2026-06-25T10:36:00+05:30,285.95,286.10,285.85,286.05,1173
2026-06-25T10:37:00+05:30,286.05,286.05,286.00,286.00,148
2026-06-25T10:38:00+05:30,286.00,286.00,285.85,286.00,431
2026-06-25T10:39:00+05:30,286.00,286.00,286.00,286.00,164
2026-06-25T10:40:00+05:30,286.00,286.00,285.85,285.95,1485
2026-06-25T10:41:00+05:30,285.90,285.95,285.90,285.95,1111
2026-06-25T10:42:00+05:30,285.95,285.95,285.85,285.95,1295
2026-06-25T10:43:00+05:30,285.95,285.95,285.95,285.95,8
2026-06-25T10:44:00+05:30,285.95,285.95,285.85,285.95,738
2026-06-25T10:45:00+05:30,286.00,286.00,285.95,286.00,4046
2026-06-25T10:46:00+05:30,286.00,286.00,285.95,285.95,553
2026-06-25T10:47:00+05:30,285.90,286.00,285.85,285.95,2969
2026-06-25T10:48:00+05:30,285.95,285.95,285.80,285.80,888
2026-06-25T10:49:00+05:30,285.75,285.75,285.65,285.75,898
2026-06-25T10:50:00+05:30,285.65,285.70,285.65,285.70,884
2026-06-25T10:51:00+05:30,285.65,285.75,285.65,285.70,501
2026-06-25T10:52:00+05:30,285.70,285.70,285.65,285.70,1338
2026-06-25T10:53:00+05:30,285.65,285.70,285.65,285.70,317
