ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,440.80,442.00,440.00,442.00,0
2026-06-25T09:16:00+05:30,442.20,442.40,442.00,442.00,151703
2026-06-25T09:17:00+05:30,440.85,441.15,440.60,441.15,115691
2026-06-25T09:18:00+05:30,441.15,441.80,441.15,441.80,26392
2026-06-25T09:19:00+05:30,441.85,441.85,441.15,441.50,63714
2026-06-25T09:20:00+05:30,441.85,441.85,441.60,441.60,18208
2026-06-25T09:21:00+05:30,441.50,441.60,441.25,441.50,33244
2026-06-25T09:22:00+05:30,441.50,441.85,441.45,441.75,78852
2026-06-25T09:23:00+05:30,441.75,441.80,441.60,441.60,20304
2026-06-25T09:24:00+05:30,441.55,441.55,440.30,440.30,24796
2026-06-25T09:25:00+05:30,440.35,440.85,440.15,440.45,33428
2026-06-25T09:26:00+05:30,440.15,440.45,439.70,439.80,30310
2026-06-25T09:27:00+05:30,439.55,440.25,439.45,440.25,1173676
2026-06-25T09:28:00+05:30,440.00,440.25,439.80,440.00,14243
2026-06-25T09:29:00+05:30,440.10,440.65,440.10,440.65,9246
2026-06-25T09:30:00+05:30,440.65,440.65,440.15,440.15,14790
2026-06-25T09:31:00+05:30,440.15,440.15,439.75,439.85,19160
2026-06-25T09:32:00+05:30,439.75,439.75,439.35,439.45,11950
2026-06-25T09:33:00+05:30,439.70,439.70,439.05,439.50,20130
2026-06-25T09:34:00+05:30,439.40,439.65,439.40,439.40,9718
2026-06-25T09:35:00+05:30,439.50,439.65,439.35,439.65,17797
2026-06-25T09:36:00+05:30,439.60,439.60,439.25,439.30,23997
2026-06-25T09:37:00+05:30,439.15,439.25,439.05,439.10,16860
2026-06-25T09:38:00+05:30,439.10,439.10,438.70,438.70,18984
2026-06-25T09:39:00+05:30,438.60,438.80,438.50,438.80,28158
2026-06-25T09:40:00+05:30,438.70,438.70,438.30,438.45,7837
2026-06-25T09:41:00+05:30,438.60,438.65,438.50,438.50,4790
2026-06-25T09:42:00+05:30,438.25,438.40,438.20,438.35,13869
2026-06-25T09:43:00+05:30,438.25,438.30,438.10,438.15,19915
2026-06-25T09:44:00+05:30,438.05,438.05,437.25,437.50,24315
2026-06-25T09:45:00+05:30,437.65,437.75,437.35,437.35,11413
2026-06-25T09:46:00+05:30,437.50,437.65,437.35,437.65,8071
2026-06-25T09:47:00+05:30,437.65,437.80,437.20,437.30,13864
2026-06-25T09:48:00+05:30,437.30,437.40,437.05,437.05,25470
2026-06-25T09:49:00+05:30,437.00,437.35,437.00,437.35,12699
2026-06-25T09:50:00+05:30,437.10,437.15,436.80,437.00,20077
2026-06-25T09:51:00+05:30,437.15,437.50,437.05,437.45,8003
2026-06-25T09:52:00+05:30,437.40,437.60,437.35,437.55,12067
2026-06-25T09:53:00+05:30,437.60,437.75,437.50,437.60,9271
2026-06-25T09:54:00+05:30,437.50,437.70,437.50,437.70,8456
2026-06-25T09:55:00+05:30,437.85,437.85,437.60,437.60,5760
2026-06-25T09:56:00+05:30,437.65,437.75,437.60,437.75,3769
2026-06-25T09:57:00+05:30,437.70,437.75,437.05,437.55,41312
2026-06-25T09:58:00+05:30,437.70,437.70,437.30,437.40,14479
2026-06-25T09:59:00+05:30,437.40,437.55,437.35,437.40,14993
2026-06-25T10:00:00+05:30,437.40,437.55,437.25,437.55,13519
2026-06-25T10:01:00+05:30,437.55,437.60,437.40,437.50,5479
2026-06-25T10:02:00+05:30,437.50,437.50,437.30,437.35,11434
2026-06-25T10:03:00+05:30,437.30,437.50,437.30,437.40,14223
2026-06-25T10:04:00+05:30,437.40,437.40,437.15,437.40,18596
2026-06-25T10:05:00+05:30,437.35,437.50,437.25,437.50,12681
2026-06-25T10:06:00+05:30,437.45,437.65,437.40,437.45,7968
2026-06-25T10:07:00+05:30,437.45,437.60,437.35,437.45,16651
2026-06-25T10:08:00+05:30,437.50,437.65,437.40,437.45,6066
2026-06-25T10:09:00+05:30,437.40,437.50,437.40,437.40,5538
2026-06-25T10:10:00+05:30,437.50,437.55,437.45,437.55,6155
2026-06-25T10:11:00+05:30,437.45,437.45,437.35,437.35,5676
2026-06-25T10:12:00+05:30,437.35,437.65,437.30,437.40,15431
2026-06-25T10:13:00+05:30,437.40,437.40,436.80,437.20,26483
2026-06-25T10:14:00+05:30,437.15,437.40,437.10,437.30,16465
2026-06-25T10:15:00+05:30,437.20,437.30,437.20,437.30,9456
2026-06-25T10:16:00+05:30,437.35,437.35,437.00,437.35,11101
2026-06-25T10:17:00+05:30,437.35,437.35,437.05,437.15,13826
2026-06-25T10:18:00+05:30,437.00,437.00,436.55,436.55,34942
2026-06-25T10:19:00+05:30,436.95,437.15,436.55,436.55,14120
2026-06-25T10:20:00+05:30,436.35,436.50,436.00,436.20,40424
2026-06-25T10:21:00+05:30,436.15,436.15,435.95,435.95,9527
2026-06-25T10:22:00+05:30,436.00,436.00,435.70,436.00,16141
2026-06-25T10:23:00+05:30,436.00,436.10,435.85,436.00,7562
2026-06-25T10:24:00+05:30,436.00,436.00,435.85,435.85,6405
2026-06-25T10:25:00+05:30,435.85,436.00,435.75,436.00,18389
2026-06-25T10:26:00+05:30,435.95,436.00,435.80,435.95,3409
2026-06-25T10:27:00+05:30,435.85,435.95,435.70,435.70,8968
2026-06-25T10:28:00+05:30,435.70,435.80,435.55,435.80,11549
2026-06-25T10:29:00+05:30,435.90,435.90,435.70,435.80,7860
2026-06-25T10:30:00+05:30,435.80,435.90,435.75,435.90,9223
2026-06-25T10:31:00+05:30,435.95,436.10,435.90,435.90,16079
2026-06-25T10:32:00+05:30,436.05,436.20,435.95,436.00,14689
2026-06-25T10:33:00+05:30,435.95,435.95,435.85,435.85,9872
2026-06-25T10:34:00+05:30,435.90,435.90,435.80,435.80,14922
2026-06-25T10:35:00+05:30,435.80,435.90,435.80,435.85,8122
2026-06-25T10:36:00+05:30,435.85,435.90,435.80,435.80,7968
2026-06-25T10:37:00+05:30,435.75,435.85,435.75,435.85,7853
2026-06-25T10:38:00+05:30,435.80,435.85,435.75,435.75,6298
2026-06-25T10:39:00+05:30,435.75,436.05,435.75,436.05,11414
2026-06-25T10:40:00+05:30,436.00,436.20,435.90,436.00,6876
2026-06-25T10:41:00+05:30,436.00,436.55,436.00,436.55,5738
2026-06-25T10:42:00+05:30,436.55,437.00,436.55,436.85,7978
2026-06-25T10:43:00+05:30,436.85,436.85,436.05,436.35,39408
2026-06-25T10:44:00+05:30,436.30,436.55,436.30,436.50,2098
2026-06-25T10:45:00+05:30,436.50,437.25,436.50,437.00,62561
2026-06-25T10:46:00+05:30,437.00,437.15,437.00,437.00,7228
2026-06-25T10:47:00+05:30,437.20,437.20,436.95,437.00,7123
2026-06-25T10:48:00+05:30,437.00,437.10,436.95,437.10,10906
2026-06-25T10:49:00+05:30,437.00,437.15,436.90,436.90,6984
2026-06-25T10:50:00+05:30,437.10,437.20,437.10,437.20,3656
2026-06-25T10:51:00+05:30,437.15,437.20,437.10,437.10,6805
2026-06-25T10:52:00+05:30,437.00,437.00,436.50,436.50,5202
2026-06-25T10:53:00+05:30,436.50,436.50,436.25,436.25,12410
2026-06-25T10:54:00+05:30,436.30,436.75,436.15,436.75,77488
2026-06-25T10:55:00+05:30,437.20,437.85,437.00,437.80,51587
2026-06-25T10:56:00+05:30,437.70,437.70,437.45,437.50,18179
2026-06-25T10:57:00+05:30,437.55,437.60,437.55,437.60,4335
2026-06-25T10:58:00+05:30,437.60,437.95,437.60,437.80,18689
2026-06-25T10:59:00+05:30,437.60,438.00,437.60,438.00,12588
2026-06-25T11:00:00+05:30,438.00,438.25,438.00,438.15,6910
2026-06-25T11:01:00+05:30,438.15,438.15,438.00,438.05,5343
2026-06-25T11:02:00+05:30,438.25,438.65,438.05,438.35,10272
2026-06-25T11:03:00+05:30,438.20,438.75,438.20,438.75,8702
2026-06-25T11:04:00+05:30,438.80,438.90,438.70,438.70,13205
2026-06-25T11:05:00+05:30,438.70,439.05,438.70,439.05,9053
2026-06-25T11:06:00+05:30,439.05,439.40,439.05,439.40,5447
2026-06-25T11:07:00+05:30,439.35,440.75,439.35,440.40,42552
2026-06-25T11:08:00+05:30,440.45,440.75,440.45,440.75,11258
2026-06-25T11:09:00+05:30,440.70,440.75,439.00,439.30,397854
2026-06-25T11:10:00+05:30,439.00,439.00,438.00,438.05,120205
2026-06-25T11:11:00+05:30,438.10,438.35,438.10,438.25,17136
2026-06-25T11:12:00+05:30,438.20,438.30,438.00,438.00,6964
2026-06-25T11:13:00+05:30,438.10,438.90,438.05,438.45,141507
2026-06-25T11:14:00+05:30,438.70,438.70,438.40,438.45,2960
2026-06-25T11:15:00+05:30,438.45,439.00,438.40,438.95,158283
2026-06-25T11:16:00+05:30,438.95,439.00,438.90,438.90,45804
2026-06-25T11:17:00+05:30,438.75,439.00,438.75,439.00,88131
2026-06-25T11:18:00+05:30,439.00,439.00,438.70,438.80,98291
2026-06-25T11:19:00+05:30,438.75,438.80,438.60,438.60,7323
2026-06-25T11:20:00+05:30,438.60,439.00,438.60,439.00,157713
2026-06-25T11:21:00+05:30,438.90,439.00,438.60,438.75,17788
2026-06-25T11:22:00+05:30,438.70,438.75,438.70,438.70,1838
2026-06-25T11:23:00+05:30,438.65,438.70,438.45,438.55,5218
2026-06-25T11:24:00+05:30,438.80,438.80,438.60,438.75,6633
2026-06-25T11:25:00+05:30,438.75,439.00,438.75,438.80,290502
2026-06-25T11:26:00+05:30,438.75,438.75,438.50,438.55,4304
2026-06-25T11:27:00+05:30,438.75,438.75,438.55,438.55,3460
2026-06-25T11:28:00+05:30,438.45,438.45,438.30,438.30,7864
2026-06-25T11:29:00+05:30,438.30,438.70,438.05,438.70,13804
2026-06-25T11:30:00+05:30,438.80,439.00,437.75,437.75,60672
2026-06-25T11:31:00+05:30,437.70,437.70,437.30,437.40,13816
2026-06-25T11:32:00+05:30,437.30,437.30,437.10,437.10,6760
2026-06-25T11:33:00+05:30,437.10,437.30,436.90,437.15,15387
2026-06-25T11:34:00+05:30,437.15,437.15,437.00,437.10,5206
