ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1598.20,1602.30,1598.20,1602.30,0
2026-06-25T09:16:00+05:30,1603.40,1604.90,1602.40,1603.00,6958
2026-06-25T09:17:00+05:30,1601.10,1601.10,1600.00,1600.20,5485
2026-06-25T09:18:00+05:30,1597.30,1601.20,1597.30,1599.60,4084
2026-06-25T09:19:00+05:30,1600.90,1600.90,1597.70,1598.60,3865
2026-06-25T09:20:00+05:30,1598.30,1598.30,1597.40,1597.90,1856
2026-06-25T09:21:00+05:30,1597.90,1597.90,1596.90,1596.90,768
2026-06-25T09:22:00+05:30,1597.00,1599.50,1597.00,1598.50,3721
2026-06-25T09:23:00+05:30,1598.50,1599.50,1597.00,1597.30,2134
2026-06-25T09:24:00+05:30,1597.00,1599.80,1596.60,1599.10,3145
2026-06-25T09:25:00+05:30,1599.40,1601.90,1599.20,1601.10,3703
2026-06-25T09:26:00+05:30,1601.50,1601.70,1600.40,1600.60,2556
2026-06-25T09:27:00+05:30,1601.00,1601.00,1599.50,1599.50,1091
2026-06-25T09:28:00+05:30,1600.50,1602.70,1600.50,1601.30,4411
2026-06-25T09:29:00+05:30,1601.60,1601.80,1601.20,1601.30,2241
2026-06-25T09:30:00+05:30,1601.60,1606.50,1601.60,1606.50,16704
2026-06-25T09:31:00+05:30,1606.20,1606.40,1605.40,1606.10,2474
2026-06-25T09:32:00+05:30,1605.80,1605.90,1604.70,1604.80,4514
2026-06-25T09:33:00+05:30,1603.60,1604.00,1601.70,1602.00,3940
2026-06-25T09:34:00+05:30,1602.00,1602.70,1601.60,1601.90,1728
2026-06-25T09:35:00+05:30,1601.90,1601.90,1600.00,1600.50,2327
2026-06-25T09:36:00+05:30,1600.40,1601.40,1600.40,1601.20,1453
2026-06-25T09:37:00+05:30,1601.50,1604.60,1601.50,1604.60,4381
2026-06-25T09:38:00+05:30,1603.70,1604.00,1603.10,1603.40,1501
2026-06-25T09:39:00+05:30,1603.50,1605.70,1603.50,1605.70,18064
2026-06-25T09:40:00+05:30,1603.60,1603.60,1600.20,1601.60,5847
2026-06-25T09:41:00+05:30,1601.50,1603.50,1601.50,1602.70,3641
2026-06-25T09:42:00+05:30,1602.40,1603.00,1601.40,1602.90,1084
2026-06-25T09:43:00+05:30,1602.60,1603.10,1602.60,1602.90,679
2026-06-25T09:44:00+05:30,1603.00,1603.00,1602.20,1602.30,1616
2026-06-25T09:45:00+05:30,1602.00,1603.80,1602.00,1603.60,2943
2026-06-25T09:46:00+05:30,1603.40,1603.50,1602.60,1603.30,630
2026-06-25T09:47:00+05:30,1603.40,1604.70,1603.40,1604.70,1049
2026-06-25T09:48:00+05:30,1604.60,1605.00,1604.40,1605.00,1059
2026-06-25T09:49:00+05:30,1604.90,1606.00,1604.40,1606.00,1849
2026-06-25T09:50:00+05:30,1606.40,1606.70,1605.60,1605.90,1651
2026-06-25T09:51:00+05:30,1606.30,1606.40,1605.70,1605.80,764
2026-06-25T09:52:00+05:30,1606.10,1608.10,1606.10,1608.10,8626
2026-06-25T09:53:00+05:30,1609.10,1609.10,1607.70,1608.10,4723
2026-06-25T09:54:00+05:30,1608.20,1608.70,1608.00,1608.60,1262
2026-06-25T09:55:00+05:30,1608.00,1609.00,1607.40,1608.00,1703
2026-06-25T09:56:00+05:30,1608.00,1608.80,1608.00,1608.50,1547
2026-06-25T09:57:00+05:30,1608.70,1608.70,1608.20,1608.50,753
2026-06-25T09:58:00+05:30,1608.10,1608.50,1608.10,1608.40,753
2026-06-25T09:59:00+05:30,1608.40,1609.00,1608.40,1608.70,592
2026-06-25T10:00:00+05:30,1608.80,1608.80,1607.40,1608.60,3083
2026-06-25T10:01:00+05:30,1606.30,1606.40,1605.00,1605.20,3298
2026-06-25T10:02:00+05:30,1605.20,1605.80,1604.60,1604.60,1402
2026-06-25T10:03:00+05:30,1605.50,1606.20,1605.50,1606.20,616
2026-06-25T10:04:00+05:30,1605.90,1607.90,1605.90,1607.60,1008
2026-06-25T10:05:00+05:30,1608.00,1608.50,1607.60,1608.10,840
2026-06-25T10:06:00+05:30,1608.50,1608.50,1608.10,1608.10,872
2026-06-25T10:07:00+05:30,1607.90,1608.40,1607.60,1607.60,922
2026-06-25T10:08:00+05:30,1607.20,1607.20,1606.40,1606.40,767
2026-06-25T10:09:00+05:30,1606.00,1607.50,1606.00,1607.10,1342
2026-06-25T10:10:00+05:30,1605.80,1608.20,1605.80,1608.00,2346
2026-06-25T10:11:00+05:30,1607.50,1607.50,1606.30,1606.30,561
2026-06-25T10:12:00+05:30,1606.80,1607.00,1606.80,1607.00,1171
2026-06-25T10:13:00+05:30,1606.90,1607.40,1606.10,1606.40,1955
2026-06-25T10:14:00+05:30,1605.80,1606.90,1605.80,1606.30,1228
2026-06-25T10:15:00+05:30,1606.80,1606.80,1603.20,1605.10,2714
2026-06-25T10:16:00+05:30,1604.90,1605.00,1604.10,1604.40,775
2026-06-25T10:17:00+05:30,1604.30,1604.40,1603.30,1603.30,1020
2026-06-25T10:18:00+05:30,1603.20,1603.30,1602.10,1603.10,2155
2026-06-25T10:19:00+05:30,1604.00,1604.90,1603.70,1604.00,2672
2026-06-25T10:20:00+05:30,1604.00,1604.40,1603.60,1604.30,1269
2026-06-25T10:21:00+05:30,1603.90,1604.10,1603.50,1603.50,631
2026-06-25T10:22:00+05:30,1603.10,1603.60,1603.10,1603.20,774
2026-06-25T10:23:00+05:30,1603.70,1603.70,1603.10,1603.10,442
2026-06-25T10:24:00+05:30,1603.00,1603.60,1603.00,1603.60,576
2026-06-25T10:25:00+05:30,1603.60,1603.70,1603.00,1603.30,1352
2026-06-25T10:26:00+05:30,1603.30,1603.30,1602.30,1602.40,829
2026-06-25T10:27:00+05:30,1600.50,1602.50,1600.00,1602.20,4844
2026-06-25T10:28:00+05:30,1602.40,1608.20,1602.40,1607.70,7917
2026-06-25T10:29:00+05:30,1608.50,1608.50,1605.80,1607.50,2825
2026-06-25T10:30:00+05:30,1607.10,1607.50,1606.50,1607.10,1533
2026-06-25T10:31:00+05:30,1607.20,1608.50,1607.20,1607.90,3621
2026-06-25T10:32:00+05:30,1608.20,1608.60,1608.00,1608.60,2752
2026-06-25T10:33:00+05:30,1608.80,1609.50,1606.70,1606.70,11921
2026-06-25T10:34:00+05:30,1607.60,1609.00,1607.10,1608.80,2999
2026-06-25T10:35:00+05:30,1608.80,1613.70,1608.70,1613.00,34727
2026-06-25T10:36:00+05:30,1613.00,1615.00,1613.00,1614.00,16413
2026-06-25T10:37:00+05:30,1614.30,1614.80,1614.00,1614.60,3306
2026-06-25T10:38:00+05:30,1614.60,1615.00,1614.30,1614.50,4233
2026-06-25T10:39:00+05:30,1614.60,1615.20,1614.10,1614.20,6594
2026-06-25T10:40:00+05:30,1614.50,1614.90,1613.90,1614.80,4642
2026-06-25T10:41:00+05:30,1614.80,1615.80,1614.30,1615.40,6962
2026-06-25T10:42:00+05:30,1615.50,1618.50,1615.50,1618.40,11826
2026-06-25T10:43:00+05:30,1617.90,1618.10,1616.80,1618.00,5958
2026-06-25T10:44:00+05:30,1617.80,1619.00,1617.10,1618.00,9584
2026-06-25T10:45:00+05:30,1618.00,1618.50,1617.70,1618.30,1983
2026-06-25T10:46:00+05:30,1618.50,1618.60,1617.00,1618.60,3007
2026-06-25T10:47:00+05:30,1618.10,1618.10,1617.00,1617.70,3244
2026-06-25T10:48:00+05:30,1617.90,1617.90,1617.00,1617.40,2775
2026-06-25T10:49:00+05:30,1617.20,1617.50,1616.40,1617.50,2354
2026-06-25T10:50:00+05:30,1617.40,1617.90,1617.00,1617.90,2212
